Id,Median,Total
391535011001,22727,1524
391535017001,21250,643
391535017002,9968,895
391535018001,24236,844
391535019001,10783,1268
391535019002,18323,1223
391535021011,33516,802
391535021012,34821,2199
391535021021,24673,1973
391535021022,21923,1391
391535021023,43073,800
391535022001,16000,1589
391535022002,43843,575
391535022003,30405,1167
391535022004,52833,1257
391535022005,30667,1513
391535023001,68750,484
391535023002,14814,1039
391535023003,40968,764
391535023004,60875,730
391535023005,16900,552
391535023006,18077,581
391535023007,39341,706
391535025001,16667,527
391535025002,18068,442
391535026001,33636,999
391535026002,42843,1422
391535026003,35515,611
391535027001,43833,1693
391535027002,51795,1371
391535027003,41767,1127
391535027004,27727,830
391535027005,56875,351
391535027006,48750,1344
391535028001,43347,835
391535028002,43750,916
391535028003,39183,736
391535028004,33625,778
391535028005,41250,1036
391535031001,19444,1093
391535031002,24375,1071
391535032001,35260,618
391535032002,30100,809
391535032003,22895,696
391535033001,32295,545
391535033002,26680,1045
391535033003,31926,674
391535033004,33087,1099
391535033005,25288,347
391535033006,12599,597
391535033007,22729,965
391535034001,22173,1329
391535035001,25938,938
391535035002,17986,789
391535035003,26481,779
391535035004,24306,642
391535035005,19205,431
391535036001,31328,603
391535036002,57045,1760
391535036003,52375,674
391535036004,36895,1322
391535037011,48395,943
391535037012,37212,1479
391535037013,22679,1054
391535037014,55833,2491
391535037021,53922,1151
391535037022,31389,1203
391535037023,31429,818
391535037024,59338,1165
391535037025,42192,1712
391535038001,32398,1490
391535038002,26250,1096
391535038003,8342,1160
391535041001,16625,1134
391535042001,15982,904
391535042002,28021,522
391535042003,16887,606
391535044001,25658,324
391535044002,18269,1096
391535045001,28783,846
391535045002,24896,634
391535045003,27313,713
391535046001,20430,1026
391535046002,15990,575
391535046003,38750,505
391535046004,25699,1368
391535047001,45313,842
391535047002,60662,707
391535047003,68125,507
391535047004,83182,726
391535047005,43603,1137
391535047006,26860,897
391535048001,44191,680
391535048002,51250,985
391535048003,53281,717
391535048004,55700,502
391535048005,36518,1038
391535048006,58264,678
391535052001,34432,1334
391535053001,22045,424
391535053002,25104,584
391535053003,13348,596
391535054001,35399,972
391535054002,30500,936
391535054003,27625,510
391535054004,36818,980
391535055001,41400,679
391535055002,56507,747
391535055003,57115,738
391535055004,29676,525
391535056001,23750,965
391535056002,8958,453
391535057001,22750,679
391535057002,25329,493
391535057003,26923,495
391535057004,22344,1068
391535058001,35100,429
391535058002,31046,1550
391535058003,31610,1147
391535058004,42292,927
391535058005,33094,819
391535059001,46378,953
391535059002,37115,1796
391535061001,31446,1173
391535061002,21723,711
391535061003,67768,977
391535061004,42041,714
391535061005,75313,856
391535061006,26349,1416
391535062001,59028,624
391535062002,28594,571
391535062003,71146,542
391535062004,37745,1291
391535062005,28125,938
391535064001,50556,607
391535064002,26224,558
391535064003,37750,717
391535064004,25781,361
391535064005,38636,644
391535065001,30231,1185
391535065002,18500,733
391535065003,28372,756
391535066001,26563,404
391535066002,13444,1060
391535066003,22277,1346
391535067001,21289,1004
391535067002,18750,262
391535068001,13274,1335
391535068002,18346,589
391535071011,30774,1298
391535071012,30613,1015
391535071013,45073,906
391535071014,88809,1294
391535071021,97054,1127
391535071022,47550,839
391535071023,74423,705
391535072011,62917,1780
391535072012,58589,800
391535072021,49885,1278
391535072022,33478,935
391535072023,79261,676
391535072024,63563,672
391535072031,46964,802
391535072032,54118,1005
391535072033,93173,1586
391535072034,113875,817
391535072035,81953,764
391535073001,29972,591
391535073002,62273,555
391535073003,33250,685
391535073004,43333,1028
391535074001,16699,1040
391535075001,43438,1915
391535075002,35802,1604
391535075003,40068,1588
391535075004,19872,615
391535075005,28241,405
391535075006,9250,396
391535076001,36513,385
391535076002,36868,1468
391535076003,39654,845
391535076004,63080,698
391535076005,34618,819
391535080001,35833,2207
391535080002,50707,1292
391535080003,55556,666
391535080004,55375,653
391535083011,9571,1200
391535083012,13798,887
391535083991,13856,621
391535083992,9795,1167
391535083993,35035,1377
391535083994,46451,1707
391535086001,55833,1288
391535086002,11334,929
391535086003,18646,901
391535088001,20580,784
391535088002,37266,1472
391535088003,27273,641
391535088004,22109,1398
391535088005,35326,913
391535088006,14965,937
391535089001,17656,1103
391535089002,15521,1657
391535089003,20781,1523
391535089004,37125,340
391535090001,20536,650
391535090002,19881,549
391535090003,21442,689
391535101001,26989,866
391535101002,22344,777
391535101003,27736,1286
391535102001,31298,1119
391535102002,40307,1491
391535102003,34966,1604
391535103011,38144,441
391535103012,25352,1109
391535103015,51576,1042
391535103021,26182,654
391535103022,40451,1278
391535103023,53750,1343
391535105001,24714,675
391535201031,45938,1736
391535201041,55075,1200
391535201042,40063,1933
391535201043,27308,760
391535201044,40938,607
391535201051,53621,2841
391535201052,39282,1087
391535201053,48500,586
391535201061,43750,858
391535201062,41344,1743
391535202011,78125,1118
391535202012,51174,1194
391535202013,53125,575
391535202021,13625,580
391535202022,41000,988
391535202023,51875,780
391535202024,54127,1284
391535202025,76563,934
391535203011,58786,1585
391535203012,30441,861
391535203013,31596,1124
391535203021,51842,706
391535203022,56042,991
391535203023,59760,1785
391535204001,47500,681
391535204002,33451,695
391535204003,45000,702
391535204004,48472,1030
391535204005,50750,1114
391535204006,41012,618
391535205001,55781,706
391535205002,61071,884
391535205003,54375,928
391535205004,53537,753
391535205005,71250,690
391535205006,53750,514
391535206001,53333,1020
391535206002,42098,1618
391535206003,55000,983
391535304011,61314,2241
391535304012,49265,1157
391535304022,88531,1641
391535305011,57685,2009
391535305012,49917,1341
391535305021,49881,1204
391535305022,76250,1119
391535306031,54764,2792
391535306042,87500,2228
391535307001,61458,829
391535307002,98958,733
391535307003,112917,955
391535308001,74079,1803
391535308002,69449,1880
391535308003,54417,1438
391535308004,76111,1688
391535309011,32784,2861
391535309012,46607,1580
391535309022,54318,914
391535309023,45588,2786
391535309024,52188,1175
391535309033,57083,1142
391535310011,64286,413
391535310012,43371,1409
391535310022,53289,1923
391535310023,28625,567
391535310024,41833,608
391535310025,26250,511
391535310026,42656,628
391535311011,34063,1442
391535311012,52563,1762
391535311021,38045,1442
391535311031,53801,1256
391535311032,59286,1967
391535318012,24047,740
391535318015,49311,1579
391535318021,49575,2292
391535320041,37330,365
391535320042,89655,2199
391535320043,51250,678
391535320044,66683,634
391535322021,76625,874
391535322022,51579,1360
391535322023,65804,1292
391535322024,63025,712
391535322025,99598,797
391535323021,98448,2243
391535323022,42979,898
391535323023,95227,2473
391535329011,46429,735
391535329021,119048,3063
391535329022,120078,1090
391535329024,40473,2772
391535330001,48472,1597
391535334001,49536,983
391535334002,58091,2167
391535334003,51000,1842
391535334004,46818,1134
