Id,Median,Total
360010001001,39145,1102
360010001002,31506,1061
360010002001,16047,2828
360010002002,35429,764
360010002003,28883,1365
360010002004,18510,378
360010003001,50881,1242
360010003002,24425,1825
360010003003,43836,1278
360010003004,14299,1732
360010004011,71921,2380
360010004031,51339,1283
360010004032,61985,1441
360010004033,48971,755
360010004034,42255,859
360010004041,-1,4932
360010005011,21205,1320
360010005012,31908,547
360010005013,39883,662
360010005014,25417,1083
360010005021,19375,2173
360010005022,46635,1548
360010006001,14254,494
360010006002,21266,1200
360010006003,18656,2662
360010007001,36591,1187
360010007002,25385,448
360010007003,40139,1095
360010007004,11446,1014
360010008001,24028,387
360010008002,20515,1203
360010008003,21406,596
360010011001,12452,1249
360010014001,42862,1528
360010014002,35045,1251
360010014003,18472,393
360010015001,20524,1423
360010015002,53889,1144
360010015003,27137,1042
360010015004,59453,842
360010016001,25125,1118
360010016002,28438,788
360010016003,54688,914
360010016004,59676,994
360010017001,53954,996
360010017002,79688,1611
360010017003,67875,1563
360010017004,94219,637
360010018011,84333,869
360010018012,64236,1626
360010018013,71333,1574
360010018014,68977,884
360010018015,62634,2246
360010018021,59898,1075
360010018022,45743,1581
360010018023,71797,610
360010018024,38261,909
360010019011,101389,656
360010019012,35605,755
360010019013,95733,1274
360010019021,91607,790
360010019022,90037,909
360010019023,60978,920
360010020001,55174,1909
360010020002,62083,1437
360010020003,41463,776
360010020004,53713,838
360010020005,59091,1234
360010021001,30197,1053
360010021002,18445,1296
360010021003,36771,654
360010022001,35667,1116
360010022002,41875,1341
360010023001,21574,753
360010023002,32750,1033
360010025001,16326,741
360010025002,19931,307
360010025003,28750,688
360010025004,55515,401
360010025005,17169,293
360010026001,42369,1714
360010026002,55240,841
360010026003,26746,1479
360010026004,41626,1223
360010136012,96806,1483
360010136014,108958,3885
360010136021,60856,1095
360010136022,98226,1317
360010136023,53546,1798
360010137051,51747,1365
360010137052,70583,2165
360010137053,76415,1440
360010137054,70750,1242
360010137061,111250,2248
360010137071,71773,2512
360010137072,91667,1896
360010139011,65625,888
360010139012,71250,1615
360010139023,75889,2499
360010140011,51532,2893
360010140012,54781,452
360010140013,67159,626
360010140021,51198,966
360010140022,61000,1829
360010140023,65208,1079
360010140024,67778,858
360010141001,87164,1402
360010141002,63500,1487
360010141003,124176,1865
360010141004,143571,727
360010142011,66934,1611
360010142014,84543,1149
360010142023,110179,2303
360010145012,64821,427
360010146071,96154,719
360010146075,88077,1228
360010146081,87063,2503
360010146082,73750,1932
360010146091,47212,802
360010146092,79583,1607
360010146093,66557,2326
360010146141,132946,1396
360010146142,54308,816
360010146143,66875,1487
360010146144,123542,1773
360830515001,23618,710
360830515002,37778,1036
360830515003,51458,858
360830516001,30766,2384
360830516002,54423,487
360830516003,45192,868
360830516004,66397,3108
360830523011,64398,1425
360830524034,75580,3664
