Id,Median,Total
350010001071,71765,1463
350010001072,75000,1152
350010001081,66591,1205
350010001082,34583,1544
350010001091,76034,1239
350010001092,60592,1299
350010001101,33271,1715
350010001102,36667,1078
350010001103,34500,1012
350010001111,65625,1967
350010001112,64947,1099
350010001121,67431,1245
350010001122,118250,807
350010001131,41210,1789
350010001132,67339,1273
350010001141,51563,1800
350010001142,52143,1468
350010001151,28017,1497
350010001152,34583,749
350010001153,52702,862
350010001161,54950,1426
350010001162,47029,1641
350010001171,65917,1297
350010001172,69375,947
350010001181,53261,1856
350010001182,78750,1160
350010001191,75000,1311
350010001192,105313,667
350010001201,51940,1234
350010001202,33695,1495
350010001211,35865,1970
350010001212,46760,1152
350010001213,25125,1180
350010001214,67115,1490
350010001215,29112,532
350010001221,40817,639
350010001222,50278,1053
350010001223,51176,803
350010001224,35743,1595
350010001231,64815,641
350010001232,60429,1413
350010001233,26703,895
350010001234,39265,1127
350010001235,83750,1061
350010001241,14167,665
350010001242,26250,798
350010001243,53972,818
350010001244,30941,1548
350010001251,117404,1302
350010001252,76083,1689
350010001253,95729,1110
350010001261,42763,1635
350010001262,63398,1340
350010001271,49524,657
350010001272,45682,1053
350010001273,47422,1096
350010001281,40000,974
350010001282,40000,1049
350010001283,41157,477
350010001284,40884,513
350010001291,30915,1471
350010001292,35150,1882
350010001293,48182,954
350010002031,51172,1202
350010002032,27917,950
350010002041,49861,1485
350010002042,44444,1386
350010002051,33786,747
350010002052,39390,626
350010002053,52614,375
350010002054,38462,1256
350010002061,41250,1389
350010002062,54028,1443
350010002071,57426,943
350010002072,50536,1166
350010002073,47500,1057
350010002081,36635,734
350010002082,48523,691
350010002083,65380,1019
350010003001,55985,1103
350010003002,65208,540
350010003003,46581,541
350010003004,59904,874
350010003005,51458,1597
350010003006,48987,1118
350010004011,52228,1475
350010004012,58083,1063
350010004013,70213,1956
350010004021,51563,824
350010004022,60588,744
350010004023,62031,689
350010004024,62936,1147
350010005011,33170,2041
350010005012,16723,918
350010005021,59283,1648
350010005022,32017,1695
350010005023,36696,1314
350010006011,45240,1119
350010006012,35179,641
