Id,Median,Total
020200001011,120795,666
020200001012,96938,2035
020200001013,111696,3514
020200001021,103958,1022
020200001022,52569,1380
020200001023,101350,1473
020200001024,69886,1294
020200002011,82300,2015
020200002012,68636,2112
020200002021,44115,1119
020200002022,91324,1578
020200002023,112790,1924
020200002024,77348,1515
020200002031,109470,1039
020200002032,146750,2399
020200002033,101792,4664
020200002034,102763,1831
020200002035,93679,1166
020200002041,122123,1698
020200002042,137159,2258
020200003001,54919,8397
020200004001,61528,5780
020200005001,66346,843
020200005002,41053,1267
020200006001,-1,232
020200006002,34868,914
020200006003,39500,854
020200006004,43674,1089
020200006005,43380,1342
020200006006,29952,646
020200006007,42898,1068
020200006008,35870,1107
020200007011,77405,2573
020200007012,56458,1297
020200007013,39028,1333
020200007014,63906,873
020200007021,40341,950
020200007022,82692,1950
020200007023,85217,2289
020200007031,19087,869
020200007032,54595,784
020200007033,57600,1357
020200007034,50357,1230
020200007035,85344,1426
020200008011,61231,1261
020200008012,93100,497
020200008013,51892,1039
020200008014,55357,958
020200008015,60139,1403
020200008016,47602,1446
020200008017,38058,1043
020200008021,24283,388
020200008022,49757,1331
020200008023,63438,1113
020200008024,78000,1014
020200008025,32788,608
020200009011,26600,2247
020200009012,45865,2334
020200009013,47955,1152
020200009021,43664,1076
020200009022,40172,851
020200009023,78182,692
020200010001,55921,794
020200010002,30986,1404
020200010003,22473,860
020200010004,56797,471
020200011001,40972,217
020200011002,29327,643
020200012001,66786,477
020200012002,70703,681
020200012003,109911,370
020200012004,89256,1179
020200012005,89297,927
020200013001,118807,1206
020200013002,92159,765
020200013003,112893,949
020200014001,58693,695
020200014002,79154,931
020200014003,76338,1141
020200014004,51771,915
020200014005,31806,337
020200014006,29484,995
020200015001,87098,1324
020200015002,126397,888
020200015003,53452,1266
020200015004,115524,492
020200015005,21354,1011
020200016011,59276,852
020200016012,95083,1765
020200016013,86750,1652
020200016021,49875,1221
020200016022,90417,1237
020200016023,62472,1065
020200016024,83831,933
020200017011,43634,1302
020200017012,91797,1986
020200017013,107400,1342
020200017014,84803,1519
020200017015,66375,818
020200017021,55474,792
020200017022,94177,999
020200017023,131875,1191
020200017024,85833,1798
020200017025,66094,316
020200017311,61479,523
020200017312,87577,1310
020200017313,74107,2188
020200017314,81912,1046
020200017315,73750,687
020200017321,106905,1563
020200017322,86136,1971
020200017323,110781,1173
020200017324,87212,1396
020200018011,89056,1176
020200018012,60474,1465
020200018013,67560,2290
020200018021,38438,827
020200018022,41458,1077
020200018023,56319,822
020200018024,75802,2528
020200019001,37550,1034
020200019002,38158,1005
020200019003,67143,227
020200019004,62000,868
020200019005,45398,1009
020200020001,38664,901
020200020002,27399,803
020200020003,39167,1187
020200020004,46417,715
020200021001,77961,658
020200021002,41154,842
020200021003,75118,760
020200021004,60368,699
020200021005,53295,739
020200022011,83095,1011
020200022012,74375,1660
020200022013,91750,1475
020200022014,57204,814
020200022021,61250,947
020200022022,39735,744
020200022023,89375,809
020200022024,55781,616
020200023011,130144,2852
020200023012,101484,1799
020200023013,104246,2138
020200023014,114519,754
020200023021,78333,751
020200023022,92772,986
020200023023,120875,1078
020200023024,53790,1168
020200023025,78750,1144
020200023031,49779,949
020200023032,102396,878
020200023033,97044,1910
020200023034,77250,2400
020200023035,61579,1408
020200023036,33839,1111
020200024001,63355,729
020200024002,62891,1013
020200024003,107283,1272
020200025011,99259,593
020200025012,33571,471
020200025013,57614,942
020200025014,85278,1378
020200025015,93906,1771
020200025021,55625,970
020200025022,75280,2087
020200025023,57168,1169
020200025024,89477,1405
020200026011,72992,2216
020200026012,77679,1999
020200026013,91250,1064
020200026021,90000,2874
020200026022,76964,614
020200026023,103500,2490
020200026031,93706,2412
020200026032,104324,1375
020200026033,123839,2591
020200027021,108989,2146
020200027022,85685,1969
020200027023,73235,2046
020200027024,142422,2003
020200027025,78915,1951
020200027111,93750,1127
020200027112,80417,1032
020200027113,77240,580
020200027114,111379,3444
020200027121,52813,1765
020200027122,53361,1505
020200027123,58843,2226
020200027124,115268,2423
020200027125,80052,1343
020200028111,56176,797
020200028112,76699,3333
020200028113,44510,721
020200028114,78750,1438
020200028121,119250,3079
020200028122,138000,2648
020200028123,155030,2037
020200028131,141438,1517
020200028132,165625,2268
020200028133,155054,977
020200028211,168654,1560
020200028212,161094,1987
020200028213,144000,1537
020200028221,147321,1617
020200028222,142727,1177
020200028223,110221,1430
020200028231,112604,1772
020200028232,183793,3536
020200029001,72500,222
020200029002,84554,972
020200029003,82667,931
020200029004,67188,444
021220002002,67316,845
021220003001,74508,970
021700002002,46250,633
021700005012,79100,822
021700005022,64079,1074
021700006012,79261,1743
021700006041,85377,3102
021700006042,41964,973
021700013001,65750,711
022610003001,41875,390
