Id,Median,Total
130339501001,20945,2332
130339501002,48958,3430
130339502001,43381,1113
130339502002,25278,1688
130730301021,135804,936
130730301022,134663,1902
130730301024,136146,2555
130730301025,92611,2357
130730301031,88750,3180
130730301051,67262,1696
130730301052,67563,3051
130730301053,58421,1188
130730301061,86397,2356
130730301062,27158,1461
130730302011,73891,2609
130730302012,62813,2738
130730302013,56250,1020
130730302021,50685,3162
130730302031,57750,1153
130730302032,80089,1327
130730302033,26346,884
130730302034,75489,2564
130730303021,70568,1229
130730303022,76021,3750
130730303023,42188,983
130730303024,83646,1629
130730303025,55104,2643
130730303041,96858,1742
130730303042,80759,4856
130730303061,87725,3170
130730303062,56034,1731
130730303071,64800,1210
130730303072,76492,1663
130730303073,95489,2834
130730303074,64681,932
130730303093,71190,1547
130730303094,96513,3026
130730304021,69476,2454
130730304022,83897,4249
130730305031,55226,1558
130730305032,32264,2905
130730305033,47398,2497
130730305051,50790,6674
130730305061,47308,3520
130730305062,32276,1860
130730305063,55769,2429
130730305064,59736,2908
130730306031,53750,2437
130730306032,41667,1787
131639601001,39141,997
131639601004,32458,769
131899505001,32386,1398
132450001001,23625,767
132450001002,54919,1183
132450001003,15274,671
132450001004,25135,499
132450001005,22216,632
132450002001,23977,1274
132450002002,8144,772
132450002003,25906,459
132450003001,17283,422
132450003002,18819,625
132450006001,36193,694
132450006002,13816,606
132450006003,32188,863
132450007001,17273,611
132450007002,18911,711
132450009001,23899,701
132450009002,-1,182
132450009003,12250,471
132450010001,22917,812
132450010002,31532,483
132450010003,44740,968
132450010004,15521,1013
132450011001,85515,1034
132450011002,106339,796
132450012001,62417,298
132450012002,28977,767
132450012003,24531,1312
132450012004,42639,407
132450012005,43185,647
132450012006,20208,741
132450013001,30341,759
132450013002,33694,757
132450014001,9667,398
132450014002,17188,654
132450014003,9821,1079
132450015001,21250,387
132450015002,15521,593
132450016011,23724,2133
132450016012,31875,1298
132450016013,18295,569
132450016021,96458,1836
132450016022,97404,868
132450016023,26367,1195
132450101011,32705,2570
132450101012,52054,1406
132450101041,37857,1411
132450101042,49938,1115
132450101043,90577,1088
132450101051,52644,806
132450101052,66547,2629
132450101053,50657,1606
132450101061,51711,1170
132450101062,35946,2152
132450101063,34286,2318
132450101071,29815,1232
132450101072,33654,1154
132450102011,68750,1815
132450102012,97589,546
132450102013,81174,2577
132450102031,57426,1433
132450102032,29789,1434
132450102033,37500,1209
132450102041,63809,4929
132450102042,42738,1371
132450102043,38311,3544
132450102044,50450,3375
132450103001,11607,1404
132450103002,46602,837
132450103003,36173,1866
132450103004,29286,551
132450103005,28071,569
132450104001,20724,724
132450104002,17917,681
132450104003,8237,834
132450104004,32375,1178
132450104005,14840,876
132450105041,24435,987
132450105042,17823,3398
132450105043,24018,864
132450105044,49375,1480
132450105061,20438,1861
132450105062,28393,1345
132450105063,31125,1752
132450105071,31688,1504
132450105072,39196,943
132450105073,31136,2703
132450105074,39087,376
132450105081,27218,2485
132450105082,23598,1089
132450105091,50000,1463
132450105092,33538,2933
132450105101,25347,1331
132450105102,19239,397
132450105103,33750,2474
132450105104,36768,1184
132450105111,31480,2743
132450105112,26652,1079
132450105121,63839,1758
132450105122,49492,2228
132450105123,20515,1505
132450105131,47311,2401
132450105132,42857,876
132450106001,21406,901
132450106002,31964,488
132450106003,15974,2057
132450106004,14872,915
132450107061,59091,1983
132450107062,27743,2256
132450107063,21477,1256
132450107071,24021,2220
132450107072,40134,448
132450107081,49167,2754
132450107082,36308,1624
132450107083,46167,1523
132450107091,58500,3289
132450107092,49949,2492
132450107101,25505,1825
132450107102,29375,1402
132450107103,30139,2544
132450107111,58854,1863
132450107112,24836,1691
132450107121,52950,2464
132450107122,61637,3413
132450107123,64728,2943
132450108001,-1,553
132450108002,50078,2946
132450108003,-1,2003
132450108004,42976,1707
132450109031,53281,2260
132450109032,51167,2988
132450109041,32986,670
132450109042,60882,2441
132450109051,64671,1390
132450109052,41571,1840
132450109053,40324,1888
132450109061,57034,1315
132450109062,49323,2458
132450109063,68301,3296
132450110001,15880,537
132450110002,13889,922
450030204003,81417,1740
450030205001,96932,1755
450030206011,79915,3631
450030206021,53831,732
450030206022,31250,2725
450030206023,26458,1699
450030206024,50966,1826
450030207011,49750,1729
450030207012,53625,1153
450030207013,27000,771
450030207014,44583,2351
450030207021,26990,1065
450030207022,35212,808
450030207023,22798,1752
450030207024,39583,671
450030208011,92583,1204
450030208012,69353,1508
450030208021,44702,1993
450030208022,24615,935
450030208023,49619,1550
450030208024,56833,771
450030209011,43833,1616
450030209012,33362,945
450030209021,44496,2675
450030209022,45035,1697
450030209023,28199,1869
450030210011,35705,1375
450030210012,35288,589
450030210013,22995,1527
450030210014,67150,1471
450030210021,14227,2624
450030210022,46250,1790
450030210023,26638,1466
450030210024,42500,205
450030211011,31583,2222
450030211012,14838,463
450030211023,30625,849
450030221001,38047,1725
450030221002,26176,698
450039801001,-1,0
450379705022,59779,2508
