Id,Median,Total
060290001011,44753,1247
060290001012,14369,781
060290001013,48315,1644
060290001015,63564,7711
060290001022,45690,1305
060290002001,22283,1382
060290002002,16583,935
060290002003,25428,1096
060290002004,18728,1177
060290002005,25409,1190
060290002006,34464,844
060290002007,36932,844
060290003001,24808,1148
060290003002,40109,1449
060290003003,22054,1136
060290003004,40667,421
060290004001,13718,1359
060290004002,26975,1306
060290004003,17100,1753
060290005031,103717,3248
060290005032,82250,2143
060290005033,124583,1465
060290005041,97333,2063
060290005042,26776,2369
060290005051,130469,1684
060290005052,82375,1835
060290005061,62259,2764
060290005071,81438,3716
060290006001,28023,2570
060290006002,18229,963
060290006003,19428,1192
060290006004,16635,2132
060290007001,74167,938
060290007002,57955,738
060290007003,72961,1029
060290007004,45781,1524
060290007005,51037,798
060290008001,60357,633
060290008002,54821,1537
060290008003,67045,834
060290008004,65458,1037
060290008005,73224,768
060290009021,61295,2259
060290009022,53646,1634
060290009031,52095,2731
060290009032,76944,1337
060290009041,50313,1824
060290009042,43352,1102
060290009043,67313,1264
060290009051,56750,1230
060290009052,34107,1685
060290009061,40293,2142
060290009062,50990,1790
060290009071,48274,2486
060290009081,69141,1790
060290009082,56157,1612
060290009083,70429,2229
060290009091,106875,1141
060290009092,98214,1038
060290009101,34346,2044
060290009102,73173,1801
060290009103,96375,4329
060290009104,44818,2149
060290010001,62755,4134
060290010002,50335,3553
060290010003,31136,1509
060290010004,102679,1002
060290011011,27468,2523
060290011012,55551,1793
060290011021,30217,2808
060290011022,26111,1204
060290011023,32450,1349
060290011024,35446,1375
060290011031,25938,2246
060290011032,31848,1910
060290011033,20000,1165
060290012011,24432,2269
060290012012,24250,1008
060290012021,18125,1382
060290012022,23951,2341
060290012023,26165,1309
060290012024,19622,534
060290013001,33348,2116
060290013002,48779,708
060290013003,23869,1261
060290013004,21302,1030
060290013005,25507,828
060290013006,14135,1006
060290014001,21969,1828
060290014002,25417,1376
060290014003,20676,1530
060290014004,25102,3567
060290015001,38241,904
060290015002,26250,811
060290015003,25054,905
060290016001,14698,1011
060290016002,41042,343
060290017001,58079,992
060290017002,42273,921
060290017003,46429,1520
060290017004,45521,413
060290018011,36700,1336
060290018012,60078,2275
060290018013,48019,2693
060290018021,59234,1017
060290018022,56841,2489
060290018023,77286,1710
060290019011,40943,1104
060290019012,56953,727
060290019013,61250,1000
060290019014,29302,908
060290019021,29009,1605
060290019022,46210,833
060290019023,37500,740
060290019024,26473,1910
060290020001,41250,1516
060290020002,21116,1787
