Id,Median,Total
240037301003,91667,2576
240037501011,47176,926
240037501012,66429,912
240037501013,19615,534
240037501014,58750,2057
240037501021,54095,1430
240037501022,50885,892
240037502011,87327,1181
240037502012,49000,1707
240037502021,55987,1509
240037502022,51875,1584
240037502031,68365,1597
240037503001,77813,775
240037503002,63833,1637
240037504001,108250,1220
240037504002,89722,1691
240037504003,70455,692
240037504004,60417,667
240037508011,57589,731
240037508012,77679,2127
240037508031,60876,2449
240037508032,62105,1612
240037508033,39987,1545
240037508034,55938,1846
240037508035,55809,618
240037508041,55192,1110
240037511021,60644,2755
240037512001,96563,1578
240037512002,58693,2267
240037512003,56563,339
240039900000,-1,0
240054001001,96484,2007
240054001002,41797,1419
240054001003,37708,1324
240054002001,49583,1326
240054002002,77083,1168
240054006001,47969,615
240054006002,67593,1265
240054007021,79508,1880
240054012001,80638,1143
240054012002,58585,2195
240054013011,62941,1313
240054013021,39718,1609
240054024031,69261,1134
240054032012,50069,870
240054032021,64390,2179
240054034021,26146,1358
240054034023,28815,1031
240054034024,46974,1349
240054035002,80449,2856
240054035003,71719,889
240054036011,72409,1126
240054036021,65938,2596
240054036022,86250,3055
240054205001,47000,1761
240054205002,53810,1535
240054207021,60104,2118
240054208003,51767,1124
240054209001,38250,1374
240054210001,24353,1811
240054211022,58906,852
240054213003,27097,1206
240054301011,48659,2670
240054301012,36364,1551
240054301041,54432,918
240054301042,54231,1799
240054302001,43015,995
240054302002,47542,1141
240054302003,47500,698
240054303001,58026,678
240054303002,46927,2134
240054303003,63479,1314
240054303004,32839,2122
240054304001,54097,1092
240054304002,55540,1281
240054304003,77833,2106
240054306001,79643,1550
240054306002,71818,760
240054307001,61591,776
240054307002,81179,3252
240054307003,57065,963
240054308001,56750,1612
240054308002,56820,901
240054308003,86375,913
240054309001,55216,2079
240054309002,50303,1185
240054309003,65760,1852
240054401003,61493,1275
240054402001,53640,748
240054402002,59107,1735
240054404001,85304,1140
240054404003,54808,1973
240054404004,61513,1127
240054410001,62066,2521
240054410002,37552,847
240054411024,81000,2204
240054501002,54722,1433
240054523002,53018,1538
240054905003,77470,1172
240054906012,83824,811
240054906032,173942,851
240054911001,64722,1312
240054911002,93457,1513
240054913001,80119,1475
240054914013,39846,2671
240054921021,46071,862
240054921022,70294,1446
240054925001,26481,3386
240059801001,-1,0
240059802001,-1,0
240276012013,81625,726
240276012014,87422,2287
245100101001,84351,1282
245100101002,86538,927
245100101003,124722,975
245100102001,63125,1209
245100102002,81739,609
245100102003,93929,1336
245100102004,73482,736
245100103001,77446,929
245100103002,90357,1430
245100104001,62042,677
245100104002,92917,1507
245100105001,108125,1101
245100105002,72708,838
245100201001,101979,632
245100201002,80303,1514
245100202001,60000,887
245100202002,61991,1246
245100203001,67056,1121
245100203002,69944,1205
245100203003,100109,1339
245100301001,9821,1874
245100301002,34438,933
245100302001,51625,1505
245100302002,75931,900
245100401001,57951,1527
245100401002,40863,1908
245100402001,20096,1117
245100601001,7266,545
245100601002,47344,1007
245100601003,59792,809
245100601004,58029,568
245100602001,38026,373
245100602002,37813,524
245100602003,81891,864
245100602004,53859,855
245100602005,32000,824
245100603001,26136,702
245100603002,80714,1074
245100604001,38214,702
245100604002,14792,688
245100701001,41000,1172
245100701002,43000,2071
245100702001,24276,563
245100702002,37386,661
245100702003,38287,1196
245100702004,19900,570
245100702005,18333,693
245100703001,17879,777
245100703002,32381,223
245100704001,36563,49
245100704002,15122,173
245100704003,18214,748
245100801011,92188,784
245100801012,55789,1064
245100801013,39259,640
245100801014,52772,1167
245100801021,39611,1188
245100801022,40068,1153
245100802001,34250,428
245100802002,35179,377
245100802003,12946,479
245100803011,19196,144
245100803012,29545,665
245100803013,37875,880
245100803021,35313,497
245100803022,17917,363
245100803023,33283,1108
245100803024,14034,771
245100804001,25357,609
245100804002,13882,721
245100805001,23947,347
245100805002,33816,788
245100805003,36447,581
245100806001,20208,423
