Id,Median,Total
160010001001,-1,-1
160010001002,-1,-1
160010001003,-1,-1
160010002011,-1,-1
160010002012,-1,-1
160010002013,-1,-1
160010002021,-1,-1
160010002022,-1,-1
160010002023,-1,-1
160010002024,-1,-1
160010003021,-1,-1
160010003022,-1,-1
160010003031,-1,-1
160010003041,-1,-1
160010003042,-1,-1
160010003043,-1,-1
160010004001,-1,-1
160010004002,-1,-1
160010004003,-1,-1
160010004004,-1,-1
160010004005,-1,-1
160010005001,-1,-1
160010005002,-1,-1
160010005003,-1,-1
160010005004,-1,-1
160010005005,-1,-1
160010006001,-1,-1
160010006002,-1,-1
160010006003,-1,-1
160010006004,-1,-1
160010006005,-1,-1
160010006006,-1,-1
160010007011,-1,-1
160010007012,-1,-1
160010007013,-1,-1
160010007021,-1,-1
160010008021,-1,-1
160010008022,-1,-1
160010008023,-1,-1
160010008024,-1,-1
160010008031,-1,-1
160010008032,-1,-1
160010008033,-1,-1
160010008034,-1,-1
160010008041,-1,-1
160010008042,-1,-1
160010008043,-1,-1
160010008051,-1,-1
160010008052,-1,-1
160010009001,-1,-1
160010009002,-1,-1
160010009003,-1,-1
160010009004,-1,-1
160010010001,-1,-1
160010010002,-1,-1
160010010003,-1,-1
160010010004,-1,-1
160010011001,-1,-1
160010011002,-1,-1
160010011003,-1,-1
160010012011,-1,-1
160010012012,-1,-1
160010012021,-1,-1
160010012022,-1,-1
160010012023,-1,-1
160010014001,-1,-1
160010014002,-1,-1
160010014003,-1,-1
160010014004,-1,-1
160010015001,-1,-1
160010015002,-1,-1
160010015003,-1,-1
160010016001,-1,-1
160010016002,-1,-1
160010016003,-1,-1
160010017001,-1,-1
160010017002,-1,-1
160010017003,-1,-1
160010017004,-1,-1
160010018001,-1,-1
160010018002,-1,-1
160010018003,-1,-1
160010019001,-1,-1
160010019002,-1,-1
160010019003,-1,-1
160010020001,-1,-1
160010020002,-1,-1
160010020003,-1,-1
160010020004,-1,-1
160010021001,-1,-1
160010021002,-1,-1
160010022211,-1,-1
160010022212,-1,-1
160010022213,-1,-1
160010022221,-1,-1
160010022231,-1,-1
160010022241,-1,-1
160010022242,-1,-1
160010022243,-1,-1
160010023021,-1,-1
160010023022,-1,-1
160010023023,-1,-1
160010023024,-1,-1
160010023101,-1,-1
160010023102,-1,-1
160010023103,-1,-1
160010023104,-1,-1
160010023121,-1,-1
160010023122,-1,-1
160010023131,-1,-1
160010023132,-1,-1
160010024101,-1,-1
160010024102,-1,-1
160010024103,-1,-1
160010024104,-1,-1
160010024111,-1,-1
160010024112,-1,-1
160010024113,-1,-1
160010024121,-1,-1
160010024122,-1,-1
160010024131,-1,-1
160010024132,-1,-1
160010024133,-1,-1
160010024134,-1,-1
160010101001,-1,-1
160010102231,-1,-1
160010102232,-1,-1
160010102251,-1,-1
160010102252,-1,-1
160010102253,-1,-1
160010103133,-1,-1
160010103211,-1,-1
160010103312,-1,-1
160010103313,-1,-1
160010104011,-1,-1
160010104021,-1,-1
160010104022,-1,-1
160010105011,-1,-1
160010105031,-1,-1
160010105041,-1,-1
160010105042,-1,-1
160159502002,-1,-1
160159502004,-1,-1
