lng1,lat1,lng2,lat2,id1,id2
-116.200541,43.618686,-116.199366,43.61809,160010001001,160010001002
-116.199366,43.61809,-116.198187,43.617493,160010001001,160010001002
-116.198187,43.617493,-116.197013,43.616896,160010001001,160010001002
-116.197013,43.616896,-116.195834,43.616299,160010001001,160010001002
-116.195834,43.616299,-116.194659,43.615703,160010001001,160010001002
-116.194659,43.615703,-116.193484,43.615106,160010001001,160010001002
-116.193484,43.615106,-116.192306,43.61451,160010001001,160010001002
-116.213489,43.625254,-116.213341,43.62515,160010001001,160010001003
-116.213341,43.62515,-116.212325,43.624636,160010001001,160010001003
-116.212325,43.624636,-116.211146,43.624041,160010001001,160010001003
-116.211146,43.624041,-116.209967,43.623446,160010001001,160010001003
-116.209967,43.623446,-116.208777,43.622862,160010001001,160010001003
-116.208777,43.622862,-116.207602,43.622265,160010001001,160010001003
-116.207602,43.622265,-116.206423,43.621668,160010001001,160010001003
-116.206423,43.621668,-116.205248,43.621072,160010001001,160010001003
-116.205248,43.621072,-116.20407,43.620475,160010001001,160010001003
-116.20407,43.620475,-116.202895,43.619879,160010001001,160010001003
-116.202895,43.619879,-116.20172,43.619283,160010001001,160010001003
-116.20172,43.619283,-116.200541,43.618686,160010001001,160010001003
-116.192306,43.61451,-116.192388,43.61496,160010001001,160010002011
-116.192388,43.61496,-116.192844,43.615771,160010001001,160010002011
-116.192844,43.615771,-116.193102,43.616236,160010001001,160010002011
-116.193102,43.616236,-116.193486,43.616922,160010001001,160010002011
-116.193486,43.616922,-116.193858,43.617585,160010001001,160010002011
-116.193858,43.617585,-116.194133,43.618072,160010001001,160010002011
-116.194133,43.618072,-116.194202,43.618195,160010001001,160010002011
-116.194202,43.618195,-116.194249,43.618278,160010001001,160010002011
-116.194249,43.618278,-116.19454,43.618799,160010001001,160010002011
-116.19454,43.618799,-116.194721,43.619062,160010001001,160010002011
-116.194721,43.619062,-116.194809,43.619191,160010001001,160010002011
-116.194809,43.619191,-116.194901,43.619368,160010001001,160010002011
-116.194901,43.619368,-116.195422,43.620373,160010001001,160010002011
-116.195422,43.620373,-116.195633,43.620747,160010001001,160010002011
-116.195633,43.620747,,,160010001001,160010002013
-116.213489,43.625254,,,160010001001,160010004004
-116.21277,43.625997,-116.213489,43.625254,160010001001,160010005004
-116.207049,43.626644,-116.208315,43.626645,160010001001,160010006005
-116.208315,43.626645,-116.208999,43.626642,160010001001,160010006005
-116.208999,43.626642,-116.209584,43.626642,160010001001,160010006005
-116.209584,43.626642,-116.210849,43.626642,160010001001,160010006005
-116.210849,43.626642,-116.212115,43.626642,160010001001,160010006005
-116.212115,43.626642,-116.212451,43.626329,160010001001,160010006005
-116.212451,43.626329,-116.21277,43.625997,160010001001,160010006005
-116.195633,43.620747,-116.196432,43.621144,160010001001,160010006006
-116.196432,43.621144,-116.19658,43.621219,160010001001,160010006006
-116.19658,43.621219,-116.197611,43.621737,160010001001,160010006006
-116.197611,43.621737,-116.198835,43.622316,160010001001,160010006006
-116.198835,43.622316,-116.199965,43.62293,160010001001,160010006006
-116.199965,43.62293,-116.20114,43.623528,160010001001,160010006006
-116.20114,43.623528,-116.202247,43.624092,160010001001,160010006006
-116.202247,43.624092,-116.203501,43.624732,160010001001,160010006006
-116.203501,43.624732,-116.20468,43.625328,160010001001,160010006006
-116.20468,43.625328,-116.205855,43.625925,160010001001,160010006006
-116.205855,43.625925,-116.207049,43.626644,160010001001,160010006006
-116.192306,43.61451,-116.193484,43.615106,160010001002,160010001001
-116.193484,43.615106,-116.194659,43.615703,160010001002,160010001001
-116.194659,43.615703,-116.195834,43.616299,160010001002,160010001001
-116.195834,43.616299,-116.197013,43.616896,160010001002,160010001001
-116.197013,43.616896,-116.198187,43.617493,160010001002,160010001001
-116.198187,43.617493,-116.199366,43.61809,160010001002,160010001001
-116.199366,43.61809,-116.200541,43.618686,160010001002,160010001001
-116.200541,43.618686,-116.201275,43.617921,160010001002,160010001003
-116.201275,43.617921,-116.20201,43.617156,160010001002,160010001003
-116.20201,43.617156,-116.202744,43.616392,160010001002,160010001003
-116.202744,43.616392,-116.203482,43.615627,160010001002,160010001003
-116.203482,43.615627,-116.204657,43.616224,160010001002,160010001003
-116.204657,43.616224,-116.205507,43.61534,160010001002,160010001003
-116.205507,43.61534,-116.206125,43.614694,160010001002,160010001003
-116.206125,43.614694,-116.204953,43.614099,160010001002,160010001003
-116.204953,43.614099,-116.205028,43.614021,160010001002,160010001003
-116.205028,43.614021,-116.205094,43.613948,160010001002,160010001003
-116.205094,43.613948,-116.205685,43.613332,160010001002,160010001003
-116.205685,43.613332,-116.206419,43.612567,160010001002,160010001003
-116.206419,43.612567,-116.207153,43.611803,160010001002,160010001003
-116.207153,43.611803,-116.207891,43.611038,160010001002,160010001003
-116.207891,43.611038,-116.208625,43.610273,160010001002,160010001003
-116.208625,43.610273,-116.209228,43.610201,160010001002,160010001003
-116.209228,43.610201,-116.209272,43.610153,160010001002,160010001003
-116.209272,43.610153,-116.209295,43.61001,160010001002,160010001003
-116.209295,43.61001,-116.209372,43.609742,160010001002,160010001003
-116.209372,43.609742,-116.209416,43.609581,160010001002,160010001003
-116.209416,43.609581,-116.209464,43.609409,160010001002,160010001003
-116.190789,43.613138,-116.19093,43.613317,160010001002,160010002011
-116.19093,43.613317,-116.19101,43.613403,160010001002,160010002011
-116.19101,43.613403,-116.19138,43.613899,160010001002,160010002011
-116.19138,43.613899,-116.191771,43.614219,160010001002,160010002011
-116.191771,43.614219,-116.192306,43.61451,160010001002,160010002011
-116.190782,43.612594,-116.190704,43.612864,160010001002,160010007012
-116.190704,43.612864,-116.190717,43.613036,160010001002,160010007012
-116.190717,43.613036,-116.190789,43.613138,160010001002,160010007012
-116.193535,43.604199,-116.193534,43.604474,160010001002,160010007013
-116.193534,43.604474,-116.193532,43.60457,160010001002,160010007013
-116.193532,43.60457,-116.193521,43.60552,160010001002,160010007013
-116.193521,43.60552,-116.19349,43.606007,160010001002,160010007013
-116.19349,43.606007,-116.193474,43.607396,160010001002,160010007013
-116.193474,43.607396,-116.193465,43.607853,160010001002,160010007013
-116.193465,43.607853,-116.193461,43.608008,160010001002,160010007013
-116.193461,43.608008,-116.193415,43.609251,160010001002,160010007013
-116.193415,43.609251,-116.1934,43.610153,160010001002,160010007013
-116.1934,43.610153,-116.193275,43.610347,160010001002,160010007013
-116.193275,43.610347,-116.193196,43.610469,160010001002,160010007013
-116.193196,43.610469,-116.193184,43.610502,160010001002,160010007013
-116.193184,43.610502,-116.193063,43.610711,160010001002,160010007013
-116.193063,43.610711,-116.193037,43.610727,160010001002,160010007013
-116.193037,43.610727,-116.193029,43.610805,160010001002,160010007013
-116.193029,43.610805,-116.193014,43.610873,160010001002,160010007013
-116.193014,43.610873,-116.193009,43.610931,160010001002,160010007013
-116.193009,43.610931,-116.192997,43.611032,160010001002,160010007013
-116.192997,43.611032,-116.192884,43.611019,160010001002,160010007013
-116.192884,43.611019,-116.19247,43.610991,160010001002,160010007013
-116.19247,43.610991,-116.192247,43.611187,160010001002,160010007013
-116.192247,43.611187,-116.19152,43.611826,160010001002,160010007013
-116.19152,43.611826,-116.190782,43.612594,160010001002,160010007013
-116.193539,43.603995,-116.193535,43.604199,160010001002,160010007013
-116.193539,43.603995,,,160010001002,160010008043
-116.208408,43.60867,-116.207235,43.607706,160010001002,160010009001
-116.207235,43.607706,-116.204663,43.606063,160010001002,160010009001
-116.204663,43.606063,-116.203497,43.605379,160010001002,160010009001
-116.203497,43.605379,-116.201049,43.605648,160010001002,160010009001
-116.201049,43.605648,-116.199643,43.60559,160010001002,160010009001
-116.199643,43.60559,-116.197702,43.605296,160010001002,160010009001
-116.197702,43.605296,-116.195366,43.604835,160010001002,160010009001
-116.195366,43.604835,-116.194366,43.604359,160010001002,160010009001
-116.194366,43.604359,-116.194158,43.6043,160010001002,160010009001
-116.194158,43.6043,-116.193649,43.604095,160010001002,160010009001
-116.193649,43.604095,-116.193539,43.603995,160010001002,160010009001
-116.209464,43.609409,-116.208408,43.60867,160010001002,160010010001
-116.200541,43.618686,-116.20172,43.619283,160010001003,160010001001
-116.20172,43.619283,-116.202895,43.619879,160010001003,160010001001
