Id,Median,Total
080130121011,127375,1032
080130121012,110463,1628
080130121013,62019,1091
080130121014,103095,1171
080130121021,33514,1682
080130121022,100817,1635
080130121023,86544,1291
080130121024,70739,1425
080130121025,67453,1118
080130121031,122375,954
080130121032,143287,960
080130121033,55159,1781
080130121041,70500,1211
080130121042,98281,1147
080130121051,63906,856
080130121052,55737,2416
080130121053,116042,1242
080130121054,70735,1118
080130122011,43578,769
080130122012,66520,1580
080130122013,117917,1206
080130122021,62685,1430
080130122022,33594,1742
080130122023,21250,2180
080130122024,40450,853
080130122031,31402,1344
080130122032,62411,2515
080130122033,33879,1970
080130122034,51680,662
080130122041,42697,902
080130122042,15465,1453
080130122043,67552,1014
080130123001,-1,4952
080130123002,31154,1840
080130124011,14196,1380
080130124012,16854,1689
080130124013,128456,1126
080130124014,16349,1779
080130125011,50600,1623
080130125012,80855,765
080130125051,98208,709
080130125052,96161,2823
080130125053,123182,631
080130125071,57708,1172
080130125072,41094,2090
080130125073,87750,1169
080130125081,90787,840
080130125082,49609,1119
080130125083,50122,985
080130125091,94250,735
080130125092,105000,1910
080130125093,88819,753
080130125101,171641,535
080130125102,133750,1369
080130125103,100125,1948
080130125104,63993,778
080130125111,32143,1922
080130125112,61544,1681
080130125113,14091,1777
080130126031,80125,2127
080130126032,96406,1020
080130126051,27216,668
080130126052,34886,822
080130126071,17731,847
080130126072,18162,1183
080130126073,15571,966
080130126074,27955,1515
080130126081,56477,2705
080130127012,125750,1374
080130127013,104453,2210
080130127014,67621,1348
080130127051,47625,1422
080130127052,59150,1896
080130127053,142986,470
080130127071,49450,1658
080130127072,108295,956
080130127081,79554,1359
080130127082,171094,737
080130127083,95532,2373
080130127084,113232,756
080130127091,93346,1830
080130127101,84125,386
080130127102,71576,1878
080130127103,142431,1414
080130130031,111512,1656
080130130032,107813,364
080130130033,132292,723
080130130042,133750,2378
080130130063,96750,2631
080130132051,100521,1296
080130132052,93636,3318
080130132053,117950,762
080130132131,112616,2480
080130137011,105536,3347
080130137012,154333,988
080130137013,117763,777
080130606001,95565,1398
080130607003,76424,1411
