lng1,lat1,lng2,lat2,id1,id2
-105.285666,40.025516,-105.285824,40.025517,080130121011,080130121013
-105.285824,40.025517,-105.286749,40.02552,080130121011,080130121013
-105.286749,40.02552,-105.286754,40.025786,080130121011,080130121013
-105.286754,40.025786,-105.286756,40.025827,080130121011,080130121013
-105.286756,40.025827,-105.286761,40.025951,080130121011,080130121013
-105.286761,40.025951,-105.286776,40.025981,080130121011,080130121013
-105.286776,40.025981,-105.286818,40.026018,080130121011,080130121013
-105.286818,40.026018,-105.286874,40.02604,080130121011,080130121013
-105.286874,40.02604,-105.287099,40.026043,080130121011,080130121013
-105.287099,40.026043,-105.287383,40.026045,080130121011,080130121013
-105.287383,40.026045,-105.287732,40.026048,080130121011,080130121013
-105.287732,40.026048,-105.287843,40.026054,080130121011,080130121013
-105.287843,40.026054,-105.287896,40.026077,080130121011,080130121013
-105.287896,40.026077,-105.287932,40.026115,080130121011,080130121013
-105.287932,40.026115,-105.287946,40.026161,080130121011,080130121013
-105.287946,40.026161,-105.287954,40.027233,080130121011,080130121013
-105.287954,40.027233,-105.287969,40.027983,080130121011,080130121013
-105.287969,40.027983,-105.288334,40.027989,080130121011,080130121013
-105.288334,40.027989,-105.289125,40.027986,080130121011,080130121013
-105.289125,40.027986,-105.289537,40.027982,080130121011,080130121013
-105.289537,40.027982,-105.29028,40.02799,080130121011,080130121013
-105.29028,40.02799,-105.290689,40.027982,080130121011,080130121013
-105.290689,40.027982,-105.291308,40.027983,080130121011,080130121013
-105.291308,40.027983,-105.291499,40.027974,080130121011,080130121013
-105.291499,40.027974,-105.291494,40.026744,080130121011,080130121013
-105.291494,40.026744,-105.291504,40.025506,080130121011,080130121013
-105.291504,40.025506,-105.292094,40.025498,080130121011,080130121013
-105.292094,40.025498,-105.292096,40.025376,080130121011,080130121013
-105.292096,40.025376,-105.292604,40.025478,080130121011,080130121013
-105.292604,40.025478,-105.293118,40.025393,080130121011,080130121013
-105.293118,40.025393,-105.293285,40.025367,080130121011,080130121013
-105.293285,40.025367,-105.293832,40.025446,080130121011,080130121013
-105.293832,40.025446,-105.294028,40.025363,080130121011,080130121013
-105.294028,40.025363,-105.295629,40.025325,080130121011,080130121013
-105.295629,40.025325,-105.295943,40.025318,080130121011,080130121013
-105.292191,40.017722,-105.292135,40.017738,080130121011,080130121014
-105.292135,40.017738,-105.292041,40.017747,080130121011,080130121014
-105.292041,40.017747,-105.291982,40.017721,080130121011,080130121014
-105.291982,40.017721,-105.291888,40.017577,080130121011,080130121014
-105.291888,40.017577,-105.291782,40.017469,080130121011,080130121014
-105.291782,40.017469,-105.291451,40.01733,080130121011,080130121014
-105.291451,40.01733,-105.291449,40.017503,080130121011,080130121014
-105.291449,40.017503,-105.291449,40.01843,080130121011,080130121014
-105.291449,40.01843,-105.291472,40.019123,080130121011,080130121014
-105.291472,40.019123,-105.291466,40.019441,080130121011,080130121014
-105.291466,40.019441,-105.291481,40.02051,080130121011,080130121014
-105.291481,40.02051,-105.291501,40.02175,080130121011,080130121014
-105.291501,40.02175,-105.2915,40.02273,080130121011,080130121014
-105.2915,40.02273,-105.290043,40.022734,080130121011,080130121014
-105.290043,40.022734,-105.288569,40.022737,080130121011,080130121014
-105.288569,40.022737,-105.286784,40.022743,080130121011,080130121014
-105.286784,40.022743,-105.285953,40.022757,080130121011,080130121014
-105.285953,40.022757,-105.285873,40.022734,080130121011,080130121014
-105.285873,40.022734,-105.28583,40.022698,080130121011,080130121014
-105.28583,40.022698,-105.285819,40.022682,080130121011,080130121014
-105.285819,40.022682,-105.285736,40.022681,080130121011,080130121014
-105.285736,40.022681,-105.285474,40.022677,080130121011,080130121014
-105.292017,40.015333,-105.292139,40.015432,080130121011,080130121014
-105.292139,40.015432,-105.292177,40.015546,080130121011,080130121014
-105.292177,40.015546,-105.292132,40.016461,080130121011,080130121014
-105.292132,40.016461,-105.292155,40.016954,080130121011,080130121014
-105.292155,40.016954,-105.292191,40.017722,080130121011,080130121014
-105.293927,40.014891,-105.293773,40.014926,080130121011,080130122011
-105.293773,40.014926,-105.293304,40.015018,080130121011,080130122011
-105.293304,40.015018,-105.293134,40.01505,080130121011,080130122011
-105.293134,40.01505,-105.292979,40.015093,080130121011,080130122011
-105.292979,40.015093,-105.292364,40.015258,080130121011,080130122011
-105.292364,40.015258,-105.292299,40.015275,080130121011,080130122011
-105.292299,40.015275,-105.292096,40.015317,080130121011,080130122011
-105.292096,40.015317,-105.292017,40.015333,080130121011,080130122011
-105.285474,40.022677,-105.285528,40.022781,080130121011,080130122041
-105.285528,40.022781,-105.285596,40.022974,080130121011,080130122041
-105.285596,40.022974,-105.285628,40.023146,080130121011,080130122041
-105.285628,40.023146,-105.285636,40.023271,080130121011,080130122041
-105.285636,40.023271,-105.28565,40.023689,080130121011,080130122041
-105.28565,40.023689,-105.285657,40.024508,080130121011,080130122041
-105.285657,40.024508,-105.285666,40.025516,080130121011,080130122041
-105.295943,40.025318,-105.296101,40.024075,080130121011,080130137012
-105.296101,40.024075,-105.296137,40.023796,080130121011,080130137012
-105.296137,40.023796,-105.296138,40.023502,080130121011,080130137012
-105.296138,40.023502,-105.296077,40.023217,080130121011,080130137012
-105.296077,40.023217,-105.296029,40.023105,080130121011,080130137012
-105.296029,40.023105,-105.296001,40.023049,080130121011,080130137012
-105.296001,40.023049,-105.296036,40.023008,080130121011,080130137012
-105.296036,40.023008,-105.296153,40.022927,080130121011,080130137012
-105.296153,40.022927,-105.296199,40.02281,080130121011,080130137012
-105.296199,40.02281,-105.296211,40.022683,080130121011,080130137012
-105.296211,40.022683,-105.296245,40.022431,080130121011,080130137012
-105.296245,40.022431,-105.296244,40.02226,080130121011,080130137012
-105.296244,40.02226,-105.296302,40.022052,080130121011,080130137012
-105.296302,40.022052,-105.296453,40.021791,080130121011,080130137012
-105.296453,40.021791,-105.296606,40.021648,080130121011,080130137012
-105.296606,40.021648,-105.296731,40.021535,080130121011,080130137012
-105.296731,40.021535,-105.296712,40.021526,080130121011,080130137013
-105.296712,40.021526,-105.296638,40.021481,080130121011,080130137013
-105.296638,40.021481,-105.296579,40.021465,080130121011,080130137013
-105.296579,40.021465,-105.296375,40.021464,080130121011,080130137013
-105.296375,40.021464,-105.296065,40.021448,080130121011,080130137013
-105.296065,40.021448,-105.295847,40.021399,080130121011,080130137013
-105.295847,40.021399,-105.295293,40.021233,080130121011,080130137013
-105.295293,40.021233,-105.295156,40.021044,080130121011,080130137013
-105.295156,40.021044,-105.294711,40.020787,080130121011,080130137013
-105.294711,40.020787,-105.29452,40.02067,080130121011,080130137013
-105.29452,40.02067,-105.295098,40.020695,080130121011,080130137013
-105.295098,40.020695,-105.295323,40.020687,080130121011,080130137013
-105.295323,40.020687,-105.295544,40.020661,080130121011,080130137013
-105.295544,40.020661,-105.296063,40.020551,080130121011,080130137013
-105.296063,40.020551,-105.296232,40.020417,080130121011,080130137013
-105.296232,40.020417,-105.296094,40.020241,080130121011,080130137013
-105.296094,40.020241,-105.29529,40.019307,080130121011,080130137013
-105.29529,40.019307,-105.295194,40.018094,080130121011,080130137013
-105.295194,40.018094,-105.294058,40.017076,080130121011,080130137013
-105.294058,40.017076,-105.29394,40.015707,080130121011,080130137013
-105.29394,40.015707,-105.293928,40.015517,080130121011,080130137013
-105.293928,40.015517,-105.293936,40.015432,080130121011,080130137013
-105.293936,40.015432,-105.293927,40.014891,080130121011,080130137013
