Id,Median,Total
360290001101,41976,647
360290001102,-1,0
360290001103,17000,879
360290001104,38295,1098
360290002001,38199,935
360290002002,31298,699
360290002003,30000,1146
360290002004,28091,1212
360290005001,23516,868
360290005002,36591,1100
360290006001,49138,1720
360290006002,52083,1233
360290006003,57917,1466
360290006004,23603,576
360290007001,100917,555
360290007002,34833,654
360290007003,65363,612
360290007004,48209,964
360290007005,88571,852
360290008001,53616,732
360290008002,44750,1846
360290008003,47258,1890
360290008004,49063,382
360290009001,33500,410
360290009002,46923,974
360290009003,44554,937
360290010001,36250,732
360290010002,31798,831
360290010003,49803,868
360290010004,39231,794
360290010005,35078,1919
360290011001,31413,1060
360290011002,45729,680
360290011003,22689,1034
360290014021,25327,673
360290014022,12304,529
360290014023,23226,1296
360290014024,37639,952
360290015001,35208,618
360290015002,22228,867
360290016001,13534,394
360290016002,16481,852
360290016003,6656,296
360290016004,14444,489
360290017001,19833,1321
360290017002,33478,580
360290019001,40238,1018
360290019002,38348,1433
360290019003,44605,578
360290023001,23523,735
360290023002,23500,549
360290023003,28456,901
360290023004,22135,1063
360290024001,19904,364
360290024002,3220,249
360290024003,36275,881
360290024004,32961,1259
360290024005,35240,790
360290024006,30667,875
360290025021,19044,1107
360290025022,35948,965
360290027021,27625,486
360290027022,17292,261
360290027023,13988,1210
360290027024,12138,833
360290028001,22500,366
360290028002,26667,455
360290028003,29750,308
360290028004,20302,1018
360290029001,11707,468
360290029002,31063,610
360290029003,17196,463
360290029004,25313,728
360290030001,14177,588
360290030002,14731,1249
360290030003,24563,877
360290031001,15542,314
360290031002,24323,501
360290031003,21648,785
360290031004,9896,277
360290033011,43451,905
360290033012,35750,834
360290033013,25507,1171
360290033014,25568,822
360290033021,36471,717
360290033022,19911,1264
360290033023,24125,823
360290033024,15208,851
360290034001,27077,659
360290034002,53250,586
360290034003,41979,533
360290034004,20521,340
360290034005,22273,310
360290035001,14205,356
360290035002,23675,755
360290035003,12112,1131
360290035004,11889,769
360290036001,16552,806
360290036002,29886,545
360290036003,12036,739
360290036004,33438,460
360290037001,14063,993
360290037002,27566,907
360290037003,8830,385
360290037004,28977,967
360290037005,14464,688
360290038001,28773,1275
360290038002,16098,664
360290038003,25866,1300
360290039011,27602,1006
360290040011,22010,1193
360290040012,21797,467
360290040013,11717,842
360290040014,30524,697
360290040015,40750,668
360290041001,28966,1336
360290041002,35284,1142
360290041003,29833,959
360290041004,30046,1061
360290042001,36667,600
360290042002,36790,482
360290042003,28352,334
360290042004,12850,837
360290042005,19700,1103
360290043001,37870,1014
360290043002,38714,779
360290043003,28784,1018
360290043004,52024,377
360290043005,28514,1086
360290043006,17738,788
360290043007,63409,292
360290044011,30106,943
360290044012,31974,993
360290044013,29514,1063
360290044014,24130,882
360290044021,11740,1702
360290044022,23015,984
360290045001,58141,1034
360290045002,33021,1049
360290045003,69063,1299
360290045004,113750,1095
360290045005,66750,969
360290045006,58304,314
360290046011,43659,758
360290046012,49659,856
360290046013,57250,815
360290046014,35100,1040
360290046021,-1,1380
360290047001,50078,1050
360290047002,33891,888
360290047003,31823,1552
360290047004,28750,1234
360290047005,19675,1592
360290048001,83311,1636
360290048002,55956,1468
360290048003,56836,1280
360290049001,40033,1555
360290049002,49615,1523
360290049003,60061,666
360290049004,37545,507
360290049005,53125,1529
360290050001,41413,909
360290050002,29091,579
360290050003,26848,852
360290051001,39471,1492
360290051002,23995,623
360290051003,45682,1500
360290051004,51050,966
360290052011,57014,776
360290052012,54091,648
360290052013,22898,517
360290052014,28940,835
360290052021,34635,1517
360290052022,33400,1162
360290053001,68750,635
360290053002,11552,919
360290054001,47974,1319
360290054002,33092,656
360290054003,79125,687
360290054004,78667,1373
360290055001,32656,914
360290055002,19875,1274
360290055003,22604,697
360290055004,9466,926
360290056001,14226,589
360290056002,53050,649
360290056003,36842,1358
360290056004,20851,917
360290056005,33703,663
360290057001,16506,814
360290057002,40688,767
360290057003,40278,916
360290058011,40625,1420
360290058012,39881,1131
360290058013,29926,750
360290058021,28067,1116
360290058022,27899,1101
360290058023,16310,879
360290058024,24135,1328
360290059001,31389,762
360290059002,12865,777
360290059003,22188,488
360290059004,21771,783
360290059005,15557,1188
360290061001,40474,1222
360290061002,27045,946
360290061003,38679,666
360290061004,17813,1363
360290061005,18221,715
360290062011,-1,1918
360290063011,51722,1101
360290063012,66690,1096
360290063013,54805,763
360290063014,54093,1421
360290063015,32031,545
360290063021,75096,894
360290063022,74167,1274
360290063023,54063,638
360290065011,75699,962
360290065012,47375,625
360290065013,42012,705
360290065014,27781,653
360290066011,18750,343
360290066012,41215,1441
360290066013,30027,1235
360290066021,43500,705
360290066022,62813,792
360290066023,13904,708
360290067011,34562,1339
360290067012,46399,910
360290067013,33792,1003
360290067021,23406,1187
360290067022,34353,1309
360290067023,50909,716
360290068001,23443,995
360290068002,50265,834
360290068003,29265,869
360290068004,53348,1244
360290069011,40038,947
360290069012,18387,1010
360290069013,16429,1190
360290069014,25539,413
360290069021,23523,1349
360290069022,36623,1068
360290069023,9952,755
360290069024,13469,1007
360290070001,14292,1007
360290070002,20784,658
360290070003,37188,1278
360290071011,26553,761
360290071012,11154,1089
360290071013,25000,923
360290071014,9178,881
360290071021,9631,1701
360290071022,18676,536
360290071023,29659,625
360290072021,43015,1854
360290080021,42500,829
360290080022,47661,697
360290080023,58796,1802
360290080025,63828,707
360290080026,92202,538
360290080031,49595,699
360290080032,32120,1174
360290080033,38750,768
360290080034,53736,1550
360290080035,64444,1473
360290084002,44881,984
360290084003,33711,657
360290085001,42750,1201
360290085002,51977,1339
360290086001,83702,783
360290086002,65645,928
360290086003,43672,665
