Id,Median,Total
370250413031,128032,6661
370250413032,59810,1439
370250415012,93786,4966
370250415021,73481,3563
370250426011,109886,2600
370250426012,85298,2634
370250426021,70048,2126
370250426022,53015,1711
370250426023,27250,500
370250426031,81875,3092
370250426041,63415,4584
370710301011,53393,770
370710301013,79038,1384
370710301022,49911,1166
371190001001,97292,706
371190001002,85375,1311
371190001003,158533,708
371190001004,21766,313
371190001005,82333,831
371190003001,35714,445
371190004001,88800,1111
371190004002,51406,978
371190005001,70425,1541
371190005002,48824,1060
371190005003,69861,1998
371190006001,81875,921
371190006002,45500,1665
371190007001,55156,770
371190008001,25083,1677
371190008002,22647,546
371190009001,36964,799
371190009002,19545,676
371190010001,137000,1092
371190010002,65455,519
371190010003,76500,831
371190011001,93906,477
371190011002,87391,1361
371190012001,32237,2732
371190012002,47000,1658
371190012003,101107,1648
371190013001,24375,2172
371190013002,16532,1164
371190013003,62917,484
371190014001,60714,1495
371190014002,63935,1244
371190015041,30625,3453
371190015042,38929,1562
371190015043,35814,1813
371190015051,40918,3378
371190015071,23919,1756
371190015072,32917,1225
371190015073,21676,1027
371190015081,59512,3392
371190015082,44005,2247
371190015083,39107,604
371190015091,42438,1511
371190015092,26410,1931
371190015101,34299,1961
371190015102,20363,798
371190016031,24243,2611
371190016032,36346,1828
371190016051,34528,2346
371190016061,31322,3103
371190016062,34700,1061
371190016071,32703,3746
371190016081,21038,2264
371190016082,29500,1342
371190016091,40147,783
371190016092,34569,2164
371190017011,46349,1282
371190017012,22000,2112
371190017021,35074,1403
371190017022,58750,416
371190017023,72807,1045
371190017024,25735,2889
371190018011,25990,285
371190018012,45682,425
371190018013,21865,593
371190018021,36875,1426
371190018022,33125,1246
371190019101,31292,2635
371190019102,37500,1207
371190019103,40779,1520
371190019111,36219,964
371190019112,44479,1495
371190019113,48797,3125
371190019121,16912,2087
371190019122,31719,1005
371190019123,40938,1289
371190019124,26396,1619
371190019141,30354,2024
371190019142,74844,1529
371190019151,34769,1145
371190019152,37131,2254
371190019153,21464,900
371190019154,24950,2232
371190019161,54397,1349
371190019162,38766,2027
371190019171,34732,2261
371190019172,43971,1771
371190019181,31908,322
371190019182,42625,1638
371190019183,22652,1694
371190019191,30179,1575
371190019192,37383,1712
371190019193,45541,1016
371190019201,29101,2536
371190019202,61944,1012
371190019203,36635,648
371190019211,51393,2320
371190019221,43000,1733
371190019222,41012,3022
371190019231,35179,2187
371190019232,38333,1692
371190020021,71555,1783
371190020022,76375,1820
371190020023,47825,1543
371190020024,70462,1184
371190020031,67273,1027
371190020032,124837,1392
371190020033,88598,1377
371190020034,98750,672
371190020035,23333,1535
371190020041,68149,1600
371190020042,108670,1262
371190020043,33618,1660
371190021001,28690,612
371190021002,37413,1841
371190022001,64777,1335
371190022002,86023,820
371190022003,70398,852
371190022004,74375,1564
371190023001,25341,525
371190023002,14632,2279
371190024001,71477,1072
371190024002,56389,1191
371190024003,127574,478
371190025001,78977,850
371190025002,69716,812
371190026001,45606,739
371190027011,104048,647
371190027012,121406,1100
371190027013,83438,402
371190027021,180789,2648
371190027022,177200,1880
371190027023,80913,783
371190028001,250001,930
371190028002,142708,1188
371190028003,196250,1671
371190029031,169583,998
371190029032,106250,1011
371190029033,59844,1306
371190029041,170714,1409
371190029042,67123,2019
371190029043,70234,1502
371190029044,81655,485
371190029045,78417,1451
371190029051,202813,2169
371190029052,80234,1018
371190029061,64643,1003
371190029062,107337,1535
371190029063,75855,1710
371190030061,112039,1653
371190030062,54444,2390
371190030071,177976,961
371190030072,136688,2003
371190030073,145795,1771
371190030074,59196,1567
371190030075,146597,633
371190030081,69704,1771
371190030082,55698,1586
371190030083,71111,2241
371190030111,76681,1619
371190030112,117532,507
371190030113,113293,1459
371190030114,67946,857
371190030115,99297,1070
371190030121,114342,1526
371190030122,57366,2519
371190030131,102935,3137
371190030132,70682,2065
371190030151,111058,1426
371190030152,114194,1794
371190030153,103155,1144
371190030161,57238,2385
371190030162,149038,872
371190030163,72368,1275
371190030171,80885,997
371190030172,83152,2336
371190030181,61923,2422
371190031021,51176,1598
371190031022,66786,1431
371190031023,30148,1063
371190031031,52205,1713
371190031032,85364,2455
371190031033,49853,438
371190031051,95139,1400
371190031052,77386,2202
371190031061,40709,2110
371190031062,79625,850
371190031081,34861,1565
371190031082,49333,1480
371190031091,35997,2573
371190031092,20774,1489
371190032011,57381,1501
371190032012,36292,1418
371190032031,37305,1982
371190032032,27212,828
371190032041,74100,901
371190032042,62431,1613
371190032043,66364,817
371190033001,56574,1504
371190033002,43910,822
371190033003,48354,598
371190034001,106176,2009
371190034002,117039,943
371190034003,77083,937
371190034004,71023,800
371190035001,81250,1426
371190035002,156250,1259
371190036001,27125,354
371190036002,37404,946
371190036003,20282,800
371190036004,19583,1118
371190037001,37269,1179
371190037002,11471,1372
371190038021,31667,1298
371190038022,27958,1567
371190038023,43182,775
371190038051,69750,1802
371190038061,49283,3158
371190038062,42667,1918
371190038063,42755,2296
371190038064,46212,2604
371190038071,27685,1039
371190038072,40313,3720
371190038081,24830,2276
371190038082,29914,3615
371190039021,33634,1526
371190039022,21968,1659
371190039023,28523,822
371190039024,17889,1020
371190039031,9492,982
371190039032,23333,762
371190040001,27981,1220
371190040002,25431,519
371190040003,34231,882
371190040004,33750,1295
371190041001,14295,805
371190041002,57067,1604
371190041003,38594,195
371190041004,16827,722
371190042001,20898,620
371190042002,16813,773
371190042003,15643,850
371190042004,28797,1053
371190043021,28143,1313
371190043022,26988,2106
371190043023,26190,1170
371190043031,46458,2345
371190043041,35648,2696
371190043042,34333,916
371190043051,41753,2010
371190043052,28637,3245
371190044001,19688,941
371190044002,42702,3694
371190045001,19000,983
371190045002,19697,1613
371190045003,28636,489
371190046001,30139,1605
371190046002,14464,1721
371190047001,19167,1999
371190048001,19213,1077
371190048002,28813,1077
371190048003,35714,927
371190049001,31042,632
371190050001,20063,1256
371190050002,13750,76
371190051001,20679,1344
371190051002,14201,1140
371190052001,22361,693
371190052002,16591,968
371190052003,17461,1325
371190053011,21394,2942
371190053012,38819,653
371190053051,29838,1586
371190053052,35521,1370
371190053053,32841,1813
371190053061,27396,665
371190053062,33523,1508
371190053071,30798,2154
371190053072,40080,1362
371190053081,27882,2452
371190053082,14271,678
371190054011,40133,3166
371190054012,31387,2451
371190054013,35603,1518
371190054031,36250,2075
371190054032,45909,1725
371190054041,36213,2918
371190054042,41458,2396
371190055081,79708,2380
371190055082,78750,1573
371190055091,81384,1634
371190055092,50595,1777
371190055093,64615,1880
371190055101,33472,1326
371190055102,46641,3661
371190055111,59479,1466
371190055112,44706,1244
371190055113,50696,1581
371190055121,36516,1164
371190055122,56071,1078
371190055123,49632,2340
371190055131,88854,2056
371190055132,71250,1235
371190055133,86667,669
371190055141,63511,2221
371190055142,51438,1666
371190055143,68510,3324
371190055151,63077,2314
371190055161,104886,1798
371190055171,76866,3015
371190055172,81719,1547
371190055181,81216,3667
371190055182,78292,1564
371190055191,80769,3176
371190055192,77875,1920
371190055201,120742,3724
371190055202,69661,868
371190055211,27734,485
371190055212,33761,2205
371190055213,70086,3694
371190055221,73254,1378
371190055222,47670,2125
371190055223,40830,1129
371190055231,46471,450
371190055232,36465,2271
371190055233,53056,2291
371190055241,62139,941
371190055242,35625,645
371190055243,31397,2554
371190055244,43412,1567
371190055245,36336,937
371190055246,41766,1012
371190056041,25405,2167
371190056042,-1,1954
371190056043,-1,1610
371190056051,38385,1944
371190056052,40246,1222
371190056053,29045,2245
371190056091,28255,3390
371190056101,60885,1129
371190056102,32401,2901
371190056111,49231,2717
371190056121,50179,2887
371190056122,66368,1671
371190056131,51750,2023
371190056141,80000,1720
371190056142,71724,2556
371190056143,80750,2121
371190056151,77708,1334
371190056161,54680,2085
371190056171,58421,2015
371190056172,50125,76
371190056181,111625,1874
371190056182,60151,1542
371190056191,52238,2152
371190056192,63063,1910
371190056201,52141,2315
371190056202,27252,1868
371190056203,61415,2512
371190057061,68417,2309
371190057062,78028,1068
371190057063,61845,1584
371190057091,62000,1904
371190057092,71987,1778
371190057101,52550,1632
371190057102,35833,2017
371190057111,54773,598
371190057112,109769,2222
371190057113,71773,3538
371190057121,72132,2475
371190057122,78250,1479
371190057131,109886,1602
371190057132,81875,1923
371190057161,55965,1680
371190057162,50938,2734
371190057171,30548,2208
371190057172,71250,1261
371190057173,62885,2331
371190058111,49792,1986
371190058112,83182,1838
371190058121,52029,2706
371190058122,37663,1919
371190058123,36097,1636
371190058151,88750,2731
371190058152,75078,714
371190058161,163523,3065
371190058162,57130,879
371190058171,60375,1257
371190058172,91607,2854
371190058231,154085,1032
371190058232,87652,1873
371190058233,87443,2794
371190058234,74063,2858
371190058241,41006,3208
371190058251,26779,2755
371190058252,44085,2055
371190058261,54239,480
371190058262,50303,2463
371190058271,40068,2496
371190058281,84583,2204
371190058282,214408,667
371190058283,48264,1020
371190058291,29812,1026
371190058292,30197,1416
371190058301,50214,1668
371190058302,62804,1855
371190058311,72321,2162
371190058312,53819,1866
371190058313,38929,382
371190058321,109833,3212
371190058331,93750,1370
371190058332,101029,2350
371190058333,49572,1044
371190058341,72602,3159
371190058342,40341,1191
371190058351,100968,2563
371190058361,66923,2694
371190058362,81438,1754
371190058371,70667,1756
371190058372,75391,1544
371190058373,125294,522
371190058374,126250,2596
371190058381,104531,2307
371190058382,134485,1597
371190058383,71984,2556
371190058391,73750,2721
371190058401,101563,1971
371190058411,145972,2452
371190058412,60859,1378
371190058413,73000,2192
371190058421,59808,1480
371190058422,85650,1222
371190058423,96518,3148
371190058431,80231,1826
371190058432,86089,1055
371190058441,106947,3498
371190058442,123583,3383
371190058451,86375,1377
371190058452,100625,2579
371190058461,160208,1550
371190058462,153646,2422
371190058471,154531,1192
371190058472,121750,2059
371190058473,52865,1018
371190058481,139514,2877
371190058482,121641,1645
371190058483,97361,1012
371190059061,33750,1576
371190059062,38866,474
371190059063,30261,1234
371190059064,51222,452
371190059071,88125,2921
371190059072,77210,1552
371190059091,75000,4990
371190059092,61813,1613
371190059101,65437,5038
371190059112,84423,2098
371190059121,50491,1888
371190059122,48715,3356
371190059131,70182,1789
371190059132,56538,3751
371190059133,61544,1209
371190059141,50435,2075
371190059142,59922,1259
371190059143,40406,2165
371190059151,67120,1595
371190059161,44537,1166
371190059162,31042,968
371190059171,59231,3300
371190059172,65265,2216
371190059181,74667,3614
371190060051,51897,2859
371190060061,47399,2740
371190060062,37308,1780
371190060063,50000,1118
371190060071,52932,2718
371190060072,77754,2030
371190060073,115848,1911
371190060081,68672,1240
371190060082,68901,2383
371190060091,56599,1210
371190060092,53660,1413
371190060101,75489,1580
371190060102,54808,2789
371190060103,56417,1223
371190060104,33977,848
371190061031,80886,2262
371190061032,53450,1406
371190061041,49321,735
371190061042,56538,1547
371190061043,54005,4818
371190061044,60268,2063
371190061051,73580,2831
371190061061,70636,2050
371190061062,59688,1229
371190061071,66900,2815
371190061072,56806,1140
371190061081,78444,2060
371190061082,43672,2498
371190061091,54007,4712
371190062131,115387,3324
371190062132,75163,2366
371190062141,102411,1242
371190062142,75365,2868
371190062151,37098,1940
371190062152,53939,2167
371190063021,60338,2154
371190063022,76528,1849
371190063023,131000,2467
371199801001,-1,0
371199802001,-1,0
371199803001,-1,0
371790203081,66555,988
371790203111,62930,862
371790203121,60195,2270
371790203131,73977,2259
371790203141,80161,3008
371790203142,67356,2720
371790203151,125139,2655
371790203152,64738,2505
371790203161,70744,1928
371790203162,76410,2515
371790203173,70924,1788
371790210061,153233,3393
371790210062,133021,2135
371790210071,172212,3675
371790210101,122692,1966
371790210102,129423,3886
371790210103,108304,796
371790210111,149063,1889
