Id,Median,Total
510030104021,81071,830
510030105001,85147,1047
510030105002,76184,2836
510030105003,54432,884
510030106012,41786,2861
510030106013,41781,1594
510030106021,96938,1668
510030106022,66034,1211
510030107002,51202,2094
510030107003,42839,2741
510030108001,65750,1313
510030108002,43173,925
510030108003,56250,1032
510030108004,41955,890
510030108005,78250,857
510030109011,19185,1171
510030109012,55781,754
510030109021,27407,1884
510030109022,-1,1082
510030109031,-1,1228
510030109032,6836,2194
510030112021,135375,2612
510030113021,43934,2737
510030113022,31250,1684
510030113031,96719,2085
510030113032,46535,1384
515400002011,44630,896
515400002012,51406,1012
515400002013,48889,949
515400002021,22378,859
515400002022,12768,1799
515400002023,3981,2389
515400003021,51630,1380
515400003022,51563,984
515400004011,31250,1526
515400004012,44688,1780
515400004021,57386,598
515400004022,40595,1063
515400004023,24851,1247
515400004024,44615,1027
515400005011,39318,1692
515400005012,46607,724
515400005013,55909,1125
515400005021,75625,1730
515400005022,54427,1249
515400005023,66250,997
515400005024,52917,686
515400005025,50615,270
515400006001,20556,2559
515400006002,33382,1924
515400007001,90625,1172
515400007002,119000,1684
515400007003,19539,435
515400007004,46591,816
515400008001,94808,918
515400008002,64107,605
515400008003,111406,721
515400008004,24698,1741
515400009001,53725,1519
515400009002,55909,751
515400010001,57125,824
515400010002,73289,1016
515400010003,70189,996
