Id,Median,Total
370299501011,67500,2901
370531102001,49688,1846
515500200011,47034,1298
515500200021,67273,1371
515500200022,30250,1564
515500200023,46509,1377
515500200031,50169,1316
515500200032,50919,1517
515500200033,73750,1040
515500200034,55822,688
515500200035,58750,849
515500201001,49878,1596
515500201002,20613,1783
515500201003,36375,1152
515500202001,19231,813
515500202002,23250,1041
515500202003,46150,1452
515500202004,37656,1037
515500203001,35000,877
515500203002,30865,788
515500204001,56176,1909
515500204002,27557,582
515500204003,45873,586
515500205001,36932,1340
515500206001,53843,1210
515500206002,40833,685
515500206003,76094,1341
515500206004,53235,719
515500207001,27077,1795
515500207002,40441,3312
515500208041,98851,3547
515500208042,74931,2881
515500208043,97132,1029
515500208051,60606,2819
515500208052,75129,909
515500208053,68047,2039
515500208061,59217,3282
515500208062,76281,2474
515500208063,63341,1469
515500208071,61458,1668
515500208072,113171,2344
515500208073,85357,2373
515500208074,63523,1075
515500208081,63802,1703
515500208082,75702,2219
515500208091,65167,2525
515500208092,63971,1560
515500208093,74336,978
515500209031,65859,2739
515500209041,70407,1065
515500209042,85938,2665
515500209043,69870,2853
515500209044,56434,1952
515500209051,56197,2827
515500209061,57888,2349
515500209062,62068,2638
515500209063,70655,2436
515500210041,108268,2604
515500210042,95114,963
515500210043,70046,1331
515500210044,50074,1062
515500210051,110855,3574
515500210052,50903,1837
515500210061,110000,3776
515500210062,106250,1904
515500210063,128583,1877
515500210091,102153,1672
515500210092,110357,2341
515500210101,94704,2499
515500210102,60485,720
515500210103,82944,2434
515500210111,129583,2521
515500210112,116786,906
515500210121,73352,903
515500210122,107721,2167
515500210123,88487,2041
515500210124,84276,819
515500210131,121314,2091
515500210132,111012,2792
515500211011,105104,1919
515500211012,105469,1330
515500211013,87813,1772
515500211021,111793,3304
515500211022,80167,1992
515500211023,83450,3958
515500212001,105156,1328
515500212002,90650,2392
515500212003,58229,2351
515500213011,36964,791
515500213012,86083,1408
515500213013,81448,2979
515500213021,73942,2068
515500213022,95250,2466
515500213023,79057,2114
515500213024,100583,2287
515500214011,70625,1944
515500214021,96810,2050
515500214022,69412,1343
515500214023,80104,2160
515500214024,39333,1092
515500214031,54375,1012
515500214032,37500,1236
515500214033,31935,2520
515500214041,38294,1651
515500214042,53566,2885
515500214043,58167,1923
515500214044,84375,881
515500215011,45197,2161
515500215012,103424,3106
515500215013,91736,3422
515500215014,40648,2411
515500215021,65471,2047
515500215022,97292,741
515500215023,86557,2198
515500215024,66088,2972
515500216011,83333,2575
515500216012,101327,1870
515500216013,96250,877
515500216014,73542,1022
515500216015,95444,1992
515500216021,31311,677
515500216022,37569,784
515500216023,63882,3093
515500216024,46417,2203
517100032002,49375,711
517100033001,47776,1208
517100033002,46071,1481
517100034001,19775,1083
517100034002,34602,1072
517100035011,9186,748
517100035012,53942,641
517100035013,36654,864
517100035014,29750,934
517100036001,52781,1395
517100037001,64485,767
517100037002,40750,1427
517100038001,65278,1223
517100038002,64000,1288
517100038003,62727,1428
517100040011,93523,1299
517100040021,54250,1524
517100040022,75278,347
517100040023,49609,948
517100040024,45431,437
517100041001,12599,1861
517100042001,15587,920
517100042002,13558,897
517100043001,39545,769
517100043002,14148,1377
517100043003,16250,546
517100043004,11696,651
517100044001,46875,488
517100044002,39965,860
517100044003,17258,203
517100045001,62379,1765
517100046001,41544,900
517100046002,15568,859
517100047001,-1,1901
517100047002,40750,684
517100048001,11029,1381
517100049001,75369,3038
517100049002,-1,1151
517100050001,50855,1015
517100050002,33875,1291
517100050003,24219,547
517100051001,39479,965
517100051002,37257,2168
517100051003,11349,1790
517100061004,46310,1867
517100062002,57375,1655
517100064001,68153,1748
517100064002,35673,2190
517100068001,58707,461
517100068002,60326,1501
517100069011,31611,1315
517100069012,36528,860
517100069013,60556,1555
517100069021,58900,1521
517100069022,60855,1028
517100070011,54191,1781
517100070021,43173,1893
517100070022,47019,1750
517109801001,-1,319
517109802001,-1,0
517402102001,61696,1097
517402102002,42574,1064
