lng1,lat1,lng2,lat2,id1,id2
-76.298849,36.435281,-76.29869,36.435326,370299501011,370299501012
-76.29869,36.435326,-76.298585,36.435385,370299501011,370299501012
-76.298585,36.435385,-76.298368,36.435573,370299501011,370299501012
-76.298368,36.435573,-76.298212,36.435916,370299501011,370299501012
-76.298212,36.435916,-76.29801,36.436336,370299501011,370299501012
-76.29801,36.436336,-76.297785,36.436897,370299501011,370299501012
-76.297785,36.436897,-76.297488,36.437589,370299501011,370299501012
-76.297488,36.437589,-76.297044,36.438462,370299501011,370299501012
-76.297044,36.438462,-76.296963,36.438793,370299501011,370299501012
-76.296963,36.438793,-76.296294,36.440314,370299501011,370299501012
-76.296294,36.440314,-76.296003,36.441001,370299501011,370299501012
-76.296003,36.441001,-76.295804,36.441421,370299501011,370299501012
-76.295804,36.441421,-76.295474,36.442206,370299501011,370299501012
-76.295474,36.442206,-76.295105,36.44305,370299501011,370299501012
-76.295105,36.44305,-76.294873,36.443531,370299501011,370299501012
-76.294873,36.443531,-76.294759,36.443855,370299501011,370299501012
-76.294759,36.443855,-76.294564,36.444302,370299501011,370299501012
-76.294564,36.444302,-76.294432,36.444739,370299501011,370299501012
-76.294432,36.444739,-76.294351,36.44497,370299501011,370299501012
-76.294351,36.44497,-76.294246,36.445598,370299501011,370299501012
-76.294246,36.445598,-76.29414,36.446079,370299501011,370299501012
-76.29414,36.446079,-76.293974,36.446652,370299501011,370299501012
-76.293974,36.446652,-76.293913,36.446921,370299501011,370299501012
-76.293913,36.446921,-76.293631,36.44817,370299501011,370299501012
-76.293631,36.44817,-76.29351,36.448536,370299501011,370299501012
-76.29351,36.448536,-76.293119,36.449755,370299501011,370299501012
-76.293119,36.449755,-76.292933,36.450427,370299501011,370299501012
-76.292933,36.450427,-76.292577,36.451603,370299501011,370299501012
-76.292577,36.451603,-76.292431,36.452177,370299501011,370299501012
-76.292431,36.452177,-76.292334,36.452608,370299501011,370299501012
-76.292334,36.452608,-76.292025,36.454073,370299501011,370299501012
-76.292025,36.454073,-76.291818,36.455213,370299501011,370299501012
-76.291818,36.455213,-76.291734,36.455627,370299501011,370299501012
-76.291734,36.455627,-76.2916,36.456319,370299501011,370299501012
-76.2916,36.456319,-76.291165,36.458504,370299501011,370299501012
-76.291165,36.458504,-76.290642,36.461177,370299501011,370299501012
-76.290642,36.461177,-76.29038,36.462555,370299501011,370299501012
-76.29038,36.462555,-76.290301,36.46292,370299501011,370299501012
-76.290301,36.46292,-76.290248,36.463127,370299501011,370299501012
-76.290248,36.463127,-76.290183,36.463331,370299501011,370299501012
-76.290183,36.463331,-76.289914,36.463789,370299501011,370299501012
-76.289914,36.463789,-76.289739,36.464039,370299501011,370299501012
-76.289739,36.464039,-76.289359,36.464583,370299501011,370299501012
-76.289359,36.464583,-76.28895,36.465186,370299501011,370299501012
-76.28895,36.465186,-76.288255,36.466426,370299501011,370299501012
-76.288255,36.466426,-76.287959,36.466955,370299501011,370299501012
-76.287959,36.466955,-76.28768,36.467494,370299501011,370299501012
-76.28768,36.467494,-76.287662,36.467528,370299501011,370299501012
-76.287662,36.467528,-76.287466,36.468481,370299501011,370299501012
-76.287466,36.468481,-76.286986,36.470868,370299501011,370299501012
-76.286986,36.470868,-76.286785,36.471919,370299501011,370299501012
-76.286785,36.471919,-76.286374,36.473931,370299501011,370299501012
-76.286374,36.473931,-76.286126,36.475247,370299501011,370299501012
-76.286126,36.475247,-76.285945,36.476086,370299501011,370299501012
-76.285945,36.476086,-76.285882,36.476421,370299501011,370299501012
-76.285882,36.476421,-76.285836,36.476666,370299501011,370299501012
-76.285836,36.476666,-76.285787,36.477,370299501011,370299501012
-76.285787,36.477,-76.285687,36.47732,370299501011,370299501012
-76.285687,36.47732,-76.28559,36.477463,370299501011,370299501012
-76.28559,36.477463,-76.285393,36.477797,370299501011,370299501012
-76.285393,36.477797,-76.285164,36.478137,370299501011,370299501012
-76.285164,36.478137,-76.2848,36.478563,370299501011,370299501012
-76.2848,36.478563,-76.284527,36.47881,370299501011,370299501012
-76.284527,36.47881,-76.284323,36.478976,370299501011,370299501012
-76.284323,36.478976,-76.284137,36.479113,370299501011,370299501012
-76.284137,36.479113,-76.283884,36.479287,370299501011,370299501012
-76.283884,36.479287,-76.283395,36.479538,370299501011,370299501012
-76.283395,36.479538,-76.282449,36.480036,370299501011,370299501012
-76.282449,36.480036,-76.281977,36.480274,370299501011,370299501012
-76.281977,36.480274,-76.279065,36.481742,370299501011,370299501012
-76.279065,36.481742,-76.277675,36.482465,370299501011,370299501012
-76.277675,36.482465,-76.276854,36.48287,370299501011,370299501012
-76.276854,36.48287,-76.274581,36.484043,370299501011,370299501012
-76.274581,36.484043,-76.272362,36.485173,370299501011,370299501012
-76.272362,36.485173,-76.271598,36.485548,370299501011,370299501012
-76.271598,36.485548,-76.271004,36.485817,370299501011,370299501012
-76.271004,36.485817,-76.270978,36.485825,370299501011,370299501012
-76.270978,36.485825,-76.270538,36.485969,370299501011,370299501012
-76.270538,36.485969,-76.270356,36.486032,370299501011,370299501012
-76.270356,36.486032,-76.269754,36.486238,370299501011,370299501012
-76.269754,36.486238,-76.264279,36.48805,370299501011,370299501012
-76.264279,36.48805,-76.263155,36.488431,370299501011,370299501012
-76.263155,36.488431,-76.262932,36.488507,370299501011,370299501012
-76.262932,36.488507,-76.261068,36.489144,370299501011,370299501012
-76.261068,36.489144,-76.260617,36.489368,370299501011,370299501012
-76.260617,36.489368,-76.260201,36.489598,370299501011,370299501012
-76.260201,36.489598,-76.25979,36.48987,370299501011,370299501012
-76.25979,36.48987,-76.259474,36.490117,370299501011,370299501012
-76.259474,36.490117,-76.25917,36.490372,370299501011,370299501012
-76.25917,36.490372,-76.258569,36.491004,370299501011,370299501012
-76.258569,36.491004,-76.257782,36.491903,370299501011,370299501012
-76.257782,36.491903,-76.257307,36.492466,370299501011,370299501012
-76.257307,36.492466,-76.256521,36.493345,370299501011,370299501012
-76.256521,36.493345,-76.256351,36.493535,370299501011,370299501012
-76.256351,36.493535,-76.256244,36.493655,370299501011,370299501012
-76.256244,36.493655,-76.25588,36.494101,370299501011,370299501012
-76.25588,36.494101,-76.254866,36.495248,370299501011,370299501012
-76.254866,36.495248,-76.25412,36.496139,370299501011,370299501012
-76.25412,36.496139,-76.252753,36.497718,370299501011,370299501012
-76.252753,36.497718,-76.251447,36.499216,370299501011,370299501012
-76.251447,36.499216,-76.251344,36.499334,370299501011,370299501012
-76.251344,36.499334,-76.250507,36.500283,370299501011,370299501012
-76.262368,36.385188,-76.262487,36.385721,370299501011,370299501012
-76.262487,36.385721,-76.262465,36.386366,370299501011,370299501012
-76.262465,36.386366,-76.261855,36.387854,370299501011,370299501012
-76.261855,36.387854,-76.261769,36.387897,370299501011,370299501012
-76.261769,36.387897,-76.26152,36.388585,370299501011,370299501012
-76.26152,36.388585,-76.261436,36.388628,370299501011,370299501012
-76.261436,36.388628,-76.260908,36.389827,370299501011,370299501012
-76.260908,36.389827,-76.260739,36.390092,370299501011,370299501012
-76.260739,36.390092,-76.260145,36.391401,370299501011,370299501012
