Id,Median,Total
390610002001,19000,976
390610007001,72500,1032
390610007002,55000,880
390610007003,49583,697
390610009001,12955,290
390610009002,20406,768
390610010001,11860,250
390610010002,51719,761
390610011001,22292,999
390610016001,8295,566
390610016002,9000,299
390610017001,11644,1037
390610018001,51250,748
390610018002,32708,798
390610019001,40438,735
390610019002,79219,748
390610020001,61563,490
390610020002,57024,936
390610022001,27188,403
390610022002,36964,605
390610022003,23926,1132
390610023001,19531,1234
390610025001,14391,1090
390610025002,26250,1313
390610026001,16121,2484
390610026002,27969,1509
390610027001,26930,1695
390610028001,43000,975
390610028002,14714,643
390610029001,12760,1964
390610029002,26534,2144
390610029003,49318,1090
390610030001,18250,939
390610030002,-1,1343
390610030003,12857,1759
390610032001,31250,1550
390610033001,13676,1008
390610033002,15208,670
390610036001,21250,525
390610036002,10781,1042
390610037001,11276,929
390610037002,9982,791
390610038001,23352,979
390610038002,22056,604
390610038003,10688,700
390610039001,33220,442
390610039002,36250,759
390610039003,18313,861
390610040001,52500,933
390610040002,28393,1416
390610041001,31436,684
390610041002,55833,825
390610042001,51250,821
390610042002,42000,1095
390610045001,133214,1147
390610046021,82589,1943
390610046022,32083,1034
390610046023,60169,1905
390610046031,54453,1393
390610046032,81333,1762
390610046041,44760,1460
390610046042,65526,323
390610046043,67371,1575
390610046051,50756,779
390610046052,51650,1608
390610047011,96406,1662
390610047012,92566,1479
390610047021,31842,789
390610048001,83173,690
390610048002,102159,1588
390610048003,123750,1215
390610049001,73133,1230
390610049002,78300,1038
390610049003,89917,845
390610049004,88750,2559
390610049005,105417,1361
390610050001,98235,1400
390610050002,66188,713
390610050003,82750,819
390610050004,101339,1223
390610050005,43698,822
390610051001,105694,1092
390610051002,62813,1282
390610052001,53856,1070
390610052002,91406,1066
390610052003,63459,1476
390610053011,33007,818
390610053012,55259,791
390610053013,74688,1144
390610053021,57054,660
390610053022,36440,730
390610053023,68185,1588
390610054001,41354,846
390610055001,33906,733
390610055002,46100,1082
390610055003,19722,992
390610055004,19946,1082
390610056001,38167,767
390610056002,68394,1689
390610056003,42000,1178
390610056004,17203,1483
390610056005,60054,703
390610057011,43472,1146
390610057012,60125,470
