lng1,lat1,lng2,lat2,id1,id2
-84.531731,39.113891,-84.531627,39.113625,390610002001,390610263001
-84.531627,39.113625,-84.531547,39.113381,390610002001,390610263001
-84.531547,39.113381,-84.531416,39.112897,390610002001,390610263001
-84.531416,39.112897,-84.531401,39.112836,390610002001,390610263001
-84.531401,39.112836,-84.531347,39.112533,390610002001,390610263001
-84.531347,39.112533,-84.531325,39.112341,390610002001,390610263001
-84.531325,39.112341,-84.531309,39.112039,390610002001,390610263001
-84.531309,39.112039,-84.531317,39.111743,390610002001,390610263001
-84.531317,39.111743,-84.531348,39.111444,390610002001,390610263001
-84.531348,39.111444,-84.531395,39.111181,390610002001,390610263001
-84.531395,39.111181,-84.531463,39.110651,390610002001,390610263001
-84.531463,39.110651,-84.531541,39.10971,390610002001,390610263001
-84.531541,39.10971,-84.531567,39.109394,390610002001,390610263001
-84.531567,39.109394,-84.531594,39.109065,390610002001,390610263001
-84.531594,39.109065,-84.531626,39.108651,390610002001,390610263001
-84.531626,39.108651,-84.531615,39.108368,390610002001,390610263001
-84.531615,39.108368,-84.531585,39.108113,390610002001,390610263001
-84.531585,39.108113,-84.531544,39.107888,390610002001,390610263001
-84.531544,39.107888,-84.531475,39.107617,390610002001,390610263001
-84.531475,39.107617,-84.531384,39.10735,390610002001,390610263001
-84.531384,39.10735,-84.531285,39.107113,390610002001,390610263001
-84.531285,39.107113,-84.53117,39.106881,390610002001,390610263001
-84.53117,39.106881,-84.531084,39.10673,390610002001,390610263001
-84.531084,39.10673,-84.531021,39.106626,390610002001,390610263001
-84.531021,39.106626,-84.530873,39.106408,390610002001,390610263001
-84.530873,39.106408,-84.530637,39.106109,390610002001,390610263001
-84.530637,39.106109,-84.530518,39.105976,390610002001,390610263001
-84.530518,39.105976,-84.530317,39.10577,390610002001,390610263001
-84.530317,39.10577,-84.530112,39.105582,390610002001,390610263001
-84.530112,39.105582,-84.529866,39.10538,390610002001,390610263001
-84.529866,39.10538,-84.529605,39.105191,390610002001,390610263001
-84.529605,39.105191,-84.528707,39.104749,390610002001,390610263001
-84.527671,39.11004,-84.527609,39.110652,390610002001,390610264001
-84.527609,39.110652,-84.527554,39.111268,390610002001,390610264001
-84.527554,39.111268,-84.52751,39.112492,390610002001,390610264001
-84.52751,39.112492,-84.527469,39.1136,390610002001,390610264001
-84.527747,39.109287,-84.527671,39.11004,390610002001,390610264001
-84.528085,39.106208,-84.528058,39.106425,390610002001,390610264002
-84.528058,39.106425,-84.527971,39.107121,390610002001,390610264002
-84.527971,39.107121,-84.527881,39.107837,390610002001,390610264002
-84.527881,39.107837,-84.527819,39.108504,390610002001,390610264002
-84.527819,39.108504,-84.527747,39.109287,390610002001,390610264002
-84.528197,39.105695,-84.528085,39.106208,390610002001,390610264002
-84.528565,39.105021,-84.528466,39.105211,390610002001,390610265001
-84.528466,39.105211,-84.528197,39.105695,390610002001,390610265001
-84.528707,39.104749,-84.528565,39.105021,390610002001,390610265001
-84.531075,39.113837,-84.531731,39.113891,390610002001,390610269001
-84.527469,39.1136,-84.5291,39.113708,390610002001,390610269002
-84.5291,39.113708,-84.52961,39.113742,390610002001,390610269002
-84.52961,39.113742,-84.529877,39.11376,390610002001,390610269002
-84.529877,39.11376,-84.530266,39.113779,390610002001,390610269002
-84.530266,39.113779,-84.530647,39.113806,390610002001,390610269002
-84.530647,39.113806,-84.531075,39.113837,390610002001,390610269002
-84.527469,39.1136,,,390610002001,390610269003
-84.511273,39.10764,-84.511032,39.106745,390610007001,390610007002
-84.511032,39.106745,-84.510833,39.105869,390610007001,390610007003
-84.510833,39.105869,-84.510705,39.105394,390610007001,390610007003
-84.510705,39.105394,-84.510591,39.10493,390610007001,390610007003
-84.510591,39.10493,-84.51001,39.105008,390610007001,390610007003
-84.51001,39.105008,-84.509649,39.105063,390610007001,390610007003
-84.509649,39.105063,-84.50896,39.105156,390610007001,390610007003
-84.50896,39.105156,-84.508274,39.105276,390610007001,390610007003
-84.508274,39.105276,-84.507955,39.105328,390610007001,390610007003
-84.507955,39.105328,-84.507774,39.105348,390610007001,390610007003
-84.507774,39.105348,-84.507256,39.105435,390610007001,390610007003
-84.507256,39.105435,-84.507047,39.105463,390610007001,390610007003
-84.507047,39.105463,-84.50608,39.1056,390610007001,390610007003
-84.50608,39.1056,-84.505756,39.105656,390610007001,390610007003
-84.505756,39.105656,-84.505664,39.105694,390610007001,390610007003
-84.505664,39.105694,-84.50554,39.105767,390610007001,390610007003
-84.50554,39.105767,-84.505503,39.105806,390610007001,390610007003
-84.509675,39.107874,-84.511273,39.10764,390610007001,390610010002
-84.505503,39.105806,-84.506043,39.106118,390610007001,390610011001
-84.506043,39.106118,-84.506718,39.106497,390610007001,390610011001
-84.506718,39.106497,-84.507692,39.107102,390610007001,390610011001
-84.507692,39.107102,-84.507773,39.107156,390610007001,390610011001
-84.507773,39.107156,-84.508805,39.107847,390610007001,390610011001
-84.508805,39.107847,-84.508838,39.107899,390610007001,390610011001
-84.508838,39.107899,-84.508851,39.107957,390610007001,390610011001
-84.508851,39.107957,-84.50885,39.107986,390610007001,390610011001
-84.50885,39.107986,-84.508831,39.108043,390610007001,390610011001
-84.508831,39.108043,-84.508739,39.108133,390610007001,390610011001
-84.508739,39.108133,-84.508849,39.108057,390610007001,390610011001
