Id,Median,Total
080410001011,32164,1351
080410001012,32424,2453
080410001013,85216,759
080410001014,36919,1110
080410001021,79375,1337
080410001022,56949,1024
080410001023,60625,1014
080410002021,64688,741
080410002022,50938,1235
080410002023,69625,973
080410002024,37422,1843
080410002031,53080,1361
080410002032,44063,1103
080410002033,30945,1269
080410003011,47798,1279
080410003012,27063,880
080410003013,46146,1064
080410003021,17308,1372
080410003022,37750,2431
080410004001,49444,825
080410004002,53390,952
080410004003,37813,716
080410005001,40212,813
080410005002,78824,1069
080410006001,73008,805
080410006002,46333,1110
080410006003,39028,1336
080410007001,36087,1236
080410007002,56213,849
080410007003,33241,1110
080410008001,27273,968
080410008002,41719,769
080410008003,63382,895
080410009001,50300,1246
080410009002,46991,1128
080410010001,54676,504
080410010002,58913,828
080410010003,79063,925
080410011011,32794,652
080410011012,30868,479
080410011041,43083,2490
080410011042,34375,619
080410013011,39519,762
080410013012,52850,771
080410013013,31389,981
080410013021,40893,1406
080410013022,47468,1942
080410013023,37270,1852
080410014001,36573,1291
080410014002,41289,923
080410014003,51193,1373
080410015001,43036,1109
080410015002,35523,1112
080410016001,24280,1384
080410016002,31955,851
080410016003,42389,1135
080410017001,38603,852
080410017002,34615,992
080410018001,66964,1065
080410018002,56979,758
080410019001,23114,2080
080410019002,28646,1071
080410019003,39766,1046
080410020001,17174,592
080410020002,48667,1823
080410020003,51027,1218
080410020004,36705,3051
080410021011,19167,889
080410021012,38125,2204
080410021021,34583,1306
080410021022,45872,911
080410021023,47894,3162
080410022001,50909,896
080410022002,35865,516
080410022003,20278,1303
080410023001,9816,707
080410023002,22792,1026
080410024001,53194,2678
080410024002,41479,360
080410024003,36719,1826
080410025011,101393,1223
080410025012,95417,907
080410025013,54239,1089
080410025021,75500,1383
080410025022,36250,823
080410025023,37037,1668
080410027001,44116,911
080410027002,40682,688
080410027003,32572,1448
080410028001,40313,1452
080410028002,21771,1521
080410028003,36739,1947
080410028004,53194,391
080410029001,28000,1696
080410029002,31889,831
080410029003,26163,2029
080410029004,26625,846
080410029005,38333,699
080410030001,49552,933
080410030002,37431,1173
080410030003,52872,1884
080410030004,32930,1301
080410031001,47159,636
080410031002,76161,624
080410031003,101964,688
080410031004,128900,744
080410031005,73594,789
080410031006,84821,883
080410033031,55088,1727
080410033032,40083,1124
080410033033,36624,1530
080410033034,31447,1065
080410033051,102428,2500
080410033052,119732,2537
080410033053,95223,2111
080410033061,57404,571
080410033062,93403,2711
080410033071,46094,1409
080410033072,75352,2491
080410033081,42725,2752
080410033082,58158,3592
080410034001,69405,1145
080410034002,90083,1441
080410037011,110268,1816
080410037021,119083,2256
080410037022,108293,2836
080410037051,147958,2518
080410037052,70089,858
080410037053,48450,1801
080410037061,94250,2412
080410037062,77174,2333
080410037071,118125,732
080410037072,75875,933
080410037073,71786,2654
080410037081,98400,2056
080410037082,65893,795
080410037091,65306,1022
080410037092,95877,1918
080410037093,51298,1176
080410037094,90104,1861
080410038011,90492,983
080410038012,75625,749
080410038021,-1,0
080410038022,-1,4630
080410039051,47056,870
080410039052,68359,1376
080410039053,64324,1193
080410039061,60341,1210
080410039062,54091,944
080410039063,69545,1795
080410039064,89250,2133
080410040081,43750,1632
080410040091,40486,1638
080410041001,61970,1909
080410041002,44091,1224
080410041003,43906,684
080410041004,42083,1256
080410042001,55685,2785
080410042002,38315,1086
080410043001,65427,3441
080410043002,65542,2211
080410043003,58462,743
080410044011,42853,4092
080410044012,50417,1887
080410044013,38305,3017
080410044021,-1,404
080410044022,-1,2372
080410044023,2499,2436
080410044031,51100,1476
080410045011,45257,1577
080410045012,33158,2488
080410045013,44569,1301
080410045021,63750,1617
080410045022,69000,3284
080410045031,72750,4295
080410045032,72045,1394
080410045033,60208,720
080410045034,71483,5703
080410045061,53750,2032
080410045062,45217,808
080410045063,53750,689
080410045064,45057,1069
080410045071,53553,934
080410045072,53421,935
080410045073,57438,1469
080410045081,29231,840
080410045083,30721,1711
080410045084,32708,652
080410045101,65398,2313
080410046032,66964,3444
080410047011,63636,1591
080410047012,69671,999
080410047013,69309,1838
080410047021,57841,1272
080410047022,86310,1031
080410047031,92708,613
080410047032,77500,629
080410047033,62143,1028
080410047034,64554,1262
080410047035,58793,2687
080410047051,81881,3222
080410047052,59745,2375
080410047053,95481,1332
080410047061,84673,5232
080410048001,50673,1849
080410048002,64821,1233
080410048003,39201,1522
080410048004,64009,708
080410049011,38333,1789
080410049012,68472,1806
080410049021,93977,1400
080410049022,63500,711
080410049023,91563,3232
080410050001,69006,1904
080410050002,40563,1067
080410050003,30388,1509
080410050004,28750,838
080410051041,91019,3962
080410051042,59661,2640
080410051051,80804,2889
080410051052,56265,3878
080410051061,67282,4164
080410051062,66864,3322
080410051063,82629,3025
080410051071,85977,7458
080410051081,89046,3815
080410051082,109105,2106
080410051083,65889,2448
080410051091,73314,2447
080410051092,61932,3013
080410051093,50667,954
080410051094,86071,1210
080410051101,73611,1532
080410051102,50494,888
080410051103,47929,1457
080410051111,39988,1676
080410051112,63125,4911
080410052011,14387,904
080410052012,24819,2371
080410052013,52717,780
080410052021,31394,662
080410052022,31071,1680
080410053001,35938,1175
080410053002,40417,827
080410053003,45689,2965
080410054001,36182,1781
080410054002,37016,1569
080410054003,25337,1593
080410054004,23788,1013
080410055011,80357,2447
080410055012,68833,736
080410055013,36328,1299
080410055021,48750,1541
080410055022,53036,563
080410055023,21975,2336
080410056011,68147,1379
080410056012,58750,1856
080410056013,54214,1627
080410056021,50278,1280
080410056022,47361,680
080410056023,61250,943
080410057001,68047,1110
080410057002,69392,2181
080410057003,26589,1807
080410057004,78295,807
080410058001,56602,1277
080410058002,91885,687
080410058003,70046,1176
080410059001,49330,787
080410059002,102604,941
080410059003,41614,1726
080410059004,53262,1440
080410059005,67101,1518
080410060001,30023,2229
080410060002,35455,1380
080410060003,59906,1500
080410060004,57933,1326
080410061001,24661,2264
080410061002,38750,1898
080410062001,36189,1807
080410062002,38207,1387
080410062003,34556,2302
080410063011,50300,1567
080410063012,62500,1336
080410063013,53633,2297
080410063021,43512,3461
080410063022,27524,1871
080410064001,37093,3225
080410064002,50599,1618
080410064003,21356,1020
080410064004,37011,1299
080410065011,41384,1718
080410065012,34904,1657
080410065021,47266,522
080410065022,40893,4293
080410065023,65332,1636
080410066001,75250,865
080410066002,53571,900
080410066003,45882,772
080410067001,39063,1490
080410067002,44643,1543
080410067003,36326,1693
080410067004,70682,1339
080410068011,61911,2976
080410068012,60781,1325
080410068021,85529,2438
080410068022,77292,1376
080410069011,96964,3164
080410069012,112422,2402
080410069021,98438,2088
080410069022,110799,1228
080410069023,68511,2026
080410070001,127813,1640
080410070002,106067,2726
080410071011,110016,5103
080410071021,122102,2802
080410071022,133279,6746
080410072011,79844,2776
080410072012,112551,3917
080410072022,107639,4722
080410072023,93098,2461
080410073003,111055,2417
080410075001,135198,5006
080410075002,59688,1505
080410076011,83438,4208
080410076012,93919,1700
080410076021,133846,813
080410076022,125337,770
080410076023,63851,1987
080410077001,37070,1333
080410077002,76445,3176
080410077003,46366,887
080410078001,71364,2773
080410078002,58388,1852
080410079001,102778,1207
080410079002,55221,926
080410080001,48625,1365
080410080002,44609,1389
080410080003,43261,1403
