Id,Median,Total
390410114111,96154,1266
390410114112,128125,1627
390410114121,120167,3345
390410114122,195750,1449
390410114211,111083,1741
390410114212,142258,1831
390410114213,137875,1314
390410114214,135294,1803
390410114231,145543,2670
390410114233,164063,875
390410114301,47886,1339
390410114302,193750,1383
390410115201,78493,2317
390410115202,45291,1153
390410115301,88224,2026
390410115401,139737,1860
390410115402,121116,2280
390410115403,122344,1443
390410115611,55102,2053
390410115612,77985,2631
390410117101,141000,2289
390410117102,74773,1835
390410117103,110486,2192
390410117301,117850,2110
390410117303,99102,2462
390410117401,149375,2761
390410117402,137237,2729
390410117501,83851,1492
390410117601,42778,1726
390410117602,102636,2829
390410117621,92870,2605
390410117622,111250,2801
390410119002,92330,2820
390410124001,95948,1111
390410124002,54350,1822
390410124003,82125,2100
390450306001,103154,5496
390450306002,80688,3377
390450307001,69509,802
390450307002,70069,2186
390450327011,76806,1485
390450327012,43977,1162
390450327013,94728,1535
390450327021,43465,3917
390450327022,75130,3065
390450328001,115625,1871
390450328002,112596,1094
390450328003,80375,1317
390450330001,85446,4264
390450331003,85284,2166
390450331004,67250,3009
390490001101,61020,1116
390490001102,89044,897
390490001103,68250,770
390490001104,118846,876
390490001201,107833,797
390490001202,65725,1751
390490001203,94205,624
390490002101,81100,841
390490002102,106389,684
390490002103,59545,767
390490002104,72000,984
390490002201,97125,778
390490002202,75912,942
390490002203,114286,1123
390490002204,105795,1095
390490003101,41127,1174
390490003102,39032,1250
390490003103,46477,597
390490003201,40815,1198
390490003202,53147,1105
390490003301,30268,472
390490003302,22740,1160
390490003303,19006,674
390490004101,74375,1522
390490004102,51250,968
390490004201,67500,687
390490004202,69444,917
390490004203,61500,682
390490004204,99813,946
390490005001,83906,1103
390490005002,55750,953
390490005003,45813,1458
390490005004,31587,918
390490006001,74545,811
390490006002,26078,1045
390490006003,54705,742
390490006004,44250,823
390490006005,30625,655
390490007101,12279,837
390490007102,21760,637
390490007103,27298,1088
390490007104,23625,608
390490007201,26215,669
390490007202,23158,878
390490007203,27000,1298
390490007301,21250,776
390490007302,27424,901
390490007303,30977,548
390490007304,17731,518
390490007305,20391,472
390490008101,48309,1240
390490008102,35214,593
390490008103,32250,667
390490008201,18068,900
390490008202,22063,503
390490008203,43988,645
390490008204,52083,586
390490009101,22500,596
390490009102,21349,857
390490009103,27688,1239
390490009104,17386,1120
390490009201,30256,640
390490009202,14559,603
390490009203,13750,483
390490010001,30714,261
390490010002,23149,1415
390490010003,47857,666
390490010004,12886,509
390490010005,29074,1034
390490010006,19733,655
390490011101,29792,972
390490011102,6964,676
390490011103,9655,1182
390490011211,-1,2973
390490011212,-1,2893
390490011213,2813,2833
390490011221,18289,1312
390490011222,9375,1876
390490012001,14012,1013
390490012002,13156,1280
390490012003,9290,627
390490012004,13319,1409
390490012005,19792,181
390490013001,21198,940
390490013002,14782,1568
390490013003,9864,2298
390490013004,4300,757
390490014001,26042,1022
390490014002,9750,648
390490015001,9735,543
390490015002,13105,791
390490015003,23750,348
390490016001,10057,617
390490016002,17656,408
390490017001,8980,743
390490017002,11471,780
390490017003,26150,524
390490018101,16238,1151
390490018102,10417,753
390490018103,23676,456
390490018104,14265,541
390490018105,17941,816
390490018201,45792,607
390490018202,27643,1070
390490018203,54375,890
390490019011,65714,581
390490019012,45559,1659
390490019021,35383,633
390490019022,48279,1436
390490019023,22471,848
390490019024,41094,423
390490020001,65382,899
390490020002,97407,1068
390490020003,74000,1327
390490021001,64643,1726
390490022001,53810,1895
390490023001,23229,424
390490023002,40542,995
390490025101,28125,820
390490025102,32750,720
390490025103,30809,1512
390490025201,27619,807
390490025202,35815,692
390490025203,38542,919
390490026001,20786,1043
390490026002,31458,957
390490026003,16334,2124
390490027101,20484,1411
390490027102,17153,635
390490027301,21378,1472
390490027302,33083,628
390490027401,87313,1066
390490027402,102727,961
390490027403,29926,575
390490027501,23188,1205
390490027502,28750,1194
390490027601,62396,883
390490027602,34271,1032
390490027603,28239,1528
390490027701,30400,734
390490027702,27647,1383
390490027801,68984,1195
390490027802,36118,1197
390490028001,25962,568
390490028002,15683,566
390490028003,12865,517
390490028004,25455,717
390490029001,16042,1280
390490029002,9381,1052
390490030001,63155,953
390490030002,57083,1060
390490030003,11979,931
390490032001,54167,2315
390490036001,25438,506
390490036002,18603,825
390490037001,28934,488
390490037002,21645,1111
390490037003,40128,607
390490037004,30398,595
390490037005,23977,459
390490038001,34044,799
390490038002,32135,1284
390490040001,27279,1516
390490040002,23540,1206
390490042001,6063,804
390490043001,51588,2956
390490043002,47917,822
390490043003,20794,1041
390490043004,27518,978
390490045001,30417,906
390490045002,33036,630
390490045003,46310,727
390490045004,29107,782
390490045005,41321,1806
390490046101,78490,1032
390490046102,51000,550
390490046103,45179,687
390490046104,44911,851
390490046201,20000,889
390490046202,27976,762
390490046203,26563,778
390490047001,20871,496
390490047002,24527,1394
390490047003,26510,649
390490047004,21017,540
390490047005,14861,701
390490047006,42917,839
390490048101,33210,937
390490048102,59420,816
390490048103,43974,1476
390490048201,24167,1257
390490048202,33636,296
390490048203,26591,1041
390490049001,18676,425
390490049002,17639,849
390490049003,48182,1029
390490049004,37875,1248
390490049005,24114,1302
390490049006,23787,385
390490050001,26190,430
390490050002,15981,775
390490050003,9171,587
390490050004,15400,728
390490050005,22333,305
390490050006,29750,1363
390490050007,9127,402
390490051001,11484,1722
390490051002,20662,276
390490052001,53083,813
390490052002,70172,1829
390490053001,30391,267
390490053002,34138,810
390490053003,24150,858
390490053004,21042,911
390490054101,14625,1304
390490054201,15438,539
390490054202,27083,906
390490054203,27159,995
390490055001,31375,1006
390490055002,32375,746
390490055003,23214,846
390490055004,18333,522
390490055005,25250,473
390490055006,20721,511
390490055007,23239,425
390490056101,26875,742
390490056102,26000,1004
390490056201,36042,737
390490056202,23125,670
390490056203,32356,710
390490056204,35179,837
390490057001,38319,511
390490057002,79375,1174
390490057003,56250,1569
390490058101,72083,778
390490058102,78281,924
390490058103,62500,1156
390490058201,39338,1169
390490058202,46917,1034
390490059001,34923,981
390490059002,43466,657
390490059003,50508,568
390490059004,30427,393
390490060001,16458,207
390490060002,22019,1037
390490060003,52898,808
390490061001,31149,925
390490061002,43011,605
390490061003,28214,677
390490061004,14732,643
390490062201,98793,2081
390490062202,91765,628
390490062203,65050,1930
390490062204,92404,1373
390490062205,63155,1448
390490062301,71875,1498
390490062302,101458,7084
390490062303,76748,2877
390490062304,83281,2882
390490062361,152222,1621
390490062362,161779,1731
390490062363,134750,2685
390490063101,145298,1393
390490063102,104813,1213
390490063103,120000,929
390490063104,130536,1095
390490063211,73500,582
390490063212,125227,1347
390490063213,130216,1340
390490063214,115156,1105
390490063231,73718,1343
390490063232,88289,1002
390490063233,110000,1083
390490063301,67813,536
390490063302,76250,801
390490063303,41500,976
390490063304,98947,948
390490063305,61333,942
390490063306,58920,884
390490063401,125357,1839
390490063402,52426,1123
390490063511,51198,1273
390490063512,43545,1216
390490063513,76250,1259
390490063521,39250,988
390490063522,25938,886
390490063523,39125,964
390490063531,59432,1462
390490063532,35366,1438
390490063533,45962,1207
390490063711,46367,1214
390490063712,85326,1818
390490063713,49507,2054
390490063714,74090,1698
390490063721,47440,2023
390490063722,51568,2703
390490063723,62763,1978
390490063831,100221,2902
390490063832,55167,2095
390490063833,62863,1342
390490063834,52759,1331
390490063835,70121,1325
390490063841,48271,536
390490063842,95625,2451
390490063843,77411,1599
390490063844,94500,628
390490063845,61015,1929
390490063861,40565,953
390490063862,53333,2201
390490063863,97614,1071
390490063871,41989,1838
390490063872,91618,887
390490063873,96696,636
390490063874,58795,2527
390490063911,123456,1934
390490063912,138750,2727
390490063921,119250,2116
390490063922,136574,1705
390490063923,153173,458
390490063931,72253,2696
390490063932,114130,1799
390490063933,47258,1236
390490063941,101103,1070
390490063942,65580,1811
390490063951,56597,2345
390490063952,39588,1328
390490063961,52958,1785
390490063962,35813,961
390490063963,63917,717
390490063964,49508,1383
390490064101,128750,780
390490064102,73160,992
390490064103,80714,997
390490064301,89643,768
390490064302,100750,1060
390490064303,142946,824
390490064304,44868,962
390490064305,53846,897
390490065001,186146,956
390490065002,102159,784
390490065003,116994,962
390490065004,240536,959
390490066001,67188,1309
390490066002,86563,1290
390490066003,99236,1198
390490067101,59243,1301
390490067102,102775,1543
390490067211,95714,559
390490067212,141500,891
390490067213,84145,942
390490067214,107321,966
390490067221,79338,1419
390490067222,36802,799
390490067223,76806,696
390490068101,65000,1095
390490068102,80000,933
390490068211,21806,1877
390490068212,38789,1651
390490068221,61250,809
390490068222,73365,1194
390490069101,114583,879
390490069102,120833,707
390490069211,34318,961
390490069212,44494,851
390490069213,30000,1220
390490069214,52358,939
390490069231,46627,867
390490069232,30938,693
390490069233,41133,739
390490069234,92949,1062
390490069241,54135,1812
390490069242,25903,1612
390490069311,21134,1798
390490069312,36103,610
390490069313,32718,1491
390490069314,22500,1234
390490069315,45784,1251
390490069316,59219,828
390490069321,47868,1200
390490069322,33051,554
390490069323,78879,937
390490069324,24950,1606
390490069325,50821,777
390490069326,62083,617
390490069331,32857,1908
390490069332,32614,1262
390490069333,18750,669
390490069334,25509,760
390490069421,37545,1308
390490069431,65192,866
390490069432,30903,1448
390490069433,60927,1341
390490069434,48836,961
390490069441,48313,687
390490069442,63082,1449
390490069443,50042,753
390490069444,64750,1252
390490069451,25294,1512
390490069452,28831,2063
390490069453,37115,2216
390490069501,104393,1790
390490069502,87868,850
390490069901,50114,1253
390490069902,91406,1169
390490069903,86759,2053
390490069904,34516,843
390490069905,21600,949
390490070101,60450,1037
390490070102,66974,591
390490070103,28333,2205
390490070201,78667,1748
390490070202,53947,1600
390490070203,102604,1475
390490070204,62688,1281
390490070411,69148,2211
390490070431,52997,2380
390490070432,53167,1734
390490070441,68667,2185
390490070442,44083,1387
390490070443,76098,2678
390490070471,85833,1537
390490070472,46540,2117
390490070481,72537,2925
390490070482,69621,2948
390490071121,58348,2829
390490071122,56382,1701
390490071123,38021,1576
390490071131,44184,779
390490071132,41250,917
390490071133,49226,2548
390490071141,63125,1023
390490071142,50642,1499
390490071143,47500,2354
390490071151,35924,740
390490071152,30100,1009
390490071153,40647,1563
390490071154,77629,504
390490071155,35638,900
390490071201,66458,2146
390490071202,51125,1650
390490071203,76466,1430
390490071321,80106,1170
390490071322,62701,2379
390490071323,55455,2283
390490071324,86250,2205
390490071931,67543,718
390490071932,108953,1275
390490071933,97463,942
390490071934,125769,1751
390490071935,101216,664
390490071936,113824,910
390490071941,121429,1696
390490071942,66500,1504
390490071943,38090,1350
390490071944,62587,2046
390490071981,71500,2825
390490071991,55102,1202
390490071992,63906,2413
390490071993,53884,1445
390490072011,70104,130
390490072012,105313,496
390490072021,33214,617
390490072022,57308,2580
390490072031,146447,2861
390490072032,67128,520
390490072051,66667,1042
390490072052,52125,887
390490072053,66101,1740
390490072071,70833,824
390490072072,61424,1568
390490072073,94519,1456
390490072091,79292,3022
390490072092,115900,3156
390490072101,149615,937
390490072102,82054,2878
390490072103,250001,3137
390490072104,197174,1516
390490073931,126667,2020
390490073932,115720,2327
390490073933,49821,1576
390490073934,111532,2881
