Id,Median,Total
390572001041,38667,526
390572101001,56771,1607
390572102002,73472,1040
390572102005,75069,2231
390572103002,66406,1618
390572104021,44236,654
390572104022,68550,3261
390572803002,71111,1433
391130001001,21250,1319
391130001002,33625,1174
391130001003,39219,360
391130002001,25625,691
391130002002,28438,868
391130002003,25952,1001
391130003001,30104,1075
391130003002,25679,512
391130003003,12024,335
391130004001,27656,906
391130004002,38295,1232
391130004003,21480,717
391130004004,13845,814
391130005001,25756,1294
391130005002,28254,557
391130005003,17381,449
391130005004,63795,463
391130005005,49375,1044
391130006001,40357,558
391130006002,39205,1089
391130007001,18750,661
391130007002,30982,911
391130007003,15417,609
391130007004,27969,538
391130008011,44493,1124
391130008012,35625,1678
391130008013,37955,452
391130008021,32917,685
391130008022,15313,720
391130008023,26250,798
391130009001,23276,744
391130009002,25417,611
391130009003,23225,722
391130009004,17266,1044
391130010001,63491,417
391130010002,13235,787
391130011001,22125,768
391130011002,25160,990
391130011003,31422,733
391130011004,24700,995
391130011005,12125,1081
391130012001,20398,1150
391130015011,26700,2509
391130015012,15125,1187
391130016001,28674,944
391130016002,33913,1011
391130017001,20911,757
391130017002,6063,54
391130018001,22024,2105
391130018002,24615,2106
391130018003,25741,1662
391130019001,14375,846
391130019002,66394,690
391130019003,28176,948
391130019004,30970,897
391130019005,23693,469
391130019006,20169,1060
391130020001,22237,651
391130020002,24338,1416
391130020003,52826,995
391130022001,15081,743
391130022002,18750,589
391130022003,23897,886
391130022004,11600,591
391130023001,16763,980
391130023002,20863,1276
391130023003,15845,713
391130024001,31676,1212
391130024002,43317,1262
391130025001,37406,1493
391130025002,43589,805
391130025003,25078,1146
391130025004,42059,825
391130025005,30202,1221
391130026001,20896,1406
391130026002,59531,988
391130026003,67969,966
391130026004,27969,463
391130026005,42500,923
391130026006,30109,973
391130027001,43839,613
391130027002,38542,739
391130027003,50275,896
391130028001,36625,781
391130028002,42715,1261
391130029001,35802,1058
391130029002,32029,1160
391130029003,38438,746
391130029004,38750,869
391130030001,32270,899
391130030002,31820,1409
391130030003,29900,667
391130031001,20346,931
391130031002,42750,720
391130031003,50833,962
391130032011,24306,1415
391130032012,34833,472
391130032013,66129,1402
391130033001,47417,574
391130033002,36926,735
391130033003,47462,1181
391130033004,43462,1059
391130033005,19479,963
391130034021,13553,3275
391130034022,17317,5148
391130034031,25966,2688
391130034032,103125,1445
391130034041,16106,414
391130034042,31250,974
391130034043,28603,522
391130035001,13618,831
391130035002,21250,703
391130035003,27829,554
391130038001,15450,665
391130038002,15458,489
391130038003,25625,932
391130038004,27958,383
391130038005,15353,828
391130039001,17457,1014
391130039002,24722,824
391130039003,30694,449
391130041001,9911,1477
391130041002,30634,869
391130042001,9329,1250
391130042002,19688,428
391130042003,23281,680
391130043001,22567,2105
391130044001,31816,998
391130044002,30703,378
391130044003,15658,629
391130046001,23182,379
391130046002,38026,1181
391130046003,33618,103
391130101001,156667,1423
391130101002,97321,637
391130102001,78259,761
391130102002,121607,1032
391130102003,137401,837
391130102004,103188,840
391130102005,90313,1102
391130102006,94821,847
391130102007,61125,956
391130102008,70385,730
391130201001,76458,857
391130201002,36850,1156
391130201003,51607,887
391130202001,63776,874
391130202002,50761,674
391130203001,49076,959
391130203003,109340,1063
391130208001,62273,768
391130208002,41823,1548
391130209001,52963,517
391130209002,52708,666
391130209003,47438,818
391130209004,23306,552
391130210001,34667,835
391130210002,42337,866
391130211001,30625,499
391130211002,28229,795
391130211003,31484,1252
391130211004,49110,740
391130212001,54886,1695
391130213011,40536,700
391130213012,41488,1579
391130213013,47159,704
391130213021,43409,773
391130213022,49783,1368
391130214002,65417,923
391130215011,51250,754
391130215012,42879,1327
391130215013,28723,666
391130215021,44871,1728
391130301002,37232,924
391130302001,44817,2826
391130601001,57273,1610
391130601002,52195,1355
391130602001,25000,1620
391130603001,38529,514
391130603002,37865,1802
391130603003,17721,2016
391130701011,22171,1192
391130701012,42450,1581
391130701013,42284,1975
391130701021,42798,2162
391130701022,37458,1278
391130702011,21047,1662
391130702021,29606,1048
391130702022,27371,711
391130703001,24091,640
391130703002,24375,1042
391130703003,20043,869
391130704001,36554,1047
391130704002,35000,1321
391130705002,37935,952
391130705003,43869,1465
391130706001,56250,1343
391130707001,24464,1347
391130707002,25464,958
391130707003,64539,1212
391130801001,25938,648
391130801002,32141,1879
391130801003,32159,802
391130801004,30898,1740
391130801005,40284,627
391130802001,38932,1029
391130802002,60329,844
391130802003,30093,731
391130803001,48438,822
391130803002,30784,1196
391130804001,23532,1495
391130804002,26250,2030
391130805001,32386,438
391130805002,37350,976
391130805003,46319,827
391130805004,46569,903
391130805005,10235,1992
391130805006,46063,1345
391130806001,29625,1018
391130806002,27115,596
391130807001,21635,524
391130807002,48050,924
391130807003,25083,605
391130903021,53088,801
391130903022,53889,972
391130903023,22774,660
391130903024,20766,1350
391130903025,-1,87
391130903026,46319,2100
391130903031,88381,3598
391130903041,88088,2701
391130903042,63932,1533
391130903043,97155,1719
391130903044,28750,1085
391130906001,36477,1023
391130906002,26369,2695
391130907001,49828,1560
391130908001,45089,754
391130908002,42292,580
391130909001,51000,2251
391130909002,53516,1396
391130910001,23906,819
391130910002,48819,1666
391130911001,43983,1536
391130911002,44009,1258
391131001011,73346,1170
391131001013,60128,2934
391131001014,14893,1408
391131002021,37614,1273
391131002022,65093,1458
391131002031,52788,2320
391131002032,61875,1255
391131002033,45556,1571
391131003011,46612,2116
391131003012,60324,711
391131003013,56625,1098
391131003021,51553,1547
391131003022,33967,1538
391131004001,39188,1734
391131004002,66386,2249
391131004003,84286,676
391131102011,100511,2553
391131102012,72762,586
391131102013,71453,1419
391131102021,66058,947
391131102022,42500,1881
391131201011,51705,2591
391131201021,69107,1423
391131201022,63889,1624
391131201023,78026,1809
391131201031,76484,1222
391131201032,45658,1483
391131251012,58444,2500
391131251021,24732,979
391131251023,53627,2199
391131651001,36767,477
391131651002,13387,1098
391131651003,14915,939
391131652001,13846,848
391131652002,39145,916
391139800001,-1,0
