lng1,lat1,lng2,lat2,id1,id2
-84.085272,39.796714,-84.085005,39.796714,390572001041,390572001042
-84.085005,39.796714,-84.084602,39.796707,390572001041,390572001042
-84.084602,39.796707,-84.084182,39.796691,390572001041,390572001042
-84.084182,39.796691,-84.083891,39.796669,390572001041,390572001042
-84.084505,39.795454,-84.084556,39.795522,390572001041,390572001042
-84.084556,39.795522,-84.084863,39.795992,390572001041,390572001042
-84.084863,39.795992,-84.085226,39.796548,390572001041,390572001042
-84.085226,39.796548,-84.085272,39.796714,390572001041,390572001042
-84.086074,39.810899,-84.085659,39.811179,390572001041,390572803001
-84.085659,39.811179,-84.085528,39.811249,390572001041,390572803001
-84.085528,39.811249,-84.085393,39.811313,390572001041,390572803001
-84.085393,39.811313,-84.084637,39.811633,390572001041,390572803001
-84.084637,39.811633,-84.083843,39.811952,390572001041,390572803001
-84.083843,39.811952,-84.083111,39.812231,390572001041,390572803001
-84.083111,39.812231,-84.082875,39.812325,390572001041,390572803001
-84.082875,39.812325,-84.082734,39.812404,390572001041,390572803001
-84.082734,39.812404,-84.08243,39.812514,390572001041,390572803001
-84.08243,39.812514,-84.082356,39.812582,390572001041,390572803001
-84.082356,39.812582,-84.082244,39.812674,390572001041,390572803001
-84.082244,39.812674,-84.082155,39.812776,390572001041,390572803001
-84.082155,39.812776,-84.082073,39.812908,390572001041,390572803001
-84.082073,39.812908,-84.081902,39.813153,390572001041,390572803001
-84.081902,39.813153,-84.081686,39.813467,390572001041,390572803001
-84.081686,39.813467,-84.081391,39.813887,390572001041,390572803001
-84.081391,39.813887,-84.080459,39.815249,390572001041,390572803001
-84.080459,39.815249,-84.080088,39.815677,390572001041,390572803001
-84.080088,39.815677,-84.079876,39.815761,390572001041,390572803001
-84.079876,39.815761,-84.079396,39.815943,390572001041,390572803001
-84.079396,39.815943,-84.078917,39.816131,390572001041,390572803001
-84.078917,39.816131,-84.077245,39.816776,390572001041,390572803001
-84.077245,39.816776,-84.076674,39.817056,390572001041,390572803001
-84.076674,39.817056,-84.076204,39.817277,390572001041,390572803001
-84.076204,39.817277,-84.075894,39.817428,390572001041,390572803001
-84.075894,39.817428,-84.075713,39.817522,390572001041,390572803001
-84.075713,39.817522,-84.075149,39.817832,390572001041,390572803001
-84.075149,39.817832,-84.074639,39.818136,390572001041,390572803001
-84.074639,39.818136,-84.074317,39.818354,390572001041,390572803001
-84.074317,39.818354,-84.074125,39.818486,390572001041,390572803001
-84.074125,39.818486,-84.07406,39.818531,390572001041,390572803001
-84.07406,39.818531,-84.07309,39.819182,390572001041,390572803001
-84.07309,39.819182,-84.072767,39.819424,390572001041,390572803001
-84.072767,39.819424,-84.071932,39.820102,390572001041,390572803001
-84.071932,39.820102,-84.071505,39.820465,390572001041,390572803001
-84.071505,39.820465,-84.071295,39.820636,390572001041,390572803001
