Id,Median,Total
080010078011,21509,1632
080010078012,26383,2446
080010078021,21167,1270
080010078022,24298,1190
080010078023,19241,1435
080010079001,37434,2248
080010079002,20408,727
080010079003,44231,1498
080010079004,25714,2125
080010080001,50417,801
080010080002,40293,1068
080010080003,59410,985
080010080004,51378,913
080010080005,47202,1025
080010080006,37738,1049
080010081001,31761,885
080010082001,63409,2069
080010082002,47039,2057
080010082003,46458,709
080010083081,46111,1262
080010083082,41838,1551
080010083083,23969,3183
080010083091,29688,632
080010083092,31958,1497
080010083093,31350,1267
080010083531,-1,44
080010083532,63218,2152
080010083533,52517,964
080010083534,52135,1038
080010083535,53281,1338
080010087051,56344,1540
080010087052,35694,1403
080010087053,26361,673
080010087063,46667,1262
080010087091,44583,1252
080010087092,26746,2505
080010087093,21736,1203
080010087094,47260,1369
080010087095,31117,1944
080010089011,37589,1248
080010089012,41087,1361
080010095023,54336,1466
080010095532,51111,878
080010096062,41250,1156
080010096072,57375,1676
080010096081,53714,1457
080010096082,71852,1484
080010097511,26953,2489
080010097512,36490,1216
080010097521,52500,1968
080010097522,56223,1256
080010150002,40492,761
080019887001,-1,0
080050049511,28813,1892
080050049521,38786,1001
080050049522,53304,1480
080050055511,47130,1097
080050055512,25875,2419
080050055521,31519,774
080050055522,30047,1609
080050055531,50129,1196
080050055532,66250,507
080050055533,48289,2185
080050056121,223125,1568
080050056122,41639,2039
080050056191,91477,1462
080050056192,90326,1095
080050056193,64763,694
080050056194,64917,1265
080050056201,37604,1063
080050056202,44980,1644
080050056361,250001,1883
080050057001,50000,1098
080050057002,46976,1932
080050057003,38235,672
080050058001,67788,930
080050058002,64857,1307
080050059511,50119,1140
080050059512,38861,1060
080050059513,27305,1289
080050059514,29375,967
080050059521,103148,1472
080050059522,38911,1787
080050060001,21816,844
080050060002,56667,715
080050060003,49375,1090
080050061001,24063,1225
080050061002,52083,789
080050061003,63098,662
080050062001,28708,730
080050062002,37344,682
080050062003,56176,676
080050062004,51429,895
080050063001,60156,689
080050063002,58438,493
080050063003,63472,681
080050063004,58274,591
080050064001,52616,694
080050064002,33603,1376
080050064003,73563,811
080050065011,28925,1855
080050065021,28017,1076
080050066011,29032,1358
080050066012,50893,1344
080050066013,32596,1374
080050066014,35871,1037
080050067041,232583,702
080050067042,163000,1666
080050067043,250001,1184
080050067044,250001,822
080050067051,194583,1752
080050067121,126597,1143
080050067122,113796,269
080050068081,155875,1802
080050068082,134063,1352
080050068083,160282,2290
080050068541,58309,2262
080050068552,100189,2304
080050068571,167845,1100
080050068582,51189,1757
080050068583,68265,838
080050071041,51354,1807
080050071042,73889,1393
080050071052,68810,1368
080050072011,50833,921
080050072012,37731,1916
080050072013,21250,913
080050072021,30493,1756
080050072022,48603,1153
080050072023,32188,1260
080050073011,29402,1529
080050073012,28750,1129
080050073021,21673,2198
080050073022,20595,1289
080050073023,31360,895
080050073024,30530,669
080050074001,44382,2064
080050074002,47778,968
080050074003,34697,1050
080050074004,42903,1761
080050075001,47847,1653
080050075002,44345,1027
080050076001,48289,595
080050076002,57143,939
080050076003,50847,623
080050076004,33177,1062
080050077021,68417,1373
080050077022,59038,1077
080050077023,27165,1915
080050077031,70313,1269
080050077032,43988,1200
080050077033,30444,2342
080050077041,35417,1482
080050077042,37139,2201
080050077043,31696,1063
080050151001,77794,1375
080050151002,91806,1028
080050800001,24388,1839
080050800002,66339,1491
080050801001,28194,1160
080050801002,14874,1222
080050801003,52353,1958
080050802001,68802,757
080050802002,42083,1734
080050802003,53427,997
080050802004,82297,1357
080050803001,51875,748
080050803002,71447,1795
080050803003,47667,2037
080050803004,38654,756
080050804001,48699,799
080050804002,57500,1693
080050804003,55800,955
080050804004,76193,1219
080050805001,69612,1957
080050805002,44159,1163
080050806001,26684,1027
080050806002,49145,1299
080050806003,38646,794
080050807001,46386,1970
080050807002,23750,1950
080050807003,70833,1611
080050808001,38320,2141
080050808002,51875,802
080050809001,46934,2151
080050809002,70078,1963
080050810001,42447,1846
080050810002,32963,970
080050810003,42830,1702
080050810004,31563,1228
080050811001,36087,1497
080050811002,48125,592
080050811003,29375,1649
080050811004,33711,1916
080050812001,48830,1778
080050812002,30214,1516
080050812003,32375,1034
080050813001,59531,1437
080050813002,40691,1631
080050814001,58796,744
080050814002,50050,1110
080050814003,67300,1281
080050814004,77269,1064
080050815001,37622,1356
080050815002,32445,1578
080050816001,58214,641
080050816002,64167,1196
080050816003,65278,1525
080050816004,65511,1249
080050817001,102656,1941
080050817002,144750,885
080050818001,28769,3018
080050818002,52583,1126
080050818003,60729,1308
080050819001,58917,1305
080050819002,62813,1777
080050819003,19861,1993
080050819004,37206,1340
080050820001,31684,1637
080050820002,36830,1062
080050820003,32169,997
