Id,Median,Total
191530001011,-1,-1
191530001012,-1,-1
191530001021,-1,-1
191530001022,-1,-1
191530001023,-1,-1
191530001031,-1,-1
191530001032,-1,-1
191530002011,-1,-1
191530002012,-1,-1
191530002021,-1,-1
191530002022,-1,-1
191530002023,-1,-1
191530002024,-1,-1
191530003001,-1,-1
191530003002,-1,-1
191530003003,-1,-1
191530004001,-1,-1
191530004002,-1,-1
191530004003,-1,-1
191530004004,-1,-1
191530004005,-1,-1
191530005001,-1,-1
191530005002,-1,-1
191530005003,-1,-1
191530005004,-1,-1
191530005005,-1,-1
191530006001,-1,-1
191530006002,-1,-1
191530006003,-1,-1
191530006004,-1,-1
191530007011,-1,-1
191530007012,-1,-1
191530007013,-1,-1
191530007021,-1,-1
191530007022,-1,-1
191530007023,-1,-1
191530007031,-1,-1
191530007032,-1,-1
191530007033,-1,-1
191530007041,-1,-1
191530007042,-1,-1
191530007043,-1,-1
191530007044,-1,-1
191530008011,-1,-1
191530008012,-1,-1
191530008013,-1,-1
191530008014,-1,-1
191530008015,-1,-1
191530008016,-1,-1
191530008021,-1,-1
191530008022,-1,-1
191530008023,-1,-1
191530008031,-1,-1
191530008032,-1,-1
191530008033,-1,-1
191530008034,-1,-1
191530009011,-1,-1
191530009012,-1,-1
191530009013,-1,-1
191530009014,-1,-1
191530009021,-1,-1
191530009022,-1,-1
191530009023,-1,-1
191530010001,-1,-1
191530010002,-1,-1
191530010003,-1,-1
191530010004,-1,-1
191530011001,-1,-1
191530011002,-1,-1
191530011003,-1,-1
191530011004,-1,-1
191530012001,-1,-1
191530012002,-1,-1
191530012003,-1,-1
191530015001,-1,-1
191530015002,-1,-1
191530017001,-1,-1
191530017002,-1,-1
191530018001,-1,-1
191530018002,-1,-1
191530019001,-1,-1
191530019002,-1,-1
191530019003,-1,-1
191530019004,-1,-1
191530019005,-1,-1
191530021001,-1,-1
191530021002,-1,-1
191530021003,-1,-1
191530021004,-1,-1
191530021005,-1,-1
191530021006,-1,-1
191530026001,-1,-1
191530027001,-1,-1
191530027002,-1,-1
191530027003,-1,-1
191530027004,-1,-1
191530028001,-1,-1
191530028002,-1,-1
191530028003,-1,-1
191530028004,-1,-1
191530029001,-1,-1
191530029002,-1,-1
191530029003,-1,-1
191530029004,-1,-1
191530030011,-1,-1
191530030012,-1,-1
191530030021,-1,-1
191530030022,-1,-1
191530030023,-1,-1
191530030024,-1,-1
191530031001,-1,-1
191530032001,-1,-1
191530032002,-1,-1
191530039011,-1,-1
191530039012,-1,-1
191530039021,-1,-1
191530039022,-1,-1
191530040011,-1,-1
191530040012,-1,-1
191530040041,-1,-1
191530040042,-1,-1
191530041001,-1,-1
191530041002,-1,-1
191530042001,-1,-1
191530042002,-1,-1
191530043001,-1,-1
191530043002,-1,-1
191530043003,-1,-1
191530043004,-1,-1
191530043005,-1,-1
191530043006,-1,-1
191530043007,-1,-1
191530044001,-1,-1
191530044002,-1,-1
191530044003,-1,-1
191530044004,-1,-1
191530045011,-1,-1
191530045012,-1,-1
191530045013,-1,-1
191530045021,-1,-1
191530045022,-1,-1
191530046021,-1,-1
191530046022,-1,-1
191530046023,-1,-1
191530046024,-1,-1
191530046025,-1,-1
191530046031,-1,-1
191530046032,-1,-1
191530046033,-1,-1
191530046034,-1,-1
191530047011,-1,-1
191530047012,-1,-1
191530047013,-1,-1
191530047014,-1,-1
191530047015,-1,-1
191530047021,-1,-1
191530048001,-1,-1
191530048002,-1,-1
191530049001,-1,-1
191530049002,-1,-1
191530050001,-1,-1
191530050002,-1,-1
191530050003,-1,-1
191530050004,-1,-1
191530051001,-1,-1
191530051002,-1,-1
191530051003,-1,-1
191530051004,-1,-1
191530052001,-1,-1
191530052002,-1,-1
191530052003,-1,-1
191530053001,-1,-1
191530053002,-1,-1
191530053003,-1,-1
191530104081,-1,-1
191530104082,-1,-1
191530104083,-1,-1
191530104091,-1,-1
191530104092,-1,-1
191530104093,-1,-1
191530105001,-1,-1
191530105002,-1,-1
191530105003,-1,-1
191530106001,-1,-1
191530106002,-1,-1
191530106003,-1,-1
191530106004,-1,-1
191530106005,-1,-1
191530108021,-1,-1
191530108022,-1,-1
191530108023,-1,-1
191530108031,-1,-1
191530108032,-1,-1
191530108042,-1,-1
191530110012,-1,-1
191530110281,-1,-1
191530110283,-1,-1
191530111111,-1,-1
191530112011,-1,-1
191530112012,-1,-1
191530112013,-1,-1
191530116001,-1,-1
191530117021,-1,-1
