Id,Median,Total
260992585003,42250,364
260992586005,43352,1029
260992588002,76912,1010
260992588003,26442,1004
260992588004,43607,875
260992589003,24258,953
260992636003,19795,687
260992636004,20682,659
260992636005,25675,2555
260992637001,40298,672
260992637002,38750,1364
260992637003,39208,655
260992637004,29738,988
260992638003,24432,760
260992640001,25061,950
260992640002,29643,853
260992642002,19792,1036
260992642003,31136,504
260992683002,37583,1103
260992683003,19531,820
260992684001,36331,779
260999822001,-1,20
261251618002,29219,1205
261251622001,16845,52
261251623001,72639,637
261251623003,44306,1142
261251623004,48704,1424
261251624002,49476,1421
261251625001,53750,486
261251625002,44135,1460
261251715001,56182,1992
261251716002,26599,1239
261251725001,19965,1735
261251725002,36691,965
261251733002,61250,756
261251734001,39375,852
261251734002,42649,915
261251734003,51548,1026
261251734005,32976,659
261251735001,44844,867
261251736001,38750,1378
261251752003,24412,1122
261251752005,37917,856
261251753003,30909,771
261251753005,23233,933
261635001001,35000,1467
261635001002,23068,697
261635001003,21741,649
261635001004,22193,434
261635002001,34567,710
261635002002,13917,612
261635002003,30556,557
261635002004,61761,899
261635003001,37273,890
261635003002,24313,720
261635003003,19667,537
261635003004,8750,337
261635004001,12321,104
261635004002,36250,36
261635004003,21985,340
261635004004,17418,533
261635005001,36739,730
261635005002,36250,206
261635005003,28603,585
261635005004,9358,190
261635006001,25559,1210
261635006002,36100,846
261635006003,8618,250
261635006004,25750,334
261635006005,12083,737
261635007001,37625,864
261635007002,41641,944
261635007003,27955,1759
261635007004,22006,950
261635008001,36053,1711
261635008002,23056,861
261635009001,26270,1779
261635009002,36771,653
261635009003,34052,633
261635009004,25882,1005
261635010001,18672,1076
261635010002,27667,1026
261635010003,23673,1469
261635011001,45893,413
261635011002,38281,712
261635011003,27406,351
261635011004,24091,628
261635011005,22139,1179
261635012001,25313,959
261635012002,44231,860
261635013001,21283,795
261635013002,40417,228
261635013003,26759,936
261635013004,23750,702
261635013005,23295,1460
261635014001,42614,734
261635014002,36250,793
261635014003,39805,1604
261635014004,36818,562
261635015001,41115,1424
261635015002,32154,497
261635015003,30625,900
261635015004,63906,484
261635015005,40265,1018
261635016001,41836,1124
261635016002,23750,701
261635017001,11424,1077
261635017002,30563,1411
261635018001,45820,1224
261635018002,41862,1043
261635018003,70417,1853
261635018004,53036,927
261635019001,25946,990
261635019002,24107,592
261635019003,20972,653
261635019004,21875,689
261635020001,27857,1253
261635020002,27143,1144
261635031001,45865,1084
261635031002,44514,976
261635031003,18611,1069
261635032001,21875,1328
261635032002,34479,1157
261635032003,24464,999
261635033001,33281,1317
261635033002,25903,1003
261635033003,26875,1056
261635033004,20167,981
261635034001,32917,724
261635034002,25179,508
261635035001,28370,476
261635035002,23500,360
261635035003,15244,851
261635035004,22067,596
261635035005,28026,1255
261635036001,11319,298
261635036002,13711,264
261635036003,38214,773
261635039001,22411,867
261635039002,6776,255
261635039003,40833,1538
261635040001,24640,599
261635040002,34798,950
261635041001,25500,186
261635041002,18403,363
261635041003,17083,1120
261635042001,29808,792
261635042002,14250,733
261635042003,58003,490
261635042004,21563,170
261635043001,30461,809
261635043002,36250,822
261635043003,20167,774
261635044001,26750,427
261635044002,11667,470
261635044003,34583,800
261635047001,27589,1061
261635047002,20625,658
261635047003,21821,634
261635048001,21438,518
261635048002,18472,723
261635049001,26875,863
261635049002,33597,1031
261635049003,28036,899
261635049004,30682,522
261635050001,23690,868
261635050002,41042,303
261635051001,10977,857
261635051002,16500,412
261635051003,40054,878
261635051004,27765,265
261635051005,33571,272
261635052001,31161,803
261635052002,26974,1171
261635052003,33083,437
261635052004,20652,1289
261635054001,26932,1164
261635054002,4875,191
261635054003,14539,720
261635054004,14135,697
261635055001,26500,878
261635055002,18529,701
261635061001,23892,1348
261635061002,25341,430
261635062001,24318,1127
261635062002,24167,1121
261635063001,28021,652
261635063002,30000,830
261635063003,28929,927
261635064001,35134,1137
261635064002,26406,561
261635064003,-1,1139
261635065001,11094,311
261635065002,19583,1150
261635065003,21818,1066
261635066001,20313,840
261635066002,30742,1081
261635066003,30972,338
261635066004,28843,604
261635067001,33387,1669
261635068001,30195,943
261635068002,34141,660
261635068003,35543,1664
261635068004,19671,995
261635069001,32197,952
261635069002,35286,481
261635069003,19000,580
261635069004,32784,1164
261635069005,24821,957
261635070001,16111,1086
261635070002,21563,748
261635070003,38542,987
261635071001,14392,206
261635071002,24018,650
261635071003,23051,625
261635071004,36719,852
261635072001,16528,617
261635072002,25350,657
261635073001,34479,1285
261635073002,29063,489
261635073003,33214,606
261635074001,27031,492
261635074002,38162,1151
261635074003,32634,499
261635074004,46406,516
261635075001,12391,1052
261635075002,24814,1154
261635075003,16719,275
261635078001,34792,581
261635078002,18542,367
261635079001,11316,550
261635079002,21250,323
261635079003,36250,535
261635079004,47167,608
261635080001,22879,526
261635080002,14159,789
261635081001,21406,532
261635081002,16429,473
261635081003,18750,369
261635081004,47629,324
261635081005,31719,275
261635104001,25093,270
261635104002,15625,323
261635104003,28750,358
261635105001,15786,717
261635105002,21602,1388
261635105003,16833,918
261635105004,17757,2293
261635106001,31474,673
261635106002,20205,2487
261635106003,19670,1111
261635107001,19258,359
261635107002,21875,1421
261635110001,28833,425
261635110002,21750,387
261635110003,23173,788
261635110004,20417,449
261635112001,18895,978
261635112002,19142,278
261635113001,20691,1031
261635113002,45179,593
261635113003,13550,344
261635114001,27663,373
261635114002,12500,373
261635114003,36169,645
261635114004,55714,236
261635114005,18676,1035
261635119001,13484,705
261635119002,11214,1029
261635121001,15365,598
261635121002,38818,745
261635121003,24145,336
261635121004,16016,497
261635121005,20991,999
261635122001,6250,862
261635122002,16284,311
261635123001,12009,1069
261635123002,9858,459
261635124001,22083,493
261635124002,19545,321
261635124003,20417,723
261635126001,28438,432
261635126002,15455,568
261635126003,14821,415
261635126004,16667,269
261635129001,14871,715
261635129002,16886,684
261635129003,30435,143
261635132001,32750,421
261635132002,34167,908
261635132003,28528,412
261635133001,29844,1018
261635133002,28750,1410
261635136001,38500,785
261635136002,12679,907
261635137001,31806,762
261635137002,22500,1482
261635137003,16017,1204
261635139001,9575,669
261635139002,19298,848
261635139003,27546,625
261635141001,15952,965
261635141002,8864,801
261635141003,13636,571
261635141004,20417,755
261635142001,26667,946
261635142002,24338,390
261635142003,12574,734
261635142004,39028,255
261635142005,25893,602
261635143001,15779,1063
261635143002,23831,1575
261635143003,23750,1020
261635145001,26083,808
261635145002,13564,715
261635152001,19775,827
261635152002,35147,999
261635153001,29036,1033
261635153002,9694,810
261635153003,17589,1046
261635154001,69596,743
261635154002,70096,918
261635156001,17208,692
261635156002,18500,805
261635157001,21955,2535
261635157002,49096,1169
261635159001,21576,705
261635159002,13790,347
261635159003,45972,124
261635160001,38517,882
261635160002,19583,464
261635160003,14950,449
261635160004,33472,645
261635161001,11844,348
261635161002,11250,206
261635162001,21731,444
261635162002,12031,238
261635163001,19667,850
261635164001,36579,720
261635164002,26382,389
261635165001,43500,1285
261635166001,8315,1139
261635166002,22390,946
261635167001,21442,1825
261635167002,17593,1161
261635168001,26250,547
261635168002,16375,494
261635169001,21405,2416
261635170001,26976,2507
261635171001,30467,1214
261635172001,42763,746
261635172002,52250,1042
261635173001,32460,801
261635173002,14449,1119
261635175001,11042,712
261635175002,12412,1073
261635175003,30381,461
261635180001,48098,730
261635180002,14130,1166
261635184001,18839,352
261635184002,18750,136
261635185001,16750,537
261635185002,12850,657
261635186001,6080,315
261635186002,31250,178
261635188001,20476,318
261635188002,30000,441
261635189001,10714,1775
261635202001,21518,691
261635202002,22800,1469
261635203001,28875,1216
261635203002,12935,355
261635204001,16988,1801
261635207001,24712,934
261635207002,17815,1508
261635208001,46667,1197
261635211001,38304,1012
261635211002,15694,1023
261635213001,33417,1016
261635214001,38810,1369
261635215001,20612,838
261635215002,27589,855
261635218001,12582,1165
261635219001,39010,1080
261635219002,12196,856
261635219003,48646,1075
261635220001,15721,2032
261635221001,28125,351
261635221002,9250,330
261635222001,22336,382
261635222002,21563,213
261635223001,23750,486
261635223002,10742,866
261635224001,14088,334
261635224002,18150,726
261635225001,2499,135
261635225002,9638,731
261635225003,16651,542
261635231001,25714,1608
261635232001,28750,1581
261635232002,31579,2358
261635233001,22125,865
261635233002,29832,1691
261635233003,19000,1199
261635234001,16250,1522
261635234002,25750,1277
261635238001,45580,1511
261635238002,32750,813
261635238003,28438,1012
261635238004,21719,1460
261635240001,18182,1239
261635240002,26250,545
261635240003,39211,1676
261635241001,22206,1226
261635241002,35500,802
261635241003,19167,909
261635241004,21563,969
261635242001,53813,685
261635242002,21961,586
261635242003,63646,944
261635242004,22955,673
261635242005,22148,1107
261635242006,30919,972
261635243001,23026,683
261635243002,27407,1129
261635243003,35329,981
261635245001,48158,424
261635245002,27891,604
261635247001,37216,506
261635247002,26739,545
261635247003,18348,984
261635247004,40625,228
261635247005,29526,415
261635247006,36827,1341
261635248001,21410,469
261635248002,19076,683
261635248003,27344,583
261635248004,43826,556
261635248005,33281,385
261635249001,25959,1056
261635249002,21944,506
261635250001,-1,0
261635250002,24565,633
261635250003,31971,394
261635254001,27361,1199
261635254002,41429,422
261635254003,9899,923
261635255001,29524,979
261635255002,27500,460
261635256001,21667,1066
261635256002,17788,886
261635257001,29886,1113
261635257002,24318,769
261635257003,30150,2637
261635257004,25380,914
261635258001,21042,447
261635258002,18500,1314
261635260001,25250,1854
261635260002,23226,1383
261635261001,27798,890
261635261002,29716,1768
261635262001,38778,1238
261635262002,17292,1091
261635262003,42450,759
261635263001,25188,1283
261635263002,22206,762
261635263003,34063,1638
261635264001,27857,695
261635264002,23971,1098
261635265001,31140,496
261635265002,22969,1460
261635265003,16513,243
261635272001,16063,497
261635272002,16641,342
261635273001,18000,779
261635273002,9982,725
261635301001,21250,636
261635301002,25625,819
261635301003,36641,1002
261635301004,13712,156
261635302001,44667,1064
261635302002,29730,754
261635302003,33750,659
261635302004,20758,1548
261635302005,12021,268
261635303001,22148,572
261635303002,15282,968
261635303003,25000,924
261635304001,33607,927
261635304002,16875,610
261635305001,58700,733
261635305002,45956,1242
261635305003,15625,793
261635308001,12270,567
261635308002,16250,622
261635308003,21111,685
261635308004,22434,457
261635309001,13056,1092
261635309002,9806,533
261635309003,13542,1002
261635311001,12368,508
261635311002,15112,603
261635312001,45870,413
261635312002,42692,1059
261635312003,31654,1979
261635313001,40303,505
261635313002,14219,733
261635314001,39853,703
261635314002,30000,968
261635315001,36813,251
261635315002,13917,591
261635315003,21122,759
261635315004,25947,922
261635316001,28349,1004
261635316002,18026,452
261635317001,15833,638
261635317002,13681,1078
261635318001,21667,555
261635318002,30250,652
261635318003,15929,1001
261635319001,16667,453
261635319002,21776,648
261635322001,24630,450
261635322002,26955,923
261635323001,58472,857
261635324001,31200,547
261635324002,7756,536
261635324003,21146,587
261635326001,12419,587
261635326002,12757,1198
261635326003,51063,311
261635327001,27500,385
261635327002,15125,478
261635330001,9688,863
261635330002,38750,741
261635331001,20278,953
261635331002,13669,287
261635331003,18350,1076
261635332001,40926,396
261635332002,28103,694
261635332003,29750,684
261635333001,33973,475
261635333002,21080,1190
261635334001,8681,587
261635334002,53125,623
261635334003,21607,423
261635334004,12946,729
261635334005,11744,608
261635335001,28456,443
261635335002,16454,614
261635336001,28510,691
261635336002,17292,594
261635336003,37824,815
261635337001,16719,633
261635337002,16204,385
261635339001,21308,1236
261635339002,17850,597
261635339003,17460,841
261635341001,11574,510
261635341002,25461,927
261635341003,18176,615
261635342001,23875,694
261635342002,28415,727
261635342003,11023,626
261635342004,18547,488
261635342005,29625,1455
261635343001,20669,695
261635343002,13750,591
261635344001,26360,964
261635344002,14840,973
261635345001,12857,372
261635345002,14762,558
261635346001,21008,517
261635346002,10909,526
261635346003,22222,653
261635347001,30234,813
261635347002,32381,511
261635347003,32188,683
261635347004,26467,1238
261635350001,17193,846
261635350002,32500,1293
261635350003,30156,1033
261635351001,43750,743
261635351002,25189,1336
261635352001,18464,875
261635352002,19375,322
261635352003,20317,751
261635352004,14881,649
261635353001,29688,803
261635353002,36151,530
261635353003,39375,634
261635353004,24205,994
261635353005,25694,967
261635354001,13203,812
261635354002,22038,743
261635355001,30852,1237
261635355002,23750,691
261635355003,21927,820
261635356001,38977,543
261635356002,43106,907
261635356003,45147,685
261635356004,45250,1493
261635357001,19479,742
261635357002,26620,1005
261635361001,26140,1316
261635361002,22311,636
261635361003,14205,716
261635361004,15603,628
261635362001,33229,836
261635362002,26368,1096
261635363001,30188,736
261635363002,29625,331
261635363003,17228,361
261635363004,19783,657
261635363005,23472,286
261635363006,29167,949
261635364001,26563,741
261635364002,16510,448
261635364003,14231,660
261635364004,45529,773
261635365001,12066,268
261635365002,39850,492
261635365003,15844,839
261635365004,22381,434
261635366001,30962,196
261635366002,28750,419
