Id,Median,Total
481410001011,35625,1885
481410001012,79777,1341
481410001013,41746,1931
481410001014,55714,1874
481410001061,68491,1340
481410001062,53182,1210
481410001063,71033,2839
481410001064,86111,938
481410001071,73707,602
481410001072,54853,1367
481410001073,37768,800
481410001074,34205,513
481410001075,49091,892
481410001076,32250,1842
481410001081,34877,1970
481410001082,40441,953
481410001091,34213,1713
481410001092,33780,1946
481410001101,35469,1388
481410001102,36500,1272
481410001103,20324,1204
481410001111,52727,1534
481410001112,38311,750
481410001113,77679,678
481410001121,40242,1237
481410001122,36439,852
481410001123,45625,1112
481410001124,33977,1492
481410002041,36545,1467
481410002042,52656,879
481410002043,45104,1030
481410002044,53295,780
481410002045,31850,1038
481410002051,30028,1988
481410002052,49167,1188
481410002053,16921,968
481410002061,42944,1123
481410002062,26354,1673
481410002063,42824,1742
481410002071,35400,1639
481410002072,38017,3002
481410002081,37045,1445
481410002082,37535,1678
481410003011,17895,988
481410003012,34250,1281
481410003013,34205,1145
481410003014,20250,1952
481410003015,20724,1106
481410003021,45521,1176
481410003022,27273,1073
481410003023,24938,1142
481410003024,53988,616
481410003025,27902,541
481410003026,28109,709
481410004011,66842,1728
481410004012,54150,1771
481410004013,58854,2498
481410004031,45948,1471
481410004032,32808,1582
481410004041,16566,2130
481410004042,19583,2030
481410006001,29095,1735
481410006002,17989,595
481410006003,36507,1546
481410006004,23657,562
481410008001,16574,985
481410008002,17235,2103
481410008003,17201,990
481410008004,68447,565
481410008005,33571,1331
481410009001,39957,3776
481410009002,55625,1271
481410009003,41667,651
481410009004,29896,1449
481410009005,31827,1252
481410009006,47871,932
481410010011,25428,524
481410010012,19702,982
481410010013,23438,986
481410010014,46646,745
481410010021,29779,1171
481410010022,28914,2154
481410010023,32577,1219
481410011041,29732,2101
481410011042,47992,2606
481410011043,48636,3040
481410011071,47825,2409
481410011072,67500,2503
481410011073,105995,2052
481410011091,91667,1723
481410011092,85066,1389
481410011093,75000,1604
481410011101,74063,1755
481410011102,103889,1160
481410011103,47266,1902
481410011111,47159,1070
481410011112,34475,3601
481410011121,67556,1878
481410011122,85417,905
481410011123,52262,2048
481410011131,44583,2196
481410011132,83828,896
481410011133,60000,1300
481410011134,42672,1701
481410011135,72917,1299
481410011141,63449,1292
481410011142,39838,2222
481410011143,23493,456
481410011144,14861,1065
481410011151,35134,837
481410011152,25046,674
481410011153,24012,2276
481410012011,22380,2687
481410012012,25283,2969
481410012021,39769,2036
481410012022,52226,2872
481410012031,31625,733
481410013011,100893,1149
481410013012,54013,1322
481410013013,97679,1104
481410013021,133443,803
481410013022,111875,832
481410013023,38556,947
481410013024,136989,3376
481410013025,77629,1125
481410014001,19286,423
481410014002,20799,1681
481410015011,91071,879
481410015012,41972,2679
481410015013,74594,1034
481410015014,111875,1146
481410015021,77188,647
481410015022,79773,1055
481410015023,56063,1240
481410016001,11009,535
481410016002,19509,570
481410016003,19219,821
481410016004,15385,1503
481410016005,33036,491
481410017001,11582,973
481410017002,18125,241
481410018001,15156,546
481410018002,13636,719
481410019001,9587,613
481410019002,10964,862
481410019003,12175,874
481410020001,14783,733
481410020002,15000,787
481410020003,13958,667
481410021001,17015,876
481410021002,9830,671
481410021003,13486,1213
481410022011,28750,1978
481410022012,25104,1272
481410022021,15096,634
481410022022,24015,1329
481410022023,21750,546
481410022024,14837,562
481410022025,14367,1211
481410023001,24500,492
481410023002,29625,664
481410023003,23203,747
481410023004,32639,602
481410023005,29423,964
481410023006,26350,1123
481410024001,21838,1349
481410024002,21202,636
481410024003,27794,926
481410024004,48993,679
481410025001,20691,753
481410025002,28918,1136
481410025003,58681,448
481410025004,36569,1131
481410025005,22031,775
481410025006,21023,567
481410025007,100917,397
481410025008,76304,699
481410026001,33155,808
481410026002,20000,488
481410026003,24261,891
481410026004,23906,1059
481410026005,25329,386
481410028001,13654,1665
481410028002,14032,519
481410028003,13526,833
481410028004,17394,820
481410028005,20255,1325
481410029001,16420,476
481410029002,16369,511
481410030001,24375,910
481410030002,41250,917
481410030003,23103,1175
481410030004,13681,1059
481410031001,11406,860
481410031002,16815,928
481410031003,36694,1371
481410031004,43750,764
481410032001,17283,743
481410032002,24194,810
481410032003,19375,936
481410033001,51563,843
481410033002,8967,858
481410033003,33636,520
481410033004,38661,326
481410033005,49531,641
481410033006,23029,293
481410033007,54866,1536
481410034021,30808,3158
481410034022,23975,3818
481410034031,30714,764
481410034032,49414,1225
481410034033,56477,1586
481410034034,30268,1208
481410034035,42740,787
481410034041,45931,1423
