Id,Median,Total
410390002001,91711,1676
410390003001,57875,930
410390003002,51000,1310
410390004041,52125,724
410390010011,45524,1177
410390010012,41122,976
410390010021,71705,2107
410390010022,25469,1064
410390010023,77031,1121
410390011011,89896,1477
410390021011,42813,1011
410390021021,27323,2305
410390021022,38902,1888
410390021023,35208,2608
410390022011,98250,1547
410390022012,49056,1962
410390022021,65133,2456
410390022022,48472,924
410390022023,55078,2451
410390023011,24167,2808
410390023012,52949,1023
410390023021,75550,1968
410390023022,46848,1595
410390023023,56058,1242
410390024011,83611,728
410390024012,68125,1439
410390024013,59659,1937
410390024031,74750,2299
410390024032,55119,883
410390024033,61250,1143
410390024041,53986,2042
410390024042,50625,2375
410390025011,38571,1233
410390025012,53816,1907
410390025013,45474,1917
410390025031,71828,3983
410390025032,49038,1471
410390025033,60144,1816
410390025034,35500,466
410390025041,86000,511
410390025042,29337,2402
410390026001,39597,2837
410390026002,37045,1219
410390026003,54297,2150
410390027001,49607,2279
410390027002,36571,1510
410390028001,36406,1144
410390028002,42557,1514
410390028003,54851,1573
410390029021,48171,2209
410390029022,54643,1819
410390029031,104632,1324
410390029032,53875,1394
410390029041,47222,791
410390029042,38910,1381
410390029043,42188,1210
410390030001,53750,639
410390030002,53709,1821
410390030003,75625,1680
410390031011,43011,2003
410390031012,61048,1448
410390031013,40257,2343
410390031021,73828,901
410390031022,66563,1655
410390031023,15854,2305
410390031024,9009,2438
410390032011,23160,893
410390032012,35745,2024
410390032021,53125,1538
410390032022,65729,1096
410390036001,21439,948
410390036002,95625,925
410390036003,59659,1528
410390037001,24861,2734
410390037002,-1,1812
410390038001,8934,1194
410390038002,25145,581
410390038003,13772,1103
410390038004,7582,1944
410390038005,3469,1801
410390039001,11343,1115
410390039002,15927,887
410390039003,22895,690
410390040001,15445,791
410390040002,21500,492
410390040003,40047,1340
410390041001,47969,1054
410390041002,34659,1140
410390041003,53527,947
410390041004,82258,831
410390042001,37159,1318
410390042002,14495,1252
410390042003,25044,1186
410390043001,24567,2094
410390043002,28514,1537
410390043003,41757,1643
410390043004,52059,2039
410390044011,27051,2041
410390044012,45000,1446
410390044013,60098,537
410390044014,41354,1425
410390044031,38153,1081
410390044032,26761,1179
410390044033,15033,645
410390044034,31484,1398
410390044041,134219,771
410390044042,77222,1242
410390044043,60189,1073
410390044051,89943,2060
410390044052,73269,1552
410390044053,86979,1271
410390045011,31536,1049
410390045012,32174,826
410390045013,28218,861
410390045021,11379,563
410390045022,34375,913
410390045023,29004,1820
410390046001,32385,915
410390046002,52824,936
410390046003,42333,700
410390047001,21402,978
410390047002,71510,864
410390047003,57969,989
410390047004,22435,934
410390048001,12372,1755
410390048002,30781,1493
410390048003,7576,1865
410390049001,106667,1347
410390049002,21658,1795
410390049003,71200,1019
410390050001,45045,1168
410390050002,53430,1210
410390050003,60402,1490
410390050004,54534,1244
410390051001,34821,1644
410390051002,49091,1918
410390052001,54792,676
410390052002,87903,1220
410390053001,67857,789
410390053002,65063,1690
410390054001,61429,1408
410390054002,67396,895
410390054003,93450,1739
410390054004,84609,1204
