Id,Median,Total
120110205021,45686,1779
120110205022,59625,2076
120110308014,30037,3189
120110309021,37927,2091
120110309022,82135,1524
120110309031,38370,2985
120110309032,66542,633
120110309042,63594,1758
120110312022,63354,2579
120110401011,70385,613
120110401012,39316,753
120110401021,66652,1226
120110401022,61875,1795
120110402031,59413,1625
120110402041,56739,2764
120110402051,51439,1317
120110402052,69000,1013
120110402053,63229,1783
120110402061,49408,886
120110402062,67153,1356
120110403001,36932,1678
120110403002,56250,621
120110403003,57065,1622
120110404011,63750,2060
120110404021,101048,556
120110404022,64375,852
120110404023,46667,1464
120110405021,80714,1066
120110405022,67870,2274
120110405031,38920,1806
120110405041,85804,873
120110405042,65890,2076
120110405043,36484,269
120110406011,92798,3013
120110406012,42115,814
120110406021,90326,938
120110406022,103021,631
120110406023,74531,821
120110406024,82222,935
120110407011,76635,2179
120110407012,55089,569
120110407021,82035,819
120110407022,43426,1369
120110407023,35150,1401
120110408011,26375,2239
120110408012,39745,3026
120110408021,32583,1265
120110408022,26361,1457
120110408023,33996,2161
120110409011,15469,1776
120110409012,35610,2728
120110409021,41250,1832
120110409022,37772,1769
120110410001,44152,618
120110410002,22523,2470
120110411001,26230,1005
120110411002,39263,1591
120110411003,29659,2258
120110412001,21693,3467
120110412002,33423,1434
120110413001,42679,1950
120110413002,36424,1093
120110413003,71450,910
120110413004,51461,1210
120110413005,42558,1492
120110414001,28967,1463
120110414002,21650,1622
120110414003,20208,356
120110415001,22083,614
120110415002,14507,1390
120110415003,19917,1128
120110416001,37161,1510
120110416002,22375,1708
120110416003,19587,1318
120110416004,25795,1235
120110417001,19444,1220
120110417002,24265,1806
120110417003,22933,988
120110418011,76250,573
120110418012,50096,847
120110418021,60481,1225
120110418022,64214,569
120110418023,30804,1152
120110419001,118229,636
120110419002,72885,1333
120110419003,90025,1040
120110420001,92578,1886
120110420002,160393,708
120110420003,81490,1018
120110421001,48276,1360
120110421002,66906,1397
120110422001,83939,3339
120110423011,64549,2584
120110423012,57692,664
120110423013,37054,553
120110423021,16488,782
120110423022,31767,1030
120110424001,124750,1306
120110425001,61042,1891
120110425002,111364,1876
120110425003,54281,2881
120110426001,69583,1179
120110426002,21702,747
120110426003,36875,1412
120110426004,68917,835
120110426005,61472,700
120110427001,52617,1456
120110427002,66765,1058
120110427003,31813,3172
120110428001,54158,2563
120110428002,42962,1030
120110428003,89071,1048
120110428004,23214,1379
120110428005,36071,698
120110428006,42050,1315
120110429001,43816,2203
120110429002,41449,1711
120110429003,42434,1615
120110429004,42393,2074
120110430011,79605,1386
120110430021,31860,1214
120110430022,58654,1192
120110430023,46736,1694
120110430024,53462,1364
120110430025,46136,538
120110430026,35397,1392
120110431001,43125,2408
120110431002,61987,2222
120110431003,59375,467
120110433011,73750,2006
120110433012,64447,785
120110433013,51515,513
120110433014,64485,616
120110433015,52500,453
120110433021,17031,277
120110433022,29155,739
120110433023,25099,423
120110501001,45955,1009
120110501002,52417,1193
120110501003,42202,2799
120110502041,35938,1709
120110502042,69426,1505
120110502043,61842,2264
120110502061,46105,2792
120110502071,40890,1360
120110502072,55427,2245
120110502073,19230,1737
120110502081,53538,1146
120110502082,19924,811
120110502083,51503,1777
120110503011,32885,3120
120110503012,46667,693
120110503013,45404,2025
120110503014,63750,2596
120110503071,18696,915
120110503072,25438,2608
120110503073,32162,2807
120110503081,33099,3265
120110504011,55179,1815
120110504012,46363,2166
120110504021,37635,1842
120110504022,71406,2167
120110505011,62594,1933
120110505012,42391,423
120110505013,38750,1003
120110505021,46335,1104
120110505022,43750,1485
120110505023,43000,1460
120110505024,53867,822
120110506011,70651,732
120110506012,88000,820
120110506013,76908,1707
120110506021,66597,686
120110506022,54853,619
120110506023,53393,821
120110506024,27898,1360
120110507011,24393,2129
120110507012,56429,1714
120110507021,28949,2002
120110507022,34281,1473
120110507023,50982,1638
120110507024,23594,1124
120110508001,46802,1926
120110508002,48819,904
120110508003,43304,1891
120110509001,43906,543
120110509002,60127,1130
120110509003,38375,1607
120110509004,66638,1022
120110509005,51746,966
120110509006,60250,617
120110510011,42826,836
120110510012,48393,1196
120110510013,42577,1206
120110510021,71269,1544
120110510022,71607,1245
120110611002,38968,697
120110611003,36051,2630
120110801025,32955,759
120110802001,70703,1117
120110901021,64420,1225
120111106001,43339,1222
120111106002,45267,1811
120111106003,52885,1968
120119900000,-1,0
