Id,Median,Total
180030001001,47014,1325
180030001002,29583,1155
180030003001,53750,802
180030003002,48607,1420
180030003003,42750,1040
180030004001,35333,1456
180030004002,47031,544
180030004003,51034,694
180030005001,28547,1233
180030005002,20556,1467
180030006001,27218,1053
180030006002,31250,1069
180030007011,28025,1072
180030007012,37708,999
180030007013,40169,1230
180030007041,39583,1120
180030007042,47431,1500
180030008001,37083,677
180030008002,30682,641
180030008003,43869,571
180030008004,45865,1117
180030008005,43199,823
180030009001,29896,585
180030009002,34453,669
180030009003,32813,785
180030009004,40231,1017
180030010001,26500,1221
180030011001,28005,966
180030011002,32750,848
180030012001,14144,1025
180030013001,31250,1215
180030013002,13938,519
180030016001,19635,891
180030016002,20692,1269
180030017001,14650,742
180030017002,20536,1107
180030020001,25682,731
180030020002,37569,840
180030020003,30134,633
180030020004,18309,397
180030021001,14764,741
180030021002,25096,999
180030021003,32697,795
180030022001,31173,1826
180030022002,34929,2021
180030022003,41053,458
180030023001,21297,521
180030023002,23367,1434
180030023003,20859,998
180030023004,23292,1195
180030023005,20357,383
180030025001,46250,1073
180030025002,36780,881
180030025003,54038,1206
180030026001,26351,773
180030026002,48214,1050
180030026003,40664,646
180030026004,32353,982
180030028001,18963,1006
180030028002,31000,863
180030028003,13993,594
180030029001,18750,579
180030029002,33452,897
180030029003,27609,827
180030030001,27292,482
180030030002,19458,926
180030030003,18447,1450
180030030004,32800,1251
180030031001,29435,1199
180030031002,26500,1635
180030032001,50500,1726
180030032002,41413,1266
180030032003,72889,769
180030032004,73750,1510
180030032005,43819,629
180030033011,41616,2898
180030033041,37639,1937
180030033042,22351,1142
180030033043,35197,1098
180030034001,42375,710
180030034002,37668,741
180030034003,49868,1577
180030034004,65556,678
180030034005,34194,844
180030035001,30298,616
180030035002,39205,943
180030035003,16521,2740
180030036001,23869,1295
180030036002,35333,1211
180030036003,26302,522
180030036004,34954,1557
180030036005,38032,691
180030037001,38423,1628
180030037002,31985,781
180030038001,36250,1071
180030038002,30000,1113
180030038003,15046,853
180030039011,44000,1673
180030039012,43542,1872
180030039021,77269,911
180030039022,32321,1870
180030040001,32298,1057
180030040002,51635,1050
180030040003,24432,332
180030040004,18125,571
180030041011,43447,2288
180030041031,31193,1668
180030041032,36695,1734
180030041033,42045,1568
180030043001,30991,531
180030043002,17547,997
180030043003,26121,1156
180030044001,21393,721
180030044002,28182,1483
180030044003,14750,563
180030044004,17188,541
180030102013,73975,1655
180030102014,90260,1016
180030102021,46793,1720
180030103041,88750,1101
180030103042,57153,1938
180030103043,56027,1870
180030103044,82148,1636
180030103052,102500,2710
180030103062,76100,443
180030103071,82885,1453
180030103072,76932,3493
180030103073,76339,1037
180030103081,87386,3530
180030103082,79375,2017
180030104001,79353,2856
180030104002,66509,837
180030105001,49000,1077
180030105002,60000,1469
180030106011,61125,1921
180030106012,61557,1400
180030106021,45108,2430
180030106022,43068,1211
180030106031,46492,1639
180030106041,26808,1612
180030106042,29926,1148
180030107051,69267,1808
180030107052,42468,1476
180030107053,65250,1511
180030107061,62679,1943
180030107062,75131,1294
180030107063,54432,1671
180030107071,59942,3616
180030107072,100556,1303
180030108031,64844,1618
180030108032,44792,1419
180030108033,64708,2007
180030108041,54792,2667
180030108042,57222,1543
180030108071,55970,2281
180030108072,50000,2140
180030108081,84000,2230
180030108082,68688,1996
180030108083,69107,1107
180030108091,60809,1496
180030108092,60000,2200
180030108093,56108,1659
180030108111,92609,1512
180030108112,53333,2079
180030108113,53224,364
180030108114,39826,1343
180030108121,62212,2953
180030108122,57125,1452
180030108131,39625,1953
180030108132,95500,1053
180030108133,54123,1547
180030108151,68214,2681
180030108152,57716,1689
180030108161,79778,2397
180030108162,80051,2602
180030108171,78810,2293
180030108172,48824,1904
180030108191,40385,891
180030108192,82961,520
180030108193,47988,1282
180030108194,41829,1385
180030108211,42654,1858
180030108212,84200,952
180030108213,50491,1901
180030111001,34949,842
180030111002,43661,530
180030111003,44006,1380
180030112011,39063,1306
180030112012,25469,860
180030112021,46991,1704
180030112022,45125,1269
180030112041,60833,868
180030112042,74152,1207
180030112051,48375,716
180030112053,51713,865
180030113021,50147,714
180030113022,34545,1376
180030113023,29696,1545
180030113024,25190,2199
180030113031,23925,1366
180030113032,40000,938
180030113041,44044,2082
180030113042,16618,1232
180030113043,65300,1661
180030115011,42151,1073
180030115012,27564,823
180030115013,39087,783
180030115014,39238,1187
180030115021,34428,1478
180030115022,70096,1345
180030116031,72450,2235
180030116032,96037,929
180030116033,74050,3071
180030116041,75521,1272
180030116042,50063,900
180030116043,76307,1897
180030116051,96250,1648
180030116052,45208,1279
180030116061,81528,1624
180030116062,70078,808
180030116063,71842,2167
180030116071,73261,1895
180030116072,49601,1699
180030116073,79453,1516
180030116081,113229,1753
180030116083,96875,1738
180030116091,94081,1506
180030116092,128641,1189
180030116093,127365,2512
180030116094,92147,1440
180039800011,9952,511
180039800021,18438,68
