Id,Median,Total
481130144032,40301,779
481130153032,33438,523
481130154011,72346,1576
481130154012,90481,519
481130154013,75987,665
481130154016,48871,1481
481130154031,34141,984
481130154041,36182,2062
481130161001,30542,2218
481130161002,30500,1622
481130164011,81658,6637
481130164014,36023,165
481130164102,56921,1501
481130164111,67308,2284
481130164112,73667,3278
481130165233,200045,504
481139800001,-1,0
481210203032,84850,3867
481210203051,120469,747
481210203052,123818,2162
481210203053,157500,1677
481210203054,119038,2333
481210203061,58807,1247
481210203062,65264,5246
481210203071,108897,725
481210203072,63861,3866
481210203073,124892,3816
481210203081,75845,2289
481210203082,77576,2989
481210203083,88790,3742
481210203084,96316,842
481210217173,76797,1099
481210217174,71169,1370
481210217221,69509,2071
481210217222,87095,1950
481210217231,84135,366
481210217232,94676,1147
481210217241,122625,1893
481210217242,108264,1609
481210217243,142279,740
481210217251,118185,1633
481210217252,106895,2093
481210217261,128103,2611
481210217262,151500,580
481210217271,134261,2204
481210217272,108125,2495
481210217291,115729,1928
481210217292,124000,1158
481210217303,125076,1171
481210217421,90388,2088
481210217423,74706,1563
481210217432,36310,934
481210217433,56058,701
481210217461,118750,2249
481210217472,97552,2753
481210217481,162375,2089
481210217482,111776,2031
481210217491,139931,2011
481210217492,204609,1337
481210217501,133750,1465
481210217502,249750,2542
481210217511,200523,2667
481210217512,154676,2307
481210217521,154216,2846
481210217522,120625,2173
481210217531,119323,2978
481210217532,148523,2357
482511301001,88068,1345
482511302041,82746,8346
482511302051,63906,1237
482511302052,41375,1095
482511302073,56250,674
482511302075,71042,1521
482511302121,52414,1166
482511302151,74246,1594
483671404051,50040,2274
483671404052,60921,2805
483671404073,105503,4872
483671404082,71295,2474
483671407062,132788,2058
484391001011,41458,1352
484391001012,45932,2108
484391001013,38167,1081
484391001014,36958,1166
484391001015,39884,734
484391001021,55647,862
484391001022,53125,1623
484391001023,49375,1026
484391001024,27917,945
484391002011,35085,2131
484391002012,38278,1739
484391002013,33203,1121
484391002021,33000,1621
484391002022,35568,1104
484391002023,31761,2192
484391003001,51406,1097
484391003002,22500,573
484391003003,28750,1200
484391003004,17944,2010
484391004001,33667,1102
484391004002,29492,1021
484391004003,35179,605
484391004004,32462,1417
484391004005,52325,2413
484391004006,41579,1510
484391005011,36731,2059
484391005012,11875,1126
484391005013,30335,2627
484391005014,45833,1777
484391005015,29754,2478
484391005021,31607,1417
484391005022,36290,674
484391005023,38295,2114
484391005024,22898,763
484391005025,42788,1023
484391005026,28034,1691
484391006011,51250,972
484391006012,85054,635
484391006013,54050,399
484391006021,45139,946
484391006022,60357,2750
484391007001,25809,1314
484391007002,26250,1148
484391007003,32875,991
484391007004,26250,395
484391007005,32721,882
484391008001,40368,820
484391008002,36061,852
484391008003,32344,995
484391008004,34129,1508
484391008005,31000,751
484391008006,31771,1123
484391009001,37955,660
484391009002,26281,1472
484391012011,148036,459
484391012012,34663,1154
484391012021,44292,742
484391012022,28065,1941
484391012023,40680,1638
484391013011,56591,1628
484391013012,49643,1252
484391013013,33846,334
484391013014,43355,1448
484391013021,26250,867
484391013022,34867,1388
484391013023,23500,735
484391014011,57679,765
484391014012,67542,694
484391014013,24179,1709
484391014014,67625,869
484391014015,52188,968
484391014021,33516,736
484391014022,26172,925
484391014023,33323,1984
