Id,Median,Total
060190001001,11070,2743
060190002001,15556,1317
060190002002,23382,614
060190002003,13158,1286
060190003001,15455,674
060190003002,26897,1637
060190003003,23404,1195
060190004001,23692,1071
060190004002,26520,2147
060190004003,30000,1646
060190004004,34773,950
060190005011,15323,1191
060190005012,31310,1637
060190005021,40714,781
060190005022,23854,1445
060190005023,27328,880
060190006001,16827,635
060190006002,22768,1355
060190006003,18333,2137
060190006004,12274,1320
060190007001,28077,535
060190007002,37188,1376
060190007003,24779,1730
060190008001,26759,944
060190009011,29784,2867
060190009021,28750,1781
060190009022,21078,2319
060190009023,18417,1245
060190010001,21404,1582
060190010002,36838,1895
060190011001,24500,1439
060190011002,33125,1644
060190012011,16500,883
060190012012,19966,2136
060190012013,47625,2125
060190012014,18913,499
060190012021,24728,2296
060190012022,26116,1839
060190013011,26382,1924
060190013012,28750,807
060190013013,26094,992
060190013014,29946,911
060190013015,32266,761
060190013031,34722,853
060190013032,27037,1724
060190013041,22411,1308
060190013042,29767,2621
060190013043,22219,1863
060190014071,14554,2053
060190014072,20208,1292
060190014073,18250,1151
060190014081,15237,1953
060190014082,73929,786
060190014091,99861,1988
060190014101,52312,7173
060190014102,31782,3363
060190014111,43214,993
060190014112,85625,1076
060190014113,29732,1384
060190014114,20341,1945
060190014121,74505,2887
060190014131,68632,4794
060190014141,45057,912
060190014142,86696,1023
060190014143,71038,5152
060190015001,16719,519
060190015002,24958,1513
060190016001,72027,2441
060190017001,45208,1910
060190018001,36250,1567
060190018002,58583,762
060190018003,53636,975
060190018004,45724,1353
060190019001,41607,861
060190019002,40556,1137
060190019003,44926,791
060190020001,20521,1335
060190020002,25000,1460
060190020003,29773,869
060190020004,27850,1085
060190020005,42548,667
060190021001,63846,964
060190021002,65115,1362
060190021003,20179,1075
060190021004,28953,868
060190021005,15344,1205
060190022001,30606,975
060190022002,43472,837
060190022003,36007,945
060190022004,30903,652
060190023001,19750,809
060190023002,23611,975
060190023003,31397,1402
060190024001,23393,914
060190024002,22201,758
060190024003,20017,1339
060190024004,30000,1258
060190025011,36184,1109
060190025012,27212,879
060190025013,15407,1283
060190025014,23880,1790
060190025021,26521,1666
060190025022,19176,1999
060190025023,36281,2127
060190026011,46629,1278
060190026012,29523,2167
060190026013,24741,1851
060190026021,45227,735
060190026022,21789,1800
060190026023,46067,695
060190027011,41450,1778
060190027012,47035,787
060190027013,32583,983
060190027014,31306,1146
060190027021,39297,1437
060190027022,31719,1676
060190027023,27338,2472
060190028001,21389,1132
060190028002,35375,691
060190028003,28606,2084
060190028004,17298,1059
060190029031,29764,1400
060190029032,17194,1579
060190029033,16645,1810
060190029041,38538,2000
060190029042,45893,1182
060190029051,63571,1432
060190029052,24482,1556
060190029061,28289,1656
060190029062,44643,1791
060190029063,35972,2080
060190030011,36667,1547
060190030012,28625,1602
060190030031,21552,2147
060190030032,30580,1998
060190030041,53750,1141
060190030042,60658,1469
060190031021,15679,452
060190031022,47083,881
060190031023,44719,2722
060190031024,56058,1771
060190031025,41058,1657
060190031031,45536,1145
060190031032,28106,1466
060190031033,34833,820
060190031034,38988,905
060190031035,81250,950
060190031041,31910,2206
060190031042,63125,883
060190031043,76850,699
060190032011,34899,2409
060190032012,29800,2688
060190032021,35000,1175
060190032022,29940,1428
060190032023,32827,3673
060190033011,33750,2330
060190033012,47617,1726
060190033021,21543,1454
060190033022,32458,821
060190033023,29261,1439
060190033024,55625,877
060190034001,19435,834
060190034002,18500,2250
060190034003,45982,797
060190034004,28769,1434
060190035001,30078,830
060190035002,17478,1321
060190035003,32321,1115
060190035004,52885,1256
060190035005,18269,697
060190036001,83611,755
060190036002,56429,768
060190036003,56607,758
060190036004,60833,726
060190036005,55034,946
060190037011,24125,2183
060190037012,38516,1335
060190037021,31063,1698
060190037022,27454,995
060190037023,33266,1024
060190037024,38421,995
060190038031,38750,1125
060190038032,71024,6665
060190038033,72417,520
060190038041,68818,1606
060190038042,56466,1836
060190038043,55840,2455
060190038051,30167,2737
060190038052,26875,1936
060190038053,41000,2509
060190038071,38750,1500
060190038072,23750,942
060190038073,49146,732
060190038081,68750,2160
060190038082,63494,3690
060190038091,49263,2839
060190038092,47396,1301
060190038101,53218,3045
060190038102,61442,3118
060190042051,33978,1344
060190042052,38295,701
060190042053,33693,2734
060190042054,28403,1276
060190042071,73583,4448
060190042072,26875,3284
060190042081,101532,5766
060190042082,94531,1654
060190042101,50089,1997
060190042102,61736,1626
060190042111,74821,2249
060190042112,78060,4111
060190042121,52087,5740
060190042122,67887,1365
060190042123,51938,2633
060190042124,33102,1950
060190042131,45134,1535
060190042132,67551,1851
060190042141,93016,1261
060190042142,80987,1729
060190042143,52552,1024
060190042144,75331,1272
060190042151,71373,4555
060190042161,75847,2611
060190043011,134500,1310
060190043012,63750,1013
060190043013,111336,1749
060190043021,85714,842
060190043022,140859,930
060190043023,89033,1341
060190043024,69744,1261
060190043025,66563,967
060190043031,76454,1017
060190043032,107727,741
060190043033,73750,747
060190043034,52708,1318
060190044041,48418,2027
060190044042,33636,1586
060190044051,80536,1002
060190044052,115556,1919
060190044053,62988,1081
060190044061,46458,2711
060190044062,68684,477
060190044063,71549,2073
060190044081,60250,1669
060190044082,42324,2012
060190044091,51736,1224
060190044092,126023,1176
060190044093,54412,1259
060190045031,70667,2696
060190045032,45625,2014
060190045041,40781,1814
060190045042,50523,1825
060190045043,46902,695
060190045044,25871,984
060190045051,51518,1371
060190045052,21154,3223
060190045061,76026,1193
060190045062,60179,1781
060190046011,40179,1592
060190046012,67545,1142
060190046021,138831,767
060190046022,69236,968
060190046023,40536,946
060190047011,56429,1474
060190047012,34344,2549
