Id,Median,Total
260810001001,40388,1541
260810001002,58646,802
260810002001,46250,718
260810002002,41484,1471
260810003001,54938,2061
260810003002,60804,1140
260810003003,43783,1444
260810004001,49350,1302
260810004002,55159,1023
260810004003,57875,946
260810005001,68984,832
260810005002,48583,713
260810005003,52870,902
260810005004,45602,1355
260810006001,61875,2006
260810006002,53571,1631
260810007001,39931,802
260810007002,54934,971
260810007003,46776,1469
260810008001,21875,1564
260810008002,29294,656
260810008003,39167,1012
260810009001,39279,1102
260810009002,37121,1128
260810009003,19500,930
260810010001,45188,1103
260810010002,26094,953
260810010003,43594,1450
260810010004,44000,754
260810011011,54271,2540
260810011012,38340,1909
260810011013,37813,1908
260810011021,64806,2108
260810011022,14796,1903
260810012001,46518,1266
260810012002,36300,631
260810012003,43824,751
260810012004,31951,648
260810013001,45511,760
260810013002,19571,987
260810013003,20329,1969
260810014001,46389,1222
260810014002,30718,1121
260810015001,24511,1301
260810015002,27763,1290
260810015003,35500,1351
260810016001,24961,1423
260810016002,23438,1014
260810016003,46685,708
260810016004,25143,1581
260810016005,46801,896
260810017001,27350,1259
260810017002,40991,1210
260810017003,83125,1962
260810018001,57692,380
260810018002,75724,771
260810018003,46638,1625
260810018004,57600,1610
260810018005,35387,1814
260810019001,111500,660
260810019002,42375,838
260810019003,47361,845
260810019004,33102,653
260810019005,35149,989
260810019006,59231,637
260810020001,41771,747
260810020002,11071,1312
260810021001,19239,773
260810021002,14893,1192
260810021003,20559,674
260810022001,18409,430
260810022002,41250,847
260810022003,35525,2028
260810022004,37159,1392
260810023001,58281,2152
260810023002,55099,1796
260810024001,50859,2470
260810024002,66250,1132
260810025001,30750,1030
260810025002,41382,1197
260810025003,38616,1392
260810025004,26364,705
260810026001,23258,865
260810026002,16786,993
260810026003,28942,1411
260810027001,18370,1093
260810027002,31934,899
260810027003,30089,1526
260810028001,14881,852
260810028002,16797,647
260810029001,42778,796
260810029002,25455,798
260810030001,37375,933
260810030002,22321,681
260810031001,22250,668
260810031002,21875,1129
260810031003,23403,1379
260810032001,25662,696
260810032002,26932,1584
260810032003,31047,659
260810032004,31205,773
260810032005,24962,1050
260810033001,37734,1398
260810033002,55521,1416
260810033003,36563,944
260810034001,63111,1978
260810034002,46000,1904
260810034003,47230,1594
260810035001,32917,1110
260810035002,42554,1887
260810035003,24000,1332
260810035004,31847,1089
260810036001,20536,1043
260810036002,30223,1226
260810037001,29912,2817
260810037002,38860,2043
260810038001,12679,1013
260810038002,26690,1846
260810038003,31853,1393
260810039001,27964,1668
260810039002,33587,1744
260810040001,31071,2551
260810040002,46250,1026
260810041001,59728,2341
260810041002,34220,2352
260810042001,50208,1395
260810042002,53438,2307
260810043001,65417,812
260810043002,107697,1768
260810043003,40100,1198
260810044001,107708,1685
260810044002,81094,2398
260810044003,31339,1372
260810044004,53105,1044
260810044005,62131,854
260810045001,47480,1289
260810045002,52750,850
260810045003,58214,845
260810045004,31276,1407
260810045005,37974,1864
260810045006,56500,1021
260810046001,38920,2762
260810046002,48828,1379
260810046003,40139,1807
260810111012,55474,1398
260810111023,66698,1643
260810112002,63828,1565
260810112003,40378,1727
260810113021,78200,1833
260810113022,80104,492
260810113023,53051,2700
260810113024,34625,993
260810114032,61071,1160
260810114063,50795,904
260810114064,31056,1352
260810115001,48550,2201
260810115002,50852,2612
260810115003,31847,753
260810115004,26250,1556
260810116001,68984,1049
260810116002,68490,1413
260810116003,90625,2488
260810116004,48947,1398
260810117013,63667,2334
260810117021,62260,2118
260810118011,46302,1138
260810118012,71319,822
260810118013,81595,1345
260810118014,97778,3549
260810118031,77216,3159
260810118032,42321,1195
260810118042,67989,2310
260810123001,80647,898
260810123002,122917,745
260810123003,107500,1748
260810124001,109896,1230
260810124002,76417,1406
260810124003,111058,1062
260810125001,97333,1473
260810125002,102841,2047
260810125003,117500,1151
260810126051,63611,1607
260810126071,32064,2707
260810126072,27946,3385
260810126081,48731,1664
260810127012,32843,1531
260810127013,30112,2611
260810128001,59667,1290
260810128002,49900,1554
260810129011,38777,2017
260810130001,60015,976
260810130002,60185,2121
260810130003,25833,270
260810132001,56278,1090
260810132002,54244,1878
260810132003,59167,2183
260810132004,54754,1790
260810133001,43043,975
260810133002,38194,1410
260810133003,36107,2476
260810134001,51726,2170
260810134002,55024,1867
260810134003,45110,1378
260810135001,29250,550
260810135002,34621,3172
260810135003,19183,1058
260810136001,39688,1016
260810136002,38611,1068
260810137001,47092,1355
260810137002,49722,2959
260810137003,43378,1693
260810137004,36858,633
260810138011,43500,585
260810138012,28548,957
260810138021,33807,2048
260810138022,35875,1175
260810138023,57708,1460
260810138024,29489,1973
260810139001,30707,924
260810139002,49306,3126
260810139003,59310,1074
260810139004,31210,1754
260810140001,60385,1689
260810140002,34929,702
260810140003,34886,977
260810140004,32986,948
260810140005,49271,1392
260810140006,41804,1282
260810141001,37955,1092
260810141002,39861,789
260810142001,52383,2056
260810142002,37198,1739
260810143001,50735,1855
260810145012,35673,1075
260810145021,72429,2955
260810145022,46964,1537
260810145023,65304,1145
