Id,Median,Total
090034711003,48542,1046
090034712002,45972,1241
090034713002,78125,1003
090034731002,80813,1539
090034738001,43381,972
090034738002,50625,825
090034873002,70104,715
090034921001,76700,1575
090034921003,98750,624
090034923001,67697,1167
090034923002,67083,1180
090034923004,40268,1322
090034923005,80089,707
090034945001,84839,1219
090034961001,24832,1315
090034961003,34659,553
090034967001,48611,1699
090034968001,42799,1475
090034969001,75888,1103
090034969002,13819,644
090034970001,238611,935
090034971001,57708,1479
090034972001,143125,702
090034973001,125536,1071
090034973002,150486,933
090035001001,25731,2482
090035001002,14435,1547
090035002001,30395,2660
090035003001,14497,1117
090035003002,27355,1060
090035004001,26893,1890
090035005001,10897,809
090035005002,52778,651
090035007001,-1,1246
090035009001,18601,1462
090035009002,8657,577
090035012001,21458,1113
090035012002,21157,1318
090035013001,17500,622
090035013002,18542,968
090035014001,13633,904
090035014002,19583,2113
090035015001,23418,1734
090035015002,22724,1654
090035017001,18940,946
090035018001,20750,1002
090035018002,20652,636
090035018003,24079,1218
090035021001,85074,1264
090035021002,65156,478
090035023001,40596,1430
090035023002,25898,1786
090035023003,47066,974
090035023004,70917,765
090035023005,70500,1306
090035024001,30102,1873
090035024002,32308,2015
090035024003,28933,2403
090035025001,-1,0
090035025002,27862,1768
090035026001,33444,2059
090035026002,30208,2151
090035027001,44740,1776
090035027002,16318,1819
090035027003,15061,1451
090035028001,22703,1967
090035028002,14712,1032
090035029001,22406,838
090035029002,55714,824
090035029003,12179,1284
090035030001,11704,1716
090035030002,21902,1497
090035031001,21667,2022
090035031002,25098,515
090035031003,12577,1016
090035031004,30688,1068
090035031005,40875,472
090035033001,48478,1188
090035033002,28542,1359
090035035001,21802,1754
090035037001,36891,960
090035037002,32750,1449
090035038001,26654,4053
090035039001,54844,1554
090035039002,43438,770
090035039003,38679,1522
090035039004,44735,766
090035039005,44464,665
090035040001,48750,1400
090035040002,45250,993
090035040003,45950,1138
090035041001,28341,2120
090035042001,46638,1092
090035042002,21550,1184
090035042003,32115,1631
090035042004,35985,1261
090035043001,14583,631
090035043002,21326,1647
090035045001,35781,1511
090035045002,31890,1684
090035045003,51094,643
090035048001,48212,1318
090035048002,48510,603
090035048003,50175,1561
090035048004,37865,788
090035049001,21937,2105
090035049002,46250,1835
090035101001,65515,2387
090035102001,45870,1313
090035102002,34219,1382
090035104002,33390,1906
090035104003,25730,885
090035106003,64653,1320
090035108001,33333,1755
090035244001,32500,1702
090035244002,17159,1136
090035245011,27005,842
090035245012,35188,1117
090035245013,40268,672
090035245021,37083,626
090035245022,36410,1505
090035246001,33798,1383
090035246002,60026,693
090035246003,32067,1388
090035246004,11076,449
090035247001,32963,717
090035247002,44808,698
090035247003,48867,1719
