Id,Median,Total
150030001061,80357,1537
150030001062,85224,3259
150030001063,127353,1575
150030001064,88382,1721
150030001071,110250,1340
150030001072,152266,989
150030001073,142250,514
150030001081,107137,1917
150030001082,115948,1403
150030001101,109200,975
150030001102,127237,1289
150030001103,96316,1984
150030001111,125179,2157
150030001112,107375,1911
150030001113,160417,593
150030001121,88529,949
150030001122,109607,2601
150030001123,56667,1812
150030001141,113696,1613
150030002001,100000,1270
150030002002,90333,608
150030002003,126360,1038
150030002004,128125,1313
150030002005,101958,1562
150030003011,95387,1152
150030003012,130667,1926
150030003021,119444,1562
150030003022,163611,539
150030003023,82438,1203
150030004011,82250,2668
150030004021,174125,2072
150030004022,139750,1757
150030005001,115156,453
150030005002,59167,633
150030005003,130909,891
150030005004,99375,711
150030005005,127500,903
150030006001,-1,0
150030006002,114231,1466
150030007001,84583,1456
150030007002,60536,759
150030007003,90625,656
150030008001,61758,1226
150030008002,100536,837
150030008003,124063,1130
150030008004,95375,877
150030009011,99583,1115
150030009012,67344,1651
150030009021,106477,3209
150030009022,79559,826
150030009031,69022,1281
150030009032,85286,1665
150030010001,59333,1753
150030010002,61216,1465
150030011001,49018,2149
150030011002,67273,2225
150030012011,50375,1245
150030012012,83438,1797
150030012021,88611,1849
150030012022,65337,1343
150030013001,55323,828
150030013002,86290,1419
150030013003,39837,906
150030013004,81188,1300
150030014001,72434,1157
150030014002,91964,1334
150030015001,81944,1315
150030015002,69398,1002
150030015003,84779,1180
150030016001,71643,1775
150030016002,66250,976
150030016003,68098,704
150030017001,64048,873
150030017002,72446,1157
150030018011,25855,754
150030018012,45357,627
150030018031,46503,1568
150030018032,30357,561
150030018033,50750,749
150030018041,57222,1545
150030019011,53438,468
150030019031,61905,2565
150030019032,27431,682
150030019041,60809,2837
150030019042,48750,787
150030020031,29926,2175
150030020032,41548,987
150030020041,39911,1462
150030020051,21824,791
150030020052,46652,1294
150030020061,39328,1827
150030020062,61848,438
150030021001,54256,1815
150030021002,53015,2137
150030022011,48368,1555
150030022012,45909,2074
150030022021,37452,232
150030022022,64341,3318
150030023001,51190,1292
150030023002,56471,769
150030023003,44833,543
150030023004,37435,1358
150030023005,40815,920
150030024011,31594,783
150030024012,46146,1030
150030024013,44732,1242
150030024021,45058,1812
150030024022,31750,1345
150030025001,26934,1751
150030025002,38576,1950
150030026001,32340,1084
150030026002,41587,1044
150030026003,73400,1062
150030026004,43580,1329
150030027011,86167,1466
150030027012,61250,2385
150030027013,51875,1362
150030027021,63382,1909
150030027022,51375,1348
150030027023,49920,1677
150030028001,92788,1345
150030028002,82083,2630
150030029001,96728,2382
150030030001,133555,1147
150030030002,117768,1035
150030030003,103333,1140
150030030004,80455,1147
150030031011,72950,1342
150030031012,112875,2191
150030031021,106477,2532
150030031022,128864,1000
150030032001,107917,936
150030033001,128500,1144
150030034031,71367,1622
150030034032,50906,1350
150030034033,56307,1193
150030034034,51591,1541
150030034041,57799,1647
150030034042,61250,2222
150030034043,39665,1121
150030034051,41829,2229
150030034052,51157,1355
150030034061,42813,1560
150030034062,50319,2022
150030034063,45194,1552
150030034064,43918,885
150030034071,67500,733
150030035011,26863,825
150030035012,67350,1246
150030035021,48750,1304
150030035022,42725,1215
150030035023,37829,1395
150030036011,26825,1018
150030036012,75795,3143
150030036031,52305,1098
150030036032,16730,1645
150030036041,52167,721
150030036042,43962,1525
150030037001,97808,404
150030037002,84205,1837
150030037003,-1,0
150030037004,31557,405
150030037005,49225,1260
150030037006,59597,715
150030037007,76139,862
150030038001,83879,2337
150030038002,112292,506
150030038003,21309,887
150030039001,25323,403
150030040001,38144,675
150030040002,84643,717
150030041001,42857,1881
150030041002,46380,2164
150030041003,62278,681
150030042001,62574,1074
150030042002,80345,2286
150030043001,54861,1693
150030043002,68958,2302
150030043003,19506,1229
150030044001,87679,2072
150030044002,72250,3319
150030045001,96328,1461
150030045002,103365,820
150030045003,85417,777
150030045004,60640,1493
150030046001,154688,893
150030046002,91728,1356
150030046003,89760,1779
150030047001,65833,506
150030047002,100769,2651
150030047003,91719,654
150030047004,96641,917
150030048001,75893,809
150030048002,52067,1290
150030048003,69483,2629
150030048004,111115,2244
150030049001,62569,1049
150030049002,57875,1135
150030049003,55833,1255
150030050001,75625,1132
150030050002,49783,959
150030050003,34219,1323
150030050004,69500,1102
150030051001,16587,1684
150030051002,74044,1316
150030052001,28676,1164
150030052002,21447,1765
150030053001,39028,2429
150030053002,25125,1076
150030054001,23466,1683
150030055001,101136,784
150030055002,31455,1346
150030056001,78958,2005
150030056002,59390,1236
150030056003,21082,2859
150030056004,75938,679
150030057001,61250,1148
150030057002,29318,1286
150030058001,19734,1393
150030058002,59000,2213
150030059001,49821,1515
150030059002,60789,1682
150030060001,68403,1067
150030060002,67024,2701
150030060003,125217,2317
150030061001,72438,2217
150030061002,107813,2105
150030062011,73250,1969
150030062012,49808,2518
150030062013,55395,356
150030062014,30208,1040
150030062021,25500,2128
150030063011,67875,1214
150030063012,86750,1426
150030063013,67031,858
150030063021,36542,2598
150030064011,92472,2559
150030064021,86371,2430
150030064022,89000,2723
150030064023,104231,1982
150030065001,93646,1689
150030065002,100675,3021
150030066001,110000,801
150030067011,98864,1796
150030067012,93614,2104
150030067013,70294,1994
150030067021,65224,2328
150030068021,111875,2023
150030068022,82734,2327
150030068023,89643,3128
150030068041,91591,735
150030068042,62000,2113
150030068043,76250,659
150030068051,64333,206
150030068052,75653,1281
150030068053,72377,3728
150030068061,90729,1698
150030068081,77895,1838
150030068082,43859,1063
150030068083,58967,1609
150030068091,53839,2665
150030068092,54682,2212
150030069001,69939,2888
150030069002,55250,952
150030070001,71053,2308
150030070002,49583,1123
150030070003,49583,733
150030071001,77391,3088
150030073021,74716,2553
150030073022,78235,1453
150030073031,-1,444
150030074001,67135,4370
150030075021,67000,1379
150030075031,80583,3491
150030075032,93375,1528
150030075041,73047,1405
150030075042,26979,1916
150030075051,103984,2756
150030075052,104702,1865
150030075053,67768,730
150030075061,70972,273
150030077011,71700,1612
150030077012,72250,1418
150030077013,128409,1081
150030077021,43500,151
150030077022,100938,2980
150030077023,88450,1790
150030078041,85903,1856
150030078051,75000,2527
150030078052,91250,2686
150030078071,85375,517
150030078072,59386,724
150030078073,55513,1243
150030078074,56786,1082
150030078075,62029,1118
150030078076,71607,975
150030078081,64219,1179
150030078082,58859,1759
150030078091,117284,1339
150030078092,112745,1803
150030078101,109405,1972
150030078102,142361,1124
150030078103,124145,2196
