Id,Median,Total
280490001001,49167,1114
280490001002,54850,1442
280490001003,81452,1432
280490001004,53158,912
280490002001,28906,901
280490002002,60508,1042
280490002003,75066,1813
280490002004,103882,743
280490002005,87593,628
280490003011,21080,1600
280490003012,29688,1284
280490003021,29113,1042
280490003022,27750,1006
280490003023,34177,1218
280490003024,35137,439
280490004001,28917,737
280490004002,53779,1273
280490004003,34135,1660
280490005001,42614,463
280490005002,20091,1212
280490005003,43235,1662
280490005004,27094,1432
280490005005,47337,1145
280490006001,17179,708
280490006002,43409,787
280490006003,37396,573
280490006004,20299,1470
280490007001,50455,1348
280490007002,25417,1168
280490007003,38682,578
280490007004,29268,1734
280490007005,60208,1144
280490008001,23162,933
280490008002,15197,767
280490008003,14349,758
280490008004,23695,747
280490008005,25000,719
280490009001,26989,1258
280490009002,12652,565
280490010001,18103,701
280490010002,14346,1053
280490011001,11538,1211
280490011002,22717,718
280490012001,24821,671
280490012002,25941,1202
280490013001,40034,1370
280490013002,43103,1331
280490013003,39423,1004
280490014001,72244,1712
280490014002,126250,1162
280490015001,70000,1148
280490015002,46971,1835
280490015003,59297,717
280490016001,21830,676
280490016002,18571,1187
280490016003,30114,1165
280490016004,28155,1091
280490019001,23839,581
280490019002,20988,1296
280490020001,18177,727
280490020002,28600,226
280490021001,30833,810
280490021002,13158,903
280490021003,30879,395
280490021004,16865,1368
280490022001,21050,865
280490022002,19779,1231
280490023001,23657,2410
280490024001,40682,1185
280490024002,40862,1554
280490024003,18750,1433
280490025001,37868,1264
280490025002,23750,1379
280490027001,15381,525
280490027002,55179,561
280490030001,16622,509
280490030002,26563,697
280490030003,14688,704
280490032001,15750,788
280490032002,17315,389
280490033001,10391,635
280490033002,29476,872
280490033003,30721,2211
280490033004,28478,1369
280490033005,16304,1030
280490033006,31786,674
280490034001,27902,2268
280490034002,20122,1375
280490035001,22097,1042
280490035002,40882,1268
280490035003,10791,1145
280490035004,22977,1003
280490036001,30592,1604
280490036002,40281,2919
280490037001,38438,1333
280490037002,31083,1235
280490037003,26122,887
280490038001,31831,2002
280490038002,17361,1322
280490101011,51328,1174
280490101012,65994,1348
280490101013,47548,1802
280490101014,40294,1271
280490101015,52609,1178
280490101021,52946,786
280490101022,32222,612
280490101023,18524,1895
280490101024,40530,798
280490101025,76875,1294
280490102011,22328,2327
280490102012,44635,542
280490102021,55288,662
280490102022,44022,1243
280490102023,39174,2384
280490102024,62903,753
280490102025,48654,1359
280490102031,39000,1396
280490102032,28417,1470
280490103011,41515,624
280490103012,36250,721
280490103013,27177,1879
280490103041,81477,2936
280490103042,57545,2312
280490103043,25947,987
280490103051,47813,2008
280490103052,40494,1497
280490104001,24479,1400
280490104002,58333,971
280490104004,38194,697
280490105001,47462,2230
280490105003,85313,976
280490108011,17500,827
280490108012,17115,843
280490108041,38299,1489
280490108051,44671,1136
280490108052,71818,2469
280490108061,74531,2319
280490108062,70882,1216
280490108072,82321,2531
280490108081,36102,1725
280490108082,39804,1287
280490108083,47588,1619
280490108091,63649,2795
280490109011,34655,1039
280490109012,23333,1571
280490109021,30694,314
280490109022,25042,689
280490109023,26833,625
280490110011,21989,4782
280490110012,59028,1291
280490110021,41653,1457
280490110022,30556,2819
280490111011,60598,1501
280490111012,33750,1238
280490111021,58107,4791
280490111022,41705,1382
280490111023,54583,1726
280490111024,65725,2498
280490111031,44059,2403
280490114001,28821,965
280490114002,8590,244
280490115001,16724,1349
280490115002,25543,2050
280890301041,90268,1049
280890301042,54205,1631
280890301051,47250,756
280890301052,51198,628
280890301053,-1,517
280890301054,44022,1172
280890301061,52039,1577
280890301062,37969,2425
280890301063,23482,130
280890301064,36105,959
280890301072,62455,1753
280890301081,26413,870
280890301082,57852,2432
280890301084,30833,440
280890301085,34542,1320
280890302061,118233,1058
280890302062,123125,903
280890303023,69375,1424
281210202074,26403,1345
281210203011,42366,873
281210203012,56250,1133
281210203013,52500,931
281210203021,41379,1831
281210203022,44983,1617
281210204011,48304,2037
281210204012,29271,2173
281210204021,33456,1609
281210204022,47192,3417
281210204023,41813,2392
281210205001,-1,1666
281210205002,-1,1607
281210206001,34125,1779
281210206003,48958,2291
281210206004,49800,1686
281210207011,28017,1210
281210207031,58472,1682
281210207041,35147,1333
281210207042,45729,1501
281210207043,39787,1667
281210207044,41581,1227
