Id,Median,Total
120190301031,60472,2260
120190301032,46346,1518
120190301041,41012,2514
120190302011,62454,10732
120190302012,80787,1806
120190302021,57520,5123
120190302022,88813,4230
120190302031,71484,4606
120190302032,85197,12891
120190303011,40038,2677
120190303012,51496,2510
120190303013,99539,1070
120190303014,93359,1201
120190303031,51071,738
120190303032,43314,2447
120190303041,29922,1043
120190303042,71488,1983
120190303043,43558,1236
120190304001,39648,1907
120190305001,53750,1543
120190305002,40929,1260
120190306001,55590,2037
120190306002,54191,2004
120190306003,49583,991
120190307011,85817,3017
120190307012,52708,1280
120190307013,111359,2946
120190307031,116250,2808
120190307032,105337,1847
120190307033,138594,710
120190307034,94280,1689
120190307035,113000,5038
120190308011,63673,2981
120190308012,51250,1139
120190308013,120972,1409
120190308021,63892,2459
120190308022,63323,1131
120190308023,46742,2264
120190308024,56071,847
120190309021,80227,2214
120190309022,68077,3251
120190309023,42816,2132
120190309024,47750,2446
120190309031,85354,2167
120190309032,21711,799
120190309033,52969,1084
120190309041,73631,1324
120190309042,61912,3755
120190309043,101111,1148
120190309044,51154,1411
120310001001,32604,867
120310001002,45625,989
120310001003,25658,1412
120310001004,11801,580
120310001005,34375,659
120310002001,23214,757
120310002002,26892,1120
120310002003,26625,1078
120310003001,20526,984
120310003002,28176,728
120310003003,25500,528
120310006001,59467,980
120310006002,9518,1780
120310006003,32330,955
120310006004,30094,1240
120310006005,22333,468
120310007001,64745,1303
120310007002,115313,1014
120310007003,38702,1875
120310008001,50156,1608
120310008002,39594,793
120310010001,9583,733
120310010002,11250,3223
120310010003,12809,665
120310011001,32639,744
120310011002,35500,742
120310012001,44909,642
120310012002,26171,482
120310012003,37946,1039
120310013001,26888,781
120310013002,18220,1421
120310013003,15854,734
120310013004,23091,780
120310014001,29038,291
120310014002,34926,487
120310014003,14417,663
120310014004,30625,742
120310014005,33947,1200
120310014006,24258,1904
120310015001,16837,724
120310015002,18199,1667
120310015003,18841,156
120310015004,54750,875
120310015005,8564,837
120310016001,14545,708
120310016002,23802,989
120310021011,35403,747
120310021012,45603,1631
120310021013,120379,694
120310021021,55833,1578
120310021022,46615,1215
120310022001,93929,845
120310022002,48482,1257
120310022003,83720,560
120310022004,70625,1100
120310022005,57361,995
120310023001,78393,654
120310023002,41615,1185
120310024001,85208,879
120310024002,56346,871
120310025011,26143,1055
120310025012,35370,1041
120310025013,17028,642
120310025014,26444,823
120310025021,54180,1377
120310025022,51134,1347
120310025023,52955,684
120310025024,27880,329
120310026001,20817,887
120310026002,15500,616
120310026003,30081,728
120310026004,15645,787
120310027011,25400,1214
120310027012,19013,1070
120310027013,35870,1294
120310027021,43500,368
120310027022,27395,1942
120310027023,20822,1068
120310028011,16771,1225
120310028012,23982,1696
120310028013,35746,739
120310028014,26389,414
120310028021,13607,1163
120310028022,16125,1095
120310028023,29107,1268
120310028024,23320,458
120310029011,19494,1067
120310029012,23917,1330
120310029013,13345,1010
120310029014,23611,345
120310029021,12639,782
120310029022,22500,1572
120310029023,17596,1082
120310101011,76250,1275
120310101012,62453,4929
120310101021,45337,1764
120310101022,74554,8497
120310101031,83287,3611
120310101032,73160,2009
120310102011,54095,4221
120310102012,52561,5688
120310102021,59223,1344
120310102022,46406,1860
120310103011,53681,3489
120310103012,24292,1083
120310103031,44591,5669
120310103032,38625,1526
120310103041,28225,1788
120310103042,69972,2820
120310103043,42426,2173
120310104011,25543,2135
120310104012,56432,834
120310104021,34507,1537
120310104022,27273,1707
120310104023,52722,854
120310105001,46460,5881
120310105002,61673,5279
120310105003,36429,2541
120310105004,43500,715
120310105005,64750,1481
120310106001,54615,1504
120310106002,48654,2375
120310106003,50266,1858
120310107001,30524,362
120310107002,29250,1559
120310107003,32159,1668
120310107004,37443,1733
120310108001,42500,2243
120310108002,25293,2005
120310108003,35302,1228
120310109001,52222,1815
120310109002,32161,2124
120310110001,46364,1193
120310110002,63804,474
120310110003,37727,1513
120310110004,16915,746
120310111001,36898,2058
120310111002,32943,1182
120310112001,42188,1648
120310112002,37903,771
120310113001,13560,1544
120310113002,43981,1385
120310114001,36360,1887
120310114002,27448,634
120310115001,27798,1594
120310115002,24805,1810
120310115003,22592,890
120310116001,25368,2004
120310116002,13361,1818
120310117001,48382,2294
120310117002,9355,693
120310118001,22500,1429
120310118002,21532,1128
120310118003,45208,996
120310119011,24191,640
120310119012,38977,1069
120310119013,28147,933
120310119014,53889,2141
120310119015,69138,3306
120310119021,51307,4880
120310119022,54926,2010
120310119023,74104,4437
120310119031,62424,2011
120310119032,80076,3338
120310120001,34167,1981
120310120002,47453,3024
120310121001,25781,867
120310121002,46500,542
120310122001,37232,768
