Id,Median,Total
340170001001,60469,2988
340170001002,53030,1665
340170001003,53815,2033
340170002001,63293,2425
340170002002,38750,1998
340170002003,18548,1136
340170003001,50199,375
340170003002,40147,2032
340170003003,49792,2073
340170004001,70547,1452
340170004002,64853,2354
340170005001,64922,2533
340170005002,28565,882
340170005003,48839,727
340170006001,76750,861
340170006002,50833,1808
340170006003,42619,1283
340170006004,83322,1061
340170007001,31507,925
340170007002,52031,2116
340170007003,102917,610
340170008001,54432,2070
340170008002,72586,2156
340170009021,40469,1088
340170009022,54792,1662
340170009023,51321,1500
340170009024,31477,1698
340170010001,62212,1045
340170010002,35938,963
340170011001,60581,1710
340170011002,49875,1649
340170011003,55250,1859
340170012011,71000,2126
340170012021,41875,1416
340170013001,61806,1271
340170013002,50273,1727
340170014001,62606,2169
340170014002,61217,1891
340170017011,70321,1502
340170017012,46200,3436
340170018001,35685,1852
340170018002,33017,2132
340170019001,42100,1527
340170020001,52938,1224
340170020002,27381,1189
340170020003,42535,1424
340170022001,68125,675
340170022002,70500,763
340170023001,90625,1363
340170023002,68889,757
340170024001,100302,1447
340170024002,82604,1162
340170027001,39342,1579
340170027002,55417,1941
340170027003,61813,1242
340170028001,39231,2507
340170028002,44694,1431
340170028003,64886,586
340170028004,58150,860
340170028005,17300,1084
340170029001,54224,1756
340170029002,44732,609
340170029003,50625,1628
340170030001,45690,1413
340170030002,24337,1547
340170031001,41250,1828
340170031002,41250,994
340170031003,92500,1055
340170035001,106250,1113
340170035002,97639,954
340170040001,71250,582
340170040002,65455,2704
340170040003,76528,733
340170040004,61979,835
340170041011,46886,1454
340170041012,66328,955
340170041013,41510,3208
340170041014,29848,961
340170041021,38233,1839
340170041022,31518,1114
340170042001,42198,2891
340170042002,24917,1124
340170042003,38750,668
340170043001,26250,1344
340170043002,55880,962
340170044001,19447,2393
340170045001,41094,856
340170045002,52009,789
340170045003,50054,2457
340170046001,29942,866
340170046002,51000,1349
340170047001,53839,1421
340170047002,37027,1300
340170048001,67647,1049
340170048002,45985,1221
340170048003,81761,1948
340170049001,87250,911
340170049002,50109,741
340170049003,42969,1366
340170049004,48854,664
340170052001,35066,3356
340170052002,41528,1182
340170053001,47500,1374
340170053002,36250,1494
340170054001,132768,3631
340170054002,71132,2103
340170054003,58077,1265
340170055001,37852,2276
340170056001,37325,1180
340170056002,56250,1076
340170056003,43214,1561
340170058011,33160,1791
340170058012,29833,1181
340170058013,26725,1714
340170058014,40060,789
340170058021,174948,1485
340170059001,49886,1008
340170059002,61786,1716
340170059003,76736,2333
340170059004,78190,2051
340170059005,53643,589
340170060001,34821,2403
340170060002,43934,2223
340170061001,72738,638
340170061002,26326,1055
340170061003,33218,2327
340170061004,64556,1673
340170061005,68672,1325
340170062001,47760,1932
340170062002,23052,1867
340170063001,24625,956
340170063002,41793,1251
340170063003,48295,2194
340170064001,88571,1445
340170064002,95326,1616
340170065001,42083,572
340170065002,53432,1347
340170066001,68705,1388
340170067001,16801,1226
340170067002,36445,1599
340170067003,8015,138
340170068001,36328,1075
340170068002,40761,2128
340170069001,162895,128
340170070001,23627,963
340170070002,60125,1246
340170070003,88929,1738
340170071001,39934,848
340170071002,56923,1832
340170071003,28098,823
340170072001,113700,1354
340170072002,98750,926
340170073001,133036,1253
340170074001,154028,4476
340170075001,34881,2023
340170075002,173421,705
340170075003,120217,2097
340170075004,99338,389
340170076001,161851,5294
340170076002,129909,565
340170077001,-1,188
340170077002,145341,3926
340170077003,166250,1711
340170077004,133510,3814
340170078001,16179,1263
340170101001,48491,1655
340170101002,53047,1132
340170101003,55592,1684
340170101004,56058,999
340170102001,31950,1184
340170103003,32423,992
340170127005,-1,658
340170127006,-1,0
340170148002,31480,1735
340170148003,37007,2938
340170148004,-1,0
340170149001,33669,1853
340170149002,54637,1236
340170171004,53889,1052
340170173001,48781,2402
340170174001,44000,1477
340170174002,41250,1543
340170175001,38625,2558
340170175002,34904,1484
340170176001,35391,1526
340170176002,48214,1257
340170177001,36655,1129
340170177002,22361,805
340170178001,51836,1279
340170178002,25222,1900
340170178003,45517,1268
340170178004,62510,1553
340170179001,81510,875
340170179002,195341,975
340170182004,58942,467
340170183011,196806,842
340170183012,136250,753
340170183021,204306,3486
340170184001,146538,1364
340170184002,121678,509
340170184003,35980,1004
340170184004,81731,1056
340170184005,134904,1454
340170185001,102841,2363
340170185002,140988,1874
340170185003,90938,946
340170185004,171071,728
340170186001,101776,1369
340170186002,91842,934
340170187011,116250,1940
340170187012,117083,731
340170187021,127153,991
340170187022,62589,970
340170187023,113017,1505
340170187024,80313,1096
340170188001,110662,568
340170188002,100333,731
340170188003,84000,1560
340170189001,121389,1617
340170189002,118882,1479
340170189003,65795,813
340170190001,114850,1343
340170190002,91918,1290
340170190003,23110,1153
340170190004,31520,1755
340170191001,101172,1780
340170191002,64107,1436
340170192001,108732,1513
340170192002,174844,2309
340170193001,115833,1925
340170193002,26923,991
340170194001,75000,1223
340170194002,112989,1528
340170199003,55833,929
340170201001,119375,987
340179801001,-1,0
360470053000,-1,0
360610001001,-1,0
360610005000,-1,0
360610005001,-1,0
