Id,Median,Total
200910500003,83750,601
200910500006,146250,1189
200910508001,250001,552
200910508003,221563,1001
200910509001,160500,846
200910509002,215156,1245
200910509003,81442,2455
200910515003,78074,1033
200910516001,118105,654
200910516002,124327,2202
200910516003,103951,2384
200910517002,103092,2215
200910517003,104167,1581
200910533011,151319,2911
200910533012,136035,2512
200910533023,131339,3099
200910534091,94205,3455
200910534101,156471,892
200910534104,146250,1712
200910534105,151346,1118
202090400011,-1,0
202090400021,-1,0
202090430001,43250,60
202090452001,24130,728
202090452002,43158,619
202090452003,84643,829
290370600011,108056,964
290370600013,55625,1580
290370600031,26863,1508
290370600032,60611,1962
290370600041,54367,1831
290370600042,31397,1060
290370600044,64693,1994
290370601001,44292,678
290370601002,60221,910
290370603011,76804,3722
290370603021,75761,3280
290370604003,109667,1832
290470221001,50365,864
290470221002,21471,294
290470221003,39683,1024
290470221004,42344,1650
290470221005,40843,548
290470222002,65000,557
290950003001,24199,1777
290950006001,26932,1154
290950006002,31205,1095
290950006003,17058,679
290950006004,17452,1162
290950007001,40683,935
290950007002,25600,752
290950007003,17463,872
290950007004,34444,1069
290950008001,32368,967
290950008002,40691,1228
290950008003,31250,461
290950008004,39185,1038
290950009001,61447,689
290950009002,21414,1095
290950009003,44702,786
290950009004,22083,508
290950010001,22303,737
290950010002,33109,1165
290950010003,13523,1070
290950011001,18843,870
290950011002,47893,704
290950018001,23750,503
290950018002,43750,557
290950018003,14020,494
290950018004,19141,651
290950019001,24250,1125
290950019002,6200,528
290950019003,24120,472
290950019004,36042,1162
290950020001,30750,1138
290950020002,19551,1209
290950021001,26179,551
290950021002,11146,582
290950021003,26677,1737
290950021004,26155,1053
290950022001,24139,1468
290950022002,13333,304
290950022003,26850,1047
290950023001,25909,813
290950023002,47750,1239
290950034001,20313,922
290950034002,20469,467
290950034003,17756,740
290950034004,11408,518
290950037001,19732,1050
290950038001,19405,595
290950038002,23205,1182
290950043001,16250,1167
290950043002,57361,1163
290950044001,52120,368
290950044002,60500,582
290950046001,75183,872
290950046002,38750,974
290950046003,55845,840
290950051001,100645,797
290950051002,21170,823
290950052001,9861,685
290950052002,14063,547
290950053001,25182,642
290950053002,35441,493
290950054001,15551,863
290950055001,15811,779
290950056011,10094,687
290950056012,26525,1248
290950056021,22216,1087
290950056022,26780,600
290950057001,36771,826
290950057002,26875,724
290950057003,29375,400
290950057004,18705,332
290950058011,32153,500
290950058012,17260,585
290950058013,12336,643
290950060001,27679,388
290950060002,27938,904
290950061001,26250,975
290950061002,32159,815
290950061003,17237,911
290950063001,28542,423
290950063002,14915,1104
290950065001,46458,793
290950065002,38603,864
290950066001,77925,751
290950066002,40375,889
290950067001,22959,644
290950067002,22731,974
290950069001,53906,503
290950069002,41591,649
290950071001,37806,1107
290950071002,44745,778
290950071003,63010,886
290950072001,250001,714
290950072002,73218,1416
290950073001,39928,895
290950073002,40982,1196
290950073003,55074,905
290950074001,76417,1217
290950074002,48235,706
290950074003,36914,975
290950074004,72411,832
290950075001,29375,824
290950075002,32478,757
290950075003,55078,1062
290950076001,26393,696
290950076002,20521,525
290950076003,23438,1216
290950077001,25368,705
290950077002,16779,1007
290950078021,42250,586
290950078022,41775,743
290950078023,18889,921
290950079001,27600,1129
290950079002,24107,560
290950079003,52500,697
290950079004,36591,543
290950079005,46250,836
290950080001,26938,705
290950080002,31484,1134
290950080003,33625,1017
290950081001,44205,734
290950081002,40722,1395
290950082001,82679,834
290950082002,75365,792
290950082003,47500,886
290950082004,98571,565
290950083001,118295,1174
290950083002,102813,1201
290950084001,250001,737
290950084002,163250,692
290950084003,150500,1448
290950085001,162417,537
290950085002,111591,814
290950085003,126944,2047
290950086001,77083,1177
290950086002,81520,919
290950086003,42426,673
290950086004,115785,1610
290950086005,66316,865
290950087001,29375,1225
290950087002,27210,1094
290950088001,31563,731
290950088002,35324,678
290950088003,19576,462
290950088004,38036,750
290950088005,24491,600
290950089001,43500,510
290950089002,19570,1419
290950090001,31302,420
290950090002,32500,667
290950090003,37483,1648
290950090004,51490,1555
290950090005,25882,559
290950091001,71250,1017
290950091002,63929,565
290950091003,52392,1310
290950091004,54028,1056
290950092001,114375,1173
290950092002,41146,639
290950092003,76083,983
290950093001,54969,714
290950093002,68309,753
290950093003,54213,924
290950094001,40125,1232
290950094002,12829,1090
290950094003,43625,1533
290950094004,56750,679
290950095001,25774,905
290950095002,30817,820
290950095003,27212,759
290950095004,18032,460
290950096001,16014,1519
290950096002,21618,700
290950097001,21288,590
290950097002,23750,728
290950098001,44205,800
290950098002,52313,905
290950098003,52155,859
290950098004,58250,913
290950099001,58571,1523
290950099002,56875,800
290950100011,60000,489
290950100012,49866,1376
290950100021,37594,1255
290950100022,31662,1609
290950100023,44135,1015
290950101031,37188,807
290950101032,37437,896
290950101033,47950,918
290950101051,44562,1658
290950101052,115357,1025
290950101053,97917,861
290950102011,18988,2116
290950102031,65375,1786
290950102032,81019,1347
290950102033,49297,1704
290950102041,52417,2238
290950102042,57019,1897
290950102043,34035,1186
290950105001,47404,932
290950105002,22417,702
290950105003,31442,974
290950105004,33472,796
290950105005,30614,1261
290950106001,54052,923
290950106002,55476,859
290950106003,59111,744
290950106004,35938,521
290950107021,39773,817
290950107022,30694,2428
290950110001,37560,1017
290950110002,34018,552
290950110003,32444,989
290950110004,47802,760
290950110005,28026,1333
290950111001,36511,912
290950111002,36449,895
290950111003,40417,1351
290950112001,67159,1352
290950112002,57539,908
