Id,Median,Total
470930001001,33688,1930
470930008001,27818,1442
470930008002,45833,865
470930008003,14269,1033
470930009011,-1,2077
470930009021,-1,1367
470930009022,18140,2870
470930014001,22935,679
470930014002,25702,550
470930014003,5719,1382
470930015001,31161,1390
470930015002,35000,996
470930015003,30551,1261
470930016001,27500,1171
470930016002,35154,1639
470930017001,27070,1329
470930017002,21569,1053
470930018001,34079,1194
470930018002,32415,1031
470930019001,21929,1906
470930020001,24107,1299
470930020002,23105,1280
470930020003,18261,573
470930021001,19481,1470
470930021002,34412,1614
470930022001,42275,1059
470930022002,25972,1865
470930022003,33333,807
470930023001,26949,1417
470930023002,31289,1564
470930024001,23103,2001
470930024002,27160,1629
470930026001,27316,748
470930026002,19786,1901
470930027001,23750,1130
470930028001,28030,2823
470930029001,29715,1863
470930029002,16321,1989
470930030003,34487,1275
470930031002,51250,956
470930032001,30344,1675
470930032002,33880,1477
470930034001,49485,1790
470930034002,35179,2029
470930035001,44861,1937
470930035003,82708,1188
470930039021,28947,1167
470930040002,31505,1582
470930066001,21289,1403
470930066002,26759,2149
470930067001,30698,626
470930067002,10559,1009
470930067003,20793,1249
470930068001,15694,1829
470930068002,5399,1884
470930068003,9085,1681
470930068004,83958,66
470930069001,6905,1886
470930069002,16413,2632
470930069003,8108,2022
470930070001,26051,1527
470930070002,28993,1072
470930071001,70457,1484
