Id,Median,Total
320030001011,44500,1627
320030001012,67552,1677
320030001013,54922,660
320030001014,30273,1355
320030001015,53281,1006
320030001031,45948,818
320030001032,60139,1124
320030001033,28393,2447
320030001034,41375,1091
320030001051,41530,1001
320030001052,62276,1631
320030001053,26486,975
320030001061,25477,1543
320030001062,46725,1961
320030001063,37788,720
320030001071,51042,1644
320030001072,33594,2068
320030001081,36075,1780
320030001082,37888,1859
320030001091,53594,1344
320030001092,46027,684
320030001093,77143,1431
320030002011,29643,2569
320030002012,24545,1014
320030002013,37500,781
320030002031,42935,1357
320030002032,63958,842
320030002033,24750,1085
320030002034,17740,856
320030002041,52833,447
320030002042,70313,723
320030003011,26364,1225
320030003012,25375,408
320030003013,17024,589
320030003021,33580,688
320030003022,11090,1447
320030003023,24632,677
320030003024,20924,1202
320030003025,14219,749
320030004011,30481,498
320030004012,9550,1425
320030004021,14439,1599
320030004022,61477,626
320030004023,24792,1366
320030004031,15521,669
320030004032,27672,857
320030004033,11685,667
320030005101,44074,625
320030005102,39038,2021
320030005103,52500,1422
320030005104,38906,925
320030005131,32419,2142
320030005132,42188,857
320030005133,48566,787
320030005141,23050,1403
320030005142,41033,1242
320030005143,19907,1868
320030005144,32198,827
320030005145,30476,709
320030005151,44167,1931
320030005152,34109,1280
320030005153,52419,1080
320030005154,36645,878
320030005161,25703,915
320030005162,35526,885
320030005163,51667,1102
320030005164,22543,2271
320030005171,28266,1745
320030005172,38103,1388
320030005173,37938,1203
320030005174,41250,1130
320030005181,28614,1052
320030005182,22281,1021
320030005183,43684,1741
320030005184,31333,1392
320030005185,26318,288
320030005191,50781,1029
320030005192,46287,876
320030005193,54853,1820
320030005194,21731,1247
320030005201,28833,749
320030005202,29964,1140
320030005211,13470,524
320030005212,29219,1058
320030005213,20212,930
320030005214,44479,954
320030005221,16658,739
320030005222,16204,1332
320030005223,26759,1151
320030005231,15078,1175
320030005232,21719,1094
320030005241,42212,719
320030005242,18319,318
320030005243,10577,996
320030005251,15347,864
320030005252,48796,1071
320030005253,38854,798
320030005261,44786,1577
320030005262,44524,1661
320030005271,31250,1090
320030005272,63086,1680
320030005273,45921,1486
320030005281,56696,357
320030005282,20040,892
320030005283,50481,1387
320030006001,18222,1392
320030006002,27431,1644
320030007001,-1,2411
320030007002,-1,869
320030007003,43929,523
320030007004,15282,838
320030008001,14530,1397
320030008002,18036,636
320030009001,21348,1028
320030010031,45897,962
320030010032,54960,1583
320030010033,34588,1234
320030010041,57782,1724
320030010042,17835,1328
320030010043,40938,381
320030010044,34231,1251
320030010045,55161,1332
320030010046,82583,417
320030010051,143750,861
320030010052,86250,744
320030010061,87375,1002
320030010062,44044,1194
320030010063,62159,1943
320030011001,20536,134
320030011002,25875,990
320030011003,14857,1479
320030012001,44474,625
320030012002,53654,1449
320030012003,27292,1617
320030013001,41449,578
320030013002,59773,951
320030013003,38091,1358
320030013004,41111,785
320030013005,47262,654
320030014011,22405,1280
320030014012,24425,1618
320030014021,40625,882
320030014022,63204,1289
320030014023,17372,848
320030014024,62466,1009
320030015011,17500,1778
320030015012,34440,934
320030015013,21397,868
320030015021,30850,1257
320030015022,31063,922
320030015023,31402,697
320030015024,39464,484
320030016071,14535,493
320030016072,37917,939
320030016073,51078,540
320030016074,24743,2449
320030016081,45040,1015
320030016082,26480,517
320030016091,42292,1341
320030016092,53629,1843
320030016093,58750,981
320030016094,56532,1161
320030016101,54375,1043
320030016102,47308,1345
320030016111,33750,2063
320030016112,51971,1653
320030016113,37692,573
320030016121,27109,1486
320030016122,31908,1947
320030016123,23413,918
320030016124,21426,746
320030016125,25455,1798
320030016131,36000,906
320030016132,47518,1955
320030016133,42688,895
320030017061,46492,1458
320030017062,55076,1394
320030017071,44286,1558
320030017081,43722,1928
320030017082,65000,777
320030017091,52932,1494
320030017101,48843,2704
320030017102,43294,1505
320030017111,35328,2282
320030017112,38819,1332
320030017121,64828,2413
320030017122,41786,1326
320030017131,65521,1518
320030017132,64833,1640
320030017141,66331,1760
320030017142,51667,1500
320030017151,57679,1067
320030017152,43750,1774
320030017161,54397,2068
320030017171,81875,1296
320030017181,26920,1707
320030017182,40000,1091
320030018011,43355,1517
320030018012,24801,1050
320030018013,26091,875
320030018014,41000,1559
320030018015,35175,1591
320030018031,41197,1198
320030018032,35125,1484
320030018041,35313,1102
320030018042,38097,1366
320030018043,40321,1095
320030019011,32708,2351
320030019012,48527,524
320030019013,25735,1814
320030019014,42880,992
320030019021,24952,1352
320030019022,63281,1382
320030019023,47569,835
320030020001,32500,1679
320030020002,46897,1058
320030020003,42734,726
320030022011,27741,1461
320030022012,38250,842
320030022013,20195,1498
320030022031,40795,1474
320030022032,44583,951
320030022033,36989,2945
320030022041,34821,1201
320030022042,25536,501
320030022043,34444,1503
320030022044,28587,1260
320030022061,29364,1685
320030022062,39659,2129
320030022071,23089,2060
320030022072,28393,2372
320030022073,17287,232
320030023021,51955,954
320030023031,82321,417
320030024031,28634,1735
320030024032,35714,704
320030024033,21813,296
320030024034,24132,1021
320030024041,27000,1617
320030024042,21601,165
320030024043,18661,549
320030024044,20625,1390
320030024045,33162,576
320030024051,27804,1490
320030024052,35280,1633
320030024053,30263,1386
320030024061,37275,900
320030024062,22256,1372
