Id,Median,Total
210670001011,13889,1225
210670001012,15708,1490
210670001021,36944,657
210670001022,28929,1155
210670002001,13980,1163
210670002002,30200,991
210670002003,56786,845
210670002004,25208,577
210670003001,15737,704
210670003002,14219,884
210670003003,14742,629
210670003004,38015,953
210670004001,34922,829
210670004002,12917,556
210670005001,92955,519
210670005002,53000,917
210670005003,40000,1011
210670005004,34375,943
210670006001,64646,1462
210670006002,98250,1590
210670006003,47297,1173
210670007001,17969,1694
210670007002,32284,960
210670008011,22411,4158
210670008021,16000,3344
210670008022,12208,968
210670009001,12431,1057
210670009002,12688,2687
210670009003,11875,1242
210670010001,30109,706
210670010002,31042,923
210670011001,20000,1016
210670011002,27625,1217
210670011003,29375,1058
210670011004,29397,1139
210670013001,24005,1299
210670013002,26500,1079
210670014001,22003,1097
210670014002,37974,1185
210670015001,38125,844
210670015002,22375,1393
210670016001,23333,1673
210670016002,36818,815
210670017001,98333,605
210670017002,45500,676
210670017003,38203,696
210670018001,17025,1662
210670018002,16900,1356
210670019001,15668,3622
210670019002,33750,1260
210670020011,24508,1976
210670020012,34375,514
210670020013,34238,3007
210670020021,44360,893
210670020022,59719,1299
210670022001,55161,744
210670022002,48071,1152
210670023021,56181,1608
210670023022,65461,1617
210670023023,53077,1881
210670023031,18849,1040
210670023032,39583,701
210670023033,75054,2140
210670023034,58667,647
210670023041,129375,1475
210670023042,191000,583
210670024001,42303,1859
210670024002,80694,565
210670024003,66477,683
210670024004,81429,872
210670025001,57660,1073
210670025002,45114,864
210670025003,31717,1858
210670026001,39191,1443
210670026002,46698,905
210670026003,44600,967
210670026004,36058,765
210670026005,38409,760
210670027001,51600,1114
210670027002,42125,1644
210670027003,39000,1148
210670028001,55381,2135
210670028002,49028,1606
210670029001,54821,1142
210670029002,47230,1367
210670029003,53226,1464
210670030001,19979,1334
210670030002,65096,1255
210670030003,32044,762
210670030004,83828,900
210670030005,59125,1747
210670031011,26183,1632
210670031012,38355,1417
210670031021,38578,1296
210670031022,51645,1037
210670032011,37115,1229
210670032012,70083,448
210670032021,57594,2121
210670032022,26058,952
210670032023,18347,1361
210670032024,53365,1691
210670033001,27111,1510
210670033002,48611,1312
210670034021,36088,1873
210670034022,42708,804
210670034023,35811,1854
210670034041,14549,2322
210670034042,66719,1205
210670034043,31723,961
210670034051,33750,2301
210670034052,51944,1858
210670034053,55833,1510
210670034061,47303,1682
210670034062,55104,2584
210670034063,54961,2709
210670034071,40175,1627
210670034072,57083,1538
210670035011,36733,1862
210670035012,44375,1963
210670035031,39516,1449
210670035032,35119,818
210670035041,37904,1394
210670035042,45924,2041
210670036001,74444,864
210670036002,105526,1769
210670036003,64776,1788
210670037011,111786,924
210670037012,19922,2549
210670037021,69145,2358
210670037022,70125,2247
210670037031,72670,2925
210670037032,55625,1726
210670037041,91293,2062
210670037042,76094,1807
210670037043,84191,721
210670038023,53500,699
210670038031,64400,525
210670038032,51950,2194
210670038033,84519,437
210670038041,19046,2719
210670038042,18125,625
210670038043,26706,2220
210670039061,77692,1935
210670039081,71364,1092
210670039082,83802,2531
210670039083,45543,339
210670039091,37500,2769
210670039092,52353,716
210670039101,29341,2125
210670039111,34375,1398
210670039112,31746,1275
210670039113,25547,713
210670039121,37134,2656
210670039122,91100,1549
210670039131,129531,2105
210670039132,92750,505
210670039133,94022,3537
210670039171,68750,1158
210670039172,14063,17
210670039181,63750,791
210670040011,36136,1943
210670040012,58853,1798
210670040013,30238,2468
210670040031,44338,1743
210670040032,44201,1561
210670040033,77566,1721
210670040051,119034,1931
210670040061,154583,1167
210670040072,75550,992
210670041031,52000,301
210670041032,41806,1217
210670041041,45202,1233
210670041042,29813,2180
210670041043,50179,931
210670041051,107639,1730
210670041052,78750,1591
210670041053,58947,894
210670041061,85762,2245
210670041062,94776,2187
210670041071,122328,1374
210670041072,97117,2198
210670041073,85069,1995
210670042041,51875,2443
210670042042,64120,1542
210670042043,65664,1759
210670042051,71558,1528
210670042052,101833,2037
210670042072,104805,1849
210670042081,102266,2841
210670042082,118988,4440
210670042091,71429,1713
210670042092,81731,2187
210670042101,58482,1517
210670042102,81188,3124
211130602003,62188,805
211130606001,108986,2145
