Id,Median,Total
051190002001,30288,566
051190002002,25556,425
051190005001,34500,748
051190005002,32163,1150
051190005003,18409,931
051190011001,34323,972
051190011002,18333,621
051190011003,36667,665
051190012001,29688,1235
051190012002,17121,530
051190013001,13698,983
051190013002,30208,364
051190013003,30134,539
051190013004,25982,633
051190015011,52344,389
051190015012,104018,569
051190015013,81458,1411
051190015014,47682,1264
051190015021,47529,1023
051190015022,46213,1434
051190015023,73500,1108
051190016001,51146,1436
051190016002,45259,941
051190016003,137604,819
051190016004,104740,993
051190016005,66172,1595
051190018001,28274,895
051190018002,20222,894
051190018003,13396,1172
051190018004,26098,620
051190018005,23906,560
051190019001,21875,522
051190019002,21635,586
051190019003,32083,856
051190019004,20875,748
051190019005,31842,689
051190020011,34566,2938
051190020012,45875,1343
051190020013,29784,1126
051190020021,19772,1213
051190020022,30231,1998
051190020023,29519,1710
051190021021,34241,682
051190021022,35324,1614
051190021023,33220,1476
051190021031,41192,1327
051190021032,30395,2245
051190021041,29042,747
051190021042,103125,1214
051190021043,65986,1292
051190021044,80526,1818
051190022031,45000,1720
051190022032,21680,1356
051190022033,47333,945
051190022034,50489,1674
051190022041,90000,1700
051190022042,79813,883
051190022043,32958,2216
051190022044,64423,1902
051190022045,75256,855
051190022061,33563,1257
051190022062,36635,629
051190022063,56000,1436
051190022081,80769,965
051190022082,43152,1444
051190022091,36900,1452
051190022092,48030,1013
051190022093,24022,1150
051190024031,36118,2324
051190024032,31792,1051
051190024033,41492,787
051190024051,32188,904
051190024052,49875,2172
051190024053,42288,1178
051190024061,24861,943
051190024062,40060,2617
051190024071,58646,746
051190024072,69435,1332
051190024081,24337,1655
051190024082,34360,1047
051190024083,12481,1653
051190024084,37180,2420
051190024085,61058,476
051190025001,47917,838
051190025002,26065,583
051190026001,25946,510
051190026002,23261,547
051190027001,37869,2244
051190027002,40913,1255
051190027003,59167,928
051190027004,33430,1068
051190027005,26071,688
051190027006,40893,380
051190027007,28438,458
051190028001,20028,361
051190028002,9686,951
051190028003,16122,1185
051190029001,24688,615
051190029002,17222,955
051190030011,20446,888
051190030012,15481,688
051190030013,16583,931
051190030014,21300,378
051190030021,29844,2101
051190030022,12113,613
051190030023,22174,1058
051190031001,25481,655
051190032021,54420,2548
051190032022,31373,1842
051190032023,28638,1024
051190032024,48302,2398
051190032051,-1,0
051190032071,50637,924
051190032072,65313,1014
051190032081,26520,2270
051190032082,24726,1786
051190032083,38011,1148
051190033031,59746,1737
051190033032,86953,1166
051190033033,67266,1769
051190033041,56480,2057
051190033042,90962,1309
051190033043,62668,965
051190033044,68194,1351
051190033045,53182,517
051190033051,58516,1094
051190033052,22314,688
051190033053,38168,694
051190033054,35750,875
051190033061,42366,1684
051190033062,29545,1426
051190037031,40282,473
051190037032,96042,1439
051190037033,83370,1581
051190037034,57634,1134
051190037035,59318,1053
051190037036,75451,1340
051190037121,81667,1110
051190038001,48352,1231
051190038002,23083,1073
051190038003,27175,1014
051190040011,41908,689
051190040012,31406,990
051190040013,20398,1098
051190040051,28182,1462
051190040061,55417,1123
051190040062,32917,587
051190040063,37768,1382
051190040064,47969,801
051190040071,42880,1073
051190040072,32174,366
051190040073,32143,1437
051190041031,30959,2306
051190041032,29786,692
051190041033,36797,757
051190041041,52961,872
051190041042,56797,993
051190041051,36282,2634
051190041052,22243,740
051190041053,37883,1932
051190041061,40000,3141
051190041062,37974,1644
051190041063,30931,1655
051190041071,25412,2962
051190041072,21719,625
051190041081,21552,1223
051190041082,20579,2197
051190041083,25291,1505
051190042051,54118,2082
051190042052,70333,1596
051190042071,112083,2445
051190042072,55442,2068
051190042074,81063,2573
051190042121,131488,3605
051190042123,60234,1564
051190042131,128510,4129
051190042141,81284,1822
051190042142,162946,1419
051190042151,169808,496
051190042152,76741,2348
051190042153,50671,1553
051190042154,134712,1203
051190042161,73558,2902
051190042162,116818,587
051190042163,124886,715
051190042164,47143,2076
051190042181,66369,1945
051190042182,58542,837
051190042191,138563,1450
051190042192,94832,4679
051190042201,62721,2555
051190042202,31027,542
051190042203,47455,2629
051190042211,49271,2463
051190042212,73061,824
051190042213,63295,906
051190043023,31892,616
051190043024,35341,681
051190043032,50956,7725
051190044001,35329,1141
051190044002,49123,409
051190045001,20139,382
051190045002,30347,1555
051190045003,13276,492
051190046001,31250,818
051190046002,19110,1213
051190046003,15517,1004
051190047001,47321,492
051190047002,26979,535
051190047003,19306,554
051190047004,42404,498
051190047005,27222,654
051190048001,4732,468
051190048002,59638,950
051190048003,48000,534
051190048004,34732,750
051190048005,33092,576
051190049001,55917,803
051190049002,220000,693
051190049003,63673,636
051190049004,30592,888
051190049005,62250,818
051190049006,96234,2625
051250104042,43777,1498
051250104045,106582,1583
051250104081,59063,3967
051250104082,45489,1827
051250104091,48750,1329
051250105091,75938,2039
051250105092,61979,1136
051250105102,59722,2999
