Id,Median,Total
180190501001,22750,755
180190501002,31406,549
180190502002,14559,602
180190502003,36573,1858
180190503061,50551,488
180190503062,21719,1227
180190503063,38598,567
180190504012,41339,649
180190504013,41250,616
180430705003,21567,1078
180430706001,55294,1102
180430706002,64911,1204
211110002001,13611,777
211110002002,26136,647
211110002003,20735,1627
211110003001,32782,973
211110003002,26042,776
211110003003,38088,526
211110004001,27861,873
211110004002,32586,951
211110004003,47350,918
211110004004,32593,901
211110004005,35877,632
211110004006,43088,689
211110006001,19980,1241
211110006002,27031,601
211110007001,12500,802
211110007002,25724,1121
211110007003,35000,940
211110008001,26438,1129
211110008002,25592,1166
211110009001,38056,1166
211110009002,19875,1012
211110010001,13900,535
211110010002,21129,764
211110010003,26094,1400
211110011001,33399,1536
211110011002,19420,756
211110011003,27917,1079
211110012001,25045,915
211110012002,24449,1013
211110012003,28594,797
211110014001,34111,1390
211110014002,20040,933
211110015001,30625,1165
211110015002,21178,774
211110015003,20151,960
211110016001,15344,665
211110016002,42917,699
211110016003,28438,403
211110016004,19375,705
211110017001,37791,972
211110017002,18295,483
211110017003,16071,677
211110018001,17847,1170
211110018002,14952,439
211110021001,17064,786
211110021002,20000,889
211110021003,25662,748
211110023001,15066,528
211110023002,19294,1242
211110023003,19141,719
211110024001,16107,673
211110024002,20000,1910
211110024003,9677,453
211110024004,17461,1210
211110024005,23789,572
211110027001,16853,1030
211110027002,13636,1340
211110027003,24063,1056
211110028001,13586,583
211110028002,27361,1017
211110030001,9599,1499
211110030002,6667,1232
211110030003,9830,800
211110035001,15565,2801
211110035002,9342,1240
211110036001,35880,2372
211110036002,20500,237
211110036003,21028,465
211110036004,30061,1562
211110036005,41691,1076
211110037001,28092,880
211110037002,34250,1011
211110038001,33226,1465
211110038002,23958,391
211110038003,37969,780
211110038004,25625,890
211110039001,40745,1438
211110039002,32250,687
211110039003,29322,1872
211110040001,31023,1032
211110040002,25930,824
211110041001,19792,930
211110041002,25553,1196
211110041003,30000,565
211110043011,24246,1294
211110043012,13269,634
211110043013,16925,2322
211110043021,9625,358
211110043022,35917,112
211110043023,32098,1091
211110044001,36758,1484
211110044002,32854,651
211110044003,50417,598
211110044004,30441,887
211110044005,43938,1001
211110045001,30163,1467
211110045002,25536,667
211110045003,38380,1324
211110046001,43567,1024
211110046002,41875,1637
211110046003,30125,1166
211110049001,18000,2149
211110049002,31851,922
211110049003,10586,875
211110050001,23183,996
211110050002,12344,824
211110051001,27409,841
211110051002,12106,779
211110051003,15851,1255
211110051004,18464,410
211110052001,30438,1309
211110052002,25024,1085
211110052003,36404,712
211110053001,13457,1491
211110053002,38750,648
211110056001,27995,2783
211110056002,31620,1210
211110056003,34395,953
211110059001,38917,733
211110059002,9530,1914
211110059003,23348,453
211110059004,24038,1358
211110062001,14345,801
211110062002,21094,1236
211110063001,36364,892
211110063002,34268,1079
211110064001,52542,702
211110064002,61458,989
211110065001,14091,1093
211110065002,23775,873
211110065003,17266,937
211110066001,35817,573
211110066002,27188,1345
211110068001,40559,1397
211110068002,31071,861
211110069001,41375,1011
211110069002,40000,1193
211110070001,43170,1273
211110070002,58643,791
211110071001,65714,634
211110071002,27426,1078
211110071003,9966,732
211110071004,44038,1616
211110071005,48936,707
211110074001,43393,997
211110074002,39118,1024
211110075011,112750,1472
211110075012,118214,2119
211110075013,124706,1560
211110076011,39706,1270
211110076012,51591,792
211110076021,37000,2324
211110076022,22089,1382
211110076031,34583,1437
211110076032,37308,475
211110076033,79844,502
211110077001,84063,1347
211110077002,40185,2315
211110078001,64901,1673
211110078002,67292,493
211110078003,65625,891
211110079001,46736,803
211110079002,58190,866
211110081001,29773,897
211110081002,42031,1330
211110081003,52625,1006
211110082001,45091,887
211110082002,43583,1303
211110082003,55000,699
211110082004,68846,1344
211110083001,74063,816
211110083002,47188,489
211110083003,53125,876
211110084001,80972,882
211110084002,70882,940
211110084003,50893,1124
211110085001,52277,1173
211110085002,57097,853
211110087001,66250,674
211110087002,114044,1275
211110087003,150000,816
211110087004,98306,1317
211110088001,61750,1039
211110088002,79750,1013
211110088003,65795,1143
211110089001,99276,806
211110089002,71974,1168
211110089003,88015,698
211110089004,39826,1529
211110090001,23859,951
211110090002,28527,973
211110090003,38953,2078
211110090004,59495,1267
211110090005,37582,1354
211110091031,34773,1639
211110091062,73750,1278
211110091063,32011,660
211110093001,38720,1388
211110093002,44737,1135
211110093003,50288,940
211110093004,52750,1400
211110094001,92214,1383
211110094002,34938,1216
211110094003,26370,1276
211110094004,47132,1098
211110094005,68698,1848
211110096001,66731,587
211110096002,51542,532
211110096003,74152,2416
211110096004,75673,661
211110097001,50980,1245
211110097002,76563,1522
211110098001,80000,851
211110098002,67125,1010
211110098003,78750,646
211110099001,48295,959
211110099002,51375,664
211110099003,41616,1076
211110100011,86458,1776
211110100012,75313,1985
211110100013,92311,948
211110100042,49777,779
211110100043,39844,1307
211110100072,72500,2300
211110100073,78214,1258
211110101041,54517,1141
211110101042,45556,1813
211110105001,84191,717
211110105002,49257,2397
211110105003,67500,572
211110106011,46914,1578
211110106012,56346,1600
211110106021,48611,1903
211110106022,59973,1687
211110107011,43811,843
211110107021,70433,1317
211110107022,80278,1058
211110108001,68750,1239
211110108002,52368,1561
211110108003,62679,976
211110109011,22543,696
211110109012,44559,1482
211110109013,32457,1651
211110109014,24175,798
211110109021,68773,2143
211110109022,44606,1254
211110109023,37634,881
211110110021,30335,1290
211110110022,30982,1418
211110110023,17212,2289
211110110031,31297,1096
211110110032,43712,1196
211110110033,38409,868
211110110034,53750,840
211110110035,45922,904
211110110036,38750,683
211110110041,24871,2112
211110110042,32500,1037
211110110043,39596,817
211110110044,52708,1079
211110110045,62452,882
211110110051,37054,815
211110110052,32287,897
211110110053,37386,987
211110111091,72989,1242
211110111111,89000,1757
211110111112,59022,2146
211110111113,44671,1712
211110111141,33155,1347
211110111142,88603,1588
211110111143,46964,484
211110111144,84522,2199
211110112001,24316,820
211110112002,24936,1111
211110112003,30982,1228
211110112004,23286,843
211110112005,45542,1164
211110113011,35221,886
211110113012,65750,387
211110113013,27917,1153
211110113021,21802,1621
211110113022,34344,1037
211110113023,41696,475
211110113024,16827,1252
211110113025,27475,1752
211110113026,19136,832
211110114031,38381,786
211110114032,39625,928
211110114041,24458,1647
211110114042,25440,1364
211110114051,25596,669
211110114052,58004,840
211110114053,38958,1673
211110114054,20826,709
211110114055,36942,1561
211110114061,55179,824
211110114062,49097,1437
211110114063,36144,2435
211110115051,62988,1630
211110115052,61176,1312
211110115053,64500,1470
211110115054,66417,1061
211110115055,28229,983
211110115081,56379,2089
211110115082,83109,1676
211110115083,65000,1140
211110115091,30029,1453
211110115092,55750,1070
211110115152,70895,2903
211110118001,31143,879
211110118002,34255,727
211110118003,51042,678
211110118004,15735,500
211110119042,33156,1468
211110119061,23024,1389
211110119062,45104,1732
211110122021,36382,1528
211110122022,53750,765
211110122031,44417,698
211110122032,57788,2983
211110122041,44000,804
211110122042,56435,2023
211110122043,52690,1100
211110123011,70978,1172
211110123012,49250,1412
211110123013,37610,707
211110123021,42625,1738
211110123022,66875,2246
211110123023,43151,742
211110123024,49861,761
211110125011,22045,669
211110125012,39417,1611
211110125021,46747,998
211110125022,32516,1431
211110125023,50063,1810
211110125024,16527,1647
211110125033,25481,759
211110126011,33590,1558
211110126012,34777,2176
211110126013,50096,1039
211110126014,50359,1070
211110126015,47159,1529
211110126031,26875,1128
211110126032,53077,1372
211110126041,25885,1484
211110126042,43295,1216
211110126043,55786,989
211110126045,33990,880
211110127011,26278,886
211110127012,24306,832
211110127013,38162,1668
211110128011,22336,1691
211110128012,19524,514
211110128013,33958,1208
211110128021,28188,2107
211110128022,23782,744
211110131001,93889,1410
211110131002,97083,602
211119801001,-1,0
