Id,Median,Total
550250001001,67813,1005
550250001002,53365,1395
550250002011,77125,1248
550250002012,88869,907
550250002021,114276,1266
550250002022,68036,1896
550250002041,46324,1842
550250002042,73173,1263
550250002043,76906,2165
550250002051,113005,2393
550250002052,99764,1295
550250002053,41921,1363
550250003001,28106,2190
550250003002,111563,1011
550250003003,98056,903
550250003004,46000,1026
550250004011,74375,2345
550250004012,80469,1033
550250004021,62714,1364
550250004022,89563,1053
550250004051,48868,976
550250004052,51895,991
550250004053,49424,2159
550250004054,94531,2379
550250004061,68359,3034
550250004071,45549,1262
550250004072,42860,2232
550250004073,101923,1283
550250004074,71563,897
550250004081,47788,1230
550250004082,28171,463
550250005011,70990,1635
550250005012,72639,776
550250005013,53480,563
550250005014,51154,1393
550250005031,88859,560
550250005032,93542,1230
550250005033,69522,2157
550250005034,67667,534
550250005035,45041,2828
550250005041,63343,1453
550250005042,83417,1484
550250005043,79815,2845
550250005044,86607,1035
550250006001,40625,1254
550250006002,34046,2643
550250006003,31149,1826
550250007001,179545,834
550250007002,72159,1045
550250007003,90804,1300
550250008001,45000,1358
550250008002,89405,1345
550250008003,76154,1023
550250009011,113697,1184
550250009012,80417,946
550250009021,31830,1811
550250009022,86902,987
550250009023,18656,2051
550250009024,78125,1173
550250010001,96667,1272
550250010002,85625,978
550250011011,20826,2418
550250011012,14038,2171
550250011021,26685,1053
550250011022,-1,2947
550250012001,15750,1059
550250012002,54273,953
550250012003,53090,1561
550250012004,28125,2709
550250013001,68065,1668
550250013002,53977,759
550250014011,26989,1984
550250014012,34808,1225
550250014013,24839,1978
550250014014,29481,835
550250014021,26353,1591
550250014022,77563,854
550250014023,32021,2303
550250014024,107826,617
550250014031,91667,2328
550250014032,43229,3120
550250014033,56895,2259
550250015011,42109,1349
550250015012,86429,806
550250015021,33281,1323
550250015022,32088,1731
550250015023,42875,2573
550250016031,10127,1579
550250016032,5066,1430
550250016041,9365,786
550250016042,19688,1814
550250016043,7281,1002
550250016044,5335,1731
550250016051,18705,1824
550250016052,25391,1360
550250016061,21146,1103
550250016062,14089,1570
550250016063,-1,1135
550250016064,-1,2281
550250017041,30813,902
550250017042,48571,1946
550250017051,47857,792
550250017052,17461,1643
550250017053,25692,1522
550250018021,66250,1580
550250018022,46354,1322
550250018041,45344,1395
550250018042,35417,2050
550250019001,89659,1179
550250019002,66750,1132
550250019003,44297,1513
550250019004,36712,1074
550250019005,50238,1247
550250020001,26705,1234
550250020002,42449,1132
550250020003,79911,1507
550250020004,48860,1773
550250021001,34583,1217
550250021002,42026,1579
550250021003,31397,1185
550250021004,37583,925
550250022001,26305,1041
550250022002,49000,1172
550250022003,36786,1737
550250023011,26556,2024
550250023012,62887,1109
550250023021,53056,1634
550250024011,55766,1440
550250024012,72875,935
550250024013,55729,1019
550250024021,25515,1823
550250024022,47946,1411
550250025001,22083,933
550250025002,40848,665
550250026011,42692,1198
550250026012,37981,654
550250026021,50357,2396
550250026022,71016,1428
550250026023,40129,1790
550250026031,78422,3057
550250026032,51102,2305
550250027001,56927,1033
550250027002,64583,1244
550250027003,52035,1026
550250028001,55721,1502
550250028002,56125,665
550250029001,50952,707
550250029002,51563,1265
550250029003,57539,1240
550250030011,84167,919
550250030012,95089,950
550250030013,52813,1082
550250030014,52917,1361
550250030015,67500,878
550250030021,38341,1789
550250030022,45882,1477
550250031001,61806,1360
550250031002,77393,1049
550250031003,77679,2704
550250031004,92844,1113
550250032001,37500,2694
550250101001,151042,856
550250101002,128750,800
550250102001,131667,1411
550250103001,49974,2066
550250103002,71719,1544
550250104001,32067,1376
550250104002,41607,943
550250104003,94276,894
550250105011,93810,1100
550250105012,74417,1965
550250105021,106641,1632
550250105022,72031,2325
550250105023,41298,966
550250105024,65343,2846
550250106001,105313,1021
550250106002,79773,1241
550250106004,85278,898
550250107011,144554,2578
550250107012,64737,1601
550250107021,85027,2676
550250107022,74000,600
550250107023,98621,1643
550250107024,80451,978
550250108001,97150,2593
550250108002,86658,1280
550250108003,104038,1245
550250108004,72650,1453
550250108005,99955,4440
550250109011,83598,5877
550250109031,107039,2928
550250109041,105769,1460
550250109042,116953,2759
550250109043,90000,1298
550250109044,104650,2911
550250110001,56094,2050
550250110002,77500,2169
550250111011,49258,1501
550250111012,41414,1958
550250111013,46371,1299
550250111021,79583,1048
550250111022,112333,1501
550250111023,151638,978
550250111024,55455,1871
550250111025,40469,542
550250111026,48507,1417
550250111027,101667,811
550250112001,72361,993
550250112002,90833,3862
550250112003,131328,2249
550250112004,66058,2008
550250114011,66106,2054
550250114012,73750,2436
550250114013,69632,2570
550250114021,69444,1900
550250114022,73828,1135
550250115061,61755,1996
550259917020,-1,0
550259917030,-1,0
