Id,Median,Total
050350301011,-1,-1
050350306001,-1,-1
050350308031,-1,-1
050350308061,-1,-1
470470607021,90508,1625
471570001001,45956,1585
471570001002,78000,2645
471570001003,70893,1921
471570002001,19967,1094
471570003001,20045,772
471570003002,18587,272
471570004001,25313,325
471570004002,20855,1297
471570006001,13211,1178
471570006002,25662,1025
471570007001,33021,1909
471570007002,19366,1434
471570007003,41648,1252
471570008001,12760,1036
471570008002,22281,847
471570008003,15688,445
471570009001,25134,877
471570009002,15383,980
471570009003,25968,1300
471570011001,33125,1446
471570011002,25114,1142
471570011003,29511,1028
471570012001,37039,1555
471570012002,26818,783
471570012003,43179,901
471570013001,18201,1176
471570013002,14397,700
471570013003,30938,516
471570013004,20774,702
471570014001,18346,1241
471570015001,14844,756
471570015002,21146,782
471570016001,98456,2164
471570016002,82969,1055
471570016003,40147,159
471570017001,47870,1660
471570017002,37434,912
471570017003,26892,1064
471570019001,23882,487
471570019002,13006,916
471570020001,36250,734
471570020002,19120,956
471570021001,18077,1196
471570024001,27875,1376
471570024002,17656,571
471570024003,26042,106
471570025001,27315,1218
471570025002,33778,1925
471570026001,42857,1309
471570026002,72422,1254
471570027001,21667,570
471570027002,21866,1922
471570028001,38625,1777
471570028002,29625,673
471570028003,10451,1240
471570029001,60667,766
471570029002,57344,930
471570029003,73306,1490
471570029004,126765,1023
471570029005,65852,410
471570030001,16676,933
471570030002,30568,1070
471570030003,63958,1110
471570031001,63092,863
471570031002,48454,769
471570031003,37670,666
471570031004,50053,1129
471570032001,28418,737
471570032002,25543,1377
471570032003,33958,994
471570033001,54745,1336
471570033002,91500,1172
471570034001,59038,1103
471570034002,31813,878
471570035001,138542,749
471570035002,64797,1080
471570035003,43534,1689
471570036001,21218,263
471570036002,15783,1501
471570037001,13253,1353
471570038001,15426,1177
471570039001,12432,1298
471570042001,44879,1410
471570042002,61875,994
471570043001,68750,1342
471570045001,15608,807
471570046001,19468,1219
471570050001,18533,691
471570050002,13710,338
471570053001,25040,942
471570053002,13556,1562
471570053003,25091,1278
471570055001,14040,701
471570055002,17120,867
471570055003,18723,946
471570056001,25871,1298
471570056002,33750,1445
471570056003,17731,1110
471570057001,25982,1089
471570057002,22411,1189
471570058001,15781,71
471570058002,20703,933
471570059001,27969,1193
471570059002,14884,991
471570059003,22425,848
471570060001,25104,1017
471570060002,26513,999
471570062001,30189,1022
471570062002,36250,394
471570062003,27407,1012
471570063001,70393,1118
471570063002,35385,310
471570063003,47857,755
471570064001,32136,1422
471570065001,25345,1227
471570065002,26217,2038
471570066001,33125,999
471570066002,38599,1112
471570067001,27083,544
471570067002,20227,1446
471570067003,15476,1117
471570067004,20865,547
471570068001,18750,536
471570068002,19787,1462
471570068003,13795,821
471570069001,30260,1282
471570069002,15536,1012
471570069003,30238,997
471570070001,28781,1407
471570070002,47125,1448
471570070003,14695,791
471570071001,139750,1356
471570071002,31875,1073
471570072001,58906,1338
471570072002,68636,1022
471570073001,28913,1469
471570073002,20838,1312
471570073003,31750,1899
471570074001,28259,1325
471570074002,39375,1679
471570075001,27375,491
471570075002,24135,908
471570078101,14044,485
471570078102,30417,1025
471570078103,20347,1341
471570078211,14628,686
471570078212,16979,437
471570078213,12857,936
471570078214,37794,1674
471570078215,9846,1589
471570078221,27681,1630
471570079001,30729,1189
471570079002,29904,1436
471570079003,27411,760
471570079004,14487,1269
471570079005,44141,1408
471570080001,29700,1486
471570080002,24472,1212
471570080003,33472,1485
471570080004,62917,921
471570081101,23885,1357
471570081102,29375,860
471570081103,16005,739
471570081201,24896,1000
471570081202,22739,1906
471570081203,23878,1275
471570081204,18490,322
471570082001,20188,1299
471570082002,23852,922
471570082003,37647,1384
471570082004,19081,898
471570082005,17065,1036
471570085001,163321,2025
471570085002,85375,2008
471570086001,50728,2262
471570086002,125735,2429
471570086003,65089,1587
471570087001,36801,866
471570087002,53143,1200
471570087003,45238,1069
471570087004,27188,1067
471570088001,33227,1500
471570088002,28214,2678
