Id,Median,Total
120860006051,34306,1299
120860006052,30625,495
120860006053,47788,1204
120860006054,32939,1492
120860006072,34239,1523
120860006073,28274,2031
120860006082,18457,3917
120860006083,26463,1628
120860007052,26719,1112
120860007053,18534,1450
120860007063,36833,1647
120860007064,33889,2715
120860007074,42212,3450
120860007081,58750,1617
120860007082,43372,1543
120860007091,25720,1925
120860007092,38047,2858
120860007093,30250,1856
120860007101,20054,3316
120860007102,21164,1822
120860007111,33047,884
120860007112,28458,2131
120860007113,20663,2298
120860007121,29143,2623
120860008041,19280,1659
120860008042,28235,3195
120860008051,27955,1540
120860008052,30602,1164
120860008053,29841,1726
120860008054,45481,1821
120860008061,24369,2482
120860008062,17619,2395
120860008071,19460,2030
120860008072,13338,1940
120860008081,25833,2079
120860008082,24176,2214
120860009012,30729,1633
120860009023,26493,1210
120860009024,27851,1339
120860009025,52321,838
120860009031,15854,1015
120860009032,29536,221
120860009033,44031,1443
120860010021,51346,699
120860010022,35739,1832
120860010023,26774,2458
120860010031,36923,1185
120860010032,32337,835
120860010033,19883,1475
120860010034,30656,782
120860010041,15721,1128
120860010042,28613,1229
120860010043,20042,1600
120860010044,29798,265
120860010045,29278,1024
120860010051,28351,2051
120860010061,53229,1259
120860010062,31118,2536
120860010063,12841,1101
120860011042,70341,1358
120860011044,60500,1154
120860012061,28313,1360
120860012062,83398,597
120860013011,85577,817
120860013012,30033,454
120860013013,45114,1076
120860013014,26599,1547
120860013015,25313,423
120860013021,70329,930
120860013022,85490,1565
120860013023,52991,684
120860013024,17524,1257
120860013025,28846,1106
120860013026,37386,692
120860014011,20513,2182
120860014012,21625,1028
120860014013,15909,1903
120860014021,13902,1994
120860014022,6328,460
120860014023,9620,3394
120860015011,23177,1255
120860015012,9438,2454
120860015021,22500,1027
120860015022,19125,1804
120860015023,11771,754
120860016021,22019,1428
120860016022,25000,1011
120860016023,24107,1855
120860016024,34833,2301
120860016031,27955,1711
120860016032,29112,874
120860016051,22953,2382
120860016052,13718,1710
120860016061,24811,3052
120860016062,25469,1594
120860017011,26371,965
120860017012,22466,1149
120860017013,28375,915
120860017014,18036,1091
120860017021,31569,992
120860017022,23306,659
120860017023,30227,449
120860017031,31875,1221
120860017032,18971,2117
120860017033,46964,1824
120860018011,14609,901
120860018012,26250,1406
120860018013,21443,1793
120860018021,34531,1471
120860018022,19206,1695
120860018023,23385,545
120860018031,9707,887
120860018032,22600,1247
120860018033,30217,395
120860018034,11813,398
120860019011,34444,968
120860019012,17115,421
120860019013,21853,686
120860019014,24628,1557
120860019031,13125,793
120860019032,18940,791
120860019033,26017,1609
120860019041,20770,1849
120860019042,19907,1194
120860019043,27742,1255
120860020011,12177,1792
120860020012,21176,928
120860020013,26793,587
120860020014,9864,776
120860020031,23971,1600
120860020032,20250,1883
120860020041,29063,1201
120860020042,17266,1715
120860021001,65444,1345
120860021002,105179,643
120860021003,61875,405
120860021004,27222,214
120860022011,36531,2525
120860022012,37165,1004
120860022013,-1,0
120860022021,31708,1663
120860022022,25283,870
120860022023,20260,1496
120860022024,21833,747
120860022025,22833,894
120860023001,21094,1672
120860023002,47008,1629
120860023003,26849,1179
120860023004,36042,704
120860024021,16201,1504
120860024022,31010,3754
120860024031,30012,2725
120860024032,21875,1829
120860024041,13394,2899
120860024042,19656,2278
120860025011,20474,837
120860025012,24554,1372
120860025013,21601,1062
120860025014,23244,1714
120860025021,25551,2924
120860025022,20957,986
120860025023,22615,1416
120860026001,69081,2005
120860026002,15341,1064
120860026003,28214,1427
120860026004,14084,1647
120860027021,32457,1873
120860027022,36700,973
120860027031,103750,1639
120860027032,39386,351
120860027033,-1,0
120860027034,81184,699
120860027035,54796,946
120860027036,99861,817
120860027037,-1,41
120860027038,87697,660
120860027039,86797,567
120860027051,80304,769
120860027052,48689,809
120860027053,60372,1159
120860027061,41979,779
120860027062,45779,1924
120860027063,53500,368
120860028001,14451,393
120860028002,23906,1002
120860029001,31250,2745
120860029002,27731,2062
120860029003,22943,1952
120860030011,9654,646
120860030012,17386,762
120860030013,40833,994
120860030031,24775,1781
120860030032,26957,3095
120860030033,32422,2067
120860030041,16520,1108
120860030042,17195,2909
120860031001,16184,1001
120860031002,14510,2046
120860031003,10342,1071
120860034001,10563,553
120860034002,20625,412
120860034003,14271,431
120860034004,11157,307
120860036011,9754,956
120860036012,15495,2496
120860036021,19333,1436
120860036022,22061,2205
120860036023,10779,1311
120860036024,37972,1064
120860036025,21944,1370
120860037021,92404,302
120860037022,36667,976
120860037023,33711,113
120860037024,66172,714
120860037025,-1,0
120860037026,10350,169
120860037027,-1,0
120860037028,86806,1257
120860037031,65268,1348
120860037041,34704,1575
120860037051,62464,1074
120860037061,-1,1356
120860037071,18438,912
120860039061,144583,620
120860039161,76603,1861
120860039162,32045,1645
120860039171,45625,1765
120860039172,55272,837
120860039173,55769,2621
120860039181,71336,747
120860039182,56000,1294
120860040002,100156,775
120860040005,48636,1192
120860041021,98264,822
120860041022,102125,351
120860041023,155909,542
120860041024,71029,898
120860041061,141983,1949
120860041062,61509,1638
120860042031,50847,2597
120860042032,64402,1876
120860042041,30991,1322
120860042042,56346,749
120860043011,100909,452
120860043012,83214,535
120860043013,42163,837
120860043042,66452,502
120860043043,55505,1566
120860044051,32294,1094
120860044061,59653,595
120860044062,46411,1014
120860044063,46667,1056
120860045001,166976,508
120860045002,143750,256
120860045003,34167,1160
120860047011,51250,1158
