lng1,lat1,lng2,lat2,id1,id2
-80.260026,25.860138,-80.260144,25.860126,120860006051,120860006042
-80.260144,25.860126,-80.260505,25.860125,120860006051,120860006042
-80.260505,25.860125,-80.261314,25.860105,120860006051,120860006042
-80.261314,25.860105,-80.261484,25.860093,120860006051,120860006042
-80.261484,25.860093,-80.262074,25.860089,120860006051,120860006042
-80.262074,25.860089,-80.262272,25.860078,120860006051,120860006042
-80.262272,25.860078,-80.26265,25.860046,120860006051,120860006042
-80.26265,25.860046,-80.262639,25.859296,120860006051,120860006042
-80.262639,25.859296,-80.262542,25.856401,120860006051,120860006042
-80.262542,25.856401,-80.263363,25.856389,120860006051,120860006042
-80.263363,25.856389,-80.264526,25.856352,120860006051,120860006042
-80.264526,25.856352,-80.265693,25.856318,120860006051,120860006042
-80.265693,25.856318,-80.266583,25.856292,120860006051,120860006042
-80.266583,25.856292,,,120860006051,120860006043
-80.266431,25.850772,-80.264415,25.850858,120860006051,120860006052
-80.264415,25.850858,-80.262381,25.850912,120860006051,120860006052
-80.262381,25.850912,-80.26085,25.850955,120860006051,120860006052
-80.26085,25.850955,-80.260797,25.850047,120860006051,120860006052
-80.260797,25.850047,-80.260449,25.850046,120860006051,120860006052
-80.260449,25.850046,-80.260338,25.850012,120860006051,120860006052
-80.260338,25.850012,-80.260292,25.849899,120860006051,120860006052
-80.260292,25.849899,-80.260259,25.849144,120860006051,120860006052
-80.260259,25.849144,-80.260229,25.848212,120860006051,120860006052
-80.260229,25.848212,-80.26021,25.847281,120860006051,120860006052
-80.26021,25.847281,-80.260167,25.846371,120860006051,120860006052
-80.260167,25.846371,-80.260114,25.845463,120860006051,120860006052
-80.260114,25.845463,-80.260112,25.845428,120860006051,120860006052
-80.266431,25.850772,,,120860006051,120860006053
-80.266583,25.856292,-80.266575,25.855356,120860006051,120860006054
-80.266575,25.855356,-80.266542,25.854396,120860006051,120860006054
-80.266542,25.854396,-80.266514,25.852637,120860006051,120860006054
-80.266514,25.852637,-80.266479,25.851684,120860006051,120860006054
-80.266479,25.851684,-80.266431,25.850772,120860006051,120860006054
-80.260112,25.845428,-80.259813,25.845478,120860006051,120860008061
-80.259813,25.845478,-80.259614,25.845478,120860006051,120860008061
-80.25811,25.845504,-80.25811,25.845529,120860006051,120860009023
-80.25811,25.845529,-80.258154,25.846436,120860006051,120860009023
-80.258154,25.846436,-80.25819,25.847357,120860006051,120860009023
-80.25819,25.847357,-80.258211,25.848094,120860006051,120860009023
-80.258211,25.848094,-80.258206,25.848168,120860006051,120860009023
-80.258206,25.848168,-80.258226,25.848264,120860006051,120860009023
-80.258226,25.848264,-80.25953,25.848239,120860006051,120860009023
-80.25953,25.848239,-80.259643,25.848226,120860006051,120860009023
-80.259643,25.848226,-80.259688,25.848224,120860006051,120860009023
-80.259688,25.848224,-80.259729,25.848223,120860006051,120860009023
-80.259729,25.848223,-80.259853,25.852834,120860006051,120860009023
-80.259853,25.852834,-80.259875,25.853598,120860006051,120860009023
-80.259875,25.853598,-80.259912,25.854952,120860006051,120860009023
-80.259912,25.854952,-80.259986,25.857818,120860006051,120860009023
-80.259986,25.857818,-80.259999,25.858644,120860006051,120860009023
-80.259999,25.858644,-80.260026,25.860138,120860006051,120860009023
-80.259614,25.845478,-80.25811,25.845504,120860006051,120860009032
-80.260112,25.845428,-80.260114,25.845463,120860006052,120860006051
-80.260114,25.845463,-80.260167,25.846371,120860006052,120860006051
-80.260167,25.846371,-80.26021,25.847281,120860006052,120860006051
-80.26021,25.847281,-80.260229,25.848212,120860006052,120860006051
-80.260229,25.848212,-80.260259,25.849144,120860006052,120860006051
-80.260259,25.849144,-80.260292,25.849899,120860006052,120860006051
-80.260292,25.849899,-80.260338,25.850012,120860006052,120860006051
-80.260338,25.850012,-80.260449,25.850046,120860006052,120860006051
-80.260449,25.850046,-80.260797,25.850047,120860006052,120860006051
-80.260797,25.850047,-80.26085,25.850955,120860006052,120860006051
-80.26085,25.850955,-80.262381,25.850912,120860006052,120860006051
-80.262381,25.850912,-80.264415,25.850858,120860006052,120860006051
-80.264415,25.850858,-80.266431,25.850772,120860006052,120860006051
-80.266431,25.850772,-80.266402,25.849844,120860006052,120860006053
-80.266402,25.849844,-80.266337,25.848916,120860006052,120860006053
-80.266337,25.848916,-80.266333,25.848011,120860006052,120860006053
-80.266333,25.848011,-80.266277,25.847075,120860006052,120860006053
-80.266277,25.847075,-80.266212,25.846147,120860006052,120860006053
-80.266212,25.846147,-80.266182,25.84525,120860006052,120860006053
-80.266182,25.84525,-80.266181,25.845229,120860006052,120860006053
-80.266431,25.850772,,,120860006052,120860006054
-80.266181,25.845229,-80.264183,25.845295,120860006052,120860008061
-80.264183,25.845295,-80.262147,25.845373,120860006052,120860008061
-80.262147,25.845373,-80.260112,25.845428,120860006052,120860008061
-80.266431,25.850772,,,120860006053,120860006051
-80.266181,25.845229,-80.266182,25.84525,120860006053,120860006052
-80.266182,25.84525,-80.266212,25.846147,120860006053,120860006052
-80.266212,25.846147,-80.266277,25.847075,120860006053,120860006052
-80.266277,25.847075,-80.266333,25.848011,120860006053,120860006052
-80.266333,25.848011,-80.266337,25.848916,120860006053,120860006052
-80.266337,25.848916,-80.266402,25.849844,120860006053,120860006052
-80.266402,25.849844,-80.266431,25.850772,120860006053,120860006052
-80.266431,25.850772,-80.268465,25.850719,120860006053,120860006054
-80.268465,25.850719,-80.270517,25.850649,120860006053,120860006054
-80.270517,25.850649,-80.272539,25.850583,120860006053,120860006054
-80.272539,25.850583,-80.272503,25.849635,120860006053,120860006082
-80.272503,25.849635,-80.272456,25.848675,120860006053,120860006082
-80.272456,25.848675,-80.272391,25.847698,120860006053,120860006082
-80.272391,25.847698,-80.272344,25.846754,120860006053,120860006082
-80.272344,25.846754,-80.272268,25.845774,120860006053,120860006082
-80.272268,25.845774,-80.272214,25.844743,120860006053,120860006082
-80.272214,25.844743,-80.270217,25.844807,120860006053,120860008061
-80.270217,25.844807,-80.268226,25.844895,120860006053,120860008061
-80.268226,25.844895,-80.266181,25.845229,120860006053,120860008061
-80.266583,25.856292,,,120860006054,120860006042
-80.266583,25.856292,-80.268608,25.856223,120860006054,120860006043
-80.268608,25.856223,-80.270626,25.856152,120860006054,120860006043
-80.270626,25.856152,-80.272645,25.856127,120860006054,120860006043
-80.266431,25.850772,-80.266479,25.851684,120860006054,120860006051
-80.266479,25.851684,-80.266514,25.852637,120860006054,120860006051
-80.266514,25.852637,-80.266542,25.854396,120860006054,120860006051
-80.266542,25.854396,-80.266575,25.855356,120860006054,120860006051
-80.266575,25.855356,-80.266583,25.856292,120860006054,120860006051
-80.266431,25.850772,,,120860006054,120860006052
-80.272539,25.850583,-80.270517,25.850649,120860006054,120860006053
-80.270517,25.850649,-80.268465,25.850719,120860006054,120860006053
-80.268465,25.850719,-80.266431,25.850772,120860006054,120860006053
-80.272623,25.852421,-80.272595,25.851508,120860006054,120860006082
-80.272595,25.851508,-80.272539,25.850583,120860006054,120860006082
-80.272645,25.856127,-80.27265,25.855185,120860006054,120860006083
-80.27265,25.855185,-80.272643,25.854267,120860006054,120860006083
-80.272643,25.854267,-80.272636,25.853347,120860006054,120860006083
-80.272636,25.853347,-80.272623,25.852421,120860006054,120860006083
-80.278681,25.856842,-80.280701,25.85678,120860006072,120860006071
-80.280701,25.85678,-80.282679,25.856718,120860006072,120860006071
-80.282679,25.856718,-80.282671,25.856257,120860006072,120860006071
-80.282671,25.856257,-80.283051,25.856702,120860006072,120860006071
-80.283051,25.856702,-80.284635,25.856633,120860006072,120860006071
-80.284635,25.856633,-80.286579,25.856569,120860006072,120860006071
-80.286579,25.856569,-80.286559,25.856025,120860006072,120860006073
-80.286559,25.856025,-80.28655,25.855648,120860006072,120860006073
-80.28655,25.855648,-80.286524,25.855188,120860006072,120860006073
-80.286524,25.855188,-80.286527,25.854734,120860006072,120860006073
-80.286527,25.854734,-80.286483,25.853803,120860006072,120860006073
-80.286483,25.853803,-80.286456,25.85288,120860006072,120860006073
-80.286456,25.85288,-80.286431,25.851962,120860006072,120860006073
-80.278681,25.856842,,,120860006072,120860006081
-80.286431,25.851962,-80.284453,25.852017,120860006072,120860006082
-80.284453,25.852017,-80.282513,25.852076,120860006072,120860006082
-80.282513,25.852076,-80.280564,25.852164,120860006072,120860006082
-80.280564,25.852164,-80.278593,25.852233,120860006072,120860006082
-80.278593,25.852233,-80.278627,25.853129,120860006072,120860006083
-80.278627,25.853129,-80.278621,25.85406,120860006072,120860006083
-80.278621,25.85406,-80.278641,25.854991,120860006072,120860006083
-80.278641,25.854991,-80.278649,25.85591,120860006072,120860006083
-80.278649,25.85591,-80.278681,25.856842,120860006072,120860006083
-80.286737,25.861207,-80.288658,25.861165,120860006073,120860006033
-80.288658,25.861165,-80.290625,25.861101,120860006073,120860006033
-80.286579,25.856569,-80.286618,25.857468,120860006073,120860006071
-80.286618,25.857468,-80.28664,25.857972,120860006073,120860006071
-80.28664,25.857972,-80.286649,25.858393,120860006073,120860006071
-80.286649,25.858393,-80.286647,25.858772,120860006073,120860006071
-80.286647,25.858772,-80.286646,25.85887,120860006073,120860006071
-80.286646,25.85887,-80.286675,25.859358,120860006073,120860006071
-80.286675,25.859358,-80.286688,25.860295,120860006073,120860006071
-80.286688,25.860295,-80.286737,25.861207,120860006073,120860006071
-80.286431,25.851962,-80.286456,25.85288,120860006073,120860006072
-80.286456,25.85288,-80.286483,25.853803,120860006073,120860006072
-80.286483,25.853803,-80.286527,25.854734,120860006073,120860006072
-80.286527,25.854734,-80.286524,25.855188,120860006073,120860006072
-80.286524,25.855188,-80.28655,25.855648,120860006073,120860006072
-80.28655,25.855648,-80.286559,25.856025,120860006073,120860006072
-80.286559,25.856025,-80.286579,25.856569,120860006073,120860006072
-80.290179,25.851776,-80.290058,25.851847,120860006073,120860006082
-80.290058,25.851847,-80.288393,25.851884,120860006073,120860006082
-80.288393,25.851884,-80.286431,25.851962,120860006073,120860006082
-80.290294,25.855316,-80.290295,25.855086,120860006073,120860007081
-80.290295,25.855086,-80.290268,25.854373,120860006073,120860007081
-80.290268,25.854373,-80.290242,25.853686,120860006073,120860007081
-80.290242,25.853686,-80.290196,25.85275,120860006073,120860007081
-80.290196,25.85275,-80.290179,25.851776,120860006073,120860007081
-80.290625,25.861101,-80.290575,25.860174,120860006073,120860007082
-80.290575,25.860174,-80.290492,25.859234,120860006073,120860007082
-80.290492,25.859234,-80.290497,25.859053,120860006073,120860007082
-80.290497,25.859053,-80.290416,25.858661,120860006073,120860007082
-80.290416,25.858661,-80.290381,25.858205,120860006073,120860007082
-80.290381,25.858205,-80.290355,25.857855,120860006073,120860007082
-80.290355,25.857855,-80.290338,25.857365,120860006073,120860007082
-80.290338,25.857365,-80.290305,25.856451,120860006073,120860007082
-80.290305,25.856451,-80.290291,25.855772,120860006073,120860007082
-80.290291,25.855772,-80.290294,25.855316,120860006073,120860007082
-80.272214,25.844743,-80.272268,25.845774,120860006082,120860006053
-80.272268,25.845774,-80.272344,25.846754,120860006082,120860006053
-80.272344,25.846754,-80.272391,25.847698,120860006082,120860006053
-80.272391,25.847698,-80.272456,25.848675,120860006082,120860006053
-80.272456,25.848675,-80.272503,25.849635,120860006082,120860006053
-80.272503,25.849635,-80.272539,25.850583,120860006082,120860006053
-80.272539,25.850583,-80.272595,25.851508,120860006082,120860006054
-80.272595,25.851508,-80.272623,25.852421,120860006082,120860006054
-80.278593,25.852233,-80.280564,25.852164,120860006082,120860006072
-80.280564,25.852164,-80.282513,25.852076,120860006082,120860006072
-80.282513,25.852076,-80.284453,25.852017,120860006082,120860006072
-80.284453,25.852017,-80.286431,25.851962,120860006082,120860006072
-80.286431,25.851962,-80.288393,25.851884,120860006082,120860006073
-80.288393,25.851884,-80.290058,25.851847,120860006082,120860006073
-80.290058,25.851847,-80.290179,25.851776,120860006082,120860006073
-80.272623,25.852421,-80.273379,25.852397,120860006082,120860006083
-80.273379,25.852397,-80.274664,25.852356,120860006082,120860006083
-80.274664,25.852356,-80.276613,25.852283,120860006082,120860006083
-80.276613,25.852283,-80.278593,25.852233,120860006082,120860006083
-80.290179,25.851776,-80.290156,25.850868,120860006082,120860007081
-80.290156,25.850868,-80.290166,25.84993,120860006082,120860007081
-80.290166,25.84993,-80.290134,25.848938,120860006082,120860007081
-80.290134,25.848938,-80.290155,25.848014,120860006082,120860007081
-80.290155,25.848014,,,120860006082,120860007113
-80.274233,25.844699,-80.272214,25.844743,120860006082,120860008061
-80.290155,25.848014,-80.28901,25.848071,120860006082,120860008062
-80.28901,25.848071,-80.288268,25.848098,120860006082,120860008062
-80.288268,25.848098,-80.286301,25.848175,120860006082,120860008062
-80.286301,25.848175,-80.284319,25.848244,120860006082,120860008062
-80.284319,25.848244,-80.282349,25.848324,120860006082,120860008062
-80.282349,25.848324,-80.282381,25.849226,120860006082,120860008062
-80.282381,25.849226,-80.282438,25.850242,120860006082,120860008062
-80.282438,25.850242,-80.28246,25.851173,120860006082,120860008062
-80.28246,25.851173,-80.280774,25.851203,120860006082,120860008062
-80.280774,25.851203,-80.280492,25.851213,120860006082,120860008062
-80.280492,25.851213,-80.2792,25.851261,120860006082,120860008062
-80.2792,25.851261,-80.278557,25.851297,120860006082,120860008062
-80.278557,25.851297,-80.276592,25.851364,120860006082,120860008062
-80.276592,25.851364,-80.274627,25.851432,120860006082,120860008062
-80.274627,25.851432,-80.274572,25.850524,120860006082,120860008062
-80.274572,25.850524,-80.274519,25.849565,120860006082,120860008062
-80.274519,25.849565,-80.274437,25.848572,120860006082,120860008062
-80.274437,25.848572,-80.274408,25.847628,120860006082,120860008062
-80.274408,25.847628,-80.27436,25.846684,120860006082,120860008062
-80.27436,25.846684,-80.274313,25.845756,120860006082,120860008062
-80.274313,25.845756,-80.274233,25.844699,120860006082,120860008062
-80.272645,25.856127,-80.272639,25.857046,120860006083,120860006043
-80.272623,25.852421,-80.272636,25.853347,120860006083,120860006054
-80.272636,25.853347,-80.272643,25.854267,120860006083,120860006054
-80.272643,25.854267,-80.27265,25.855185,120860006083,120860006054
-80.27265,25.855185,-80.272645,25.856127,120860006083,120860006054
-80.278681,25.856842,,,120860006083,120860006071
-80.278681,25.856842,-80.278649,25.85591,120860006083,120860006072
-80.278649,25.85591,-80.278641,25.854991,120860006083,120860006072
-80.278641,25.854991,-80.278621,25.85406,120860006083,120860006072
-80.278621,25.85406,-80.278627,25.853129,120860006083,120860006072
-80.278627,25.853129,-80.278593,25.852233,120860006083,120860006072
-80.272639,25.857046,-80.274657,25.856975,120860006083,120860006081
-80.274657,25.856975,-80.27665,25.856926,120860006083,120860006081
-80.27665,25.856926,-80.278681,25.856842,120860006083,120860006081
-80.278593,25.852233,-80.276613,25.852283,120860006083,120860006082
-80.276613,25.852283,-80.274664,25.852356,120860006083,120860006082
-80.274664,25.852356,-80.273379,25.852397,120860006083,120860006082
-80.273379,25.852397,-80.272623,25.852421,120860006083,120860006082
-80.319567,25.862523,-80.31979,25.862766,120860007052,120860007051
-80.31979,25.862766,-80.319917,25.862986,120860007052,120860007051
-80.319917,25.862986,-80.320003,25.863161,120860007052,120860007051
-80.320003,25.863161,-80.320031,25.863218,120860007052,120860007051
-80.320031,25.863218,-80.320132,25.863531,120860007052,120860007051
-80.320132,25.863531,-80.320158,25.863884,120860007052,120860007051
-80.320158,25.863884,-80.320166,25.864278,120860007052,120860007051
-80.320166,25.864278,-80.320185,25.865137,120860007052,120860007051
-80.320185,25.865137,-80.320216,25.866565,120860007052,120860007051
-80.320216,25.866565,-80.321351,25.866636,120860007052,120860007051
-80.321351,25.866636,-80.322516,25.866634,120860007052,120860007051
-80.322516,25.866634,-80.322923,25.866634,120860007052,120860007051
-80.318578,25.855272,-80.318577,25.856714,120860007052,120860007053
-80.318577,25.856714,-80.318607,25.856921,120860007052,120860007053
-80.318607,25.856921,-80.318606,25.857073,120860007052,120860007053
-80.318606,25.857073,-80.318604,25.857408,120860007052,120860007053
-80.318604,25.857408,-80.318638,25.858105,120860007052,120860007053
-80.318638,25.858105,-80.318679,25.858907,120860007052,120860007053
-80.318679,25.858907,-80.318681,25.859738,120860007052,120860007053
-80.318681,25.859738,-80.318696,25.860124,120860007052,120860007053
-80.318696,25.860124,-80.318701,25.860426,120860007052,120860007053
-80.318701,25.860426,-80.318711,25.860744,120860007052,120860007053
-80.318711,25.860744,-80.318749,25.8612,120860007052,120860007053
-80.318749,25.8612,-80.318836,25.861493,120860007052,120860007053
-80.318836,25.861493,-80.318959,25.861773,120860007052,120860007053
-80.318959,25.861773,-80.319126,25.862048,120860007052,120860007053
-80.319126,25.862048,-80.319322,25.862259,120860007052,120860007053
-80.319322,25.862259,-80.319567,25.862523,120860007052,120860007053
-80.322553,25.854915,-80.322259,25.855428,120860007052,120860007091
-80.322259,25.855428,-80.322097,25.855557,120860007052,120860007091
-80.322097,25.855557,-80.32191,25.85559,120860007052,120860007091
-80.32191,25.85559,-80.321736,25.855572,120860007052,120860007091
-80.321736,25.855572,-80.321587,25.855504,120860007052,120860007091
-80.321587,25.855504,-80.321529,25.855439,120860007052,120860007091
-80.321529,25.855439,-80.321442,25.855469,120860007052,120860007091
-80.321442,25.855469,-80.321256,25.85528,120860007052,120860007091
-80.321256,25.85528,-80.321125,25.855021,120860007052,120860007091
-80.321125,25.855021,-80.321141,25.85536,120860007052,120860007091
-80.321141,25.85536,-80.318578,25.855272,120860007052,120860007091
-80.322923,25.866634,,,120860007052,120860136003
-80.322923,25.866634,-80.322861,25.865193,120860007052,120860137002
-80.322861,25.865193,-80.3228,25.863512,120860007052,120860137002
-80.3228,25.863512,-80.322634,25.857301,120860007052,120860137002
-80.322634,25.857301,-80.322626,25.857087,120860007052,120860137002
-80.322626,25.857087,-80.322553,25.854915,120860007052,120860137002
-80.314755,25.862515,-80.315379,25.862514,120860007053,120860007051
-80.315379,25.862514,-80.316232,25.862513,120860007053,120860007051
-80.316232,25.862513,-80.316311,25.862513,120860007053,120860007051
-80.316311,25.862513,-80.31686,25.862513,120860007053,120860007051
-80.31686,25.862513,-80.316976,25.862513,120860007053,120860007051
-80.316976,25.862513,-80.317558,25.862513,120860007053,120860007051
-80.317558,25.862513,-80.318647,25.862518,120860007053,120860007051
-80.318647,25.862518,-80.318718,25.862518,120860007053,120860007051
-80.318718,25.862518,-80.319567,25.862523,120860007053,120860007051
-80.319567,25.862523,-80.319322,25.862259,120860007053,120860007052
-80.319322,25.862259,-80.319126,25.862048,120860007053,120860007052
-80.319126,25.862048,-80.318959,25.861773,120860007053,120860007052
-80.318959,25.861773,-80.318836,25.861493,120860007053,120860007052
-80.318836,25.861493,-80.318749,25.8612,120860007053,120860007052
-80.318749,25.8612,-80.318711,25.860744,120860007053,120860007052
-80.318711,25.860744,-80.318701,25.860426,120860007053,120860007052
-80.318701,25.860426,-80.318696,25.860124,120860007053,120860007052
-80.318696,25.860124,-80.318681,25.859738,120860007053,120860007052
-80.318681,25.859738,-80.318679,25.858907,120860007053,120860007052
-80.318679,25.858907,-80.318638,25.858105,120860007053,120860007052
-80.318638,25.858105,-80.318604,25.857408,120860007053,120860007052
-80.318604,25.857408,-80.318606,25.857073,120860007053,120860007052
-80.318606,25.857073,-80.318607,25.856921,120860007053,120860007052
-80.318607,25.856921,-80.318577,25.856714,120860007053,120860007052
-80.318577,25.856714,-80.318578,25.855272,120860007053,120860007052
-80.314755,25.862515,,,120860007053,120860007061
-80.314541,25.855275,-80.314591,25.856702,120860007053,120860007064
-80.314591,25.856702,-80.314616,25.857364,120860007053,120860007064
-80.314616,25.857364,-80.314633,25.858088,120860007053,120860007064
-80.314633,25.858088,-80.314657,25.858887,120860007053,120860007064
-80.314657,25.858887,-80.31466,25.85972,120860007053,120860007064
-80.31466,25.85972,-80.314702,25.860395,120860007053,120860007064
-80.314702,25.860395,-80.314723,25.861064,120860007053,120860007064
-80.314723,25.861064,-80.314755,25.862515,120860007053,120860007064
-80.318578,25.855272,-80.314541,25.855275,120860007053,120860007091
-80.306733,25.862506,-80.308155,25.862521,120860007063,120860007061
-80.308155,25.862521,-80.309634,25.862507,120860007063,120860007061
-80.309634,25.862507,-80.310725,25.862512,120860007063,120860007061
-80.310725,25.862512,-80.310706,25.861821,120860007063,120860007064
