Id,Median,Total
550790001011,29731,1411
550790001012,27336,1878
550790001013,19392,1027
550790001014,28281,990
550790001021,41821,1507
550790001022,64183,1471
550790001023,29274,670
550790002011,30759,771
550790002012,27731,2778
550790002013,16662,1242
550790002021,59083,2441
550790002022,57212,1670
550790002023,60969,2213
550790003011,65000,1339
550790003021,39408,3091
550790003031,39850,1006
550790003032,36750,1023
550790003041,76912,818
550790003042,74653,2254
550790004001,39688,839
550790004002,26833,1611
550790005011,40799,739
550790005012,41774,2286
550790005013,46472,514
550790005021,28902,877
550790005022,33591,1831
550790005023,26500,1047
550790006001,10612,629
550790006002,48542,705
550790006003,49335,2357
550790006004,28838,2292
550790006005,73026,862
550790007001,70811,847
550790007002,62344,492
550790007003,28083,2115
550790008001,40833,2815
550790008002,36604,2618
550790009001,48125,2308
550790009002,22083,1442
550790010001,28810,997
550790010002,28929,764
550790010003,35114,1250
550790010004,41905,715
550790011001,27857,1258
550790011002,25990,678
550790011003,42279,741
550790012001,26016,752
550790012002,21314,710
550790012003,28155,1328
550790013001,43147,718
550790013002,19744,1260
550790013003,40968,1131
550790013004,41493,820
550790014001,18971,895
550790014002,33490,1634
550790015001,45795,1006
550790015002,51667,857
550790015003,24816,1298
550790016001,29531,1669
550790016002,40641,1363
550790017001,51481,1012
550790017002,21794,802
550790017003,40750,308
550790017004,38892,893
550790017005,33784,1484
550790018001,18363,1587
550790018002,35607,655
550790018003,34489,794
550790019001,40114,973
550790019002,50455,1094
550790019003,13304,439
550790019004,19931,495
550790020001,37708,629
550790020002,14560,783
550790020003,45556,851
550790021001,20931,944
550790021002,22714,336
550790021003,34000,787
550790022001,41466,647
550790022002,28981,935
550790023001,27099,689
550790023002,32361,929
550790023003,28322,884
550790023004,16649,914
550790023005,31406,662
550790024001,45363,447
550790024002,19972,728
550790024003,23780,581
550790025001,28846,636
550790025002,23421,584
550790025003,22396,820
550790026001,15144,532
550790026002,33859,1714
550790026003,25568,592
550790027001,27500,816
550790027002,40365,990
550790028001,19479,829
550790028002,30443,1395
550790029001,32917,839
550790029002,32478,1162
550790030001,42632,760
550790030002,36129,1188
550790030003,47009,1150
550790030004,45250,969
550790031001,53702,1081
550790031002,36618,841
550790031003,39914,966
550790031004,37026,815
550790032001,51829,1085
550790032002,40720,740
550790032003,40268,1073
550790033001,46279,924
550790033002,33782,1158
550790033003,39327,952
550790033004,44628,921
550790033005,27661,553
550790033006,32847,806
550790034001,50323,1343
550790034002,22321,1619
550790034003,21533,1693
550790034004,51453,343
550790034005,45554,1085
550790035001,39348,748
550790035002,55590,1348
550790035003,57411,703
550790035004,36750,802
550790036001,32261,1393
550790036002,30037,801
550790037001,52543,1259
550790037002,25000,980
550790038001,21122,680
550790038002,30461,721
550790038003,31810,922
550790039001,36944,639
550790039002,24722,943
550790039003,29130,1096
550790040001,36371,731
550790040002,18472,915
550790040003,35343,899
550790041001,41833,271
550790041002,33250,540
550790041003,34719,1568
550790042001,29000,527
550790042002,31250,628
550790042003,15179,673
550790042004,16513,1472
550790043001,41802,561
550790043002,14489,930
550790043003,38520,894
550790043004,42023,1047
550790043005,29635,284
550790043006,21650,1006
550790043007,31758,660
550790044001,35306,1613
550790044002,17708,1241
550790044003,36083,1064
550790045001,24289,1161
550790045002,23472,1250
550790045003,15096,749
550790046001,30625,1274
550790046002,31307,527
550790046003,29444,703
550790046004,23793,650
550790047001,14485,708
550790047002,34830,634
550790047003,30505,1117
550790047004,27629,1434
550790048001,33214,1092
550790048002,22500,1184
550790048003,26198,955
550790048004,24583,857
550790049001,27823,1308
550790049002,41845,1899
550790049003,52917,929
550790050001,44271,1732
550790050002,30780,1145
550790050003,45536,922
550790050004,54821,1517
550790051001,27137,718
550790051002,21250,1452
550790051003,28125,1141
550790052001,56450,595
550790052002,27963,868
550790053001,53700,845
550790053002,44531,1243
550790054001,36356,940
550790054002,37768,980
550790054003,81250,1137
550790054004,57054,847
550790055001,60391,508
550790055002,58452,446
550790055003,68750,832
550790055004,55375,660
550790055005,68875,815
550790056001,66989,1190
550790056002,85313,866
550790057001,78973,1072
550790057002,49250,1236
550790058001,41925,1092
550790058002,75694,988
550790058003,31962,1448
550790059001,35202,1420
550790059002,28750,841
550790059003,29071,530
550790059004,34538,766
550790060001,17000,787
550790060002,27692,948
550790060003,28382,800
550790061001,54000,697
550790061002,31071,441
550790061003,48269,951
550790062001,51667,554
550790062002,14417,348
550790062003,27500,579
550790062004,13750,743
550790063001,19185,1006
550790063002,26700,601
550790063003,32135,670
550790064001,17448,524
550790064002,15426,1304
550790064003,17153,1124
550790065001,15313,630
550790065002,17019,992
550790065003,13625,657
550790065004,18864,340
550790066001,22432,1928
550790066002,11944,706
550790066003,18516,875
550790067001,11250,488
550790067002,26000,1045
550790068001,16167,440
550790068002,27625,619
550790068003,30347,915
550790068004,29485,834
550790069001,18750,952
550790069002,17188,977
550790069003,19858,1022
550790070001,30192,692
550790070002,21719,858
550790070003,32500,512
550790070004,16071,367
550790071001,24715,830
550790071002,33508,1113
550790072001,32739,1377
550790072002,41944,888
550790072003,36518,839
550790073001,26890,1145
550790073002,37995,593
550790073003,27125,858
550790074001,47000,2799
550790074002,128984,848
550790075001,72222,294
550790075002,73708,908
550790075003,85515,1114
550790076001,42386,914
550790076002,51591,1217
550790076003,32059,1276
550790077001,30893,1084
550790077002,40368,1496
550790077003,27917,1300
550790078001,27188,1071
550790078002,18415,1187
550790078003,24052,1349
550790079001,35972,1103
550790079002,35302,959
550790080001,35703,891
550790080002,38202,1175
550790081001,12500,502
550790081002,19783,719
550790084001,23194,618
550790084002,24926,649
550790085001,24922,1095
550790085002,31161,402
550790086001,18676,447
550790086002,26894,643
550790087001,21833,581
550790087002,27500,807
550790088001,15764,702
550790088002,19194,1373
550790089001,12121,444
550790089002,10000,656
550790090001,17500,841
550790090002,21357,627
550790090003,30938,1388
550790091001,29531,1417
550790091002,27250,445
550790091003,24938,498
550790092001,42250,1205
550790092002,52778,957
550790093001,49000,849
550790093002,61708,1133
550790093003,51250,475
550790094001,60993,766
550790094002,55750,709
550790094003,57192,1159
550790095001,70268,825
550790095002,94000,610
550790095003,61500,730
550790096001,25375,1017
550790096002,25093,1485
550790097001,57716,669
550790097002,22986,1120
550790098001,20700,1479
550790099001,23750,703
550790099002,16982,442
550790106001,21513,684
550790106002,27031,654
550790107001,31550,812
550790107002,67679,1421
550790108001,54922,1172
550790108002,25854,1170
550790110001,25850,1499
550790110002,35321,1737
550790111001,56964,809
550790111002,31007,883
550790112001,30500,1582
550790112002,67500,868
