Id,Median,Total
270030512062,65769,831
270030513021,49800,871
270030513022,42768,1805
270030513042,47500,1425
270030513052,34188,930
270030513053,21534,741
270030514001,60431,1015
270030514002,55972,1259
270030514003,57406,1079
270030514004,50481,1768
270030515011,36750,1921
270030515012,44605,1265
270030515021,105298,567
270030515022,55250,1477
270030515023,44826,730
270370601011,46639,747
270370601012,54292,799
270370601013,63007,900
270370601014,36350,1298
270370601021,41359,808
270370601022,61302,1053
270370601023,60132,839
270370601031,56500,1125
270370601032,101250,1401
270370601041,42900,2001
270370601042,42500,1155
270370601043,39167,1380
270370601044,42232,1006
270370601051,29096,1173
270370601052,45850,1838
270370601053,26076,2120
270370602011,61250,909
270370602012,55380,727
270370602013,72625,1114
270370602021,32188,645
270370602022,57759,2155
270370602023,35433,792
270370603011,19257,1293
270370603012,42426,529
270370603014,56435,1571
270370603021,44643,665
270370603022,58537,1983
270370603023,72000,1074
270370606031,73375,1247
270370606032,81875,1093
270370606033,166125,849
270370606034,139063,1154
270370606041,81528,1240
270370606042,88047,2112
270370606051,81875,1564
270530001011,61103,1547
270530001012,45231,567
270530001013,38631,432
270530001014,48272,1016
270530001021,44583,699
270530001022,36193,797
270530001023,50145,1295
270530001024,60893,853
270530001025,54688,871
270530003001,69625,942
270530003002,66116,729
270530003003,63442,766
270530003004,81979,834
270530006011,64926,1616
270530006012,62305,1080
270530006013,63095,1316
270530006014,66518,1023
270530006031,66382,625
270530006032,60417,592
270530006033,68594,802
270530006034,86250,645
270530011001,60893,947
270530011002,44712,1237
270530017001,45740,992
270530017002,46630,1507
270530022001,30662,999
270530022002,12768,482
270530024001,34688,673
270530024002,43542,1566
270530027001,41406,1793
270530027002,50288,1092
270530032001,58125,585
270530032002,38438,977
270530033001,35750,1000
270530033002,16832,1573
270530038001,26106,922
270530038002,34338,2135
270530038003,22220,1435
270530059011,14977,1613
270530059012,19757,1574
270530059021,32887,1702
270530059022,19199,1485
270530068001,31265,1606
270530068002,42946,1261
270530068003,36480,1406
270530077001,29071,1721
270530077002,68958,1340
270530078011,25625,591
270530078012,26989,1026
270530081001,49911,702
270530081002,90375,951
270530081003,71630,775
270530081004,53387,1237
270530082001,10060,1435
270530082002,31551,1016
270530082003,49076,1037
270530082004,50100,898
270530083001,56250,1849
270530083002,31188,493
270530084001,46250,1324
270530084002,43973,1183
270530085001,43438,811
270530085002,43065,719
270530085003,45326,806
270530085004,31410,1038
270530085005,30583,793
270530095001,46071,1063
270530095002,28750,405
270530095003,73538,1638
270530096001,38090,916
270530096002,42689,1157
270530096003,62539,792
270530096004,80188,741
270530106001,112008,954
270530106002,109554,1077
270530106003,98182,996
