Id,Median,Total
010030107011,91071,3213
010030107014,37773,873
010030107051,40590,4632
010039900000,-1,0
010970002001,25150,991
010970004011,17250,65
010970004012,16786,257
010970004013,16944,401
010970004014,22125,615
010970004021,13056,450
010970005001,26591,1672
010970005002,16538,801
010970006001,18854,1088
010970006002,16451,1426
010970007011,20150,725
010970007012,21442,514
010970007013,36750,506
010970007021,23136,709
010970007022,25250,644
010970007023,22188,843
010970008001,28000,631
010970008002,22432,658
010970008003,32500,1634
010970008004,26595,701
010970008005,28889,897
010970009011,46484,808
010970009012,33646,819
010970009021,36549,657
010970009022,60662,1329
010970009031,44388,1913
010970010011,25368,500
010970010012,34153,1160
010970010021,21891,904
010970010022,56510,1236
010970011001,24044,471
010970011002,31406,737
010970011003,38333,624
010970012001,18333,4753
010970012002,17784,886
010970013021,17100,1037
010970013022,20313,1104
010970013023,11537,739
010970014001,40625,464
010970014002,28141,1252
010970014003,15536,708
010970015011,21250,698
010970015012,9745,1185
010970015021,8269,1481
010970018001,34375,838
010970018002,50135,1324
010970019011,48173,834
010970019012,40789,1422
010970019021,30450,1911
010970019022,45536,1011
010970019023,39886,641
010970020001,25296,534
010970020002,82500,1342
010970021001,38571,1386
010970021002,43409,800
010970021003,34398,2429
010970022001,30714,861
010970022002,26171,1097
010970022003,31016,994
010970023011,12083,524
010970023012,26397,888
010970023013,43942,650
010970023021,27644,1292
010970023022,27986,1242
010970024001,29293,1044
010970024002,29734,1155
010970024003,42917,1329
010970025011,54044,1020
010970025012,69800,1516
010970025013,74402,1142
010970025021,45446,949
010970025022,71184,635
010970025023,76339,1060
010970026001,13171,484
010970026002,23846,806
010970026003,24934,1407
010970027001,22978,1358
010970027002,19549,1065
010970028001,40039,1196
010970028002,18000,731
010970028003,28253,1299
010970028004,29792,827
010970028005,33681,893
010970029001,52457,1031
010970029002,34792,1544
010970029003,21750,1253
010970030001,50917,1507
010970030002,43891,1271
010970031001,63446,1283
010970031002,51576,2054
010970031003,91181,795
010970032021,28191,1529
010970032022,31791,711
010970032031,31962,1259
010970032032,34706,2442
010970032041,30926,1885
010970032042,40037,1381
010970032051,39894,1100
010970032052,15680,2180
010970033011,43750,1069
010970033012,40282,1507
010970033021,52411,1759
010970033022,76012,1524
010970033023,101528,1256
010970034021,45625,639
010970034022,37192,3205
010970034041,37009,2579
010970034051,60750,1838
010970034061,42134,2622
010970034071,63958,3169
010970034072,40507,2329
010970034073,42467,2130
010970034081,56515,908
010970034082,53068,681
010970034083,41250,2304
010970035011,57679,941
010970035012,49128,1963
010970035013,118250,927
010970035021,55000,1226
010970035022,133698,1372
010970036021,18750,517
010970036022,18527,363
010970036051,-1,1067
010970036061,53097,1020
010970036062,43472,2518
010970036071,28210,2848
010970036072,26653,1024
010970036081,54438,1251
010970037031,44078,3332
010970037041,61028,2245
010970037042,57419,2069
010970037051,54688,1612
010970037052,60179,1860
010970037061,51734,1274
010970037062,77083,1818
010970037071,45188,2647
010970037072,31250,1908
010970037081,71042,1631
010970037082,64375,2353
010970037091,51833,1662
010970037092,62273,1798
010970037093,65000,2158
010970037101,43350,1810
010970037102,40556,769
010970037103,43705,1889
010970038001,30980,1401
010970039011,21308,1300
010970039012,25990,886
010970039021,17396,834
010970040001,10625,1015
010970040002,19875,599
010970040003,14174,939
010970041001,15848,935
010970048001,17356,538
010970048002,9759,583
010970049001,33068,763
010970049002,35500,718
010970049003,26604,913
010970049004,9264,1108
010970050001,32269,992
010970050002,34125,1095
010970051001,22045,886
010970051002,20994,846
010970052001,30603,790
010970052002,33967,760
010970053001,33810,1650
010970054001,38125,1748
010970054002,50697,2722
010970055001,40893,1296
010970055002,42383,1573
010970056002,30729,1942
010970056003,57997,2150
010970057002,89397,3515
010970061021,36852,2562
010970061031,42236,2626
010970061032,27438,2336
010970061041,48281,2428
010970061051,47079,2661
010970061052,41875,1981
010970061053,56046,2172
010970063011,47000,4529
010970063012,54105,3759
010970063013,52083,2767
010970063021,66941,3740
010970063022,48797,2909
010970064021,20457,1042
010970064022,54028,2003
010970064023,33875,1655
010970064031,34167,1940
010970064041,63714,3120
010970064042,74982,4650
010970064043,59149,3624
010970064051,32153,2020
010970064052,43676,918
010970064053,92333,3624
010970064054,96042,1117
010970064061,85054,4870
010970064062,76250,2757
010970064071,74083,4273
010970064072,61029,2073
010970065011,43933,2868
010970065012,53098,2257
010970065021,55309,3875
010970065022,81217,2737
010970065024,94896,3237
010970067011,30700,1841
010970067012,50083,1551
010970067021,31576,998
010970067022,48929,1022
010970067023,41125,1182
010970068011,72840,3352
010970068012,68750,3184
010970068013,97059,2003
010970068021,33191,1432
010970068022,62904,1866
010970069011,21917,3193
010970069012,30114,3722
010970069013,30962,1113
010970069021,45400,1766
010970069022,33974,2562
010970070001,47560,723
010970070002,57784,1966
010970070003,64839,1911
010970071011,45699,1744
010970071012,53111,2133
010970071013,32188,912
010970071021,36712,3136
010970071031,41053,1355
010970071032,53839,2589
010970072011,28984,2809
010970074001,19448,513
010970074002,21528,1201
010970074003,44135,1510
010970074004,18387,539
010970075001,21319,819
010970075002,31250,834
010970076001,24301,1073
010970076002,15972,1156
010970077001,18667,277
010970077002,20063,848
010970077003,17361,384
010979900000,-1,0
