lng1,lat1,lng2,lat2,id1,id2
-87.940269,30.719388,-87.939553,30.723539,010030107011,010030103002
-87.939553,30.723539,-87.938611,30.727131,010030107011,010030103002
-87.938611,30.727131,-87.938465,30.727697,010030107011,010030103002
-87.938465,30.727697,-87.936952,30.732188,010030107011,010030103002
-87.936952,30.732188,-87.936167,30.734405,010030107011,010030103002
-87.936167,30.734405,-87.935188,30.737033,010030107011,010030103002
-87.935188,30.737033,-87.934391,30.739078,010030107011,010030103002
-87.934391,30.739078,-87.933121,30.741866,010030107011,010030103002
-87.933121,30.741866,-87.932341,30.743432,010030107011,010030103002
-87.932341,30.743432,-87.932237,30.743593,010030107011,010030103002
-87.932237,30.743593,-87.931228,30.745153,010030107011,010030103002
-87.931228,30.745153,-87.931201,30.7452,010030107011,010030103002
-87.931201,30.7452,-87.925198,30.749284,010030107011,010030103002
-87.925198,30.749284,-87.924517,30.749748,010030107011,010030103002
-87.924517,30.749748,-87.924033,30.75011,010030107011,010030103002
-87.924033,30.75011,-87.923564,30.750474,010030107011,010030103002
-87.923564,30.750474,-87.923362,30.75063,010030107011,010030103002
-87.923362,30.75063,-87.923161,30.750787,010030107011,010030103002
-87.923161,30.750787,-87.922108,30.751605,010030107011,010030103002
-87.922108,30.751605,-87.920086,30.753124,010030107011,010030103002
-87.920086,30.753124,-87.919028,30.754562,010030107011,010030103002
-87.919028,30.754562,-87.91897,30.756164,010030107011,010030103002
-87.91897,30.756164,-87.919639,30.757678,010030107011,010030103002
-87.919639,30.757678,-87.920029,30.758551,010030107011,010030103002
-87.920029,30.758551,-87.920945,30.76065,010030107011,010030103002
-87.920945,30.76065,-87.924096,30.767868,010030107011,010030103002
-87.924096,30.767868,-87.924306,30.773842,010030107011,010030103002
-87.924306,30.773842,-87.922993,30.778703,010030107011,010030103002
-87.922993,30.778703,-87.921213,30.783813,010030107011,010030103002
-87.921213,30.783813,-87.921278,30.785075,010030107011,010030103002
-87.921278,30.785075,-87.921322,30.785935,010030107011,010030103002
-87.921322,30.785935,-87.919115,30.798218,010030107011,010030103002
-87.919115,30.798218,-87.918914,30.801266,010030107011,010030103002
-87.918914,30.801266,-87.918856,30.802144,010030107011,010030103002
-87.918856,30.802144,-87.918958,30.804132,010030107011,010030103002
-87.918958,30.804132,-87.918786,30.80554,010030107011,010030103002
-87.899017,30.702865,-87.89971,30.702497,010030107011,010030103002
-87.89971,30.702497,-87.900108,30.702048,010030107011,010030103002
-87.900108,30.702048,-87.900399,30.70165,010030107011,010030103002
-87.900399,30.70165,-87.90055,30.701383,010030107011,010030103002
-87.90055,30.701383,-87.900687,30.70092,010030107011,010030103002
-87.900687,30.70092,-87.900794,30.700567,010030107011,010030103002
-87.900794,30.700567,-87.9009,30.700272,010030107011,010030103002
-87.9009,30.700272,-87.901053,30.70008,010030107011,010030103002
-87.901053,30.70008,-87.901311,30.699916,010030107011,010030103002
-87.901311,30.699916,-87.901448,30.699816,010030107011,010030103002
-87.901448,30.699816,-87.901583,30.699718,010030107011,010030103002
-87.901583,30.699718,-87.90231,30.699684,010030107011,010030103002
-87.90231,30.699684,-87.902667,30.699719,010030107011,010030103002
-87.902667,30.699719,-87.907265,30.699531,010030107011,010030103002
-87.907265,30.699531,-87.907803,30.699531,010030107011,010030103002
-87.907803,30.699531,-87.908187,30.699575,010030107011,010030103002
-87.908187,30.699575,-87.908321,30.699682,010030107011,010030103002
-87.908321,30.699682,-87.908694,30.699517,010030107011,010030103002
-87.908694,30.699517,-87.908755,30.699477,010030107011,010030103002
-87.908755,30.699477,-87.908994,30.699204,010030107011,010030103002
-87.908994,30.699204,-87.909159,30.699093,010030107011,010030103002
-87.909159,30.699093,-87.909273,30.699016,010030107011,010030103002
-87.909273,30.699016,-87.909506,30.698645,010030107011,010030103002
-87.909506,30.698645,-87.909727,30.698279,010030107011,010030103002
-87.909727,30.698279,-87.909925,30.697818,010030107011,010030103002
-87.909925,30.697818,-87.910187,30.697501,010030107011,010030103002
-87.910187,30.697501,-87.910527,30.69704,010030107011,010030103002
-87.910527,30.69704,-87.910836,30.696783,010030107011,010030103002
-87.910836,30.696783,-87.911277,30.696498,010030107011,010030103002
-87.911277,30.696498,-87.911689,30.696339,010030107011,010030103002
-87.911689,30.696339,-87.911882,30.696289,010030107011,010030103002
-87.911882,30.696289,-87.912023,30.696235,010030107011,010030103002
-87.912023,30.696235,-87.913362,30.696295,010030107011,010030103002
-87.913362,30.696295,-87.914322,30.696443,010030107011,010030103002
-87.914322,30.696443,-87.920486,30.696737,010030107011,010030103002
-87.920486,30.696737,-87.921506,30.696689,010030107011,010030103002
-87.921506,30.696689,-87.922505,30.696565,010030107011,010030103002
-87.922505,30.696565,-87.922572,30.696557,010030107011,010030103002
-87.922572,30.696557,-87.923167,30.696329,010030107011,010030103002
-87.923167,30.696329,-87.923455,30.696225,010030107011,010030103002
-87.923455,30.696225,-87.924003,30.695808,010030107011,010030103002
-87.924003,30.695808,-87.924025,30.695784,010030107011,010030103002
-87.924025,30.695784,-87.924661,30.695097,010030107011,010030103002
-87.924661,30.695097,-87.924996,30.69529,010030107011,010030103002
-87.924996,30.69529,-87.92511,30.695664,010030107011,010030103002
-87.92511,30.695664,-87.925135,30.69557,010030107011,010030103002
-87.925135,30.69557,-87.925173,30.695488,010030107011,010030103002
-87.925173,30.695488,-87.92525,30.695394,010030107011,010030103002
-87.92525,30.695394,-87.925453,30.695224,010030107011,010030103002
