Id,Median,Total
470210701021,52045,1404
470210701022,37451,2501
470210701031,56115,1720
470210701032,53125,2207
470210701041,59615,1272
470210701042,53015,2705
470210701043,45759,1139
470210702011,65742,4145
470210702021,49063,628
470210702022,52533,2025
470210703001,33969,1934
470210703002,45179,1938
470210704011,35938,822
470210704012,55556,1744
470210704022,57344,3743
470210704024,56167,768
470370101031,71678,921
470370101032,70529,1510
470370101041,48615,1279
470370101042,71549,1957
470370101051,41625,507
470370101052,70000,2276
470370101053,21667,739
470370101054,57135,678
470370101061,33021,1187
470370101062,50302,1937
470370102011,60893,2486
470370102012,75045,660
470370102013,51318,1354
470370102021,65846,940
470370102022,38750,1282
470370102023,60598,1261
470370103011,52721,1391
470370103012,50856,2446
470370103021,31293,1169
470370103022,38151,864
470370103031,28288,621
470370103032,52548,2532
470370103033,43622,1476
470370104011,48533,1717
470370104012,38145,1442
470370104013,30682,1082
470370104021,45417,1811
470370104022,37000,944
470370104023,22034,1481
470370104024,44496,628
470370104025,14393,1043
470370105011,25938,727
470370105012,15400,922
470370105013,63750,1075
470370105014,31862,1313
470370105015,38846,436
470370105016,67708,938
470370105021,39808,1107
470370105022,56492,1308
470370105023,67375,2506
470370106011,34522,2680
470370106012,75536,1288
470370106013,74345,537
470370106021,40915,2011
470370106022,42596,1467
470370107011,20000,1212
470370107012,24439,1342
470370107013,45094,878
470370107014,33719,636
470370107021,24125,1193
470370107022,22000,1896
470370108011,38574,2179
470370108012,65625,629
470370108013,30934,2208
470370108021,51016,1237
470370108022,29886,981
470370108023,56328,1193
470370109011,38269,679
470370109012,54000,967
470370109013,53403,1366
470370109031,22236,850
470370109032,45150,2549
470370109033,31759,1959
470370109041,24228,1931
470370109042,32813,737
470370110011,11840,991
470370110012,19838,1426
470370110013,41010,1305
470370110014,22234,582
470370110015,33636,1034
470370110021,60066,557
470370110022,31685,2035
470370111001,55500,344
470370111002,38953,1366
470370111003,63125,783
470370111004,41389,1112
470370111005,62500,558
470370112001,50350,510
470370112002,46378,462
470370112003,57739,788
470370112004,57250,692
470370112005,42692,637
470370112006,45441,910
470370113001,40357,553
470370113002,48472,780
470370113003,33625,1116
470370113004,20270,1178
470370113005,25270,775
470370113006,31429,446
470370114001,29375,1671
470370114002,20517,728
470370114003,38822,998
470370114004,39868,937
470370114005,20938,557
470370115001,47500,552
470370115002,58413,1402
470370115003,48355,1017
470370115004,50417,780
470370116001,40167,964
470370116002,44524,927
470370116003,46979,778
470370116004,39735,1284
470370116005,50455,927
470370117001,44261,501
470370117002,31992,814
470370117003,40825,632
470370117004,23750,582
470370117005,35543,953
470370117006,52565,817
470370117007,24816,1327
470370118001,37500,519
470370118002,47879,808
470370118003,22371,1035
470370118004,13445,410
470370119001,41250,557
470370119002,19016,843
470370119003,28984,765
470370121001,72000,624
470370121002,51434,1222
470370121003,55500,592
470370122001,45192,1041
470370122002,68203,700
470370122003,62917,487
470370126001,29552,2032
470370127011,15877,1275
470370127012,29306,1852
470370127013,30042,851
470370127014,32260,1192
470370127021,49023,1407
470370127022,28750,823
470370128011,62188,1230
470370128012,33000,899
470370128013,43008,1263
470370128014,18776,1785
470370128021,40625,1156
470370128022,35638,1199
470370128023,49091,578
470370128024,-1,1346
470370130001,-1,1960
470370131001,59290,793
470370131002,58950,1573
470370132011,38523,1172
470370132012,50101,2249
470370132021,50215,1392
470370132022,53125,1514
470370132023,40515,555
470370133001,39875,874
470370133002,26667,883
470370133003,36146,967
470370133004,28590,1380
470370134001,86810,1422
470370134002,69625,733
470370134003,80125,1458
470370135001,31493,1037
470370135002,35521,773
470370136011,31813,718
470370136012,35875,647
470370136013,15208,719
470370136014,19957,1522
470370136021,19861,2135
470370137001,21349,1738
470370137002,21270,978
470370137003,20606,1485
470370137004,27095,1451
470370137005,19462,625
470370138001,17552,677
470370138002,21799,1102
470370139001,20484,1595
470370142001,12949,710
470370142002,18464,1675
470370143001,33625,736
470370143002,28725,1048
470370144001,16000,742
470370144002,24808,414
470370148001,28696,343
470370148002,5477,919
470370148003,10265,1329
470370151001,70559,1153
470370151002,30114,460
470370151003,48750,886
470370151004,39560,1834
470370152001,51250,1834
470370152002,57628,786
470370153001,38478,493
470370153002,59947,2638
470370153003,44215,1420
470370153004,54236,1364
470370154011,34911,681
470370154012,89524,1736
470370154013,55360,3066
470370154021,45192,340
470370154022,49438,1113
470370154023,45096,1172
470370154024,36779,1353
470370154025,53846,622
470370154041,31300,989
470370154042,61786,963
470370154043,42159,1290
470370154051,54960,2332
470370154052,48288,2423
470370155011,52083,1640
470370155012,41563,263
470370155013,48784,1357
470370155021,36209,958
470370155022,54350,1370
470370155023,34872,1390
470370156091,46090,522
470370156092,49375,2129
470370156093,64500,828
470370156101,41357,1267
470370156102,96891,4656
470370156103,42514,2547
470370156121,47500,909
470370156122,45000,3028
470370156123,51250,1794
470370156124,41280,499
470370156131,28925,1405
470370156132,31927,1260
470370156133,-1,2302
470370156134,34760,886
470370156141,48142,1181
470370156142,46793,3141
470370156151,33438,2703
470370156152,38425,1912
470370156171,66875,1101
470370156172,65179,1497
470370156181,44630,1091
470370156182,41618,662
470370156183,52353,834
470370156184,58214,2671
470370156191,78533,1660
470370156192,78125,1226
470370156193,55069,1586
470370156201,31769,1576
470370156202,63952,2670
470370156203,64571,2681
470370156221,62448,988
470370156222,75859,2752
470370156231,31918,3875
470370156232,77964,2689
470370156241,56523,3634
470370156242,46318,1397
470370156251,60317,1930
470370156252,55104,3070
470370156261,36070,3452
470370156262,39100,2965
470370156271,40455,1164
470370156272,67804,1656
470370156281,31385,1416
470370156282,33065,2147
470370156291,40854,1080
470370156292,44289,2968
470370156293,41181,1182
470370156301,104048,1326
470370156302,61635,2194
470370156311,49301,3272
470370156312,44078,3716
470370156313,61051,1771
470370157001,46364,1729
470370158021,18004,1787
470370158022,48500,589
470370158023,30347,2088
470370158024,46646,1851
470370158031,21506,2319
470370158032,39655,526
470370158041,24167,1593
470370158042,36364,1756
470370158043,36031,948
470370159001,14555,1481
470370159002,37750,1212
470370160001,12482,752
470370161001,35909,923
470370161002,18021,1097
470370162001,19044,474
470370162002,17589,1428
470370162003,32944,754
470370162004,15746,729
470370163001,31992,856
470370163002,16235,966
470370163003,22035,393
470370164001,42708,1992
470370164002,27875,1711
470370165001,24750,510
470370165002,-1,2450
470370165003,-1,959
470370165004,-1,911
470370166001,56119,1569
470370166002,26830,801
470370167001,76385,1903
470370167002,119821,1846
470370167003,78194,592
470370167004,88913,977
470370168001,67250,1703
470370168002,50346,1033
470370168003,54375,1177
470370168004,72422,374
470370169001,93306,884
470370169002,115194,1183
470370169003,86087,1572
470370169004,58563,742
470370169005,153693,448
470370170001,47031,1205
470370170002,99722,416
470370170003,47792,1547
470370171001,54118,718
470370171002,72788,706
470370171003,53362,508
470370172001,45938,467
470370172002,33311,697
470370173001,31250,1625
470370173002,27500,472
470370173003,46250,1313
470370174011,40985,1629
470370174012,39671,578
470370174021,34577,1097
470370174022,51250,402
470370174023,43229,748
470370174024,29243,2502
470370174025,52750,1516
470370175001,30600,811
470370175002,22136,1028
470370175003,32865,1089
470370177011,108750,1118
470370177012,84318,879
470370177021,97596,1694
470370177022,83200,1385
470370177023,102826,1559
470370178001,65179,1283
470370178002,80205,1489
470370178003,52583,934
470370178004,76250,1183
470370178005,38571,495
470370179011,45719,712
470370179012,116544,1772
470370179013,120536,990
470370179014,136771,1215
470370179021,91042,1224
470370179022,66389,1553
470370179023,63529,1958
470370180001,84348,973
470370180002,161979,742
470370180003,126000,1036
470370180004,58333,1328
470370180005,65231,629
470370181011,36279,788
470370181012,32629,1655
470370181013,36621,1940
470370181021,75682,841
470370181022,42344,1372
470370181023,160919,1402
470370182011,42946,950
470370182012,82500,1089
470370182013,158750,870
470370182021,59355,945
470370182022,53594,3548
470370182023,56850,2689
470370182031,121250,761
470370182032,78646,758
470370183011,74893,2003
470370183012,71691,1218
470370183013,38250,2073
470370183014,76650,2099
470370183021,89500,2911
470370184011,50274,1779
470370184012,65588,858
470370184013,49940,1579
470370184014,66779,1393
470370184015,57578,1414
470370184041,60771,2229
470370184042,55536,1090
470370184043,35817,936
470370184051,58542,1067
470370184052,78095,1638
470370184053,117188,2178
470370184071,93542,2850
470370184072,96944,1497
470370184081,111466,2387
470370184082,136389,896
470370184091,56920,2094
470370184092,59042,1880
470370184101,47609,2160
470370184102,46375,855
470370185001,216875,1149
470370185002,169000,739
470370185003,225000,895
470370185004,134554,1057
470370185005,91477,782
470370185006,108421,502
470370186011,185357,1326
470370186012,166364,836
470370186021,146477,1093
470370186022,127941,897
470370186023,193750,1593
470370186024,154875,655
470370187001,101111,1183
470370187002,146406,1612
470370187003,99500,512
470370188011,80500,708
470370188012,72340,641
470370188013,68839,2564
470370188014,74964,616
470370188015,94412,869
470370188031,53277,1562
470370188032,103938,1814
470370188041,88800,3181
470370188042,113833,2286
470370189011,38063,898
470370189012,40060,1864
470370189021,57581,1140
470370189022,76989,775
470370189023,68068,1101
470370189041,50859,778
470370189042,21208,2072
470370189043,36000,905
470370189051,-1,0
470370189052,40163,2375
470370189053,47417,765
470370190031,32656,1308
470370190032,42632,745
470370190033,29848,1543
470370190034,25833,1331
470370190041,33125,1538
470370190042,32500,790
470370190043,31134,2062
470370190051,23056,2270
470370190052,43627,1171
470370190061,33575,2853
470370190062,39167,1620
470370190063,28259,746
470370191051,33802,799
470370191052,29323,3562
