Id,Median,Total
090091401001,-1,-1
090091402001,-1,-1
090091403001,-1,-1
090091403002,-1,-1
090091404001,-1,-1
090091404002,-1,-1
090091405001,-1,-1
090091405002,-1,-1
090091405003,-1,-1
090091406001,-1,-1
090091406002,-1,-1
090091406003,-1,-1
090091406004,-1,-1
090091406005,-1,-1
090091407001,-1,-1
090091407002,-1,-1
090091407003,-1,-1
090091407004,-1,-1
090091407005,-1,-1
090091408001,-1,-1
090091408002,-1,-1
090091408003,-1,-1
090091408004,-1,-1
090091409001,-1,-1
090091409002,-1,-1
090091409003,-1,-1
090091409004,-1,-1
090091409005,-1,-1
090091410001,-1,-1
090091410002,-1,-1
090091410003,-1,-1
090091411001,-1,-1
090091411002,-1,-1
090091412001,-1,-1
090091412002,-1,-1
090091412003,-1,-1
090091412004,-1,-1
090091413001,-1,-1
090091413002,-1,-1
090091413003,-1,-1
090091413004,-1,-1
090091414001,-1,-1
090091414002,-1,-1
090091414003,-1,-1
090091414004,-1,-1
090091415001,-1,-1
090091415002,-1,-1
090091415003,-1,-1
090091415004,-1,-1
090091415005,-1,-1
090091415006,-1,-1
090091415007,-1,-1
090091416001,-1,-1
090091416002,-1,-1
090091416003,-1,-1
090091416004,-1,-1
090091418001,-1,-1
090091418002,-1,-1
090091418003,-1,-1
090091418004,-1,-1
090091419001,-1,-1
090091419002,-1,-1
090091419003,-1,-1
090091419004,-1,-1
090091419005,-1,-1
090091420001,-1,-1
090091420002,-1,-1
090091420003,-1,-1
090091421001,-1,-1
090091422001,-1,-1
090091422002,-1,-1
090091423001,-1,-1
090091423002,-1,-1
090091423003,-1,-1
090091423004,-1,-1
090091424001,-1,-1
090091424002,-1,-1
090091424003,-1,-1
090091424004,-1,-1
090091425001,-1,-1
090091425002,-1,-1
090091425003,-1,-1
090091425004,-1,-1
090091425005,-1,-1
090091426011,-1,-1
090091426012,-1,-1
090091426013,-1,-1
090091426014,-1,-1
090091426031,-1,-1
090091426032,-1,-1
090091426041,-1,-1
090091426042,-1,-1
090091427001,-1,-1
090091427002,-1,-1
090091427003,-1,-1
090091427004,-1,-1
090091428001,-1,-1
090091428002,-1,-1
090091428003,-1,-1
090091428004,-1,-1
090091428005,-1,-1
090091541001,-1,-1
090091541002,-1,-1
090091541003,-1,-1
090091541004,-1,-1
090091541005,-1,-1
090091541006,-1,-1
090091542001,-1,-1
090091542002,-1,-1
090091542003,-1,-1
090091542004,-1,-1
090091542005,-1,-1
090091542006,-1,-1
090091545001,-1,-1
090091545002,-1,-1
090091545003,-1,-1
090091545004,-1,-1
090091546001,-1,-1
090091546002,-1,-1
090091546003,-1,-1
090091546004,-1,-1
090091547001,-1,-1
090091547006,-1,-1
090091547007,-1,-1
090091548001,-1,-1
090091548002,-1,-1
090091548003,-1,-1
090091548004,-1,-1
090091548005,-1,-1
090091549001,-1,-1
090091549002,-1,-1
090091549003,-1,-1
090091549004,-1,-1
090091550001,-1,-1
090091550002,-1,-1
090091550003,-1,-1
090091551001,-1,-1
090091551002,-1,-1
090091551003,-1,-1
090091551004,-1,-1
090091571001,-1,-1
090091571002,-1,-1
090091574001,-1,-1
090091574002,-1,-1
090091574004,-1,-1
090091601001,-1,-1
090091601002,-1,-1
090091602001,-1,-1
090091651001,-1,-1
090091651002,-1,-1
090091651003,-1,-1
090091652003,-1,-1
090091654001,-1,-1
090091654002,-1,-1
090091654003,-1,-1
090091654004,-1,-1
090091654005,-1,-1
090091655001,-1,-1
090091655002,-1,-1
090091655003,-1,-1
090091655004,-1,-1
090091655005,-1,-1
090091656003,-1,-1
090091656004,-1,-1
090091657001,-1,-1
090091657002,-1,-1
090091657003,-1,-1
090091657004,-1,-1
090091658021,-1,-1
090091658024,-1,-1
090091672012,-1,-1
090091673003,-1,-1
090091801001,-1,-1
090091801002,-1,-1
090091801003,-1,-1
090091801004,-1,-1
090091801005,-1,-1
090091802001,-1,-1
090091802002,-1,-1
090091802003,-1,-1
090091802004,-1,-1
090091802005,-1,-1
090091803001,-1,-1
090091803002,-1,-1
090091804001,-1,-1
090091805001,-1,-1
090091805002,-1,-1
090091806022,-1,-1
090091842001,-1,-1
090091842002,-1,-1
090091847003,-1,-1
090093614011,-1,-1
090093614012,-1,-1
090093614013,-1,-1
090093614021,-1,-1
090093614022,-1,-1
090093615001,-1,-1
090093615002,-1,-1
090093615003,-1,-1
090093615004,-1,-1
090099900000,-1,-1
