Id,Median,Total
220510201011,40500,1398
220510201012,67353,1416
220510201022,60968,977
220510201023,53906,858
220510222001,71447,1268
220510222002,40096,468
220510223011,84583,797
220510223012,75208,960
220510223013,46442,1004
220510223021,47656,963
220510223022,21776,657
220510223031,30769,1814
220510223032,49250,1629
220510224001,86250,1789
220510224002,47992,1808
220510225002,70694,633
220510225003,51607,896
220510226001,117411,700
220510226002,158750,1065
220510248001,44375,729
220510248002,95966,1755
220510248003,85417,829
220510249001,57857,829
220510249002,29844,648
220510250011,29875,1226
220510250012,62526,1147
220510250013,40721,3122
220510250014,78421,3160
220510250021,43098,979
220510250022,69875,845
220510250023,43846,1293
220510250031,71563,1389
220510250032,47575,1622
220510250033,80677,940
220510251021,127727,621
220510251022,74643,2059
220510251023,91467,1426
220510251031,55000,863
220510251032,32000,1257
220510251033,51435,1842
220510251041,63030,1793
220510251042,49856,2039
220510252011,59191,787
220510252012,15744,1725
220510252021,23060,2558
220510252022,41961,1090
220510252023,27736,1174
220510252024,96917,1013
220510253001,22989,641
220510253002,51364,1428
220510254001,38292,2570
220510254002,55917,707
220510254003,48714,964
220510255001,19722,1116
220510255002,31071,1894
220510256001,37888,1375
220510257001,15787,392
220510257002,30950,1005
220510258001,40577,575
220510258002,30208,1216
220510259001,42009,1390
220510259002,20000,1277
220510259003,24693,712
220510260001,26719,721
220510260002,34563,738
220510260003,35000,607
220510261001,18576,1205
220510261002,26615,1818
220510261003,31429,804
220510262001,29340,1715
220510263001,42163,921
220510263002,32451,1488
220510264001,52656,771
220510264002,69938,842
220510265001,53750,1136
220510265002,15190,972
220510266001,32813,504
220510266002,40545,1426
220510267001,41983,994
220510267002,20000,968
220510268001,29500,1529
220510268002,16563,1012
220510269001,21750,451
220510269002,32014,1340
220510269003,21569,1247
220510270001,43261,1604
220510270002,39196,1841
220510270003,33504,901
220510270004,22083,1073
220510271001,65592,1256
220510271002,41583,586
220510272001,38750,1260
220510272004,43092,645
220510272005,25542,733
220510277011,22974,1544
220510277012,15227,1113
220510277013,26294,2439
220510277014,21597,1072
220510278031,28125,1863
220510278032,23431,1222
220510278041,85714,2483
220510278042,57452,1909
220510278044,126173,2027
220510278051,75268,2772
220510278053,60208,3905
220510278061,27400,769
220510278062,48207,2356
220510278063,75827,2821
220510278071,86618,1694
220510278073,82048,1404
220510278075,65927,2484
220510278101,51042,1204
220510278103,72188,1825
220510278111,53750,1127
220510278112,55588,1159
220510278121,44500,2824
220510282001,26919,792
220510282003,44309,1753
220519900000,-1,0
220710001001,97750,902
220710001002,46364,1048
220710001003,53938,682
220710002001,23913,491
220710002002,16375,742
220710003001,28438,528
220710003002,21938,486
220710004001,33393,946
220710004002,23125,1243
220710006011,12684,283
220710006012,25515,635
220710006021,28906,811
220710006022,21859,945
220710006023,30602,1301
220710006031,31250,691
220710006032,14583,699
220710006041,49474,1848
220710006042,39622,1508
220710006043,38177,1626
220710006051,22875,781
220710006052,43393,627
220710006053,40000,691
220710006061,62188,1860
220710006062,44906,953
220710006063,74474,1394
220710006071,70917,837
220710006072,83393,1330
220710006073,46625,1791
220710006111,38494,1742
220710006112,35409,2566
220710006121,135179,1797
220710006131,40701,1038
220710006132,24362,1493
220710006133,13250,2265
220710006151,36527,2071
220710006152,29438,1722
220710006161,48657,1029
220710006162,27533,1541
220710006163,82886,1915
220710006171,32049,1114
220710006172,38193,2773
220710006181,133750,1614
220710006182,78594,2176
220710007011,14135,46
220710007012,23750,132
220710007013,20750,143
220710007014,81250,206
220710007021,18063,560
220710007022,26563,491
220710007023,25724,248
220710007024,37222,345
220710008001,44000,315
220710008002,36071,476
220710008003,24886,410
220710009011,27772,207
220710009012,36346,187
220710009013,-1,37
220710009014,16625,216
220710009021,-1,29
220710009022,39464,115
220710009023,47652,181
220710009024,39375,103
220710009031,28864,85
220710009032,14559,124
220710009033,35625,55
220710009034,14583,56
220710009041,21667,403
220710009042,11786,383
220710011001,22500,618
220710011002,44141,1082
220710011003,-1,0
220710012001,42969,481
220710012002,31136,543
220710012003,42000,530
220710013011,12647,618
220710013012,35859,425
220710013013,24438,305
220710013014,9079,306
220710013021,27446,459
220710013022,11905,487
220710014011,14554,229
220710014012,28889,210
220710014013,29028,308
220710014014,16538,244
220710014015,25313,73
220710014016,17188,82
220710014021,29135,538
220710014022,37361,226
220710014023,23313,347
220710014024,12341,606
220710015001,21029,538
220710015002,28667,315
220710016001,-1,0
220710017011,29737,654
220710017012,32500,451
220710017013,25438,505
220710017021,38220,813
220710017022,23281,784
220710017023,29213,437
220710017024,31389,527
220710017201,53125,735
220710017202,44306,659
220710017203,20273,855
220710017204,14692,933
220710017221,34471,376
220710017222,47940,625
220710017223,26607,1090
220710017224,34013,423
220710017225,20948,973
220710017226,40110,213
220710017227,25833,181
220710017231,29375,916
220710017232,30515,1585
220710017233,18841,1071
220710017234,31480,1473
220710017241,31600,523
220710017242,42321,1147
220710017243,21709,1289
220710017244,22031,1317
220710017251,20120,1341
220710017252,25391,1312
220710017253,30453,2114
220710017254,52692,1737
220710017301,32216,773
220710017341,64485,677
220710017351,32813,1128
220710017352,28080,768
220710017361,14167,444
220710017362,33333,1181
220710017371,25114,1479
220710017372,49000,749
220710017373,18640,600
220710017391,29464,951
220710017392,38567,605
220710017401,52708,1544
220710017402,23050,1409
220710017403,36472,1568
220710017411,47847,1489
220710017431,24015,1119
220710017432,27888,949
220710017441,25962,903
220710017442,16510,1712
220710017443,26964,972
220710017451,25606,2325
220710017452,44081,1448
220710017461,45114,1182
220710017462,27518,1428
220710017463,32356,1360
220710017471,77269,2373
220710017472,69545,1222
220710017481,62771,1048
220710017482,30000,1391
220710017483,32650,1310
220710017484,60662,781
220710017491,39922,1211
220710017492,29000,1868
220710017501,48750,996
220710017502,22500,658
220710017503,16865,1789
220710017511,20556,678
220710018001,50625,847
220710018002,57857,595
220710019001,10919,308
220710019002,10313,400
220710019003,27188,603
220710020001,11181,399
220710020002,18790,432
220710020003,9688,195
220710021001,11800,388
220710021002,22941,311
220710022001,23311,230
220710022002,43173,342
220710022003,16295,185
220710023001,39063,124
220710023002,9349,244
220710023003,28309,120
220710023004,17434,165
220710023005,19943,1029
220710024011,38819,849
220710024012,46474,923
220710024021,30595,337
220710024022,35492,622
220710024023,36875,633
220710024024,36908,1197
220710025011,41058,457
220710025012,60208,461
220710025013,58500,305
220710025014,31250,437
220710025021,43375,853
220710025022,20179,261
220710025023,25990,598
220710025024,31750,292
220710025031,29886,498
220710025032,54118,887
220710025033,52292,775
220710025041,43424,667
220710025042,34167,654
220710025043,75109,440
220710025044,29000,446
220710026001,61466,583
220710026002,27614,690
220710027001,12434,498
220710027002,46133,624
220710027003,19934,547
220710028001,23523,334
220710028002,19925,851
220710028003,27128,429
220710029001,30833,476
220710029002,13125,248
220710029003,32546,684
220710030001,13977,526
220710030002,17794,715
220710031001,15521,233
220710031002,28000,743
220710033011,48173,781
220710033012,54907,887
220710033013,48125,254
220710033021,52963,415
220710033022,47617,1417
220710033023,52399,1121
220710033024,74750,491
220710033031,26758,623
220710033032,19099,572
220710033033,38958,699
220710033041,38897,741
220710033042,14962,727
220710033071,47379,858
220710033072,30000,479
220710033081,49306,537
220710033082,12271,711
220710033083,20521,950
220710033084,40938,526
220710033085,43992,432
220710033086,110299,395
220710034001,33214,601
220710034002,17250,570
220710035001,20685,422
220710035002,37414,334
220710035003,36250,446
220710036001,21429,547
220710036002,25842,847
220710036003,31146,592
220710037011,39732,1357
220710037012,44107,968
220710037021,28021,691
220710037022,26310,727
220710037023,13355,443
220710037024,29728,587
220710037025,64286,384
220710037026,35234,622
220710038001,66929,571
220710038002,77750,765
220710039001,27047,605
220710039002,41667,613
220710040001,21023,574
220710040002,22620,1098
220710041001,43750,780
220710041002,70583,791
220710044011,9244,222
220710044012,34539,616
220710044013,14250,424
220710044021,-1,64
220710044022,-1,0
220710045001,30469,530
220710045002,21019,841
220710045003,36701,722
220710046001,49130,564
220710046002,57647,1457
220710046003,45813,869
220710048001,9079,1376
220710049001,9946,674
220710049002,16786,621
220710049003,-1,42
220710049004,21985,308
220710050001,30500,536
220710050002,24260,1046
220710054001,42798,620
220710054002,50115,735
220710054003,42375,467
220710055001,60652,968
220710055002,50875,699
220710055003,33068,781
220710056011,76667,611
220710056012,101912,650
220710056013,82813,418
220710056014,86500,385
220710056021,73958,316
220710056022,102000,620
220710056023,57000,702
220710056024,94844,593
220710056031,93264,683
220710056032,66042,430
220710056033,70203,347
220710056041,94500,178
220710056042,85833,705
220710056043,66250,476
220710060001,22929,1601
220710063001,21211,861
220710063002,34107,251
220710063003,16350,736
220710064001,43194,636
220710064002,40645,554
220710064003,16583,514
220710064004,31875,730
220710065001,38000,940
220710065002,38696,978
220710065003,24537,702
220710069001,16360,426
220710069002,11667,49
220710069003,8438,305
220710070001,8359,711
220710070002,14821,1203
220710071011,31719,834
220710071012,13817,1088
220710072001,21071,999
220710072002,22948,677
220710072003,15893,343
220710075011,41667,634
220710075012,24615,557
220710075013,16875,455
220710075014,26750,559
220710075015,23750,219
220710075021,25735,184
220710075022,25063,209
220710075023,20833,1046
220710075024,16510,260
220710075025,28860,797
220710076041,134250,915
220710076042,148750,810
220710076051,20156,580
220710076052,14826,786
220710076061,64219,1450
220710076062,62317,938
220710076063,68476,1202
220710077001,66574,1220
220710077002,55399,1308
220710078001,62931,1409
220710082001,48788,670
220710082002,41403,859
220710083001,67240,651
220710083002,82083,598
220710084001,32174,667
220710084002,33672,669
220710085001,11953,724
220710085002,16296,621
220710086001,20795,396
220710086002,15690,375
220710088001,53478,763
220710088002,46483,974
220710090001,87448,471
220710090002,115729,649
220710090003,62891,784
220710091001,41667,1056
220710091002,54250,366
220710091003,10000,438
220710091004,33207,763
220710092001,18661,229
220710092002,25500,398
220710092003,15370,546
220710094001,25871,361
220710094002,33750,182
220710094003,11563,126
220710094004,9682,532
220710096001,54712,659
220710096002,39674,445
220710096003,55125,571
220710097001,66161,771
220710097002,35203,831
220710099001,51115,1339
220710099002,51742,1021
220710099003,44635,858
220710100001,18125,509
220710100002,20625,438
220710100003,44595,461
220710100004,17135,435
220710101001,39063,700
220710101002,68906,1420
220710102001,6875,285
220710102002,11520,217
220710102003,32917,156
220710102004,29813,324
220710102005,38971,532
220710103001,18417,601
220710103002,17188,788
220710103003,45114,737
220710103004,35169,337
220710106001,53036,682
220710106002,39609,550
220710107001,59527,533
220710107002,69306,1131
220710108001,79141,406
220710108002,83320,1005
220710109001,47547,1155
220710109002,70781,953
220710109003,69479,719
220710109004,39239,656
220710111001,14383,511
220710111002,35985,676
220710111003,52212,486
220710112001,62222,620
220710112002,73625,880
220710114001,106146,874
220710114002,64750,951
220710115001,82318,568
220710115002,75789,747
220710116001,118472,722
220710116002,121500,798
220710117001,119000,653
220710117002,121786,452
220710117003,94625,492
220710117004,244167,1021
220710119001,83971,528
220710119002,72813,814
220710119003,49408,385
220710120001,64643,982
220710120002,200000,503
220710121011,40057,877
220710121012,71313,2106
220710121021,70583,1770
220710121022,-1,1484
220710121023,48750,833
220710122001,112031,1349
220710122002,65947,779
220710123001,26055,498
220710123002,49522,582
220710123003,66750,876
220710124001,21635,806
220710124002,65313,1021
220710125001,43269,435
220710125002,39722,1104
220710126001,83125,661
220710126002,35417,717
220710126003,41406,532
220710127001,40406,560
220710127002,32941,640
220710127003,51875,570
220710127004,52375,468
220710128001,57000,843
220710128002,60250,741
220710128003,55625,749
220710129001,39143,774
220710129002,50417,587
220710130001,21682,590
220710130002,49167,748
220710130003,33897,474
220710131001,10787,343
220710131002,27102,248
220710131003,16991,587
220710131004,19139,260
220710132001,43500,353
220710132002,32750,625
220710132003,66875,767
220710132004,42292,527
220710133011,95938,734
220710133012,130250,1884
220710133013,118229,425
220710133014,81538,712
220710133021,36800,1105
220710133022,162125,1019
220710134001,102813,398
220710134002,18125,764
220710134003,37589,997
220710135001,63636,357
220710135002,71949,714
220710135003,58625,474
220710135004,38409,721
220710136001,34583,524
220710136002,32417,505
220710137001,-1,0
220710137002,38250,261
220710137003,9967,957
220710137004,19913,966
220710138001,28102,302
220710138002,16534,693
220710138003,31105,540
220710139001,53456,652
220710139002,29570,1040
220710140001,9875,294
220710140002,9723,547
220710140003,16141,894
220710140004,10139,58
220710141001,19722,905
220710141002,30353,350
220710141003,27083,660
220710142001,24773,317
220710142002,56250,962
220710142003,34375,285
220710143001,12434,340
220710143002,18750,88
220710143003,14946,979
220710144001,26688,217
220710144002,64167,1055
220710144003,41786,805
220710145001,-1,1852
220719800001,-1,3
220719801001,-1,0
220719900000,-1,0
220750501001,32308,771
220750501002,45724,909
220750502001,87317,2478
220750502002,45987,1466
220750502003,58024,1617
220870301031,36524,884
220870301032,37366,1373
220870301033,36827,1264
220870301034,35865,768
220870301041,62500,1025
220870301042,27727,737
220870301051,-1,0
220870301052,12500,145
220870302031,82639,377
220870302032,42500,695
220870302033,32829,765
220870302034,40707,858
220870302041,58897,788
220870302042,19830,521
220870302043,41106,806
220870302044,47396,738
220870302045,29885,1534
220870302061,44770,1223
220870302062,73707,557
220870302071,42738,686
220870302072,62500,1790
220870302073,53929,902
220870302081,19271,261
220870302082,69118,1869
220870302083,62857,735
220870302091,20737,388
220870302092,57422,1074
220870302093,60521,661
220870302094,46250,955
220870303001,26583,414
220870303002,46250,1089
220870304001,45625,82
220870304002,42566,1144
220870305001,31250,693
220870305002,39667,481
220870305003,56023,669
220870306011,68125,418
220870306012,30972,723
220870306021,35000,1431
220870306022,35240,915
220870306031,23375,1492
220870307001,45875,338
220870307002,32443,347
220870307003,42031,785
220870308001,26139,772
220870308002,28058,1037
220870308003,92266,889
220870308004,30606,752
220879900000,-1,0
221030407082,88795,2622
221030408035,49412,1815
221039900000,-1,0
