Id,Median,Total
340030382001,75100,940
340030382002,48167,757
340030382003,71406,1564
340030382004,83009,1188
340030383004,49425,761
340030383006,90160,1455
340130001001,45227,2261
340130001002,30573,2218
340130001003,35852,1834
340130002001,20536,1361
340130002002,32917,1683
340130003001,48302,1882
340130003002,9934,1480
340130004001,43036,2668
340130005001,53750,1277
340130005002,44079,802
340130006001,48969,1644
340130006002,46111,2891
340130007001,27250,1004
340130007002,27941,2375
340130007003,24674,821
340130007004,35260,1617
340130008001,43062,2554
340130008002,30000,1871
340130009001,16940,1209
340130009002,16705,1448
340130009003,39438,868
340130010001,10433,638
340130010002,42027,2562
340130011001,8657,1788
340130011002,56923,1115
340130013001,30125,1920
340130014001,25660,931
340130014002,26518,1528
340130015001,25238,2023
340130016001,25179,993
340130016002,36419,879
340130017001,28409,915
340130017002,31100,1355
340130018001,52847,756
340130018002,26272,1007
340130019001,31250,205
340130019002,17148,1554
340130020001,42625,507
340130020002,28973,2617
340130020003,52692,1319
340130021001,49722,1372
340130021002,50213,561
340130021003,57898,739
340130021004,74261,757
340130022011,36635,3304
340130022012,84688,1116
340130022013,59018,1400
340130022014,32843,1726
340130022021,51042,727
340130022022,39309,1825
340130022023,83750,946
340130023001,25655,1524
340130023002,35469,712
340130023003,47115,1385
340130023004,47778,602
340130024001,31964,1310
340130024002,60956,743
340130024003,33566,1095
340130025001,31250,691
340130025002,37411,1168
340130025003,46875,857
340130026001,22639,1925
340130028001,33611,1535
340130031001,26944,1885
340130035001,39167,903
340130035002,37708,1147
340130037001,33362,1250
340130037002,28520,666
340130038001,42768,937
340130038002,38828,733
340130039001,23636,224
340130039002,19375,1071
340130041001,39757,1121
340130041002,64258,775
340130041003,28073,698
340130042001,38182,2086
340130042002,24773,1083
340130043001,23500,1075
340130043002,40500,1592
340130044001,25114,939
340130044002,32243,819
340130045001,38095,949
340130045002,30859,390
340130045003,37467,716
340130045004,48068,1065
340130046001,28462,928
340130046002,70152,859
340130046003,47202,1255
340130047001,48152,1298
340130047002,42407,1290
340130047003,53063,743
340130047004,58485,363
340130047005,57218,1464
340130048011,19205,1908
340130048012,38750,818
340130048021,11607,978
340130048022,9572,826
340130048023,13036,1569
340130049001,38977,746
340130049002,43304,1576
340130049003,36154,1362
340130050001,31111,2244
340130050002,52891,623
340130051001,41250,832
340130051002,51875,938
340130051003,32841,368
340130052001,68523,555
340130052002,50809,542
340130053001,27647,864
340130053002,30167,1533
340130054001,14967,1429
340130054002,27147,1865
340130057001,38355,1948
340130057002,36543,945
340130062001,14650,990
340130062002,27250,838
340130064001,73417,1155
340130066001,41774,908
340130066002,34659,541
340130067001,11687,1350
340130067002,14627,1396
340130067003,28421,687
340130068001,21555,2293
340130068002,31054,1053
340130068003,50478,1936
340130069001,41700,2349
340130069002,44426,2239
340130070001,41293,2942
340130070002,53750,981
340130071001,47411,1447
340130071002,57379,1196
340130071003,53456,694
340130072001,54313,1518
340130072002,36250,2226
340130073001,49511,1766
340130073002,60313,2373
340130073003,47348,1580
340130074001,-1,3151
340130074002,48702,2666
340130075011,56818,970
340130075012,11056,755
340130075013,33561,933
340130075014,23125,1452
340130075021,38750,661
340130075022,32853,2874
340130076001,49740,1606
340130076002,34135,1423
340130077001,40125,1761
340130077002,48924,1281
340130078001,48409,1631
340130078002,36000,1673
340130079001,40139,1847
340130079002,53611,923
340130079003,39231,1481
340130080001,74306,593
340130080002,35861,1455
340130081001,23029,1402
340130081002,34855,2101
340130082001,30969,1629
340130082002,10790,685
340130087001,64050,1353
340130087002,37250,1592
340130087003,29972,1685
340130088001,35536,914
340130088002,46250,902
340130089001,28281,1950
340130090001,33235,2004
340130091001,33125,1428
340130091002,31250,1895
340130092001,29914,869
340130092002,25982,1171
340130092003,41250,801
340130093001,37622,2957
340130093002,33879,2009
340130094001,11000,719
340130094002,31964,2054
340130094003,44888,2105
340130095001,35854,1042
340130095002,28221,2179
340130095003,52083,1622
340130095004,53277,1210
340130096001,42961,1434
340130096002,38068,1250
340130096003,30329,2183
340130097001,39745,1668
340130097002,44097,2408
340130097003,29482,1168
340130099001,23857,397
340130099002,19219,719
340130099003,26612,418
340130100001,81705,504
340130100002,47109,1044
340130100003,46466,695
340130101001,37475,1214
340130101002,43827,349
340130101003,72813,1112
340130102001,16458,1197
340130102002,67768,945
340130102003,41625,885
340130102004,103750,1845
340130103001,40540,970
340130103002,45221,1374
340130103003,73088,975
340130103004,31776,780
340130104001,47944,1793
340130104002,36009,1351
340130104003,43527,1663
340130105001,37287,1482
