Id,Median,Total
060014001001,147292,3353
060014002001,126563,1031
060014002002,136500,913
060014003001,125664,1447
060014003002,57946,938
060014003003,42768,1120
060014003004,69777,1871
060014004001,101847,1538
060014004002,102900,1347
060014004003,73869,1267
060014005001,76689,1807
060014005002,83182,934
060014005003,33393,877
060014006001,54755,1177
060014006002,44375,514
060014007001,38304,1138
060014007002,33385,1202
060014007003,46507,601
060014007004,40737,1121
060014008001,78750,916
060014008002,47170,1036
060014008003,43625,1119
060014009001,54217,1228
060014009002,62188,950
060014010001,53457,789
060014010002,65417,1106
060014010003,52012,1234
060014010004,33452,550
060014010005,32762,589
060014010006,22250,739
060014011001,52308,599
060014011002,53359,1469
060014011003,50104,1140
060014011004,60729,846
060014012001,85078,955
060014012002,59006,957
060014012003,53750,544
060014013001,35556,1363
060014013002,23047,1542
060014013003,39250,1078
060014014001,29972,1174
060014014002,25132,2025
060014014003,27763,1141
060014015001,19280,600
060014015002,49963,644
060014015003,36985,836
060014016001,33382,1035
060014016002,29750,854
060014017001,51618,864
060014017002,64890,1620
060014017003,-1,60
060014018001,48839,1166
060014018002,19677,946
060014022001,27545,995
060014022002,34125,948
060014022003,75865,562
060014024001,33750,1595
060014024002,17944,1506
060014025001,38967,1105
060014025002,11745,921
060014026001,21250,955
060014027001,20000,595
060014027002,24931,988
060014028001,16424,1298
060014028002,37683,1746
060014029001,23302,1254
060014030001,21583,1289
060014030002,12211,1079
060014031001,55568,1535
060014033001,83222,2539
060014033002,17115,1501
060014034001,49112,889
060014034002,38939,992
060014034003,25735,1153
060014034004,37297,1284
060014035011,22765,2053
060014035012,50985,1550
060014035013,40160,575
060014035021,72083,790
060014035022,62958,1249
060014036001,52768,1342
060014036002,64234,1289
060014036003,66036,1703
060014037011,59973,1224
060014037012,52216,1273
060014037021,62750,661
060014037022,81031,1308
060014038001,172315,508
060014038002,96500,838
060014038003,59961,835
060014038004,76892,1364
060014039001,57197,1403
060014039002,72000,838
060014039003,64468,1742
060014040001,63777,1745
060014040002,63553,1053
060014041011,89773,1401
060014041012,64032,1411
060014041021,67431,1562
060014041022,53370,1052
060014042001,164048,932
060014042002,152188,1373
060014042003,104028,1191
060014043001,217917,1169
060014043002,180938,1103
060014043003,137292,1164
060014044001,121629,2186
060014044002,132708,1453
060014044003,132863,1419
060014045011,168750,1822
060014045021,163309,829
060014045022,150859,1290
060014045023,125658,1646
060014045024,110285,1775
060014046001,160769,1178
060014046002,152708,748
060014046003,134803,1280
060014046004,150288,1330
060014047001,139643,958
060014047002,137727,1015
060014048001,60789,1565
060014048002,77778,1181
060014049001,113182,818
060014049002,52639,1556
060014049003,70987,694
060014049004,94276,1227
060014050001,110125,692
060014050002,117054,956
060014050003,97742,1708
060014051001,174300,1044
060014051002,250001,663
060014051003,150179,833
060014051004,123125,648
060014051005,187330,786
060014052001,78750,1184
060014052002,66688,899
060014052003,73333,1066
060014052004,64222,1498
060014053011,55809,1844
060014053012,44352,744
060014053021,41842,1496
060014053022,27697,954
060014054011,41500,1899
060014054012,30591,1312
060014054013,17880,893
060014054021,25784,1878
060014054022,29500,1039
060014055001,24345,551
060014055002,38250,934
060014055003,24750,1003
060014055004,39602,1082
060014056001,39671,767
060014056002,43281,1261
060014056003,47462,1224
060014057001,53594,1127
060014057002,48182,952
060014057003,40938,961
060014058001,45990,1233
060014058002,59375,1012
060014058003,39784,1059
060014058004,70608,971
060014059011,35556,1373
060014059012,52894,1376
060014059013,19851,689
060014059021,27833,1665
060014059022,45650,1765
060014060001,35500,753
060014060002,10596,480
060014060003,19850,2086
060014061001,56667,1582
060014061002,65968,831
060014061003,88365,1054
060014061004,33080,1041
060014062011,36950,1258
060014062012,40000,683
060014062013,28224,1186
060014062014,26528,900
060014062021,30801,1080
060014062022,22114,1568
060014062023,30938,1772
060014063001,30817,1125
060014063002,46154,1374
060014063003,55057,841
060014063004,43571,1113
060014064001,88125,622
060014064002,46250,1735
060014065001,43750,1799
060014065002,47891,1000
060014065003,37050,2271
060014065004,38750,983
060014066011,58090,1027
060014066012,47396,1728
060014066013,60417,1445
060014066014,33854,637
060014066021,53563,855
060014066022,46319,1291
060014067001,123958,1480
060014067002,165234,578
060014067003,39598,1591
060014067004,104038,635
060014067005,87679,651
060014068001,135625,956
060014068002,106473,711
060014068003,71042,1071
060014068004,58250,904
060014069001,134844,726
060014069002,105000,977
060014069003,50156,2104
060014070001,35673,832
060014070002,34744,1403
060014070003,61317,1182
060014070004,39566,1205
060014070005,35882,806
060014071011,28401,2438
060014071012,33313,1285
060014071021,45221,1804
060014071022,72703,945
060014071023,22392,1112
060014071024,51250,407
060014072001,36382,1383
060014072002,28235,1470
060014072003,36685,1235
060014072004,35821,1979
060014073001,96351,1514
060014073002,43021,1283
060014074001,43636,1725
060014074002,35063,1742
060014074003,25188,912
060014075001,34000,1457
060014075002,17545,1439
060014075003,19375,752
060014076001,59628,1142
