Id,Median,Total
120950102001,93529,515
120950102002,80603,873
120950102003,65625,1292
120950102004,56328,800
120950102005,63269,1111
120950103001,52647,1303
120950103002,37625,950
120950103003,15743,513
120950104001,14779,486
120950104002,16105,984
120950105001,12163,565
120950105002,15395,678
120950108021,44750,1117
120950108022,50509,1025
120950108023,47656,842
120950110001,37356,640
120950110002,40625,313
120950110003,36265,1168
120950110004,85208,1089
120950111001,37132,1808
120950111002,45583,656
120950111003,81944,354
120950112001,56534,1251
120950112002,42946,516
120950112003,52455,638
120950112004,66983,908
120950113001,87500,898
120950113002,28377,1134
120950113003,64934,1542
120950113004,124219,978
120950116001,21424,706
120950116002,33553,1845
120950116003,27802,1524
120950117011,30096,1971
120950117012,12457,723
120950117013,26719,1592
120950117021,19610,1693
120950117022,23077,2198
120950120001,29908,3734
120950120002,38542,2905
120950121001,26032,3681
120950121002,29107,1798
120950122011,30434,4532
120950122021,37872,2998
120950122022,39491,1942
120950123031,57390,6989
120950123041,35775,6374
120950123051,34379,7555
120950123061,50673,3228
120950123071,52625,1817
120950123072,25478,4709
120950123073,39604,948
120950124011,35878,8120
120950124021,36502,5022
120950124031,33675,5130
120950125001,47250,2205
120950126001,59098,1233
120950126002,79632,437
120950126003,90427,1865
120950126004,70781,1334
120950127011,40469,1406
120950127012,76563,1725
120950127013,58175,1765
120950128001,67500,1330
120950128002,81250,927
120950128003,61842,421
120950128004,164219,812
120950128005,129773,334
120950129001,63984,728
120950129002,48125,980
120950129003,78958,354
120950129004,80625,787
120950132011,28750,1278
120950132012,34688,2524
120950132021,34099,5455
120950133001,39327,1992
120950133002,42500,3264
120950133003,51370,1142
120950134021,40875,3839
120950134031,54028,815
120950134032,30580,2686
120950134051,27172,2049
120950134061,35268,3805
120950135031,29020,2280
120950135051,28940,4398
120950135071,39286,6259
120950135081,29410,2537
120950135091,40405,1092
120950135101,30278,1921
120950135111,24281,2714
120950135112,34675,2419
120950135121,29122,4968
120950136031,32598,4701
120950136041,49694,5931
120950136051,43771,3639
120950136061,42886,1708
120950136062,21905,2040
120950136071,52532,6097
120950137011,31239,3133
120950137012,34089,1473
120950137021,51136,1201
120950137022,37455,1419
120950137023,30556,2324
120950138011,54953,1447
120950138012,27219,1122
120950138021,67292,1147
120950138022,56090,1700
120950138031,64491,2624
120950139001,42679,1878
120950139002,51453,2094
120950140001,73036,801
120950140002,76731,812
120950140003,64946,2356
120950140004,76765,2356
120950141001,62176,1806
120950141002,33250,422
120950141003,72500,2897
120950141004,40028,808
120950142001,28931,8110
120950142002,37083,1882
120950143011,72250,963
120950143012,58333,922
120950143013,31625,2681
120950143021,23083,3039
120950143022,27541,1451
120950144001,67500,834
120950144002,51534,2737
120950145021,24094,4488
120950145031,25870,2575
120950145032,31579,1619
