Id,Median,Total
040130101023,127222,1555
040130304011,90565,1341
040130304012,57847,1373
040130304013,121250,933
040130304021,64875,414
040130304022,77426,1401
040130304023,81641,1961
040130405191,84258,1998
040130405192,91111,771
040130405201,84531,2027
040130405202,112083,2061
040130405211,90183,5207
040130608014,27624,1372
040130608021,55042,771
040130608022,60990,1342
040130609013,62552,2703
040130609023,24722,1409
040130609031,29931,637
040130609032,34464,1575
040130609033,31491,2027
040130609034,37188,1356
040130609041,18232,698
040130609042,32872,1213
040130609043,46643,1337
040130610111,42500,1632
040130610112,52159,4349
040130610131,58865,3414
040130610141,43517,3014
040130610142,86250,2203
040130610153,88012,2393
040130610421,125174,287
040130610422,42727,320
040130610423,48421,256
040130610424,43020,1279
040130610432,92083,1020
040130715031,31250,752
040130715032,39915,738
040130715033,42688,833
040130715034,37042,2354
040130715041,30852,787
040130715042,32586,1099
040130715043,44483,406
040130715044,40320,1249
040130715051,34732,2337
040130715052,43794,610
040130715053,46765,1323
040130715054,33286,1854
040130715061,36818,867
040130715062,39297,1674
040130715063,33750,586
040130715064,47964,862
040130715091,78990,1617
040130715092,121146,954
040130715093,46328,1009
040130715094,87000,2124
040130715101,99857,2393
040130715102,91063,1188
040130715103,100583,706
040130715111,63233,2340
040130715112,31731,934
040130715121,47424,2195
040130715122,69929,679
040130715123,105417,1519
040130715124,100179,1526
040130715131,116842,1000
040130715132,93859,830
040130715141,53659,531
040130715142,47429,1293
040130715143,80972,2357
040130715151,67550,831
040130715152,44756,1089
040130715153,61719,1686
040130715161,34318,1806
040130715162,34116,1296
040130715171,77031,1449
040130715172,60625,860
040130715173,64665,1741
040130716001,20651,2020
040130716002,34375,1408
040130717011,58393,2957
040130717021,25905,742
040130717022,37863,580
040130717023,30184,790
040130717024,28491,790
040130717025,30833,439
040130718011,24794,1742
040130718012,33500,695
040130718013,20698,941
040130718014,27215,460
040130718015,32500,564
040130718016,41771,520
040130718021,39554,1111
040130718022,36027,906
040130718023,25321,628
040130718024,39894,827
040130719031,51580,716
040130719032,47326,1091
040130719033,62275,1208
040130719034,73225,541
040130719035,60450,673
040130719036,61750,1257
040130719037,40353,698
040130719061,43864,2274
040130719062,63614,2319
040130719063,59219,933
040130719091,36758,558
040130719092,59364,1253
040130719093,62188,840
040130719094,25270,1432
040130719101,66452,1593
040130719102,14688,687
040130719103,53364,1395
040130719104,40588,1737
040130719105,39304,1854
040130719111,60802,3452
040130719121,27188,377
040130719122,25240,314
040130719123,31142,1994
040130719131,50547,1899
040130719132,30807,1831
040130719133,32768,1309
040130719141,61136,1091
040130719142,42500,634
040130719143,55066,1944
040130719151,35595,1354
040130719152,28333,1318
040130719153,40333,1131
040130820021,46982,1365
040130820022,48621,2886
040130820023,38333,1466
040130820071,41107,1702
040130820072,38678,2205
040130820081,40813,1774
040130820082,37461,1795
040130820083,35417,1659
040130820091,51354,2484
040130820092,57956,2849
040130820101,29865,1600
040130820102,42649,1999
040130820121,52847,2845
040130820122,66441,3219
040130820161,66557,2642
040130820171,42028,2813
040130820172,68828,1853
040130820181,53140,2764
040130820182,42546,1873
040130820191,93125,857
040130820192,91622,1591
040130820201,78995,1817
040130820202,89167,1978
040130820211,76979,1911
040130820221,56218,2509
040130820222,35972,1094
040130820231,89667,1977
040130820232,69113,2468
040130820233,78967,1008
040130820241,63757,2256
040130820242,41250,2379
040130820251,65448,2256
040130820261,50076,2455
040130820262,65000,3509
040130820271,37957,1882
040130820272,82012,2291
040130820281,39129,2560
040130820282,49508,1826
040130822031,45733,4324
040130822032,75792,1117
040130822033,65228,1781
040130822041,62917,2206
040130822042,41107,3792
040130822051,54019,2127
040130822052,50199,3373
040130822061,52165,3134
040130822071,83472,1304
040130822072,59286,1438
040130822081,40984,2186
040130822082,40536,1115
040130822091,49500,628
040130822092,32259,2354
040130822101,55435,2808
040130822102,37007,1674
040130822111,71786,652
040130822112,60746,3237
040130822113,74962,770
040130830001,28287,2253
040130830002,40110,2500
040130830003,56394,1876
040130923051,58545,2227
040130923052,51087,1775
040130923061,52019,1429
040130923062,50504,1305
040130923063,57146,1744
040130923064,51429,2232
040130923071,16486,1309
040130923072,58613,1474
040130923073,45911,2563
040130923074,63674,872
040130923081,66902,1950
040130923082,29000,2067
040130923083,48594,937
040130923084,42719,1452
