Id,Median,Total
420030103001,-1,1526
420030103002,-1,3599
420030103003,24191,238
420030103004,52147,278
420030201001,77188,1320
420030201002,34948,1156
420030201003,165563,91
420030201004,46932,519
420030201005,-1,772
420030201006,73370,401
420030203001,67083,682
420030305001,14858,1323
420030305002,15152,767
420030402001,20118,1012
420030402002,33026,1018
420030404001,6442,612
420030404002,29340,1534
420030405001,14052,1551
420030405002,13553,1789
420030406001,19710,2227
420030409001,18203,737
420030409002,34444,1053
420030409003,35139,860
420030501001,34344,580
420030501002,16625,306
420030501003,23542,817
420030506001,27212,604
420030506002,30060,556
420030506003,33000,806
420030509001,10604,1138
420030510001,13000,799
420030510002,14643,1090
420030511001,11083,671
420030603001,33750,1334
420030603002,38365,1309
420030605001,26061,693
420030605002,51250,731
420030703001,47639,508
420030703002,53472,779
420030703003,98500,713
420030705001,74031,1368
420030705002,47500,849
420030705003,42439,876
420030706001,52014,815
420030706002,43239,1108
420030708001,50321,637
420030708002,49216,1087
420030709001,63542,2076
420030709002,38327,791
420030709003,17787,820
420030709004,28824,1212
420030802001,40000,1004
420030802002,41089,700
420030804001,42283,545
420030804002,30000,937
420030806001,58472,1212
420030806002,45385,954
420030807001,34519,649
420030807002,24487,790
420030809001,43638,1116
420030809002,36800,636
420030901001,43472,1327
420030901002,29183,448
420030902001,60759,990
420030902002,51414,1028
420030902003,45987,769
420030903001,28700,1245
420030903002,25104,454
420031005001,48287,862
420031005002,39167,1462
420031011001,45121,1775
420031011002,27813,410
420031011003,40875,760
420031014001,46071,1171
420031014002,34821,845
420031014003,45250,854
420031014004,39464,596
420031016001,24745,912
420031017001,34375,712
420031017002,25417,666
420031018001,56154,1023
420031018002,52226,1761
420031102001,51837,898
420031102002,46050,1124
420031102003,51329,1097
420031102004,32311,918
420031106001,83438,829
420031106002,104866,933
420031106003,35859,691
420031113001,27375,762
420031113002,45125,642
420031113003,32616,519
420031113004,30104,628
420031114001,17941,578
420031114002,16630,949
420031115001,14681,713
420031115002,27695,1364
420031115003,-1,57
420031115004,16280,1117
420031203001,24825,879
420031203002,26897,672
420031204001,15825,522
420031204002,13750,236
420031207001,26184,563
420031207002,17411,288
420031208001,30000,268
420031208002,27311,572
420031301001,13316,1036
420031301002,25577,551
420031301003,17679,373
420031302001,21059,881
420031302002,40529,591
420031303001,12143,318
420031303002,73229,346
420031303003,11154,470
420031304001,23571,317
420031304002,31172,443
420031304003,37708,327
420031306001,23269,673
420031306002,21250,458
420031306003,21053,1934
420031401001,82891,1477
420031401002,131927,2181
420031401003,-1,358
420031401004,79688,1814
420031402001,66343,1179
420031402002,82083,1512
420031403001,84844,683
420031403002,74722,1016
420031403003,111953,844
420031403004,68313,892
420031404001,87750,688
420031404002,130375,574
420031404003,120761,1052
420031405001,43482,436
420031405002,26354,779
420031405003,56280,746
420031406001,120000,1050
420031406002,59063,844
420031406003,47778,1153
420031408001,73636,2084
420031408002,72885,1428
420031408003,27457,1126
420031410001,75208,915
420031411001,56250,1328
420031413001,92813,1401
420031413002,60152,1655
420031413003,38611,2143
420031414001,86167,985
420031414002,94911,649
420031414003,112639,1019
420031414004,38672,1803
420031414005,29375,881
420031516001,51350,1154
420031516002,41016,708
420031516003,51618,725
420031517001,67500,1106
420031517002,76094,324
420031517003,73500,828
420031517004,81250,429
420031517005,39526,1001
420031517006,39049,1117
420031608001,39896,508
420031608002,22340,552
420031608003,40865,717
420031608004,42434,850
420031609001,41250,1145
420031609002,47273,2149
420031702001,48487,712
420031702002,51111,761
420031702003,30750,1011
420031702004,80922,1226
420031706001,55875,300
420031706002,36711,1078
420031706003,28631,627
420031803001,19831,1144
420031803002,29564,654
420031803003,57663,840
420031807001,43750,580
420031807002,46750,864
420031807003,43421,921
420031903001,75469,1223
420031903002,45302,761
420031911001,63672,1283
420031911002,64125,1157
420031914001,42727,1427
420031914002,46250,1251
420031915001,33000,988
420031915002,38026,1155
420031916001,41105,794
420031916002,52716,854
420031916003,38438,712
420031916004,33333,795
420031916005,57618,1288
420031917001,44800,2368
420031917002,67727,587
420031917003,45547,629
420031918001,78667,495
420031918002,60927,438
420031918003,50625,914
420031918004,67803,1086
420031918005,35417,540
420031918006,60938,965
420031918007,27096,690
420031919001,37813,563
420031919002,47727,884
420031919003,42904,694
420031920001,30833,823
420031920002,33000,469
420031920003,51419,732
420031920004,32639,983
420031920005,33611,510
420032022001,42535,1138
420032022002,14955,381
420032022003,45588,805
420032023001,51625,690
420032023002,70313,1200
420032023003,54848,862
420032023004,51587,1457
420032107001,26823,1124
420032107002,35347,839
420032206001,38281,1236
420032206002,30750,325
420032406001,36734,1344
420032406002,38534,1208
420032412001,26763,408
420032412002,31771,397
420032503001,53112,1321
420032507001,17604,841
420032509001,9966,554
420032509002,31071,576
420032602001,36016,444
420032602002,41905,1013
