Id,Median,Total
410050201001,99760,1843
410050201002,83333,871
410050202002,165089,1050
410050203031,65357,1709
410050203032,42361,1318
410050203033,64022,2149
410050203041,102167,2399
410050203042,82425,1368
410050203043,68839,2233
410050208001,49095,1738
410050208002,38042,992
410050208003,55263,1653
410050209001,46477,1111
410050209002,46625,1024
410050209003,36641,1458
410050210001,50250,935
410050210002,51667,2347
410050210003,52083,1179
410050211001,62301,1215
410050211002,43316,1393
410050211003,64875,1220
410050211004,67835,2124
410050212001,40160,1411
410050212002,56023,812
410050212003,34286,1775
410050214001,73772,2718
410050214002,34330,1076
410050214003,44312,996
410050215001,73278,1880
410050215002,59181,2912
410050216011,36905,1237
410050216012,39223,2627
410050216013,38898,1017
410050216014,56786,642
410050216021,45479,2155
410050216022,58750,690
410050216023,64625,2206
410050221031,57054,3570
410050221032,75642,3229
410050221051,81989,1382
410050221052,77625,2369
410050221071,48694,2799
410050221072,43542,910
410050222011,40824,811
410050222012,31611,2185
410050222013,30112,1835
410050222051,96719,1180
410050222052,100081,2106
410050222061,66218,2339
410050222062,78750,4128
410050222071,106250,3521
410050222072,110303,1634
410050222081,99844,3418
410050222082,78917,3052
410050232011,84904,1955
410050232012,78281,2482
410050232022,100333,1862
410050232023,85476,4063
410510001001,48750,489
410510001002,75000,990
410510001003,58385,796
410510001004,44550,1159
410510001005,63281,773
410510001006,53933,696
410510001007,63672,1201
410510002001,30000,909
410510002002,44732,2034
410510002003,76890,1705
410510002004,52204,1284
410510003011,50063,1311
410510003012,39836,1581
410510003013,41875,1590
410510003014,43664,938
410510003021,106250,1298
410510003022,61136,1578
410510003023,72215,799
410510003024,110000,1326
410510003025,122986,900
410510003026,135750,883
410510004011,65833,1161
410510004012,61458,760
410510004013,67181,961
410510004014,85694,647
410510004021,48750,1176
410510004022,54779,834
410510004023,58851,1356
410510005011,42440,746
410510005012,50338,1101
410510005013,52026,895
410510005014,54911,942
410510005021,47794,858
410510005022,44545,681
410510005023,49042,1112
410510005024,48558,1301
410510005025,58000,737
410510006011,42738,2458
410510006012,50852,1170
410510006013,44792,671
410510006014,47625,1118
410510006021,25219,1060
410510006022,50179,2233
410510006023,45063,1128
410510006024,42841,1184
410510007011,46089,1283
410510007012,48021,888
410510007013,50000,1277
410510007014,52757,1024
410510007021,43304,957
410510007022,63500,1275
410510007023,49231,1404
410510007024,35156,1093
410510008011,77063,857
410510008012,49944,1229
410510008013,60882,1163
410510008014,67917,1108
410510008021,38466,904
410510008022,56964,886
410510008023,51845,1191
410510008024,44417,1582
