Id,Median,Total
440070001011,45602,1422
440070001012,48125,724
440070001013,28667,1375
440070001014,32917,1158
440070001021,23929,972
440070001022,37604,865
440070001023,38333,1969
440070001024,42581,966
440070002001,20458,1891
440070002002,17204,623
440070002003,18798,971
440070002004,29805,1233
440070002005,27024,1282
440070003001,34063,627
440070003002,24007,1023
440070003003,37266,977
440070003004,31200,1669
440070003005,24914,1788
440070003006,23824,1154
440070004001,36705,942
440070004002,21406,476
440070004003,23750,1062
440070004004,41210,1251
440070005001,12853,1263
440070005002,10764,431
440070005003,27500,1509
440070006001,52917,336
440070006002,27773,1749
440070007001,30078,580
440070007002,17400,1013
440070007003,15739,850
440070008001,23438,1492
440070008002,9976,1043
440070008003,63750,1549
440070009001,25646,1339
440070009002,30500,1003
440070010001,39572,1765
440070010002,16488,964
440070011001,38967,1025
440070011002,40625,809
440070011003,41339,644
440070012001,18486,1384
440070012002,25952,570
440070012003,27348,931
440070013001,50972,673
440070013002,33750,1018
440070013003,57639,1568
440070013004,14891,1521
440070014001,53347,886
440070014002,27531,1791
440070014003,35956,1119
440070014004,40833,1847
440070014005,4745,1062
440070015001,46316,998
440070015002,54531,1279
440070015003,56528,787
440070016001,35625,780
440070016002,24447,1664
440070016003,55954,1574
440070016004,53750,563
440070016005,62786,1597
440070016006,48717,2301
440070016007,36250,649
440070017001,13821,797
440070017002,45259,842
440070017003,37375,1857
440070018001,25511,1049
440070018002,13024,1361
440070018003,12778,803
440070018004,43194,1496
440070018005,54018,839
440070018006,49697,1034
440070019001,14928,462
440070019002,51667,961
440070019003,25625,1187
440070019004,16888,500
440070019005,21250,1300
440070019006,30982,752
440070020001,29650,2050
440070020002,49583,1756
440070020003,7740,1726
440070020004,51156,1848
440070021011,61250,701
440070021012,80550,733
440070021013,45188,1199
440070021021,48588,1023
440070021022,77660,768
440070021023,36042,1533
440070021024,26794,917
440070021025,55673,922
440070022001,37054,1376
440070022002,45000,1393
440070022003,32828,1262
440070022004,31000,1228
440070023001,29718,1320
440070023002,48750,694
440070023003,33750,689
440070023004,98750,582
440070023005,38906,578
440070023006,49792,549
440070024001,60286,2290
440070024002,68533,988
440070024003,53162,1161
440070024004,66806,987
440070024005,143917,290
440070024006,95896,1347
440070025001,24268,1449
440070025002,61484,1191
440070026001,14834,1467
440070026002,35357,406
440070026003,27697,1176
440070027001,33841,1357
440070027002,17031,777
440070027003,12354,1362
440070027004,47941,1765
440070028001,28802,1868
440070028002,21102,1491
440070028003,55250,878
440070028004,66114,2116
440070029001,47639,956
440070029002,37647,546
440070029003,40324,2364
440070029004,17102,862
440070029005,29982,1951
440070031001,54000,985
440070031002,37225,756
440070031003,10972,1286
440070031004,63250,1046
440070031005,14095,511
440070032001,94583,499
440070032002,92614,736
440070032003,73015,738
440070032004,43510,1196
440070033001,64750,1455
440070033002,68750,782
440070033003,84393,1051
440070033004,84318,713
440070034001,212569,1124
440070034002,105368,1192
440070034003,133856,1247
440070034004,89196,1646
440070035001,90444,1056
440070035002,41667,1386
440070035003,40566,1160
440070035004,53071,1316
440070036011,43852,1466
440070036012,34395,1408
440070036021,218542,2580
440070036022,90833,959
440070036023,54750,2483
440070037001,36250,1205
440070037002,28412,1129
440070037003,65694,1076
440070037004,77969,391
440070102001,75250,720
440070102003,46829,890
440070102005,42132,931
440070102007,50022,1875
440070104003,45882,1987
440070104004,38646,1779
440070104005,41875,765
440070105021,50880,1031
440070106003,77973,435
440070118002,40996,1062
440070118003,34970,497
440070118004,72622,899
440070119011,40950,1918
440070119012,66486,1124
440070119021,45125,2149
440070120001,76346,1138
440070120002,55000,1691
440070120003,54444,1009
440070120004,42750,1021
440070120005,71458,1327
440070121021,51875,1142
440070121022,47065,1011
440070121023,42361,1163
440070121024,46838,800
440070121031,35234,2260
440070121041,26731,1023
440070123002,51029,2120
440070124011,70161,560
440070124012,83261,971
440070124013,87889,1020
440070124021,56486,1103
440070124022,59444,1492
440070125001,38237,2178
440070134001,49167,823
440070134002,126083,1140
440070134004,64280,1299
440070135001,62321,961
440070135002,34750,661
440070135003,54345,820
440070135004,37813,1207
440070135005,71979,1161
440070136001,68125,845
440070136002,43144,603
440070136003,51324,1539
440070137011,58125,991
440070137012,46875,934
440070137013,54605,1029
440070137014,51111,821
440070137021,49167,930
440070137022,91932,879
440070137023,53462,750
440070138001,70417,1108
440070138005,48066,1058
440070140001,60329,901
440070140002,56250,1555
440070140003,55357,2049
440070140004,53088,534
440070140005,67885,567
440070141001,44348,1736
440070141002,37000,897
440070141003,26429,1576
440070141004,48824,1051
440070143001,55221,362
440070143002,49712,1830
440070143003,76020,1560
440070143004,76908,1253
440070145021,27463,1420
440070145023,52833,1128
440070147001,43594,1612
440070147002,32444,1867
440070147003,40889,1313
440070147004,63388,781
440070147005,26354,658
440070147006,30385,1178
440070148001,42721,1665
440070148003,49714,1288
440070163001,77794,899
440070163002,45991,1268
440070164002,29856,1139
440070164003,27813,735
440070165001,95603,1025
440070165002,34750,1234
440070165003,69219,1465
440070166001,32904,1759
440070171001,35125,322
