Id,Median,Total
370630018081,89283,1920
370630018082,87368,3380
370630018092,70588,3437
370630019001,52917,433
370630019002,77969,1943
370630020281,66796,2366
370630020282,55125,999
371830501001,51128,3582
371830503001,67216,1578
371830503002,21401,965
371830504001,82222,898
371830504002,29545,959
371830505001,59167,1385
371830505002,48833,1384
371830505003,49934,581
371830506001,30361,2211
371830506002,21106,906
371830506003,43571,1107
371830507001,22917,1015
371830507002,28125,872
371830507003,19688,1454
371830508001,13487,833
371830508002,21289,1161
371830508003,33158,2518
371830509001,14615,1643
371830509002,16341,1036
371830509003,14417,460
371830510001,23777,1138
371830510002,76563,1063
371830511011,-1,3062
371830511012,36985,1495
371830511013,38255,765
371830511021,-1,433
371830511022,-1,3150
371830511023,14219,781
371830512001,50563,1137
371830512002,50806,1051
371830512003,21250,1621
371830514001,54044,677
371830514002,40268,1563
371830514003,54904,1159
371830514004,64435,995
371830514005,77434,1061
371830515011,75329,1347
371830515012,137400,1832
371830515021,26250,976
371830515022,66058,1646
371830516001,73229,951
371830516002,140500,1025
371830516003,103500,981
371830516004,115568,760
371830516005,165536,830
371830517001,144861,1131
371830517002,139375,1208
371830517003,233438,800
371830518001,67895,1442
371830518002,89861,1209
371830518003,45880,1825
371830519001,55938,1371
371830519002,24975,2477
371830519003,44677,1129
371830520011,25280,2394
371830520012,27500,1463
371830520021,28625,1011
371830520022,25369,1605
371830520023,37448,1121
371830520024,29083,636
371830521011,54425,4105
371830521012,46571,1740
371830521013,20225,891
371830521014,30489,900
371830521021,46984,4183
371830521022,29886,2010
371830523011,60199,1499
371830523012,51062,1491
371830523013,30231,2579
371830523021,15381,1591
371830523022,45192,2643
371830523023,35426,2509
371830524011,45984,3194
371830524012,-1,918
371830524041,72639,2383
371830524042,34286,1271
371830524043,90132,710
371830524061,45588,1837
371830524062,30407,1924
371830524063,38589,2661
371830524071,37688,2137
371830524072,37500,2094
371830524081,32600,1178
371830524082,31932,1403
371830524091,19191,525
371830524092,11676,1485
371830524093,31875,2405
371830525031,46197,2086
371830525032,111343,3477
371830525033,65769,1385
371830525041,35521,2293
371830525042,77917,1212
371830525043,58833,2180
371830525051,76865,2784
371830525052,57023,2186
371830525061,81875,1145
371830525062,41308,590
371830525071,80469,1032
371830525072,73737,2108
371830526011,91818,2012
371830526012,98958,928
371830526021,81458,2118
371830526022,97969,710
371830526023,24900,955
371830526031,112321,1445
371830526032,57868,1303
371830527011,52163,2322
371830527012,50580,1239
371830527013,28466,1400
371830527041,23608,3251
371830527042,24219,1950
371830527043,41313,1658
371830527051,38350,1604
371830527052,52170,2354
371830527061,52500,1620
371830527062,40163,1079
371830527063,69375,1489
371830527071,46250,816
371830527072,43564,1520
371830527073,46006,4368
371830528015,26353,598
371830528021,50081,1438
371830528022,33801,1671
371830528023,64837,1499
371830528031,49846,2385
371830528032,61128,2261
371830528033,48462,4935
371830528061,51910,961
371830528062,49135,4496
371830528063,49167,3117
371830528064,57512,6572
371830528071,52250,1729
371830528072,49292,2798
371830528081,56595,1624
371830530031,59972,4895
371830530032,161172,1402
371830530041,93750,1525
371830530042,174737,1039
371830530051,119816,738
371830530052,119020,1989
371830530053,150558,2610
371830530061,107043,3110
371830530071,71582,1146
371830530072,107452,1766
371830530081,44812,4142
371830530082,73505,1464
371830530083,67986,1851
371830530091,30893,1812
371830530093,81597,763
371830534051,144875,1452
371830534052,128571,2068
371830534053,98333,1288
371830534181,69375,1980
371830534191,127400,1017
371830534192,109861,1640
371830534202,67500,3861
371830534211,90903,5010
371830534222,120909,583
371830534231,77279,1302
371830535051,106528,1649
371830535052,90909,1170
371830535053,63250,904
371830535061,41250,875
371830535062,69886,622
371830535063,64338,1337
371830535064,88828,2171
371830535071,43580,693
371830535072,35179,2106
371830535073,73250,1164
371830535091,100313,1271
371830535092,143636,2093
371830535093,114167,1829
371830535121,110223,3388
371830535122,85597,1613
371830535123,60395,1092
371830535131,39207,2041
371830535132,48676,2007
371830535161,43935,2456
371830535162,112536,1310
371830535171,50215,3065
371830535172,46731,548
371830535173,92824,1007
371830535174,49750,474
371830535181,64293,1151
371830535182,80236,1518
371830535183,64931,1083
371830535191,51667,1362
371830535192,43720,1735
371830535193,30880,1486
371830535201,67647,1522
371830535202,60598,2692
371830535203,45357,1416
371830535211,109732,1723
371830535212,93350,1668
371830535221,99087,1835
371830535222,80563,3581
371830535231,140417,2557
371830535232,82444,2786
371830535241,50813,1599
371830535242,68594,1941
371830535251,110592,747
371830535252,88750,1797
371830536091,62614,745
371830536101,67107,6274
371830536102,71818,2408
371830537071,91925,1561
371830537072,51096,1829
371830537073,47911,2826
371830537091,65652,1420
371830537092,48736,2788
371830537093,77303,2512
371830537111,116597,2045
371830537112,118026,1757
371830537113,48779,1609
371830537121,83542,1494
371830537122,109861,1271
371830537131,38239,1892
371830537132,39087,1275
371830537141,95625,1518
371830537142,67665,2023
371830537143,78542,1172
371830537151,66250,1540
371830537152,114167,1802
371830537161,45865,765
371830537162,57298,1189
371830537163,41898,1727
371830537171,78458,2840
371830537181,98385,3258
371830537191,96833,1873
371830537192,94841,2092
371830537201,173214,1189
371830537202,180781,1188
371830537203,142000,1839
371830537211,127550,1497
371830537212,162933,1672
371830537221,57404,1150
371830537222,71475,1871
371830537223,136029,928
371830537224,73288,706
371830537231,64018,1364
371830537232,68317,1809
371830537241,84017,6436
371830537251,61875,2509
371830537252,73448,2664
371830537261,63138,2413
371830537262,80265,1114
371830538031,162417,2191
371830538032,161250,1563
371830538041,107292,3673
371830538051,179375,1450
371830538052,108590,772
371830538061,109432,2463
371830538062,97054,1354
371830538071,92845,2108
371830538072,128065,1993
371830538081,161774,1080
371830538082,147108,1461
371830538083,140069,2029
371830538084,161875,791
371830539004,126065,2736
371830540011,59545,2104
371830540012,64565,2111
371830540013,27044,1518
371830540041,55375,1646
371830540042,42835,1196
371830540043,47188,1156
371830540044,33571,1482
371830540061,33807,2216
371830540062,92321,1155
371830540071,52069,1797
371830540072,70091,2181
371830540081,72550,964
371830540082,32595,2659
371830540083,28472,1592
371830540084,23770,1341
371830540111,120139,1774
371830540112,94688,1267
371830540121,89639,1467
371830540122,82772,1128
371830540123,83373,1008
371830540131,105214,5994
371830540132,121944,2334
371830540133,48438,840
371830540134,58242,3620
371830540141,62223,7884
371830540142,35485,1942
371830540143,40731,2916
371830540151,82063,2547
371830540161,72212,814
371830540162,72447,2661
371830540163,85110,2308
371830540171,54059,2645
371830540181,26680,1229
371830540182,35563,1917
371830541041,56122,1908
371830541042,80893,2172
371830541043,68056,4843
371830541044,44398,1764
371830541051,64875,2567
371830541052,75455,2714
371830541053,57065,2733
371830541054,62824,2826
371830541055,73036,955
371830541061,35496,1534
371830541062,44587,1608
371830541063,64834,4081
371830541092,47976,1366
371830541101,81935,1990
371830541102,80357,4502
371830541103,69547,2348
371830541111,50750,2045
371830541121,55858,3274
371830541131,46280,1134
371830541132,47583,1193
371830541141,73851,2259
371830541142,64583,2440
371830541151,124009,1651
371830541152,46786,2463
371830541153,85893,2171
371830541154,63542,1974
371830542051,48309,2860
371830542052,42847,1817
371830542061,61331,4160
371830542071,88000,8849
371830542081,69113,6583
371830542091,71786,4973
371830542092,122500,4182
371830542102,59894,3635
371830542103,83519,2710
371830542112,88403,7880
371830545001,27206,1580
371830545002,35960,1955
371830545003,55469,2193
371830545004,37197,2175
371839801001,-1,0
371839802001,-1,95
