Id,Median,Total
060350406003,32688,827
060910100001,33750,619
320310001011,26023,900
320310001012,50145,413
320310001013,15703,860
320310001014,16480,700
320310001021,23691,833
320310001022,15708,892
320310001023,11758,983
320310002011,34198,2074
320310002012,17422,1296
320310002021,16227,729
320310002022,34042,971
320310002023,25900,839
320310003001,40750,908
320310003002,52303,1159
320310003003,60750,693
320310003004,31003,983
320310004001,59837,962
320310004002,91458,986
320310004003,119583,877
320310004004,70104,1702
320310004005,20556,743
320310007001,19286,1600
320310007002,48648,1283
320310007003,27813,927
320310007004,16764,1631
320310009001,21215,1585
320310009002,20655,2734
320310010051,39291,1217
320310010052,61190,1771
320310010081,21776,1061
320310010082,21789,1608
320310010083,18723,1561
320310010091,34512,1559
320310010092,24824,797
320310010101,91714,2322
320310010102,38878,592
320310010111,135313,1970
320310010112,90938,1840
320310010121,72813,1931
320310010122,70481,1387
320310010131,127625,2573
320310010132,129761,1752
320310010133,120714,1258
320310010134,129063,1330
320310010141,47386,819
320310010142,98571,1724
320310010151,89087,1240
320310010152,62333,735
320310010153,58516,1214
320310010154,90341,1125
320310011011,47614,1886
320310011012,81538,963
320310011031,159730,1161
320310011032,99333,782
320310011033,132227,1966
320310011034,156154,1118
320310011041,94896,1480
320310011042,71856,1028
320310011043,80714,599
320310011044,113542,1149
320310011051,97333,1310
320310011052,133678,1245
320310011053,88696,1271
320310012011,28295,597
320310012012,54263,999
320310012013,48839,719
320310012021,40694,1694
320310012022,24773,1048
320310012023,18293,314
320310012024,24125,1194
320310013001,61316,2175
320310013002,29727,1540
320310014001,43284,1720
320310014002,28264,1617
320310015011,39458,1174
320310015012,69493,1003
320310015013,53807,816
320310015014,41992,1288
320310015021,30339,602
320310015022,22826,1748
320310015023,27903,947
320310015024,13917,2103
320310015025,12132,945
320310017011,21339,2448
320310017012,41128,1136
320310017021,62083,2024
320310017022,36800,1454
320310017023,20804,1427
320310018011,21500,877
320310018012,24167,1539
320310018013,31576,1178
320310018021,18555,1351
320310018022,37773,1596
320310019011,24531,1800
320310019012,21843,1366
320310019013,29866,2018
320310019021,41974,1177
320310019022,29492,1684
320310019023,22295,1029
320310019024,31128,780
320310021031,86771,1376
320310021032,55887,1468
320310021041,52955,779
320310021042,96333,1363
320310021043,31622,837
320310021051,68750,1052
320310021052,73958,1234
320310021053,37474,2512
320310021061,63750,811
320310021062,44044,1221
320310021063,52143,1152
320310021071,21645,495
320310021072,29432,1240
320310022041,35581,1828
320310022042,28306,1667
320310022043,23513,1221
320310022051,71979,1668
320310022052,48750,1782
320310022053,42604,1424
320310022061,85438,2846
320310022062,60081,3556
320310022071,104125,1720
320310022072,90700,1003
320310022073,104896,978
320310022081,64326,1864
320310022082,92844,807
320310022091,102396,1400
320310022092,84181,4076
320310022101,72000,2235
320310022111,29350,1933
320310022112,31667,2132
320310022121,33295,703
320310022122,18065,1484
320310022123,35175,1120
320310022124,18906,1291
320310023011,85455,527
320310023012,85714,678
320310023013,120313,915
320310023014,88681,2672
320310023021,129338,949
320310023022,67375,1608
320310024011,84583,1497
320310024012,63317,1991
320310024061,30260,1949
320310024062,69853,1222
320310024063,65022,1751
320310024071,57138,877
320310024072,52212,1299
320310024073,61157,1560
320310024081,88000,2266
320310024082,105313,1374
320310024091,100489,4469
320310024101,49490,1398
320310024102,42888,1024
320310024103,53265,1684
320310024111,75962,923
320310024112,36568,1892
320310024113,72083,979
320310024121,69615,639
320310024122,94391,1777
320310025001,61587,1430
320310025002,64276,2174
320310025003,44110,1479
320310026031,77386,1341
320310026101,57833,1882
320310026102,71250,1880
320310026103,62955,1853
320310026111,36442,2984
320310026112,35069,1555
320310026113,67114,2195
320310026121,52500,907
320310026122,71016,630
320310026123,54583,594
320310026124,48684,1376
320310026131,84116,1675
320310026132,64125,896
320310026133,77361,1286
320310026134,62692,1425
320310026141,50126,4286
320310026151,75969,1495
320310026152,61875,1767
320310026161,37383,1510
320310026162,40977,1544
320310026163,45140,1106
320310026171,30625,1554
320310026172,52614,3318
320310026173,72944,2679
320310026181,70768,1199
320310026182,58587,1408
320310026183,51250,967
320310026184,67529,1688
320310026185,75288,1241
320310026191,48853,2301
320310026192,42823,1999
320310026193,66223,499
320310026194,50029,1163
320310027031,32179,1465
320310027032,27500,998
320310027041,38497,1712
320310027042,27656,1449
320310027043,46148,1654
320310027051,45382,1598
320310027052,38152,1367
320310027053,39250,1165
320310027061,52056,1953
320310027062,56406,1500
320310027063,32778,1497
320310027071,59318,1223
320310027072,65202,1588
320310027073,21806,1508
320310028011,85227,1145
320310028012,41368,1577
320310028013,38636,1819
320310028021,30223,960
320310028022,38092,1757
320310028023,42431,1580
320310028024,40859,743
320310029011,42982,1518
320310029012,59150,1065
320310029013,45842,925
320310029021,36364,1552
320310029022,41139,1335
320310029023,39926,547
320310029024,35750,902
320310030001,53413,974
320310030002,62663,1523
320310030003,32337,1845
320310030004,57533,697
320310030005,25707,605
320310030006,19811,814
320310031011,29605,1253
320310031012,47034,1277
320310031013,34167,530
320310031014,29828,1044
320310031051,66477,1225
320310031052,44125,958
320310031061,56250,1591
320310031062,48903,1330
320310031063,57188,593
320310031064,51004,851
320310031065,60750,1235
320310031066,44258,1386
