Id,Median,Total
510411001061,80694,2078
510411001062,86667,928
510411001071,36204,2136
510411002051,45272,1307
510411002052,49177,2553
510411002053,43771,3141
510411002054,57952,716
510411002061,52969,676
510411002062,56250,1168
510411002063,82969,2353
510411002064,68000,1260
510411002081,100865,1180
510411002082,73977,1557
510411002091,36023,1196
510411002092,66065,1025
510411002093,100764,2765
510411002094,62418,896
510411002101,40395,1623
510411003001,36148,1234
510411003002,40968,610
510411008041,59052,1765
510411008043,73309,1130
510411008123,69583,1677
510411008191,40878,1855
510411009021,63664,1097
510411009022,100104,1934
510411009023,90865,670
510411009071,42629,1717
510411009072,60625,946
510411009101,66838,1088
510411009102,73676,1452
510411009103,69412,1944
510411009104,69087,791
510411009192,74293,1934
510411009201,40288,846
510411009211,52443,1437
510411009212,77083,2061
510411009213,64198,862
510411009214,57264,1902
510411009221,58832,1878
510411009222,65357,2205
510411009223,71047,1129
510411009231,63750,1564
510411009232,58889,740
510411009263,156458,2005
510411009312,110313,1597
510411009313,82398,3131
510411009321,90550,3767
510853211003,71181,2217
510872001042,62443,1900
510872001043,53779,1765
510872001051,37205,1841
510872001061,55150,1238
510872001062,66361,1947
510872001063,32396,1422
510872001071,77725,2848
510872001072,128289,2250
510872001073,56220,3085
510872001081,166477,989
510872001082,232000,1957
510872001091,117723,2438
510872001092,183311,1232
510872001121,59635,1311
510872002011,79722,1174
510872002012,59286,1441
510872002021,156705,1085
510872002022,85156,958
510872002023,99675,961
510872002024,81000,919
510872003011,72250,1134
510872003021,61389,621
510872003022,80139,850
510872003023,60900,1305
510872003031,51571,1777
510872003032,50234,1603
510872004041,57647,963
510872004042,35492,2113
510872005011,39271,733
510872005012,55750,1191
510872005022,93110,864
510872006004,84688,890
510872007002,41389,980
510872007003,72125,886
510872008021,57617,2127
510872008041,40096,1903
510872008043,36806,2090
510872008051,17652,2668
510872008052,53125,761
510872008053,21685,1211
510872010011,49395,1248
510872010012,63608,1748
510872010013,66900,3155
510872010021,44703,1263
510872010022,56250,888
510872010023,33045,835
510872010031,40855,2111
510872010032,56786,2083
510872010033,25949,1294
510872011011,40605,1568
510872011014,52040,1867
510872011021,44886,1329
510872011022,42785,2892
510872015011,76736,1698
510872015012,80361,4931
510872015013,43214,1826
510872015014,13060,852
510872015015,43581,1309
510872016021,76075,3493
517600102001,40441,1196
517600102002,80000,733
517600102003,35161,1851
517600102004,66458,503
517600103001,29050,1771
517600104011,59604,1652
517600104012,21983,1555
517600104021,101146,744
517600104022,40833,1211
517600104023,41131,962
517600105001,38804,612
517600105002,72560,697
517600106001,61227,2098
517600107001,26563,1405
517600107002,34375,910
517600107003,27379,393
517600108001,51587,1660
517600108002,25895,1294
517600108003,28500,1025
517600109001,31287,1025
517600109002,37740,412
517600109003,33125,441
517600109004,27353,667
517600110001,47961,415
517600110002,39671,819
517600110003,27155,964
517600111001,57132,728
517600111002,47250,674
517600111003,17418,531
517600111004,33188,1114
517600201001,13726,1627
517600202001,10365,2762
517600202002,15640,1707
517600203001,27961,919
517600203002,23380,790
517600204001,20417,664
517600204002,15000,468
517600204003,17012,802
517600204004,14100,578
517600204005,11607,2167
517600205001,15741,1226
517600205002,55496,2469
517600206001,69844,1104
517600206002,67969,512
517600207001,22917,1221
517600208001,77303,1368
517600209001,36406,1475
517600209002,30400,572
517600209003,32434,1012
517600210001,16845,1055
517600210002,28400,606
517600211001,35711,1382
517600212001,36295,1767
517600301001,9942,864
517600301002,10962,2034
517600302001,35848,1970
517600302002,-1,542
517600305001,28167,1277
517600305002,14846,2018
517600402001,19303,2027
517600402002,34083,1269
517600403001,15018,3509
517600404001,15000,2306
517600404002,18750,1411
517600405001,57449,1733
517600405002,40500,1634
517600406001,39669,1756
517600407001,55030,2687
517600408001,48750,1679
517600409001,46383,1140
517600409002,50690,1568
517600410001,98158,1243
517600410002,59500,1533
517600411001,35893,634
517600411002,39187,1468
517600411003,37132,2237
517600412001,41806,1309
